Predicted,Actual
2757487.0522,4709.0000
1231375.7161,71375.0000
1238849.3032,741.0000
1303845.9355,13482.0000
1231375.7161,5439011.0000
1238849.3032,248434.0000
1238849.3032,788007.0000
1238849.3032,1933.0000
2448509.3348,5497769.0000
1238849.3032,10022.0000
2005597.1700,17270.0000
1303845.9355,24468.0000
3391079.4195,5164452.0000
1238849.3032,368093.0000
1486754.6664,117229.0000
1231375.7161,808372.0000
1231375.7161,406037.0000
1318428.1989,250048.0000
1238849.3032,695621.0000
718233.9466,701937.0000
1238849.3032,2043.0000
1238849.3032,63545.0000
1238849.3032,641.0000
9647840.4580,56580262.0000
1238849.3032,38700.0000
1265739.5965,360837.0000
1303845.9355,14134.0000
1238849.3032,513.0000
2279060.6937,245713.0000
1238849.3032,795018.0000
1177774.2850,1926.0000
1238849.3032,5946.0000
1238849.3032,18383.0000
1237398.1886,1170022.0000
1238849.3032,8532.0000
1303845.9355,27235.0000
1362029.9148,17149.0000
1238849.3032,25749.0000
1231375.7161,1656.0000
1238849.3032,3929.0000
1238849.3032,10095.0000
1238849.3032,54172.0000
1177774.2850,78655.0000
3646696.8281,172379.0000
1238849.3032,88867.0000
1231375.7161,115154.0000
1238849.3032,76061.0000
1238849.3032,1209581.0000
1303845.9355,33309.0000
1303845.9355,161536.0000
2047160.3980,856237.0000
1177774.2850,3204.0000
1238849.3032,62648.0000
1238849.3032,1817821.0000
1238849.3032,3741.0000
1238849.3032,301989.0000
1238849.3032,71567.0000
1238849.3032,9749042.0000
1238849.3032,267371.0000
1303845.9355,53860.0000
1238849.3032,94531.0000
1486754.6664,1040113.0000
1238849.3032,158641.0000
1303845.9355,895.0000
2094476.0607,66301.0000
1231375.7161,819545.0000
1238849.3032,261.0000
1238849.3032,224100.0000
1303845.9355,2558581.0000
1621234.8107,10929.0000
1238849.3032,24573.0000
2040874.6295,2444.0000
1238849.3032,588454.0000
2477411.7729,432791.0000
1238849.3032,29409.0000
1238849.3032,527203.0000
2253502.5331,8235.0000
12877705.4078,47108953.0000
1238849.3032,2423.0000
1238849.3032,4333113.0000
1539057.5877,410024.0000
1303845.9355,1286.0000
1238849.3032,268820.0000
1231375.7161,6190.0000
1238849.3032,12284.0000
1238849.3032,13685.0000
1238849.3032,511383.0000
1303845.9355,182586.0000
1238849.3032,87548.0000
1238849.3032,434550.0000
1238849.3032,373013.0000
1155079.6928,127638.0000
1423433.9362,6983.0000
1486754.6664,242940.0000
1238849.3032,1538.0000
1238849.3032,27497.0000
1238849.3032,93055.0000
1238849.3032,1263.0000
1672152.8936,274599.0000
1299327.5985,1566715.0000
1238849.3032,16985173.0000
1238849.3032,2897226.0000
1238849.3032,236461.0000
1534641.4676,275544.0000
1238849.3032,71.0000
2005597.1700,3950785.0000
1362029.9148,431217.0000
1238849.3032,498.0000
1238849.3032,80498.0000
1474095.2679,349565.0000
1238849.3032,1505479.0000
1238849.3032,18420973.0000
1303845.9355,10952.0000
2659686.5517,159585.0000
1238849.3032,8537713.0000
1238849.3032,433299.0000
1303845.9355,106561.0000
1238849.3032,83283.0000
1672152.8936,1675325.0000
1303845.9355,792093.0000
1303845.9355,1039.0000
1238849.3032,88634.0000
1238849.3032,11979359.0000
1365457.8239,346676.0000
1238849.3032,23318.0000
1238849.3032,4905.0000
1177774.2850,188786.0000
1765679.7615,110636.0000
1303845.9355,16666.0000
1238849.3032,9840.0000
1238849.3032,5457.0000
1238849.3032,3101536.0000
1238849.3032,82868.0000
1765679.7615,6651671.0000
1238849.3032,386.0000
2725287.0216,5101542.0000
1238849.3032,269269.0000
1546126.7859,1785.0000
1113013.3511,4500019.0000
1238849.3032,64862.0000
1238849.3032,104.0000
1238849.3032,4026.0000
-91644.2221,4484050.0000
1238849.3032,6326.0000
1238849.3032,11198.0000
