Issue,Importance
results_ktlint_None_no-unused-imports,0.01709151
results_ktlint_None_indent,0.07135213
results_ktlint_None_final-newline,0.00702572
results_ktlint_None_no-multi-spaces,-0.00771508
results_ktlint_None_comma-spacing,0.01957933
results_ktlint_None_parameter-list-wrapping,0.25814212
results_ktlint_None_no-unit-return,0.03234106
results_ktlint_None_no-trailing-spaces,0.00061420
results_ktlint_None_curly-spacing,-0.01464999
results_ktlint_None_import-ordering,0.00561653
results_ktlint_None_no-wildcard-imports,0.03207334
results_ktlint_None_no-consecutive-blank-lines,0.00573000
results_ktlint_None_comment-spacing,0.05464517
results_ktlint_None_string-template,0.00016131
results_ktlint_None_keyword-spacing,-0.00424573
results_ktlint_None_colon-spacing,0.01425540
results_ktlint_None_chain-wrapping,0.03381763
results_ktlint_None_no-blank-line-before-rbrace,0.00872886
results_ktlint_None_op-spacing,0.02530564
results_ktlint_None_no-semi,0.02018007
results_ktlint_None_paren-spacing,0.01161607
results_ktlint_None_modifier-order,0.00013332
results_ktlint_None_no-empty-class-body,0.00256943
results_ktlint_None_no-line-break-before-assignment,-0.00046558
results_ktlint_None_,0.02848669
results_ktlint_None_dot-spacing,0.00237622
results_ktlint_None_range-spacing,-0.00000778
results_ktlint_None_no-line-break-after-else,0.00000000
