Predicted,Actual
23632268.7273,6611.0000
17511202.1162,1069887.0000
10437546.0380,75436.0000
17511202.1162,65366.0000
17511202.1162,57879.0000
10269213.8841,1028628.0000
17511202.1162,76850.0000
11006579.8394,2476812.0000
17511202.1162,18904.0000
32552283.3115,2739364.0000
17511202.1162,4927393.0000
17511202.1162,1296052.0000
17511202.1162,106.0000
17511202.1162,560561.0000
17511202.1162,238319.0000
17511202.1162,17136.0000
17511202.1162,624596.0000
17511202.1162,17008.0000
17511202.1162,23239081.0000
17511202.1162,94412.0000
17511202.1162,286671.0000
17511202.1162,36.0000
11006579.8394,14082.0000
17511202.1162,4351.0000
3072086.5782,2.0000
17511202.1162,329437.0000
33945811.8462,102737.0000
10437546.0380,1076199.0000
9426589.2110,3227.0000
17511202.1162,91261.0000
17511202.1162,9450.0000
17511202.1162,1625972.0000
17511202.1162,76244.0000
17511202.1162,154.0000
17511202.1162,871563.0000
17511202.1162,643.0000
17511202.1162,11393224.0000
11006579.8394,126.0000
17511202.1162,2929493.0000
17511202.1162,45776.0000
17511202.1162,56813.0000
17511202.1162,63345.0000
17511202.1162,2079321.0000
10437546.0380,56131.0000
17511202.1162,29271.0000
17511202.1162,567383.0000
17511202.1162,3333.0000
17511202.1162,23265.0000
17511202.1162,1078518.0000
17511202.1162,9175403.0000
17511202.1162,286528.0000
17511202.1162,109936.0000
17511202.1162,35820.0000
10437546.0380,2974.0000
17511202.1162,100.0000
17511202.1162,7511.0000
10437546.0380,167738.0000
17511202.1162,6922.0000
8147177.1075,499097.0000
17511202.1162,164402.0000
17511202.1162,21054.0000
17511202.1162,1758894.0000
17511202.1162,606959.0000
17511202.1162,238.0000
17511202.1162,27984.0000
17511202.1162,184496.0000
9150117.0870,895113.0000
17511202.1162,1050.0000
10437546.0380,908512.0000
17511202.1162,256039.0000
14195716.3627,8282080.0000
17511202.1162,90195.0000
17511202.1162,741.0000
17511202.1162,113687146.0000
17511202.1162,35187.0000
17511202.1162,110714.0000
11006579.8394,6932031.0000
17511202.1162,110635.0000
17511202.1162,17805.0000
18433285.8790,698467.0000
17511202.1162,1110513.0000
31169991.1064,76441.0000
17511202.1162,1189.0000
31169991.1064,9573.0000
17511202.1162,128948.0000
14195716.3627,74856711.0000
17511202.1162,42966181.0000
17511202.1162,193251.0000
17511202.1162,168148.0000
16894210.2016,185062.0000
17511202.1162,55917.0000
17511202.1162,1146.0000
17511202.1162,258064.0000
17511202.1162,861799.0000
17511202.1162,36545.0000
17511202.1162,23957.0000
17511202.1162,569.0000
17511202.1162,1434073.0000
8147177.1075,15435.0000
9150117.0870,4516591.0000
17511202.1162,13063.0000
17511202.1162,87500.0000
8147177.1075,301453.0000
17511202.1162,709.0000
14195716.3627,16766794.0000
17511202.1162,1142884.0000
17511202.1162,392166.0000
17511202.1162,26211.0000
17511202.1162,21326.0000
17511202.1162,220220.0000
17511202.1162,46757.0000
9150117.0870,134480.0000
17511202.1162,309255.0000
17511202.1162,526820.0000
17511202.1162,237807.0000
17511202.1162,601858.0000
17511202.1162,1667650.0000
17511202.1162,41280.0000
17511202.1162,597829.0000
17511202.1162,7128.0000
14195716.3627,1033003.0000
17511202.1162,11534400.0000
11006579.8394,272334.0000
8147177.1075,79214.0000
17511202.1162,3812.0000
17511202.1162,4849474.0000
17511202.1162,11634951.0000
17511202.1162,394731.0000
17511202.1162,72814.0000
17511202.1162,6505.0000
8147177.1075,181.0000
17511202.1162,4308568.0000
17511202.1162,1904671.0000
17511202.1162,5741.0000
17511202.1162,1609276.0000
8147177.1075,62.0000
17511202.1162,242859.0000
17511202.1162,96330.0000
31169991.1064,2762.0000
17511202.1162,17378418.0000
17511202.1162,117029.0000
11006579.8394,4397428.0000
17511202.1162,82789.0000
17511202.1162,316784.0000
8147177.1075,70189.0000
8147177.1075,311.0000
17511202.1162,278871.0000
17511202.1162,69523.0000
17511202.1162,31794.0000
17511202.1162,115410.0000
17511202.1162,8161666.0000
17511202.1162,425207.0000
17511202.1162,87456.0000
31169991.1064,79195.0000
9426589.2110,1337108.0000
10437546.0380,303332.0000
19248901.8583,5946263.0000
17511202.1162,17301.0000
17511202.1162,3500.0000
8147177.1075,756.0000
17511202.1162,2590767.0000
31169991.1064,12530626.0000
17511202.1162,191721.0000
17511202.1162,43411.0000
15261232.3375,506663.0000
17511202.1162,51977.0000
17511202.1162,15368.0000
17511202.1162,1255779.0000
17511202.1162,62207.0000
17511202.1162,156280.0000
17511202.1162,6210371.0000
17511202.1162,31028774.0000
17511202.1162,115274.0000
17511202.1162,479444.0000
17511202.1162,485072.0000
17511202.1162,6636.0000
17511202.1162,10696876.0000
17511202.1162,12219028.0000
17511202.1162,47235.0000
17511202.1162,100.0000
17511202.1162,353567.0000
17511202.1162,266203.0000
17511202.1162,50186.0000
17511202.1162,11687.0000
17511202.1162,40953.0000
17511202.1162,618353.0000
17511202.1162,69881.0000
17511202.1162,82320.0000
17511202.1162,85881.0000
17511202.1162,111906713.0000
17511202.1162,898.0000
17511202.1162,607414.0000
9426589.2110,495543.0000
17511202.1162,362275.0000
17511202.1162,31445.0000
17511202.1162,58863.0000
17511202.1162,615.0000
17511202.1162,56424844.0000
17511202.1162,177634.0000
17511202.1162,1682.0000
17511202.1162,565897.0000
17511202.1162,2254.0000
14195716.3627,253475.0000
17511202.1162,447201.0000
9150117.0870,54595.0000
32552283.3115,248474.0000
8147177.1075,62606.0000
17511202.1162,2279.0000
17511202.1162,124128.0000
8147177.1075,1956312.0000
9150117.0870,114712.0000
17511202.1162,1456495.0000
17511202.1162,348.0000
14195716.3627,175038.0000
17511202.1162,292090.0000
17511202.1162,2271.0000
8147177.1075,955415.0000
9150117.0870,80927.0000
10269213.8841,1471951.0000
17511202.1162,47.0000
11006579.8394,257244.0000
17511202.1162,361.0000
10437546.0380,449645.0000
17511202.1162,265408.0000
14195716.3627,10762.0000
10269213.8841,1064729.0000
17511202.1162,74117.0000
31169991.1064,127917.0000
17511202.1162,43006.0000
17511202.1162,2160277.0000
17511202.1162,16120.0000
17511202.1162,1747231.0000
17511202.1162,120745.0000
17511202.1162,325.0000
17511202.1162,628.0000
17511202.1162,132437.0000
10269213.8841,1050.0000
17511202.1162,1896760.0000
17511202.1162,338879.0000
17511202.1162,1215082.0000
17511202.1162,2243715.0000
17511202.1162,5618.0000
8147177.1075,94095411.0000
11006579.8394,431.0000
17511202.1162,22059.0000
17511202.1162,2110696.0000
17511202.1162,40239.0000
17511202.1162,46976.0000
11006579.8394,157627.0000
17511202.1162,13976.0000
17511202.1162,7401.0000
17511202.1162,1417666.0000
17511202.1162,238558.0000
17511202.1162,2218401.0000
17511202.1162,771.0000
17511202.1162,77527.0000
17511202.1162,2073.0000
17511202.1162,258842.0000
10437546.0380,2059200.0000
17511202.1162,57016.0000
17511202.1162,5730289.0000
17511202.1162,17755.0000
17511202.1162,4596149.0000
8147177.1075,10513.0000
8147177.1075,904253.0000
16894210.2016,3540.0000
11006579.8394,641624.0000
17511202.1162,2277005.0000
17511202.1162,127609.0000
10437546.0380,1029686.0000
17511202.1162,7473.0000
17511202.1162,327233.0000
8147177.1075,22413.0000
17511202.1162,244214.0000
17511202.1162,16625647.0000
17511202.1162,12897.0000
17511202.1162,215994.0000
17511202.1162,26.0000
17511202.1162,41204.0000
17511202.1162,78465.0000
17511202.1162,170792.0000
17511202.1162,5222.0000
17511202.1162,476929.0000
17511202.1162,8169.0000
10437546.0380,401261.0000
17511202.1162,24266.0000
17511202.1162,8361.0000
17511202.1162,1403716.0000
11006579.8394,21132027.0000
17511202.1162,645530.0000
17511202.1162,15927.0000
17511202.1162,61333777.0000
10437546.0380,44471.0000
17511202.1162,55714.0000
17511202.1162,68986.0000
9150117.0870,20963238.0000
17511202.1162,2941.0000
14195716.3627,2102251.0000
9150117.0870,34874.0000
17511202.1162,118885.0000
10269213.8841,9964.0000
17511202.1162,63608.0000
17511202.1162,870.0000
42057163.5500,79243.0000
17511202.1162,4595839.0000
17511202.1162,2172028.0000
50870272.9464,2361069.0000
17511202.1162,94.0000
31169991.1064,78961.0000
18433285.8790,522747.0000
10437546.0380,172568.0000
11006579.8394,74755.0000
8147177.1075,5948502.0000
8147177.1075,1378207.0000
17511202.1162,50521.0000
17511202.1162,8981.0000
17511202.1162,1386334.0000
17511202.1162,19918651.0000
17511202.1162,5129682.0000
9150117.0870,1327.0000
17511202.1162,53225944.0000
17511202.1162,224363.0000
17511202.1162,101492.0000
17511202.1162,432441.0000
17511202.1162,1603192.0000
17511202.1162,2075310.0000
18433285.8790,56681.0000
17511202.1162,57578.0000
17511202.1162,69964.0000
16894210.2016,695393.0000
17511202.1162,70310.0000
17511202.1162,827262.0000
17511202.1162,442100.0000
8147177.1075,27862.0000
31169991.1064,137.0000
17511202.1162,1727.0000
17511202.1162,1064271.0000
17511202.1162,736568.0000
17511202.1162,170251.0000
17511202.1162,1406.0000
17511202.1162,822.0000
11006579.8394,452997.0000
17511202.1162,1569003.0000
17511202.1162,13807.0000
31169991.1064,137448.0000
17511202.1162,257535.0000
17511202.1162,383.0000
15261232.3375,9742931.0000
18433285.8790,59062.0000
17511202.1162,207824.0000
17511202.1162,1479423.0000
13535649.7289,5346854.0000
17511202.1162,49538.0000
17511202.1162,1648.0000
10437546.0380,89453.0000
