Predicted,Actual
2270019.5369,6611.0000
3324644.7668,1069887.0000
3335573.9155,75436.0000
3141295.3964,65366.0000
3647147.2628,57879.0000
2976356.0939,1028628.0000
3333443.0119,76850.0000
5752374.3934,2476812.0000
3343222.9917,18904.0000
4540612.0476,2739364.0000
3359146.9375,4927393.0000
2882901.6224,1296052.0000
3343737.3029,106.0000
3343737.3029,560561.0000
3343737.3029,238319.0000
3343222.9917,17136.0000
3343737.3029,624596.0000
3454552.5750,17008.0000
3235328.0340,23239081.0000
3343737.3029,94412.0000
3375639.1350,286671.0000
3721575.3153,36.0000
3371031.4151,14082.0000
3342194.3692,4351.0000
3106218.5956,2.0000
3375846.5691,329437.0000
2835068.7465,102737.0000
3030488.5378,1076199.0000
3949150.5993,3227.0000
3343737.3029,91261.0000
3319041.4230,9450.0000
1064016.1549,1625972.0000
3228697.3978,76244.0000
3343737.3029,154.0000
3342708.6805,871563.0000
3343737.3029,643.0000
3201592.1248,11393224.0000
3533171.0844,126.0000
3241017.3363,2929493.0000
3326501.6928,45776.0000
3343737.3029,56813.0000
3343737.3029,63345.0000
3343737.3029,2079321.0000
3073557.8852,56131.0000
7739480.9444,29271.0000
3225334.4462,567383.0000
3329814.8179,3333.0000
3343737.3029,23265.0000
3343737.3029,1078518.0000
3343222.9917,9175403.0000
3352336.1693,286528.0000
3343737.3029,109936.0000
3345945.0256,35820.0000
3392464.2087,2974.0000
3343737.3029,100.0000
3006342.9345,7511.0000
3272217.0572,167738.0000
3380354.6398,6922.0000
3581582.5746,499097.0000
3309478.4280,164402.0000
3343737.3029,21054.0000
3360725.4019,1758894.0000
3343737.3029,606959.0000
3343737.3029,238.0000
3245327.4736,27984.0000
3343737.3029,184496.0000
3375656.3968,895113.0000
3343737.3029,1050.0000
3389094.5425,908512.0000
3343737.3029,256039.0000
3302386.6790,8282080.0000
3343737.3029,90195.0000
3329224.5269,741.0000
3338497.1195,113687146.0000
3383713.6299,35187.0000
3255806.1065,110714.0000
3657964.4730,6932031.0000
3343737.3029,110635.0000
3343737.3029,17805.0000
3391200.6793,698467.0000
3343737.3029,1110513.0000
3887110.6109,76441.0000
3343737.3029,1189.0000
3029942.1405,9573.0000
3348605.8953,128948.0000
3421758.2509,74856711.0000
3425574.7382,42966181.0000
3359791.9360,193251.0000
3340699.3999,168148.0000
3323269.1145,185062.0000
3317376.1515,55917.0000
3343737.3029,1146.0000
3341728.0223,258064.0000
3246449.6639,861799.0000
3343737.3029,36545.0000
3424457.8953,23957.0000
3359791.9360,569.0000
3343737.3029,1434073.0000
3170830.7434,15435.0000
3375656.3968,4516591.0000
3343737.3029,13063.0000
3309541.6998,87500.0000
3392511.7277,301453.0000
4637722.3959,709.0000
3382852.2939,16766794.0000
3479582.0247,1142884.0000
3343737.3029,392166.0000
3343737.3029,26211.0000
3289121.5424,21326.0000
3115118.9694,220220.0000
3343737.3029,46757.0000
3488044.1426,134480.0000
3448517.0519,309255.0000
3329025.2845,526820.0000
3370679.3811,237807.0000
3343737.3029,601858.0000
3295573.4036,1667650.0000
3343737.3029,41280.0000
3343737.3029,597829.0000
3343737.3029,7128.0000
3571774.4687,1033003.0000
3343737.3029,11534400.0000
3396170.4701,272334.0000
-8567455.9729,79214.0000
3608613.5528,3812.0000
