Issue,Importance
results_Pylint_warning_redefined-outer-name,-0.00049600
results_Pylint_warning_pointless-string-statement,0.00039784
results_Pylint_warning_unused-variable,-0.00000097
results_Pylint_error_import-error,-0.00009369
results_Pylint_warning_unspecified-encoding,0.00207407
results_Pylint_convention_consider-using-enumerate,-0.00018318
results_Pylint_warning_unused-argument,0.00194771
results_Pylint_convention_missing-function-docstring,-0.00086902
results_Pylint_warning_redefined-builtin,0.00221477
results_Pylint_convention_line-too-long,-0.00014837
results_Pylint_refactor_consider-using-generator,0.02176562
results_Pylint_convention_missing-class-docstring,-0.00310763
results_Pylint_convention_invalid-name,0.01504576
results_Pylint_refactor_no-else-return,0.00743122
results_Pylint_error_relative-beyond-top-level,0.00215474
results_Pylint_error_no-name-in-module,0.00040064
results_Pylint_convention_wrong-import-order,0.00045243
results_Pylint_convention_missing-module-docstring,0.00224774
results_Pylint_convention_trailing-whitespace,-0.00001615
results_Pylint_convention_consider-using-f-string,0.00626873
results_Pylint_refactor_use-a-generator,-0.00002516
results_Pylint_warning_global-variable-not-assigned,-0.00013372
results_Pylint_warning_broad-except,-0.00277929
results_Pylint_convention_superfluous-parens,0.00473360
results_Pylint_refactor_no-self-use,0.00262425
results_Pylint_refactor_too-many-public-methods,-0.00026796
results_Pylint_refactor_consider-using-get,0.00030915
results_Pylint_refactor_too-many-instance-attributes,0.01108440
results_Pylint_warning_global-statement,0.00069566
results_Pylint_refactor_too-many-statements,-0.00112408
results_Pylint_warning_attribute-defined-outside-init,0.00062759
results_Pylint_warning_fixme,-0.00177893
results_Pylint_warning_unused-import,0.00024852
results_Pylint_error_no-member,-0.00008617
results_Pylint_refactor_simplifiable-if-statement,0.00102414
results_Pylint_warning_protected-access,0.00067250
results_Pylint_convention_import-outside-toplevel,0.00391049
results_Pylint_warning_super-init-not-called,0.00150943
results_Pylint_refactor_super-with-arguments,0.00196624
results_Pylint_error_bad-except-order,-0.00055095
results_Pylint_refactor_literal-comparison,-0.00002173
results_Pylint_refactor_too-many-nested-blocks,-0.00075382
results_Pylint_error_no-value-for-parameter,0.00060051
results_Pylint_warning_arguments-differ,-0.00005922
results_Pylint_warning_raise-missing-from,0.00066666
results_Pylint_convention_too-many-lines,-0.00081076
results_Pylint_warning_unnecessary-pass,0.00353519
results_Pylint_refactor_consider-using-with,0.00174558
results_Pylint_refactor_no-else-raise,-0.00046711
results_Pylint_warning_unnecessary-lambda,0.00005273
results_Pylint_refactor_stop-iteration-return,0.00001265
results_Pylint_refactor_consider-using-set-comprehension,0.00020751
results_Pylint_refactor_too-few-public-methods,0.00639983
results_Pylint_refactor_too-many-branches,0.00087600
results_Pylint_warning_signature-differs,-0.00125301
results_Pylint_refactor_useless-object-inheritance,-0.00092539
results_Pylint_refactor_too-many-locals,-0.00007653
results_Pylint_refactor_too-many-arguments,0.00185968
results_Pylint_warning_arguments-out-of-order,0.00132729
results_Pylint_refactor_no-else-continue,0.00028847
results_Pylint_warning_global-variable-undefined,-0.00183472
results_Pylint_refactor_redefined-argument-from-local,0.00023993
results_Pylint_warning_comparison-with-callable,0.02509056
results_Pylint_warning_exec-used,-0.00019080
results_Pylint_refactor_use-dict-literal,-0.00042260
results_Pylint_convention_disallowed-name,-0.00213349
results_Pylint_error_undefined-variable,0.03204866
results_Pylint_error_not-an-iterable,-0.00016360
results_Pylint_refactor_consider-using-dict-comprehension,0.00127650
results_Pylint_warning_pointless-statement,0.00247488
results_Pylint_refactor_inconsistent-return-statements,0.00116627
results_Pylint_warning_deprecated-method,0.00439978
results_Pylint_refactor_too-many-return-statements,0.00114313
results_Pylint_refactor_consider-using-from-import,0.00002668
results_Pylint_refactor_consider-using-ternary,0.00096693
results_Pylint_warning_deprecated-class,0.00220619
results_Pylint_refactor_unnecessary-comprehension,0.00011832
results_Pylint_error_unsubscriptable-object,0.00130659
results_Pylint_warning_useless-super-delegation,0.00009527
results_Pylint_error_invalid-unary-operand-type,-0.00000262
results_Pylint_warning_cell-var-from-loop,-0.00026853
results_Pylint_refactor_consider-using-in,0.00300938
results_Pylint_refactor_use-list-literal,0.00076371
results_Pylint_warning_bare-except,-0.00010377
results_Pylint_refactor_consider-merging-isinstance,-0.00011786
results_Pylint_error_function-redefined,-0.00018843
results_Pylint_warning_dangerous-default-value,-0.00009796
results_Pylint_warning_self-assigning-variable,0.00049546
results_Pylint_warning_reimported,0.00061892
results_Pylint_convention_ungrouped-imports,0.00049159
results_Pylint_refactor_consider-using-max-builtin,0.01388807
results_Pylint_warning_anomalous-backslash-in-string,-0.00008729
results_Pylint_convention_useless-import-alias,0.00000052
results_Pylint_error_too-many-function-args,0.00004045
results_Pylint_warning_bad-indentation,-0.00006354
results_Pylint_convention_unidiomatic-typecheck,-0.00011502
results_Pylint_convention_consider-iterating-dictionary,-0.00006531
results_Pylint_error_bad-super-call,0.00012330
results_Pylint_refactor_no-else-break,0.00072698
results_Pylint_error_access-member-before-definition,-0.00008776
results_Pylint_warning_raising-format-tuple,-0.00108034
results_Pylint_convention_use-implicit-booleaness-not-len,0.00037339
results_Pylint_warning_abstract-method,0.00071066
results_Pylint_warning_expression-not-assigned,-0.00014044
results_Pylint_warning_wildcard-import,0.00008909
results_Pylint_convention_wrong-import-position,0.00251682
results_Pylint_error_no-self-argument,0.00325298
results_Pylint_refactor_simplifiable-if-expression,-0.00181382
results_Pylint_warning_assert-on-tuple,0.01175222
results_Pylint_error_syntax-error,0.00281035
results_Pylint_convention_trailing-newlines,0.00414515
results_Pylint_convention_singleton-comparison,0.00107666
results_Pylint_warning_unbalanced-tuple-unpacking,-0.00027924
results_Pylint_convention_multiple-imports,0.00134267
results_Pylint_refactor_chained-comparison,-0.00000147
results_Pylint_convention_missing-final-newline,0.00008561
results_Pylint_error_bad-option-value,0.00000787
results_Pylint_warning_undefined-loop-variable,0.00097935
results_Pylint_warning_format-string-without-interpolation,-0.00016257
results_Pylint_error_raising-bad-type,0.00432869
results_Pylint_warning_useless-else-on-loop,0.00012118
results_Pylint_warning_keyword-arg-before-vararg,0.00230314
results_Pylint_error_used-before-assignment,0.00071033
results_Pylint_warning_unnecessary-semicolon,0.00014114
results_Pylint_convention_bad-classmethod-argument,-0.00036259
results_Pylint_warning_invalid-overridden-method,0.00000000
results_Pylint_warning_try-except-raise,0.00292768
results_Pylint_convention_consider-using-dict-items,0.00011259
