Issue,Importance
results_Pylint_warning_redefined-outer-name,0.00409766
results_Pylint_warning_pointless-string-statement,-0.00008474
results_Pylint_warning_unused-variable,0.01524034
results_Pylint_error_import-error,0.00815158
results_Pylint_warning_unspecified-encoding,-0.00153842
results_Pylint_convention_consider-using-enumerate,0.00063969
results_Pylint_warning_unused-argument,0.00148374
results_Pylint_convention_missing-function-docstring,0.03242833
results_Pylint_warning_redefined-builtin,-0.00066381
results_Pylint_convention_line-too-long,0.02927683
results_Pylint_refactor_consider-using-generator,-0.00003346
results_Pylint_convention_missing-class-docstring,0.00588792
results_Pylint_convention_invalid-name,0.00428423
results_Pylint_refactor_no-else-return,0.01125633
results_Pylint_error_relative-beyond-top-level,0.00277489
results_Pylint_error_no-name-in-module,-0.00004716
results_Pylint_convention_wrong-import-order,0.00893486
results_Pylint_convention_missing-module-docstring,-0.00003150
results_Pylint_convention_trailing-whitespace,0.12625628
results_Pylint_convention_consider-using-f-string,0.00410418
results_Pylint_refactor_use-a-generator,-0.00168389
results_Pylint_warning_global-variable-not-assigned,0.00033209
results_Pylint_warning_broad-except,-0.00034736
results_Pylint_convention_superfluous-parens,-0.00024534
results_Pylint_refactor_no-self-use,-0.00892917
results_Pylint_refactor_too-many-public-methods,-0.00023058
results_Pylint_refactor_consider-using-get,0.00000000
results_Pylint_refactor_too-many-instance-attributes,0.00215128
results_Pylint_warning_global-statement,0.00572657
results_Pylint_refactor_too-many-statements,0.00029685
results_Pylint_warning_attribute-defined-outside-init,0.00565764
results_Pylint_warning_fixme,0.00028220
results_Pylint_warning_unused-import,-0.00434152
results_Pylint_error_no-member,0.00767529
results_Pylint_refactor_simplifiable-if-statement,-0.00000467
results_Pylint_warning_protected-access,0.00275864
results_Pylint_convention_import-outside-toplevel,-0.00170733
results_Pylint_warning_super-init-not-called,0.00062405
results_Pylint_refactor_super-with-arguments,0.00135823
results_Pylint_error_bad-except-order,0.00000239
results_Pylint_refactor_literal-comparison,0.00006088
results_Pylint_refactor_too-many-nested-blocks,-0.00028399
results_Pylint_error_no-value-for-parameter,-0.00047925
results_Pylint_warning_arguments-differ,-0.00014644
results_Pylint_warning_raise-missing-from,0.00060064
results_Pylint_convention_too-many-lines,0.00038850
results_Pylint_warning_unnecessary-pass,0.00455149
results_Pylint_refactor_consider-using-with,0.00114230
results_Pylint_refactor_no-else-raise,-0.00041930
results_Pylint_warning_unnecessary-lambda,-0.00020799
results_Pylint_refactor_stop-iteration-return,-0.00000124
results_Pylint_refactor_consider-using-set-comprehension,0.00065600
results_Pylint_refactor_too-few-public-methods,-0.00094354
results_Pylint_refactor_too-many-branches,0.00018367
results_Pylint_warning_signature-differs,0.00000000
results_Pylint_refactor_useless-object-inheritance,0.00035162
results_Pylint_refactor_too-many-locals,-0.00097929
results_Pylint_refactor_too-many-arguments,0.00297981
results_Pylint_warning_arguments-out-of-order,0.00000000
results_Pylint_refactor_no-else-continue,0.00004628
results_Pylint_warning_global-variable-undefined,-0.00000196
results_Pylint_refactor_redefined-argument-from-local,-0.00041804
results_Pylint_warning_comparison-with-callable,-0.00103183
results_Pylint_warning_exec-used,-0.00010745
results_Pylint_refactor_use-dict-literal,-0.00052191
results_Pylint_convention_disallowed-name,-0.00013766
results_Pylint_error_undefined-variable,0.00104020
results_Pylint_error_not-an-iterable,-0.00002046
results_Pylint_refactor_consider-using-dict-comprehension,0.00023702
results_Pylint_warning_pointless-statement,0.00034809
results_Pylint_refactor_inconsistent-return-statements,0.00750256
results_Pylint_warning_deprecated-method,0.00195002
results_Pylint_refactor_too-many-return-statements,0.00013773
results_Pylint_refactor_consider-using-from-import,-0.00055210
results_Pylint_refactor_consider-using-ternary,0.00125371
results_Pylint_warning_deprecated-class,0.00026542
results_Pylint_refactor_unnecessary-comprehension,-0.00036778
results_Pylint_error_unsubscriptable-object,-0.00001742
results_Pylint_warning_useless-super-delegation,0.00073706
results_Pylint_error_invalid-unary-operand-type,0.00000507
results_Pylint_warning_cell-var-from-loop,-0.00003769
results_Pylint_refactor_consider-using-in,-0.00295830
results_Pylint_refactor_use-list-literal,0.00006489
results_Pylint_warning_bare-except,0.00020413
results_Pylint_refactor_consider-merging-isinstance,0.00005902
results_Pylint_error_function-redefined,0.00307305
results_Pylint_warning_dangerous-default-value,0.00013976
results_Pylint_warning_self-assigning-variable,-0.00011654
results_Pylint_warning_reimported,-0.00349631
results_Pylint_convention_ungrouped-imports,-0.00164269
results_Pylint_refactor_consider-using-max-builtin,-0.00000120
results_Pylint_warning_anomalous-backslash-in-string,0.00089303
results_Pylint_convention_useless-import-alias,0.00002942
results_Pylint_error_too-many-function-args,-0.00024428
results_Pylint_warning_bad-indentation,0.00016036
results_Pylint_convention_unidiomatic-typecheck,-0.00013215
results_Pylint_convention_consider-iterating-dictionary,0.00007916
results_Pylint_error_bad-super-call,0.00000028
results_Pylint_refactor_no-else-break,-0.00002612
results_Pylint_error_access-member-before-definition,-0.00057329
results_Pylint_warning_raising-format-tuple,0.00000009
results_Pylint_convention_use-implicit-booleaness-not-len,0.00028171
results_Pylint_warning_abstract-method,0.00082527
results_Pylint_warning_expression-not-assigned,0.00008213
results_Pylint_warning_wildcard-import,0.00016464
results_Pylint_convention_wrong-import-position,-0.00030124
results_Pylint_error_no-self-argument,-0.00002721
results_Pylint_refactor_simplifiable-if-expression,-0.00611832
results_Pylint_warning_assert-on-tuple,0.00000000
results_Pylint_error_syntax-error,0.00487626
results_Pylint_convention_trailing-newlines,0.00033851
results_Pylint_convention_singleton-comparison,-0.00085553
results_Pylint_warning_unbalanced-tuple-unpacking,0.00000645
results_Pylint_convention_multiple-imports,-0.00010597
results_Pylint_refactor_chained-comparison,-0.00027914
results_Pylint_convention_missing-final-newline,0.00019191
results_Pylint_error_bad-option-value,-0.00001439
results_Pylint_warning_undefined-loop-variable,-0.00001309
results_Pylint_warning_format-string-without-interpolation,-0.00003098
results_Pylint_error_raising-bad-type,0.01038685
results_Pylint_warning_useless-else-on-loop,-0.00000181
results_Pylint_warning_keyword-arg-before-vararg,-0.00132131
results_Pylint_error_used-before-assignment,-0.00000532
results_Pylint_warning_unnecessary-semicolon,-0.00014137
results_Pylint_convention_bad-classmethod-argument,0.00000078
results_Pylint_warning_invalid-overridden-method,0.00000000
results_Pylint_warning_try-except-raise,-0.00031215
results_Pylint_convention_consider-using-dict-items,-0.00027111
results_Pylint_warning_arguments-renamed,0.00191743
results_Pylint_warning_using-constant-test,-0.00026819
results_Pylint_refactor_too-many-boolean-expressions,-0.00009817
results_Pylint_convention_use-implicit-booleaness-not-comparison,0.00000027
results_Pylint_warning_unused-private-member,0.00000003
results_Pylint_warning_subprocess-popen-preexec-fn,0.00000000
results_Pylint_convention_unneeded-not,0.00016355
results_Pylint_refactor_useless-return,0.00515883
results_Pylint_error_not-callable,-0.00036164
results_Pylint_warning_logging-not-lazy,0.00199572
results_Pylint_warning_self-cls-assignment,0.00000024
results_Pylint_error_unexpected-keyword-arg,-0.00009622
results_Pylint_warning_possibly-unused-variable,0.00000407
results_Pylint_convention_multiple-statements,0.00505071
results_Pylint_warning_eval-used,0.00140121
results_Pylint_refactor_consider-using-min-builtin,0.00000000
results_Pylint_error_too-few-format-args,-0.00000559
results_Pylint_error_misplaced-bare-raise,-0.00000055
results_Pylint_convention_use-maxsplit-arg,0.00035909
results_Pylint_refactor_consider-using-sys-exit,0.00007593
results_Pylint_error_notimplemented-raised,-0.00023183
results_Pylint_warning_unused-wildcard-import,0.00000000
results_Pylint_warning_unreachable,-0.00043055
results_Pylint_warning_logging-format-interpolation,-0.00101712
results_Pylint_warning_deprecated-module,0.00270598
results_Pylint_warning_forgotten-debug-statement,0.00000000
results_Pylint_convention_empty-docstring,0.00310727
results_Pylint_warning_duplicate-string-formatting-argument,-0.00012883
results_Pylint_error_undefined-all-variable,-0.00000261
results_Pylint_error_assignment-from-no-return,0.00000000
results_Pylint_error_unsupported-membership-test,0.00000002
results_Pylint_convention_bad-mcs-classmethod-argument,0.00000215
results_Pylint_error_bad-reversed-sequence,0.00000000
results_Pylint_convention_bad-mcs-method-argument,0.00000000
results_Pylint_warning_isinstance-second-argument-not-valid-type,0.00000000
results_Pylint_warning_redundant-unittest-assert,0.00000000
results_Pylint_warning_lost-exception,0.00000109
results_Pylint_error_assigning-non-slot,0.00000000
results_Pylint_warning_subprocess-run-check,0.00004790
results_Pylint_warning_logging-fstring-interpolation,0.00002439
results_Pylint_error_invalid-all-format,0.00000000
results_Pylint_error_no-method-argument,0.00019624
results_Pylint_error_too-many-format-args,-0.00001373
results_Pylint_warning_assert-on-string-literal,0.00000000
results_Pylint_error_unsupported-assignment-operation,0.00000000
results_Pylint_error_unpacking-non-sequence,0.00000000
results_Pylint_warning_duplicate-except,0.00000000
results_Pylint_refactor_condition-evals-to-constant,0.00000000
results_Pylint_warning_invalid-envvar-default,-0.00000200
results_Pylint_refactor_simplify-boolean-expression,0.00000000
results_Pylint_error_invalid-metaclass,0.00000000
results_Pylint_convention_mixed-line-endings,0.00000000
results_Pylint_refactor_trailing-comma-tuple,0.00005006
results_Pylint_warning_deprecated-decorator,0.00069902
results_Pylint_warning_missing-format-argument-key,-0.00000286
results_Pylint_warning_unused-format-string-argument,0.00000177
results_Pylint_error_method-hidden,0.00000000
results_Pylint_error_redundant-keyword-arg,0.00000000
results_Pylint_error_unsupported-delete-operation,0.00000000
results_Pylint_refactor_property-with-parameters,0.00000000
results_Pylint_error_invalid-str-returned,0.00000000
results_Pylint_error_catching-non-exception,-0.00016844
results_Pylint_error_class-variable-slots-conflict,0.00000000
results_Pylint_warning_bad-format-string,0.00000000
results_Pylint_error_invalid-repr-returned,0.00000000
results_Pylint_warning_missing-format-attribute,0.00000000
results_Pylint_refactor_comparison-with-itself,0.00000000
results_Pylint_warning_wrong-exception-operation,0.00000000
results_Pylint_warning_implicit-str-concat,0.00001599
results_Pylint_refactor_no-classmethod-decorator,0.00000000
results_Pylint_error_return-in-init,-0.00000000
results_Pylint_warning_duplicate-key,-0.00000185
results_Pylint_convention_use-sequence-for-iteration,-0.00000413
results_Pylint_error_unexpected-special-method-signature,0.00000000
results_Pylint_error_nonexistent-operator,0.00000000
results_Pylint_refactor_simplifiable-condition,0.00000000
results_Pylint_warning_f-string-without-interpolation,-0.00000484
results_Pylint_warning_bad-staticmethod-argument,0.00000000
results_Pylint_warning_non-parent-init-called,0.00000002
results_Pylint_error_not-a-mapping,0.00000000
results_Pylint_convention_single-string-used-for-slots,0.00161659
results_Pylint_error_invalid-sequence-index,0.00000000
results_Pylint_error_unrecognized-inline-option,0.00000000
results_Pylint_error_non-iterator-returned,0.00000000
results_Pylint_error_abstract-class-instantiated,0.00003103
results_Pylint_refactor_unnecessary-dict-index-lookup,0.00000000
results_Pylint_warning_confusing-with-statement,0.00000000
results_Pylint_warning_missing-parentheses-for-call-in-test,0.00000000
results_Pylint_error_not-async-context-manager,0.00000000
results_Pylint_error_not-context-manager,0.00000000
results_Pylint_warning_non-str-assignment-to-dunder-name,0.00000000
results_Pylint_error_invalid-class-object,0.00000000
results_Pylint_warning_redundant-u-string-prefix,0.00000000
results_Pylint_info_c-extension-no-member,0.00000000
