Predicted,Actual
12688013.7567,6611.0000
871604.2550,1069887.0000
1907487.9400,75436.0000
8438020.2300,65366.0000
1700185.4177,57879.0000
2012080.3900,1028628.0000
2141602.9912,76850.0000
19827359.0185,2476812.0000
1750616.7319,18904.0000
6745810.5200,2739364.0000
2326969.6875,4927393.0000
1758688.4842,1296052.0000
2481861.5475,106.0000
2481861.5475,560561.0000
2481861.5475,238319.0000
1750616.7319,17136.0000
2481861.5475,624596.0000
5398620.9681,17008.0000
5902936.8100,23239081.0000
2481861.5475,94412.0000
6285789.1973,286671.0000
9459719.0390,36.0000
11248031.7900,14082.0000
2674834.7492,4351.0000
865880.0900,2.0000
585705.0464,329437.0000
3715946.3350,102737.0000
2288227.5547,1076199.0000
71485.8600,3227.0000
2481861.5475,91261.0000
308003.7564,9450.0000
1331908.4859,1625972.0000
651204.9463,76244.0000
2481861.5475,154.0000
5374373.1376,871563.0000
2481861.5475,643.0000
7378645.9247,11393224.0000
3336342.3175,126.0000
617172.8417,2929493.0000
5215492.3492,45776.0000
2481861.5475,56813.0000
2481861.5475,63345.0000
2481861.5475,2079321.0000
4309485.6100,56131.0000
2949626.9926,29271.0000
2246755.8982,567383.0000
1108014.2195,3333.0000
2481861.5475,23265.0000
2481861.5475,1078518.0000
1750616.7319,9175403.0000
616517.9426,286528.0000
2481861.5475,109936.0000
4585714.5357,35820.0000
1444428.2200,2974.0000
2481861.5475,100.0000
314348.3004,7511.0000
2909266.7667,167738.0000
961636.3711,6922.0000
5035318.0900,499097.0000
3060365.4566,164402.0000
2481861.5475,21054.0000
1022083.2596,1758894.0000
2481861.5475,606959.0000
2481861.5475,238.0000
204582.1000,27984.0000
2481861.5475,184496.0000
1650750.0757,895113.0000
2481861.5475,1050.0000
3983589.2400,908512.0000
2481861.5475,256039.0000
337184.7895,8282080.0000
2481861.5475,90195.0000
3107.6775,741.0000
216396.6562,113687146.0000
395273.2978,35187.0000
113777.5580,110714.0000
4448232.9683,6932031.0000
2481861.5475,110635.0000
2481861.5475,17805.0000
2516805.2557,698467.0000
2481861.5475,1110513.0000
17586732.3200,76441.0000
2481861.5475,1189.0000
2326799.7422,9573.0000
3142743.6736,128948.0000
4287035.6400,74856711.0000
2193039.4162,42966181.0000
1235448.3668,193251.0000
2272568.7881,168148.0000
239786.4963,185062.0000
320412.9965,55917.0000
2481861.5475,1146.0000
1043980.8085,258064.0000
519260.3933,861799.0000
2481861.5475,36545.0000
211078.3100,23957.0000
1235448.3668,569.0000
2481861.5475,1434073.0000
2564696.9000,15435.0000
1650750.0757,4516591.0000
2481861.5475,13063.0000
412152.2608,87500.0000
226878.5670,301453.0000
540562.3436,709.0000
12725424.7900,16766794.0000
727284.1848,1142884.0000
2481861.5475,392166.0000
2481861.5475,26211.0000
13849753.0244,21326.0000
899079.0650,220220.0000
2481861.5475,46757.0000
654625.9510,134480.0000
1185241.1073,309255.0000
817535.7159,526820.0000
4134593.6978,237807.0000
2481861.5475,601858.0000
606690.5358,1667650.0000
2481861.5475,41280.0000
2481861.5475,597829.0000
2481861.5475,7128.0000
398053.8902,1033003.0000
2481861.5475,11534400.0000
64089.5500,272334.0000
5953754.2700,79214.0000
2676799.6816,3812.0000
2481861.5475,4849474.0000
1750616.7319,11634951.0000
2481861.5475,394731.0000
1306557.0121,72814.0000
2481861.5475,6505.0000
4591610.8200,181.0000
1220286.4668,4308568.0000
2481861.5475,1904671.0000
3141653.1600,5741.0000
458010.2144,1609276.0000
1361925.5686,62.0000
5652219.3568,242859.0000
2481861.5475,96330.0000
9383306.6007,2762.0000
2481861.5475,17378418.0000
2148769.7115,117029.0000
12662238.6800,4397428.0000
2481861.5475,82789.0000
3419983.2737,316784.0000
9327578.0300,70189.0000
2146279.7100,311.0000
3127060.4767,278871.0000
2481861.5475,69523.0000
2481861.5475,31794.0000
2481861.5475,115410.0000
2481861.5475,8161666.0000
2481861.5475,425207.0000
558939.9699,87456.0000
4665679.2788,79195.0000
1818157.7762,1337108.0000
6319403.9102,303332.0000
6155216.4113,5946263.0000
2481861.5475,17301.0000
616517.9426,3500.0000
750028.5130,756.0000
2481861.5475,2590767.0000
10945657.2620,12530626.0000
2481861.5475,191721.0000
2481861.5475,43411.0000
3057811.1300,506663.0000
2481861.5475,51977.0000
2481861.5475,15368.0000
1750616.7319,1255779.0000
2481861.5475,62207.0000
2481861.5475,156280.0000
2481861.5475,6210371.0000
114997.2325,31028774.0000
2481861.5475,115274.0000
1880601.0800,479444.0000
871604.2550,485072.0000
2481861.5475,6636.0000
4289307.8034,10696876.0000
2636364.7666,12219028.0000
4422018.9078,47235.0000
2481861.5475,100.0000
5405203.7441,353567.0000
5327775.6325,266203.0000
2481861.5475,50186.0000
2481861.5475,11687.0000
6656377.2929,40953.0000
6024529.6715,618353.0000
3598677.8255,69881.0000
2481861.5475,82320.0000
2481861.5475,85881.0000
7818873.7184,111906713.0000
211195.8283,898.0000
821912.1358,607414.0000
2028910.0350,495543.0000
3136378.3242,362275.0000
458010.2144,31445.0000
7580549.8223,58863.0000
2481861.5475,615.0000
2018426.9269,56424844.0000
2481861.5475,177634.0000
2481861.5475,1682.0000
2481861.5475,565897.0000
2481861.5475,2254.0000
14201823.8000,253475.0000
1685380.3858,447201.0000
4957639.1800,54595.0000
4245362.2653,248474.0000
2640394.2265,62606.0000
2481861.5475,2279.0000
5354459.7792,124128.0000
23058852.3600,1956312.0000
688282.6409,114712.0000
367205.8002,1456495.0000
1827130.7855,348.0000
539595.3700,175038.0000
2481861.5475,292090.0000
1442317.6736,2271.0000
3731738.6240,955415.0000
13481741.2800,80927.0000
4924044.1067,1471951.0000
2481861.5475,47.0000
469802.3680,257244.0000
3828411.8881,361.0000
4220516.9700,449645.0000
2481861.5475,265408.0000
16633138.9371,10762.0000
7949452.1700,1064729.0000
4166997.0117,74117.0000
909257.6600,127917.0000
81720.8867,43006.0000
247158.0522,2160277.0000
75696.7157,16120.0000
2730979.3730,1747231.0000
2481861.5475,120745.0000
2481861.5475,325.0000
884051.1061,628.0000
665021.2199,132437.0000
7335711.9186,1050.0000
2563975.3381,1896760.0000
508075.5892,338879.0000
2481861.5475,1215082.0000
867072.2757,2243715.0000
2481861.5475,5618.0000
483983.2841,94095411.0000
897694.6600,431.0000
663093.1660,22059.0000
5621784.7400,2110696.0000
2481861.5475,40239.0000
7475006.5717,46976.0000
6400265.3233,157627.0000
2481861.5475,13976.0000
5652526.7542,7401.0000
825802.9223,1417666.0000
2481861.5475,238558.0000
2481861.5475,2218401.0000
2481861.5475,771.0000
552601.3155,77527.0000
2481861.5475,2073.0000
450571.1828,258842.0000
6966722.4850,2059200.0000
2481861.5475,57016.0000
163740.7575,5730289.0000
185545.4067,17755.0000
695156.2491,4596149.0000
5809399.4775,10513.0000
5654700.5300,904253.0000
2782282.5977,3540.0000
141560.4275,641624.0000
2481861.5475,2277005.0000
2396465.5382,127609.0000
10000801.9200,1029686.0000
2481861.5475,7473.0000
226206.4433,327233.0000
3906864.4810,22413.0000
82981.5284,244214.0000
4068010.3601,16625647.0000
4169694.7200,12897.0000
2481861.5475,215994.0000
1014659.7760,26.0000
2855726.0180,41204.0000
2481861.5475,78465.0000
1372211.5800,170792.0000
2481861.5475,5222.0000
309057.7433,476929.0000
6170319.3725,8169.0000
8422026.5228,401261.0000
2481861.5475,24266.0000
2481861.5475,8361.0000
4612740.0767,1403716.0000
614701.4825,21132027.0000
2481861.5475,645530.0000
2481861.5475,15927.0000
1750616.7319,61333777.0000
12023417.0100,44471.0000
2481861.5475,55714.0000
8814799.2027,68986.0000
1056455.1341,20963238.0000
2481861.5475,2941.0000
1720434.1100,2102251.0000
6731014.7329,34874.0000
2481861.5475,118885.0000
10545978.5100,9964.0000
2481861.5475,63608.0000
2232191.8180,870.0000
566452.9480,79243.0000
191866.7175,4595839.0000
2481861.5475,2172028.0000
86944480.9720,2361069.0000
2481861.5475,94.0000
11169838.6911,78961.0000
3849015.3350,522747.0000
11297396.8583,172568.0000
1698954.0340,74755.0000
6879567.4600,5948502.0000
10149671.7000,1378207.0000
318784.6018,50521.0000
1750616.7319,8981.0000
3770747.3993,1386334.0000
17840764.6435,19918651.0000
2481861.5475,5129682.0000
3548693.6117,1327.0000
695156.2491,53225944.0000
2330143.9550,224363.0000
1750616.7319,101492.0000
2481861.5475,432441.0000
2776090.8998,1603192.0000
5366075.7700,2075310.0000
2502884.4032,56681.0000
3550159.9714,57578.0000
375872.7005,69964.0000
4086401.2420,695393.0000
1492034.7142,70310.0000
2000049.5200,827262.0000
635540.1810,442100.0000
11067166.1600,27862.0000
2386238.6342,137.0000
2481861.5475,1727.0000
2481861.5475,1064271.0000
3063874.7367,736568.0000
2481861.5475,170251.0000
114997.2325,1406.0000
2481861.5475,822.0000
5186565.3629,452997.0000
3473836.5558,1569003.0000
2481861.5475,13807.0000
3169677.7812,137448.0000
2739252.6245,257535.0000
2481861.5475,383.0000
10173044.3000,9742931.0000
774410.7128,59062.0000
2481861.5475,207824.0000
1433018.3668,1479423.0000
7209959.8300,5346854.0000
956799.6310,49538.0000
1750616.7319,1648.0000
495055.7347,89453.0000
2481861.5475,239353.0000
2481861.5475,57562.0000
1750616.7319,29660.0000
3176229.2531,3223.0000
3867572.1159,571266.0000
7691932.6361,730974.0000
2481861.5475,6279.0000
2481861.5475,31725567.0000
1327789.3683,517987.0000
2481861.5475,309.0000
9383306.6007,199077.0000
866195.9400,104041.0000
2481861.5475,109739.0000
2481861.5475,326.0000
