Predicted,Actual
50756011.3835,6611.0000
8468950.9476,1069887.0000
8468950.9476,75436.0000
8468950.9476,65366.0000
8468950.9476,57879.0000
8468950.9476,1028628.0000
8468950.9476,76850.0000
8468950.9476,2476812.0000
8468950.9476,18904.0000
11141082.1036,2739364.0000
7274260.6214,4927393.0000
8468950.9476,1296052.0000
8468950.9476,106.0000
8468950.9476,560561.0000
8468950.9476,238319.0000
8468950.9476,17136.0000
8468950.9476,624596.0000
8468950.9476,17008.0000
8468950.9476,23239081.0000
8468950.9476,94412.0000
8468950.9476,286671.0000
8468950.9476,36.0000
8468950.9476,14082.0000
8468950.9476,4351.0000
8468950.9476,2.0000
7274260.6214,329437.0000
4912515.2346,102737.0000
8468950.9476,1076199.0000
2185327.0714,3227.0000
8468950.9476,91261.0000
8468950.9476,9450.0000
8468950.9476,1625972.0000
6471072.6494,76244.0000
8468950.9476,154.0000
8468950.9476,871563.0000
8468950.9476,643.0000
8468950.9476,11393224.0000
8468950.9476,126.0000
8468950.9476,2929493.0000
8468950.9476,45776.0000
8468950.9476,56813.0000
8468950.9476,63345.0000
8468950.9476,2079321.0000
8468950.9476,56131.0000
8468950.9476,29271.0000
8468950.9476,567383.0000
8468950.9476,3333.0000
8468950.9476,23265.0000
8468950.9476,1078518.0000
8468950.9476,9175403.0000
8468950.9476,286528.0000
8468950.9476,109936.0000
8468950.9476,35820.0000
8468950.9476,2974.0000
8468950.9476,100.0000
8468950.9476,7511.0000
8468950.9476,167738.0000
8468950.9476,6922.0000
6471072.6494,499097.0000
8468950.9476,164402.0000
8468950.9476,21054.0000
8468950.9476,1758894.0000
8468950.9476,606959.0000
8468950.9476,238.0000
8468950.9476,27984.0000
8468950.9476,184496.0000
8468950.9476,895113.0000
8468950.9476,1050.0000
8468950.9476,908512.0000
8468950.9476,256039.0000
8468950.9476,8282080.0000
8468950.9476,90195.0000
8468950.9476,741.0000
8468950.9476,113687146.0000
8468950.9476,35187.0000
8468950.9476,110714.0000
8468950.9476,6932031.0000
8468950.9476,110635.0000
8468950.9476,17805.0000
6471072.6494,698467.0000
8468950.9476,1110513.0000
2999474.4589,76441.0000
8468950.9476,1189.0000
6471072.6494,9573.0000
8468950.9476,128948.0000
6471072.6494,74856711.0000
8468950.9476,42966181.0000
7274260.6214,193251.0000
8468950.9476,168148.0000
8468950.9476,185062.0000
8468950.9476,55917.0000
8468950.9476,1146.0000
8468950.9476,258064.0000
7274260.6214,861799.0000
8468950.9476,36545.0000
8468950.9476,23957.0000
7274260.6214,569.0000
8468950.9476,1434073.0000
6471072.6494,15435.0000
8468950.9476,4516591.0000
8468950.9476,13063.0000
8468950.9476,87500.0000
6471072.6494,301453.0000
8468950.9476,709.0000
8468950.9476,16766794.0000
8468950.9476,1142884.0000
8468950.9476,392166.0000
8468950.9476,26211.0000
8468950.9476,21326.0000
8468950.9476,220220.0000
8468950.9476,46757.0000
8468950.9476,134480.0000
8468950.9476,309255.0000
8468950.9476,526820.0000
8468950.9476,237807.0000
8468950.9476,601858.0000
8468950.9476,1667650.0000
8468950.9476,41280.0000
8468950.9476,597829.0000
8468950.9476,7128.0000
8468950.9476,1033003.0000
8468950.9476,11534400.0000
8468950.9476,272334.0000
7274260.6214,79214.0000
8468950.9476,3812.0000
8468950.9476,4849474.0000
8468950.9476,11634951.0000
8468950.9476,394731.0000
8468950.9476,72814.0000
8468950.9476,6505.0000
7274260.6214,181.0000
6471072.6494,4308568.0000
8468950.9476,1904671.0000
8468950.9476,5741.0000
8468950.9476,1609276.0000
8468950.9476,62.0000
8468950.9476,242859.0000
8468950.9476,96330.0000
8468950.9476,2762.0000
8468950.9476,17378418.0000
8468950.9476,117029.0000
8468950.9476,4397428.0000
8468950.9476,82789.0000
8468950.9476,316784.0000
6471072.6494,70189.0000
3577777.8286,311.0000
7274260.6214,278871.0000
8468950.9476,69523.0000
8468950.9476,31794.0000
8468950.9476,115410.0000
8468950.9476,8161666.0000
8468950.9476,425207.0000
8468950.9476,87456.0000
6471072.6494,79195.0000
2185327.0714,1337108.0000
8468950.9476,303332.0000
8468950.9476,5946263.0000
8468950.9476,17301.0000
8468950.9476,3500.0000
6471072.6494,756.0000
8468950.9476,2590767.0000
8468950.9476,12530626.0000
8468950.9476,191721.0000
8468950.9476,43411.0000
8468950.9476,506663.0000
8468950.9476,51977.0000
8468950.9476,15368.0000
8468950.9476,1255779.0000
8468950.9476,62207.0000
8468950.9476,156280.0000
8468950.9476,6210371.0000
8468950.9476,31028774.0000
8468950.9476,115274.0000
8468950.9476,479444.0000
8468950.9476,485072.0000
8468950.9476,6636.0000
8468950.9476,10696876.0000
8468950.9476,12219028.0000
8468950.9476,47235.0000
8468950.9476,100.0000
8468950.9476,353567.0000
8468950.9476,266203.0000
8468950.9476,50186.0000
8468950.9476,11687.0000
8468950.9476,40953.0000
8468950.9476,618353.0000
3577777.8286,69881.0000
8468950.9476,82320.0000
8468950.9476,85881.0000
8468950.9476,111906713.0000
7274260.6214,898.0000
8468950.9476,607414.0000
4912515.2346,495543.0000
8468950.9476,362275.0000
8468950.9476,31445.0000
8468950.9476,58863.0000
8468950.9476,615.0000
8468950.9476,56424844.0000
8468950.9476,177634.0000
8468950.9476,1682.0000
8468950.9476,565897.0000
8468950.9476,2254.0000
8468950.9476,253475.0000
8468950.9476,447201.0000
