Issue,Importance
results_Pylint_warning_redefined-outer-name,0.00191543
results_Pylint_warning_pointless-string-statement,-0.00007794
results_Pylint_warning_unused-variable,0.00041108
results_Pylint_error_import-error,0.00290279
results_Pylint_warning_unspecified-encoding,0.00928544
results_Pylint_convention_consider-using-enumerate,0.00094606
results_Pylint_warning_unused-argument,0.00070874
results_Pylint_convention_missing-function-docstring,0.05477239
results_Pylint_warning_redefined-builtin,0.00128650
results_Pylint_convention_line-too-long,0.04137101
results_Pylint_refactor_consider-using-generator,-0.00000037
results_Pylint_convention_missing-class-docstring,0.00318324
results_Pylint_convention_invalid-name,0.02265833
results_Pylint_refactor_no-else-return,0.00137551
results_Pylint_error_relative-beyond-top-level,0.00795167
results_Pylint_error_no-name-in-module,0.00036235
results_Pylint_convention_wrong-import-order,0.00076236
results_Pylint_convention_missing-module-docstring,0.00161877
results_Pylint_convention_trailing-whitespace,0.14941089
results_Pylint_convention_consider-using-f-string,0.00670534
results_Pylint_refactor_use-a-generator,0.00000226
results_Pylint_warning_global-variable-not-assigned,0.00001659
results_Pylint_warning_broad-except,0.00101864
results_Pylint_convention_superfluous-parens,-0.00121355
results_Pylint_refactor_no-self-use,0.00247762
results_Pylint_refactor_too-many-public-methods,0.00001104
results_Pylint_refactor_consider-using-get,0.00000000
results_Pylint_refactor_too-many-instance-attributes,0.00004837
results_Pylint_warning_global-statement,-0.00010602
results_Pylint_refactor_too-many-statements,0.00215175
results_Pylint_warning_attribute-defined-outside-init,0.00087670
results_Pylint_warning_fixme,-0.00000259
results_Pylint_warning_unused-import,0.00353644
results_Pylint_error_no-member,0.03082105
results_Pylint_refactor_simplifiable-if-statement,-0.00000122
results_Pylint_warning_protected-access,0.00260985
results_Pylint_convention_import-outside-toplevel,0.00461550
results_Pylint_warning_super-init-not-called,0.00063618
results_Pylint_refactor_super-with-arguments,0.00055246
results_Pylint_error_bad-except-order,0.00000386
results_Pylint_refactor_literal-comparison,0.00014191
results_Pylint_refactor_too-many-nested-blocks,0.00039733
results_Pylint_error_no-value-for-parameter,-0.00009438
results_Pylint_warning_arguments-differ,0.00030766
results_Pylint_warning_raise-missing-from,0.01925985
results_Pylint_convention_too-many-lines,0.00032195
results_Pylint_warning_unnecessary-pass,0.00501452
results_Pylint_refactor_consider-using-with,0.00228299
results_Pylint_refactor_no-else-raise,0.00203608
results_Pylint_warning_unnecessary-lambda,-0.00001043
results_Pylint_refactor_stop-iteration-return,0.00003086
results_Pylint_refactor_consider-using-set-comprehension,0.00024413
results_Pylint_refactor_too-few-public-methods,0.00194574
results_Pylint_refactor_too-many-branches,0.00074031
results_Pylint_warning_signature-differs,0.00000000
