Issue,Importance
results_Pylint_warning_redefined-outer-name,0.01074136
results_Pylint_warning_pointless-string-statement,-0.00005387
results_Pylint_warning_unused-variable,-0.00196181
results_Pylint_error_import-error,0.00552966
results_Pylint_warning_unspecified-encoding,0.00899013
results_Pylint_convention_consider-using-enumerate,0.01265109
results_Pylint_warning_unused-argument,-0.00176921
results_Pylint_convention_missing-function-docstring,0.14869074
results_Pylint_warning_redefined-builtin,0.00075722
results_Pylint_convention_line-too-long,0.10568212
results_Pylint_refactor_consider-using-generator,0.00000000
results_Pylint_convention_missing-class-docstring,-0.02577311
results_Pylint_convention_invalid-name,0.03326623
results_Pylint_refactor_no-else-return,0.00243508
results_Pylint_error_relative-beyond-top-level,0.00956396
results_Pylint_error_no-name-in-module,0.00202813
results_Pylint_convention_wrong-import-order,0.00015159
results_Pylint_convention_missing-module-docstring,0.02404562
results_Pylint_convention_trailing-whitespace,0.23217557
results_Pylint_convention_consider-using-f-string,0.00785480
results_Pylint_refactor_use-a-generator,0.00000033
results_Pylint_warning_global-variable-not-assigned,0.00010660
results_Pylint_warning_broad-except,0.01394524
results_Pylint_convention_superfluous-parens,-0.04693951
results_Pylint_refactor_no-self-use,0.00541911
results_Pylint_refactor_too-many-public-methods,0.00002293
results_Pylint_refactor_consider-using-get,0.00000000
results_Pylint_refactor_too-many-instance-attributes,0.00043539
results_Pylint_warning_global-statement,0.00000168
results_Pylint_refactor_too-many-statements,0.00452218
results_Pylint_warning_attribute-defined-outside-init,0.00141917
results_Pylint_warning_fixme,-0.00112169
results_Pylint_warning_unused-import,0.01323147
results_Pylint_error_no-member,0.05270179
results_Pylint_refactor_simplifiable-if-statement,0.00000000
results_Pylint_warning_protected-access,0.00808828
results_Pylint_convention_import-outside-toplevel,0.02787837
results_Pylint_warning_super-init-not-called,0.00004797
results_Pylint_refactor_super-with-arguments,-0.04722543
results_Pylint_error_bad-except-order,0.00000797
results_Pylint_refactor_literal-comparison,0.00021004
results_Pylint_refactor_too-many-nested-blocks,0.00049964
results_Pylint_error_no-value-for-parameter,0.00000000
results_Pylint_warning_arguments-differ,0.00039223
results_Pylint_warning_raise-missing-from,0.02322731
results_Pylint_convention_too-many-lines,0.00102003
results_Pylint_warning_unnecessary-pass,0.00765735
results_Pylint_refactor_consider-using-with,0.00301116
results_Pylint_refactor_no-else-raise,0.00273555
results_Pylint_warning_unnecessary-lambda,0.00031643
results_Pylint_refactor_stop-iteration-return,0.00007122
results_Pylint_refactor_consider-using-set-comprehension,0.00031282
results_Pylint_refactor_too-few-public-methods,0.00273016
results_Pylint_refactor_too-many-branches,0.00088974
results_Pylint_warning_signature-differs,0.00000000
results_Pylint_refactor_useless-object-inheritance,-0.00015305
results_Pylint_refactor_too-many-locals,0.00099116
results_Pylint_refactor_too-many-arguments,0.00160739
results_Pylint_warning_arguments-out-of-order,0.00000000
results_Pylint_refactor_no-else-continue,0.02052485
results_Pylint_warning_global-variable-undefined,-0.00037870
results_Pylint_refactor_redefined-argument-from-local,0.00015643
results_Pylint_warning_comparison-with-callable,0.00000000
results_Pylint_warning_exec-used,0.00000000
results_Pylint_refactor_use-dict-literal,0.00019687
results_Pylint_convention_disallowed-name,0.00017314
results_Pylint_error_undefined-variable,-0.00415430
results_Pylint_error_not-an-iterable,0.00000000
results_Pylint_refactor_consider-using-dict-comprehension,0.00470353
results_Pylint_warning_pointless-statement,-0.00220601
results_Pylint_refactor_inconsistent-return-statements,-0.00046575
results_Pylint_warning_deprecated-method,0.00008353
results_Pylint_refactor_too-many-return-statements,0.00011648
results_Pylint_refactor_consider-using-from-import,0.00027390
results_Pylint_refactor_consider-using-ternary,0.00000000
results_Pylint_warning_deprecated-class,0.00006466
results_Pylint_refactor_unnecessary-comprehension,0.00311581
results_Pylint_error_unsubscriptable-object,0.00004294
results_Pylint_warning_useless-super-delegation,-0.04071250
results_Pylint_error_invalid-unary-operand-type,0.00000000
results_Pylint_warning_cell-var-from-loop,-0.00013129
results_Pylint_refactor_consider-using-in,0.00109913
results_Pylint_refactor_use-list-literal,0.00000000
results_Pylint_warning_bare-except,0.00032463
results_Pylint_refactor_consider-merging-isinstance,0.00315256
results_Pylint_error_function-redefined,-0.00055478
results_Pylint_warning_dangerous-default-value,0.00050931
results_Pylint_warning_self-assigning-variable,0.00004915
results_Pylint_warning_reimported,0.00044874
results_Pylint_convention_ungrouped-imports,-0.02272557
results_Pylint_refactor_consider-using-max-builtin,0.00000000
results_Pylint_warning_anomalous-backslash-in-string,0.00032390
results_Pylint_convention_useless-import-alias,0.00000000
results_Pylint_error_too-many-function-args,0.00022541
results_Pylint_warning_bad-indentation,0.00057084
results_Pylint_convention_unidiomatic-typecheck,0.00201698
results_Pylint_convention_consider-iterating-dictionary,0.00000000
results_Pylint_error_bad-super-call,0.00000000
results_Pylint_refactor_no-else-break,0.00054702
results_Pylint_error_access-member-before-definition,0.00006590
results_Pylint_warning_raising-format-tuple,0.00000000
results_Pylint_convention_use-implicit-booleaness-not-len,0.00448879
results_Pylint_warning_abstract-method,-0.00007672
results_Pylint_warning_expression-not-assigned,0.00005878
results_Pylint_warning_wildcard-import,0.00000004
results_Pylint_convention_wrong-import-position,-0.00009926
results_Pylint_error_no-self-argument,0.00462447
results_Pylint_refactor_simplifiable-if-expression,0.00001067
results_Pylint_warning_assert-on-tuple,0.00000000
results_Pylint_error_syntax-error,0.00026289
results_Pylint_convention_trailing-newlines,0.00311072
results_Pylint_convention_singleton-comparison,0.00080856
results_Pylint_warning_unbalanced-tuple-unpacking,0.00000000
results_Pylint_convention_multiple-imports,-0.00007648
results_Pylint_refactor_chained-comparison,0.00009509
results_Pylint_convention_missing-final-newline,0.00166709
results_Pylint_error_bad-option-value,0.00000000
results_Pylint_warning_undefined-loop-variable,0.00019616
results_Pylint_warning_format-string-without-interpolation,0.00018093
results_Pylint_error_raising-bad-type,0.00001185
results_Pylint_warning_useless-else-on-loop,0.00000000
results_Pylint_warning_keyword-arg-before-vararg,-0.00000108
results_Pylint_error_used-before-assignment,-0.00000799
results_Pylint_warning_unnecessary-semicolon,0.00012141
results_Pylint_convention_bad-classmethod-argument,0.00000022
results_Pylint_warning_invalid-overridden-method,0.00000000
results_Pylint_warning_try-except-raise,0.00000000
results_Pylint_convention_consider-using-dict-items,0.00095025
results_Pylint_warning_arguments-renamed,0.00297834
results_Pylint_warning_using-constant-test,0.00001976
results_Pylint_refactor_too-many-boolean-expressions,0.00021066
results_Pylint_convention_use-implicit-booleaness-not-comparison,0.00000000
results_Pylint_warning_unused-private-member,-0.00000900
results_Pylint_warning_subprocess-popen-preexec-fn,0.00000000
results_Pylint_convention_unneeded-not,0.00037912
results_Pylint_refactor_useless-return,-0.00015072
results_Pylint_error_not-callable,0.00062803
results_Pylint_warning_logging-not-lazy,0.01155310
results_Pylint_warning_self-cls-assignment,0.00001755
results_Pylint_error_unexpected-keyword-arg,-0.00000007
results_Pylint_warning_possibly-unused-variable,0.00000000
results_Pylint_convention_multiple-statements,0.00036662
results_Pylint_warning_eval-used,0.00000000
results_Pylint_refactor_consider-using-min-builtin,0.00000000
results_Pylint_error_too-few-format-args,0.00001977
results_Pylint_error_misplaced-bare-raise,0.00006947
results_Pylint_convention_use-maxsplit-arg,0.00007984
results_Pylint_refactor_consider-using-sys-exit,0.00007818
results_Pylint_error_notimplemented-raised,0.00000000
results_Pylint_warning_unused-wildcard-import,0.00000000
results_Pylint_warning_unreachable,-0.00026067
results_Pylint_warning_logging-format-interpolation,-0.02272326
results_Pylint_warning_deprecated-module,0.00000000
results_Pylint_warning_forgotten-debug-statement,0.00000000
results_Pylint_convention_empty-docstring,0.00000000
results_Pylint_warning_duplicate-string-formatting-argument,0.00000000
results_Pylint_error_undefined-all-variable,0.00000039
results_Pylint_error_assignment-from-no-return,0.00000000
results_Pylint_error_unsupported-membership-test,0.00000000
results_Pylint_convention_bad-mcs-classmethod-argument,0.00000000
results_Pylint_error_bad-reversed-sequence,0.00000000
results_Pylint_convention_bad-mcs-method-argument,0.00000000
results_Pylint_warning_isinstance-second-argument-not-valid-type,0.00000000
results_Pylint_warning_redundant-unittest-assert,0.00000000
results_Pylint_warning_lost-exception,0.00004429
results_Pylint_error_assigning-non-slot,0.00000000
results_Pylint_warning_subprocess-run-check,0.00008709
results_Pylint_warning_logging-fstring-interpolation,0.00000000
results_Pylint_error_invalid-all-format,0.00000000
results_Pylint_error_no-method-argument,0.00000000
results_Pylint_error_too-many-format-args,0.00000000
results_Pylint_warning_assert-on-string-literal,0.00000000
results_Pylint_error_unsupported-assignment-operation,0.00000000
results_Pylint_error_unpacking-non-sequence,0.00000000
results_Pylint_warning_duplicate-except,0.00000000
results_Pylint_refactor_condition-evals-to-constant,0.00000000
results_Pylint_warning_invalid-envvar-default,0.00000000
results_Pylint_refactor_simplify-boolean-expression,0.00000000
results_Pylint_error_invalid-metaclass,0.00000000
results_Pylint_convention_mixed-line-endings,0.00000000
results_Pylint_refactor_trailing-comma-tuple,0.00013471
results_Pylint_warning_deprecated-decorator,-0.00012063
results_Pylint_warning_missing-format-argument-key,0.00000000
results_Pylint_warning_unused-format-string-argument,0.00000000
results_Pylint_error_method-hidden,0.00000000
results_Pylint_error_redundant-keyword-arg,0.00000000
results_Pylint_error_unsupported-delete-operation,0.00000000
results_Pylint_refactor_property-with-parameters,0.00000000
results_Pylint_error_invalid-str-returned,0.00000000
results_Pylint_error_catching-non-exception,-0.00036157
results_Pylint_error_class-variable-slots-conflict,0.00000000
results_Pylint_warning_bad-format-string,0.00000000
results_Pylint_error_invalid-repr-returned,0.00000000
results_Pylint_warning_missing-format-attribute,0.00000000
results_Pylint_refactor_comparison-with-itself,0.00000000
results_Pylint_warning_wrong-exception-operation,0.00000000
results_Pylint_warning_implicit-str-concat,0.00001049
results_Pylint_refactor_no-classmethod-decorator,0.00000000
results_Pylint_error_return-in-init,0.00000000
results_Pylint_warning_duplicate-key,0.00000618
results_Pylint_convention_use-sequence-for-iteration,0.00000000
results_Pylint_error_unexpected-special-method-signature,0.00000000
results_Pylint_error_nonexistent-operator,0.00000000
results_Pylint_refactor_simplifiable-condition,0.00000000
results_Pylint_warning_f-string-without-interpolation,0.00000000
results_Pylint_warning_bad-staticmethod-argument,0.00000000
results_Pylint_warning_non-parent-init-called,0.00000000
results_Pylint_error_not-a-mapping,0.00000000
results_Pylint_convention_single-string-used-for-slots,0.00000000
results_Pylint_error_invalid-sequence-index,0.00000000
results_Pylint_error_unrecognized-inline-option,0.00000000
results_Pylint_error_non-iterator-returned,0.00000000
results_Pylint_error_abstract-class-instantiated,0.00000000
results_Pylint_refactor_unnecessary-dict-index-lookup,0.00000000
results_Pylint_warning_confusing-with-statement,0.00000000
results_Pylint_warning_missing-parentheses-for-call-in-test,0.00000000
results_Pylint_error_not-async-context-manager,0.00000000
results_Pylint_error_not-context-manager,0.00000000
results_Pylint_warning_non-str-assignment-to-dunder-name,0.00000000
results_Pylint_error_invalid-class-object,0.00000000
results_Pylint_warning_redundant-u-string-prefix,0.00000000
results_Pylint_info_c-extension-no-member,0.00000000
