Predicted,Actual
3424691.7054,6611.0000
3333173.6397,1069887.0000
3324078.2406,75436.0000
3355349.3216,65366.0000
3333173.6397,57879.0000
3333173.6397,1028628.0000
3333173.6397,76850.0000
3333173.6397,2476812.0000
3333173.6397,18904.0000
3622019.5473,2739364.0000
2858136.4381,4927393.0000
2980231.1324,1296052.0000
3333173.6397,106.0000
3333173.6397,560561.0000
3333173.6397,238319.0000
3333173.6397,17136.0000
3333173.6397,624596.0000
3333173.6397,17008.0000
3335299.4579,23239081.0000
3333173.6397,94412.0000
3388607.4444,286671.0000
3314982.8415,36.0000
3333173.6397,14082.0000
3333173.6397,4351.0000
3301242.1652,2.0000
3412351.1622,329437.0000
3384430.0878,102737.0000
2925681.7771,1076199.0000
4069752.9640,3227.0000
3333173.6397,91261.0000
3295129.6225,9450.0000
1400884.3487,1625972.0000
3186810.0529,76244.0000
3333173.6397,154.0000
3333173.6397,871563.0000
3333173.6397,643.0000
3333173.6397,11393224.0000
3208147.0358,126.0000
3324078.2406,2929493.0000
3333173.6397,45776.0000
3333173.6397,56813.0000
3333173.6397,63345.0000
3333173.6397,2079321.0000
3333173.6397,56131.0000
-7223844.9364,29271.0000
3333173.6397,567383.0000
3333173.6397,3333.0000
3333173.6397,23265.0000
3333173.6397,1078518.0000
3333173.6397,9175403.0000
3361889.4481,286528.0000
3333173.6397,109936.0000
3334835.9478,35820.0000
3334835.9478,2974.0000
3333173.6397,100.0000
3110158.2282,7511.0000
3238971.9674,167738.0000
3333173.6397,6922.0000
3234098.3363,499097.0000
3335299.4579,164402.0000
3333173.6397,21054.0000
3333173.6397,1758894.0000
3333173.6397,606959.0000
3333173.6397,238.0000
3333173.6397,27984.0000
3333173.6397,184496.0000
3333173.6397,895113.0000
3333173.6397,1050.0000
3333173.6397,908512.0000
3333173.6397,256039.0000
3320423.6646,8282080.0000
3333173.6397,90195.0000
3333173.6397,741.0000
3333173.6397,113687146.0000
3333173.6397,35187.0000
3248513.8358,110714.0000
3333173.6397,6932031.0000
3333173.6397,110635.0000
3333173.6397,17805.0000
3372415.5547,698467.0000
3333173.6397,1110513.0000
3873087.8856,76441.0000
3333173.6397,1189.0000
3270692.8524,9573.0000
3338823.0143,128948.0000
3254146.5152,74856711.0000
3455362.4452,42966181.0000
3372762.4010,193251.0000
3333173.6397,168148.0000
3266413.8141,185062.0000
3266413.8141,55917.0000
3333173.6397,1146.0000
3374762.7626,258064.0000
3589343.2653,861799.0000
3333173.6397,36545.0000
3333173.6397,23957.0000
3372762.4010,569.0000
3333173.6397,1434073.0000
3328899.6899,15435.0000
3333173.6397,4516591.0000
3333173.6397,13063.0000
3333173.6397,87500.0000
3440281.3417,301453.0000
3333173.6397,709.0000
3344812.1922,16766794.0000
3333173.6397,1142884.0000
3333173.6397,392166.0000
3333173.6397,26211.0000
3333173.6397,21326.0000
3333173.6397,220220.0000
3333173.6397,46757.0000
3333173.6397,134480.0000
3258935.2409,309255.0000
3333173.6397,526820.0000
3333173.6397,237807.0000
3333173.6397,601858.0000
3333173.6397,1667650.0000
3333173.6397,41280.0000
3333173.6397,597829.0000
3333173.6397,7128.0000
3346281.7597,1033003.0000
3333173.6397,11534400.0000
3333173.6397,272334.0000
-7443172.8996,79214.0000
3333173.6397,3812.0000
3333173.6397,4849474.0000
3333173.6397,11634951.0000
3333173.6397,394731.0000
3333173.6397,72814.0000
3333173.6397,6505.0000
820862.7546,181.0000
3245051.1161,4308568.0000
3333173.6397,1904671.0000
3333173.6397,5741.0000
3374762.7626,1609276.0000
3333173.6397,62.0000
3333173.6397,242859.0000
3333173.6397,96330.0000
3333173.6397,2762.0000
3333173.6397,17378418.0000
3335299.4579,117029.0000
3333173.6397,4397428.0000
3333173.6397,82789.0000
3333173.6397,316784.0000
5501995.2787,70189.0000
2504452.6740,311.0000
3407395.0780,278871.0000
3333173.6397,69523.0000
3333173.6397,31794.0000
3333173.6397,115410.0000
3333173.6397,8161666.0000
3333173.6397,425207.0000
3333173.6397,87456.0000
3100739.6369,79195.0000
4156237.8121,1337108.0000
3308190.4894,303332.0000
3333173.6397,5946263.0000
3333173.6397,17301.0000
3361889.4481,3500.0000
3103967.1037,756.0000
3333173.6397,2590767.0000
3466773.3858,12530626.0000
3333173.6397,191721.0000
3333173.6397,43411.0000
3333173.6397,506663.0000
3333173.6397,51977.0000
3333173.6397,15368.0000
3333173.6397,1255779.0000
3333377.9932,62207.0000
3333173.6397,156280.0000
3333173.6397,6210371.0000
3333173.6397,31028774.0000
3333173.6397,115274.0000
3434548.5565,479444.0000
3333173.6397,485072.0000
3333173.6397,6636.0000
3333173.6397,10696876.0000
3122420.5611,12219028.0000
3255086.6069,47235.0000
3333173.6397,100.0000
3333173.6397,353567.0000
3193267.8521,266203.0000
3333173.6397,50186.0000
3333173.6397,11687.0000
3333173.6397,40953.0000
3333173.6397,618353.0000
3196507.5100,69881.0000
3333173.6397,82320.0000
3333173.6397,85881.0000
3333173.6397,111906713.0000
3428836.6235,898.0000
3255086.6069,607414.0000
5436826.9056,495543.0000
3353968.2012,362275.0000
3374762.7626,31445.0000
3333173.6397,58863.0000
3333173.6397,615.0000
3333173.6397,56424844.0000
3333173.6397,177634.0000
3333173.6397,1682.0000
3333173.6397,565897.0000
3333173.6397,2254.0000
3333173.6397,253475.0000
3319268.5287,447201.0000
3419869.2455,54595.0000
3375622.9237,248474.0000
3349424.8662,62606.0000
3333173.6397,2279.0000
3333173.6397,124128.0000
3092055.0509,1956312.0000
3342984.1185,114712.0000
3333173.6397,1456495.0000
3333173.6397,348.0000
3333173.6397,175038.0000
3333173.6397,292090.0000
3333173.6397,2271.0000
3333173.6397,955415.0000
3333173.6397,80927.0000
3335299.4579,1471951.0000
3333173.6397,47.0000
3333173.6397,257244.0000
3333173.6397,361.0000
3333173.6397,449645.0000
3333173.6397,265408.0000
3330822.2257,10762.0000
6574887.7582,1064729.0000
3134059.4393,74117.0000
3333173.6397,127917.0000
3333173.6397,43006.0000
3333173.6397,2160277.0000
3333173.6397,16120.0000
3314982.8415,1747231.0000
3333173.6397,120745.0000
3333173.6397,325.0000
3313788.9012,628.0000
3333173.6397,132437.0000
3253286.1945,1050.0000
3333173.6397,1896760.0000
3472734.4849,338879.0000
3333173.6397,1215082.0000
3333173.6397,2243715.0000
3333173.6397,5618.0000
3201316.2965,94095411.0000
3338823.0143,431.0000
3333173.6397,22059.0000
3248513.8358,2110696.0000
3333173.6397,40239.0000
2379893.0687,46976.0000
3333173.6397,157627.0000
3333173.6397,13976.0000
3333173.6397,7401.0000
3333173.6397,1417666.0000
3333173.6397,238558.0000
3333173.6397,2218401.0000
3333173.6397,771.0000
3333173.6397,77527.0000
3333173.6397,2073.0000
3307733.5721,258842.0000
3333173.6397,2059200.0000
3333173.6397,57016.0000
3427174.3154,5730289.0000
3333173.6397,17755.0000
3402390.3873,4596149.0000
2175006.7860,10513.0000
1459350.5008,904253.0000
3344001.0010,3540.0000
3333173.6397,641624.0000
3333173.6397,2277005.0000
3328048.8291,127609.0000
3098517.5357,1029686.0000
3333173.6397,7473.0000
3344001.0010,327233.0000
3068436.6724,22413.0000
3278041.8680,244214.0000
3333173.6397,16625647.0000
3188712.0707,12897.0000
3333173.6397,215994.0000
5109585.8694,26.0000
3263914.1581,41204.0000
3333173.6397,78465.0000
3119194.8222,170792.0000
3333173.6397,5222.0000
3333173.6397,476929.0000
3414004.6777,8169.0000
3344001.0010,401261.0000
3333173.6397,24266.0000
3333173.6397,8361.0000
3333173.6397,1403716.0000
3466773.3858,21132027.0000
3277289.9421,645530.0000
3333173.6397,15927.0000
3333173.6397,61333777.0000
3155387.8767,44471.0000
3333173.6397,55714.0000
3333173.6397,68986.0000
3333173.6397,20963238.0000
3333173.6397,2941.0000
3333173.6397,2102251.0000
3333173.6397,34874.0000
3333173.6397,118885.0000
3333173.6397,9964.0000
3333173.6397,63608.0000
3333173.6397,870.0000
3328652.5521,79243.0000
3259341.1971,4595839.0000
3333173.6397,2172028.0000
3485408.3909,2361069.0000
3333173.6397,94.0000
3390291.5481,78961.0000
3333173.6397,522747.0000
3527598.3358,172568.0000
3248513.8358,74755.0000
3535318.1931,5948502.0000
3541819.4906,1378207.0000
3333173.6397,50521.0000
3333173.6397,8981.0000
3333173.6397,1386334.0000
3476583.8645,19918651.0000
3333173.6397,5129682.0000
3333173.6397,1327.0000
3402390.3873,53225944.0000
3333173.6397,224363.0000
3333173.6397,101492.0000
3333173.6397,432441.0000
3333173.6397,1603192.0000
3278289.9462,2075310.0000
3333173.6397,56681.0000
2862407.5439,57578.0000
3570706.2072,69964.0000
3333173.6397,695393.0000
3296428.5944,70310.0000
3333173.6397,827262.0000
3342984.1185,442100.0000
844440.5866,27862.0000
3378823.9823,137.0000
3333173.6397,1727.0000
3333173.6397,1064271.0000
3333173.6397,736568.0000
3333173.6397,170251.0000
3333173.6397,1406.0000
3333173.6397,822.0000
3333173.6397,452997.0000
3235837.8627,1569003.0000
3333173.6397,13807.0000
3333173.6397,137448.0000
3184696.8420,257535.0000
3333173.6397,383.0000
3393732.9432,9742931.0000
3333173.6397,59062.0000
3315168.2039,207824.0000
3289787.2073,1479423.0000
3333173.6397,5346854.0000
3333173.6397,49538.0000
3333173.6397,1648.0000
3333173.6397,89453.0000
3333173.6397,239353.0000
3333173.6397,57562.0000
3333173.6397,29660.0000
3315790.9787,3223.0000
3254332.5736,571266.0000
3333173.6397,730974.0000
3333173.6397,6279.0000
3333173.6397,31725567.0000
3333173.6397,517987.0000
3333173.6397,309.0000
3333173.6397,199077.0000
3333173.6397,104041.0000
3333173.6397,109739.0000
3333173.6397,326.0000
3333173.6397,425688.0000
3333173.6397,428.0000
3353881.1073,2184503.0000
3333173.6397,155630.0000
4620359.2309,14202939.0000
3333173.6397,2215.0000
3333173.6397,40605314.0000
3333173.6397,51400.0000
3333173.6397,13626421.0000
3333173.6397,5687.0000
3333173.6397,782146.0000
3933955.1239,1826176.0000
3333173.6397,455472.0000
3333173.6397,893903.0000
3333173.6397,1460204.0000
3333173.6397,514204.0000
10414558.4390,80429.0000
3333173.6397,40720.0000
3333173.6397,246606.0000
3248513.8358,59888.0000
3333173.6397,198977.0000
3333173.6397,15342932.0000
3342984.1185,5580.0000
3349772.7124,4191.0000
3362517.1755,947151.0000
3333173.6397,938824.0000
3331282.0975,26641.0000
3333173.6397,2449087.0000
3354828.3623,146245.0000
3333173.6397,19582.0000
3333173.6397,163248.0000
3333173.6397,739904.0000
3694805.7728,629439.0000
3333173.6397,168469.0000
1907185.4018,913470.0000
3255086.6069,75792.0000
3371699.9269,290336.0000
3333173.6397,57095.0000
3333173.6397,155.0000
3458185.2360,160779.0000
3333173.6397,15280258.0000
3333173.6397,1421.0000
3710799.8530,505045.0000
3364795.5625,340219.0000
3333173.6397,74103519.0000
3333173.6397,11925.0000
3333173.6397,2510121.0000
3333173.6397,894.0000
3333173.6397,145897.0000
3333173.6397,409754.0000
3357589.1494,29131587.0000
3333173.6397,6966.0000
3333173.6397,1796.0000
3333173.6397,580413.0000
3333173.6397,259425.0000
3333173.6397,3509251.0000
3333173.6397,6326198.0000
3333173.6397,6262315.0000
3333173.6397,5322.0000
3333173.6397,487821.0000
3333173.6397,20132.0000
3437146.4470,20638887.0000
3266413.8141,23450378.0000
3313195.4462,1910628.0000
3437146.4470,88503.0000
3305523.9935,104426.0000
3314832.2460,54172.0000
3333173.6397,72582.0000
3324078.2406,388263.0000
3333173.6397,2379710.0000
3333173.6397,15995.0000
3333173.6397,821207.0000
3333173.6397,27940917.0000
3333173.6397,83324359.0000
3333173.6397,62818.0000
3188326.7813,10462.0000
3333173.6397,6524935.0000
3333173.6397,16324.0000
3333173.6397,1896294.0000
2640125.3463,12346551.0000
2836115.7815,5316.0000
3309005.6404,17234175.0000
3333173.6397,396.0000
4143324.7219,2283371.0000
3097081.5780,1424.0000
3026423.0947,1103157.0000
4219018.9229,219103.0000
3333173.6397,7512.0000
3333173.6397,47726.0000
2093938.3420,33032.0000
2952177.3950,3323473.0000
3333173.6397,538045.0000
3333173.6397,7844732.0000
3333173.6397,325716.0000
3333173.6397,4113464.0000
3348793.4442,1235.0000
2761583.0104,59776.0000
3263966.6875,399694.0000
3333173.6397,4816.0000
3333173.6397,124268.0000
3333173.6397,1437059.0000
3333173.6397,1066822.0000
3266413.8141,9406.0000
3333173.6397,137602.0000
3333173.6397,203858.0000
3355926.8413,9699464.0000
3333173.6397,826.0000
972692.3835,65142.0000
3333173.6397,2588.0000
3202997.1767,384590.0000
3270814.9536,260307.0000
3333173.6397,439882.0000
3333173.6397,30885.0000
3333173.6397,262855.0000
3333173.6397,23348.0000
3333173.6397,188475.0000
3333173.6397,200029.0000
3401481.5909,28115.0000
3339551.0943,300863.0000
3333173.6397,131.0000
3333173.6397,955774.0000
3479752.2969,23994.0000
3333173.6397,7070570.0000
3333173.6397,271869.0000
3353968.2012,94161.0000
3266413.8141,86392.0000
3333173.6397,17221162.0000
3333173.6397,259665.0000
3333173.6397,252.0000
3333173.6397,741149.0000
3333173.6397,77144.0000
3333173.6397,3792975.0000
3333173.6397,6420385.0000
3353968.2012,198863.0000
3333173.6397,317898.0000
3322685.2169,9332.0000
3333173.6397,13845381.0000
3294404.1627,147692.0000
3333173.6397,7224.0000
3333173.6397,3952953.0000
3381971.9921,83169.0000
3321320.3943,32087.0000
3333173.6397,78984.0000
3333173.6397,2985912.0000
3333173.6397,4398615.0000
3333173.6397,4195982.0000
3333173.6397,2141850.0000
4275221.8474,88132.0000
2908162.3913,31579.0000
3112245.0561,39302.0000
3333173.6397,54579.0000
3333173.6397,261848.0000
3333173.6397,8476.0000
3333173.6397,1717380.0000
3279729.8023,2588889.0000
3333173.6397,390.0000
3333173.6397,1439934.0000
3333173.6397,16816.0000
3333173.6397,975.0000
3333173.6397,412997.0000
3333173.6397,4447.0000
1470210.8575,2.0000
3382226.0335,11286.0000
3333173.6397,122.0000
3333173.6397,29211.0000
3333173.6397,610121.0000
3333173.6397,21461.0000
3333173.6397,1778.0000
3333173.6397,8866.0000
3333173.6397,89101.0000
3333173.6397,65027.0000
3333173.6397,3019452.0000
3285400.8097,2103.0000
3333173.6397,27768208.0000
3333173.6397,2040432.0000
3320423.6646,7118684.0000
3333173.6397,7258.0000
3333173.6397,722186.0000
3333173.6397,206384.0000
3333173.6397,806.0000
3333173.6397,695822.0000
3372762.4010,48195.0000
3333173.6397,593101.0000
3335999.9240,202225.0000
3333173.6397,199664.0000
3333173.6397,847669.0000
3333173.6397,187.0000
3333173.6397,6490.0000
3333173.6397,2497676.0000
3373723.6064,5512037.0000
3333173.6397,891151.0000
3307394.1011,691181.0000
3414109.5127,138475.0000
3333173.6397,45542734.0000
3164835.5215,8237.0000
3387310.4461,90616623.0000
3333173.6397,819.0000
3333173.6397,4076.0000
3333173.6397,88955.0000
3333173.6397,66125.0000
3333173.6397,40705.0000
3418437.3871,33100.0000
3333173.6397,31128095.0000
3333173.6397,38141052.0000
3333173.6397,337420.0000
3333173.6397,61198.0000
3292577.2305,70764.0000
3333173.6397,2.0000
3333173.6397,4089102.0000
3468899.2040,850664.0000
3333173.6397,52296110.0000
3542392.9567,1169.0000
3333173.6397,817312.0000
3333173.6397,458.0000
