Issue,Importance
results_Pylint_warning_redefined-outer-name,0.00253525
results_Pylint_warning_pointless-string-statement,-0.00009966
results_Pylint_warning_unused-variable,0.00124824
results_Pylint_error_import-error,0.00397002
results_Pylint_warning_unspecified-encoding,0.00933598
results_Pylint_convention_consider-using-enumerate,0.00087818
results_Pylint_warning_unused-argument,0.00020310
results_Pylint_convention_missing-function-docstring,0.05032154
results_Pylint_warning_redefined-builtin,0.00073057
results_Pylint_convention_line-too-long,0.03592078
results_Pylint_refactor_consider-using-generator,0.00000001
results_Pylint_convention_missing-class-docstring,0.00114277
results_Pylint_convention_invalid-name,0.02080823
results_Pylint_refactor_no-else-return,0.00180509
results_Pylint_error_relative-beyond-top-level,0.00800386
results_Pylint_error_no-name-in-module,0.00055300
results_Pylint_convention_wrong-import-order,0.00139802
results_Pylint_convention_missing-module-docstring,0.00199263
results_Pylint_convention_trailing-whitespace,0.14604054
results_Pylint_convention_consider-using-f-string,0.00483996
results_Pylint_refactor_use-a-generator,0.00000637
results_Pylint_warning_global-variable-not-assigned,0.00002597
results_Pylint_warning_broad-except,0.00060072
results_Pylint_convention_superfluous-parens,-0.00140052
results_Pylint_refactor_no-self-use,0.00217240
results_Pylint_refactor_too-many-public-methods,-0.00006926
results_Pylint_refactor_consider-using-get,0.00000000
results_Pylint_refactor_too-many-instance-attributes,-0.00004185
results_Pylint_warning_global-statement,-0.00017476
results_Pylint_refactor_too-many-statements,0.00215327
results_Pylint_warning_attribute-defined-outside-init,0.00070504
results_Pylint_warning_fixme,0.00028233
results_Pylint_warning_unused-import,0.00294480
results_Pylint_error_no-member,0.03497879
results_Pylint_refactor_simplifiable-if-statement,-0.00000200
results_Pylint_warning_protected-access,0.00305081
results_Pylint_convention_import-outside-toplevel,0.00352668
results_Pylint_warning_super-init-not-called,0.00054839
results_Pylint_refactor_super-with-arguments,0.00033479
results_Pylint_error_bad-except-order,0.00000365
results_Pylint_refactor_literal-comparison,0.00014003
results_Pylint_refactor_too-many-nested-blocks,0.00045299
results_Pylint_error_no-value-for-parameter,-0.00004214
results_Pylint_warning_arguments-differ,0.00028247
results_Pylint_warning_raise-missing-from,0.01934238
results_Pylint_convention_too-many-lines,0.00024518
results_Pylint_warning_unnecessary-pass,0.00540660
results_Pylint_refactor_consider-using-with,0.00279701
results_Pylint_refactor_no-else-raise,0.00198158
results_Pylint_warning_unnecessary-lambda,-0.00001905
results_Pylint_refactor_stop-iteration-return,0.00003333
results_Pylint_refactor_consider-using-set-comprehension,0.00024405
results_Pylint_refactor_too-few-public-methods,0.00085068
results_Pylint_refactor_too-many-branches,0.00157510
results_Pylint_warning_signature-differs,0.00000000
results_Pylint_refactor_useless-object-inheritance,0.00017572
results_Pylint_refactor_too-many-locals,0.00037006
results_Pylint_refactor_too-many-arguments,0.00140379
results_Pylint_warning_arguments-out-of-order,0.00000000
results_Pylint_refactor_no-else-continue,0.01054772
results_Pylint_warning_global-variable-undefined,-0.00005096
results_Pylint_refactor_redefined-argument-from-local,0.00007315
results_Pylint_warning_comparison-with-callable,-0.00164753
results_Pylint_warning_exec-used,-0.00012279
results_Pylint_refactor_use-dict-literal,0.00010410
results_Pylint_convention_disallowed-name,-0.00000250
results_Pylint_error_undefined-variable,0.00023294
results_Pylint_error_not-an-iterable,-0.00004725
results_Pylint_refactor_consider-using-dict-comprehension,0.00173959
results_Pylint_warning_pointless-statement,0.00104419
results_Pylint_refactor_inconsistent-return-statements,-0.00248262
results_Pylint_warning_deprecated-method,-0.00004127
results_Pylint_refactor_too-many-return-statements,0.00045026
results_Pylint_refactor_consider-using-from-import,-0.00008892
results_Pylint_refactor_consider-using-ternary,0.00000000
results_Pylint_warning_deprecated-class,0.00002447
results_Pylint_refactor_unnecessary-comprehension,-0.00006902
results_Pylint_error_unsubscriptable-object,0.00002853
results_Pylint_warning_useless-super-delegation,0.00635240
results_Pylint_error_invalid-unary-operand-type,-0.00000011
results_Pylint_warning_cell-var-from-loop,-0.00011984
results_Pylint_refactor_consider-using-in,0.00002343
results_Pylint_refactor_use-list-literal,0.00000021
results_Pylint_warning_bare-except,0.00082011
results_Pylint_refactor_consider-merging-isinstance,0.00002673
results_Pylint_error_function-redefined,0.00033592
results_Pylint_warning_dangerous-default-value,0.00037701
results_Pylint_warning_self-assigning-variable,0.00004373
results_Pylint_warning_reimported,0.00028472
results_Pylint_convention_ungrouped-imports,-0.00195904
results_Pylint_refactor_consider-using-max-builtin,-0.00000031
results_Pylint_warning_anomalous-backslash-in-string,0.00055443
results_Pylint_convention_useless-import-alias,0.00000000
results_Pylint_error_too-many-function-args,0.00003547
results_Pylint_warning_bad-indentation,0.00001307
results_Pylint_convention_unidiomatic-typecheck,-0.00048371
results_Pylint_convention_consider-iterating-dictionary,0.00001668
results_Pylint_error_bad-super-call,0.00000144
results_Pylint_refactor_no-else-break,0.00018095
results_Pylint_error_access-member-before-definition,-0.00002286
results_Pylint_warning_raising-format-tuple,-0.00000000
results_Pylint_convention_use-implicit-booleaness-not-len,0.00835317
results_Pylint_warning_abstract-method,-0.00004272
results_Pylint_warning_expression-not-assigned,0.00002679
results_Pylint_warning_wildcard-import,-0.00002050
results_Pylint_convention_wrong-import-position,0.00006102
results_Pylint_error_no-self-argument,-0.00007271
results_Pylint_refactor_simplifiable-if-expression,0.00001195
results_Pylint_warning_assert-on-tuple,0.00000000
results_Pylint_error_syntax-error,0.00022689
results_Pylint_convention_trailing-newlines,0.00127932
results_Pylint_convention_singleton-comparison,0.00082931
results_Pylint_warning_unbalanced-tuple-unpacking,0.00000052
results_Pylint_convention_multiple-imports,-0.00005275
results_Pylint_refactor_chained-comparison,0.00024765
results_Pylint_convention_missing-final-newline,0.00951266
results_Pylint_error_bad-option-value,0.00000000
results_Pylint_warning_undefined-loop-variable,0.00005900
results_Pylint_warning_format-string-without-interpolation,0.00008788
results_Pylint_error_raising-bad-type,-0.00000913
results_Pylint_warning_useless-else-on-loop,-0.00000003
results_Pylint_warning_keyword-arg-before-vararg,-0.00248016
results_Pylint_error_used-before-assignment,0.00002502
results_Pylint_warning_unnecessary-semicolon,0.00004164
results_Pylint_convention_bad-classmethod-argument,-0.00000066
results_Pylint_warning_invalid-overridden-method,0.00000000
results_Pylint_warning_try-except-raise,-0.00000096
results_Pylint_convention_consider-using-dict-items,0.00070079
results_Pylint_warning_arguments-renamed,-0.00067297
results_Pylint_warning_using-constant-test,0.00002565
results_Pylint_refactor_too-many-boolean-expressions,0.00010210
results_Pylint_convention_use-implicit-booleaness-not-comparison,0.00000225
results_Pylint_warning_unused-private-member,-0.00001091
results_Pylint_warning_subprocess-popen-preexec-fn,0.00000000
results_Pylint_convention_unneeded-not,0.00023002
results_Pylint_refactor_useless-return,-0.00014852
results_Pylint_error_not-callable,-0.00015825
results_Pylint_warning_logging-not-lazy,0.00705015
results_Pylint_warning_self-cls-assignment,0.00000047
results_Pylint_error_unexpected-keyword-arg,0.00000295
results_Pylint_warning_possibly-unused-variable,0.00000001
results_Pylint_convention_multiple-statements,0.00067189
results_Pylint_warning_eval-used,0.00000686
results_Pylint_refactor_consider-using-min-builtin,0.00000000
results_Pylint_error_too-few-format-args,-0.00000409
results_Pylint_error_misplaced-bare-raise,0.00003587
results_Pylint_convention_use-maxsplit-arg,0.00003226
results_Pylint_refactor_consider-using-sys-exit,0.00000560
results_Pylint_error_notimplemented-raised,0.00000000
results_Pylint_warning_unused-wildcard-import,-0.00000007
results_Pylint_warning_unreachable,-0.00020213
results_Pylint_warning_logging-format-interpolation,-0.00324629
results_Pylint_warning_deprecated-module,0.00154895
results_Pylint_warning_forgotten-debug-statement,0.00000000
results_Pylint_convention_empty-docstring,-0.00000087
results_Pylint_warning_duplicate-string-formatting-argument,0.00000000
results_Pylint_error_undefined-all-variable,0.00000717
results_Pylint_error_assignment-from-no-return,0.00000000
results_Pylint_error_unsupported-membership-test,0.00000000
results_Pylint_convention_bad-mcs-classmethod-argument,0.00000000
results_Pylint_error_bad-reversed-sequence,0.00000000
results_Pylint_convention_bad-mcs-method-argument,0.00000000
results_Pylint_warning_isinstance-second-argument-not-valid-type,0.00000000
results_Pylint_warning_redundant-unittest-assert,0.00000000
results_Pylint_warning_lost-exception,0.00002090
results_Pylint_error_assigning-non-slot,0.00000000
results_Pylint_warning_subprocess-run-check,0.00005542
results_Pylint_warning_logging-fstring-interpolation,0.00000000
results_Pylint_error_invalid-all-format,0.00000000
results_Pylint_error_no-method-argument,0.00000816
results_Pylint_error_too-many-format-args,0.00000000
results_Pylint_warning_assert-on-string-literal,-0.00000255
results_Pylint_error_unsupported-assignment-operation,0.00000000
results_Pylint_error_unpacking-non-sequence,0.00000000
results_Pylint_warning_duplicate-except,0.00000000
results_Pylint_refactor_condition-evals-to-constant,0.00000000
results_Pylint_warning_invalid-envvar-default,0.00000000
results_Pylint_refactor_simplify-boolean-expression,0.00000000
results_Pylint_error_invalid-metaclass,0.00000000
results_Pylint_convention_mixed-line-endings,0.00000000
results_Pylint_refactor_trailing-comma-tuple,0.00007456
results_Pylint_warning_deprecated-decorator,0.00242145
results_Pylint_warning_missing-format-argument-key,0.00000000
results_Pylint_warning_unused-format-string-argument,-0.00000070
results_Pylint_error_method-hidden,0.00000000
results_Pylint_error_redundant-keyword-arg,0.00000000
results_Pylint_error_unsupported-delete-operation,0.00000000
results_Pylint_refactor_property-with-parameters,0.00000000
results_Pylint_error_invalid-str-returned,0.00000000
results_Pylint_error_catching-non-exception,-0.00021661
results_Pylint_error_class-variable-slots-conflict,0.00000000
results_Pylint_warning_bad-format-string,0.00000000
results_Pylint_error_invalid-repr-returned,0.00000000
results_Pylint_warning_missing-format-attribute,0.00000000
results_Pylint_refactor_comparison-with-itself,0.00000000
results_Pylint_warning_wrong-exception-operation,0.00000000
results_Pylint_warning_implicit-str-concat,0.00001154
results_Pylint_refactor_no-classmethod-decorator,0.00000000
results_Pylint_error_return-in-init,0.00000001
results_Pylint_warning_duplicate-key,0.00000494
results_Pylint_convention_use-sequence-for-iteration,-0.00000070
results_Pylint_error_unexpected-special-method-signature,0.00000000
results_Pylint_error_nonexistent-operator,0.00000000
results_Pylint_refactor_simplifiable-condition,0.00000000
results_Pylint_warning_f-string-without-interpolation,0.00000000
results_Pylint_warning_bad-staticmethod-argument,0.00000000
results_Pylint_warning_non-parent-init-called,0.00000000
results_Pylint_error_not-a-mapping,0.00000000
results_Pylint_convention_single-string-used-for-slots,0.00000000
results_Pylint_error_invalid-sequence-index,0.00000000
