Issue,Importance
results_Pylint_warning_redefined-outer-name,0.00343582
results_Pylint_warning_pointless-string-statement,0.00009868
results_Pylint_warning_unused-variable,0.00305593
results_Pylint_error_import-error,0.01541685
results_Pylint_warning_unspecified-encoding,0.00103953
results_Pylint_convention_consider-using-enumerate,0.00035539
results_Pylint_warning_unused-argument,0.00587022
results_Pylint_convention_missing-function-docstring,0.05950551
results_Pylint_warning_redefined-builtin,-0.00104620
results_Pylint_convention_line-too-long,-0.00658368
results_Pylint_refactor_consider-using-generator,0.00000035
results_Pylint_convention_missing-class-docstring,0.00508356
results_Pylint_convention_invalid-name,0.01391501
results_Pylint_refactor_no-else-return,0.00865401
results_Pylint_error_relative-beyond-top-level,0.00420539
results_Pylint_error_no-name-in-module,-0.00196828
results_Pylint_convention_wrong-import-order,-0.00429213
results_Pylint_convention_missing-module-docstring,0.00627014
results_Pylint_convention_trailing-whitespace,0.00451309
results_Pylint_convention_consider-using-f-string,-0.00053312
results_Pylint_refactor_use-a-generator,-0.00157864
results_Pylint_warning_global-variable-not-assigned,0.00025951
results_Pylint_warning_broad-except,-0.00030749
results_Pylint_convention_superfluous-parens,0.00110812
results_Pylint_refactor_no-self-use,-0.00529745
results_Pylint_refactor_too-many-public-methods,0.00036430
results_Pylint_refactor_consider-using-get,0.00004290
results_Pylint_refactor_too-many-instance-attributes,0.05419075
results_Pylint_warning_global-statement,0.00250562
results_Pylint_refactor_too-many-statements,-0.00015162
results_Pylint_warning_attribute-defined-outside-init,0.00203744
results_Pylint_warning_fixme,0.00035593
results_Pylint_warning_unused-import,-0.00022775
results_Pylint_error_no-member,-0.00121733
results_Pylint_refactor_simplifiable-if-statement,0.00000797
results_Pylint_warning_protected-access,0.00336430
results_Pylint_convention_import-outside-toplevel,0.00309981
results_Pylint_warning_super-init-not-called,0.00028498
results_Pylint_refactor_super-with-arguments,0.00210557
results_Pylint_error_bad-except-order,0.00000000
results_Pylint_refactor_literal-comparison,0.00011347
results_Pylint_refactor_too-many-nested-blocks,-0.00032983
results_Pylint_error_no-value-for-parameter,-0.00016914
results_Pylint_warning_arguments-differ,-0.00024416
results_Pylint_warning_raise-missing-from,0.00192805
results_Pylint_convention_too-many-lines,0.00010922
results_Pylint_warning_unnecessary-pass,0.00494893
results_Pylint_refactor_consider-using-with,0.00026451
results_Pylint_refactor_no-else-raise,0.00005375
results_Pylint_warning_unnecessary-lambda,-0.00023220
results_Pylint_refactor_stop-iteration-return,0.00006877
results_Pylint_refactor_consider-using-set-comprehension,-0.00088212
results_Pylint_refactor_too-few-public-methods,0.00106557
results_Pylint_refactor_too-many-branches,-0.00225412
results_Pylint_warning_signature-differs,0.00000000
results_Pylint_refactor_useless-object-inheritance,-0.00011794
results_Pylint_refactor_too-many-locals,-0.00148112
results_Pylint_refactor_too-many-arguments,0.01412271
results_Pylint_warning_arguments-out-of-order,0.00000000
results_Pylint_refactor_no-else-continue,0.00003628
results_Pylint_warning_global-variable-undefined,0.00004171
results_Pylint_refactor_redefined-argument-from-local,-0.00069719
results_Pylint_warning_comparison-with-callable,-0.00000102
results_Pylint_warning_exec-used,-0.00005439
results_Pylint_refactor_use-dict-literal,0.00005037
results_Pylint_convention_disallowed-name,-0.00025293
results_Pylint_error_undefined-variable,-0.00487750
results_Pylint_error_not-an-iterable,0.00000069
results_Pylint_refactor_consider-using-dict-comprehension,0.00004379
results_Pylint_warning_pointless-statement,-0.00012735
results_Pylint_refactor_inconsistent-return-statements,0.00075086
results_Pylint_warning_deprecated-method,0.00310946
results_Pylint_refactor_too-many-return-statements,0.00013006
results_Pylint_refactor_consider-using-from-import,-0.00032338
results_Pylint_refactor_consider-using-ternary,0.00077227
results_Pylint_warning_deprecated-class,0.00010158
results_Pylint_refactor_unnecessary-comprehension,-0.00031830
results_Pylint_error_unsubscriptable-object,-0.00000142
results_Pylint_warning_useless-super-delegation,0.00070224
results_Pylint_error_invalid-unary-operand-type,-0.00000000
results_Pylint_warning_cell-var-from-loop,-0.00003325
results_Pylint_refactor_consider-using-in,-0.00137588
results_Pylint_refactor_use-list-literal,0.00016203
results_Pylint_warning_bare-except,0.00108337
results_Pylint_refactor_consider-merging-isinstance,-0.00001392
results_Pylint_error_function-redefined,0.00023647
results_Pylint_warning_dangerous-default-value,-0.00009452
results_Pylint_warning_self-assigning-variable,-0.00000981
results_Pylint_warning_reimported,-0.00539065
results_Pylint_convention_ungrouped-imports,0.00046417
results_Pylint_refactor_consider-using-max-builtin,0.00000064
results_Pylint_warning_anomalous-backslash-in-string,-0.00051362
results_Pylint_convention_useless-import-alias,0.00003085
results_Pylint_error_too-many-function-args,-0.00032550
results_Pylint_warning_bad-indentation,0.00127589
results_Pylint_convention_unidiomatic-typecheck,0.00070891
results_Pylint_convention_consider-iterating-dictionary,0.00007871
results_Pylint_error_bad-super-call,0.00000000
results_Pylint_refactor_no-else-break,0.00006990
results_Pylint_error_access-member-before-definition,-0.00100962
results_Pylint_warning_raising-format-tuple,0.00000010
results_Pylint_convention_use-implicit-booleaness-not-len,-0.00397166
results_Pylint_warning_abstract-method,0.00002696
results_Pylint_warning_expression-not-assigned,0.00006103
results_Pylint_warning_wildcard-import,0.00063928
results_Pylint_convention_wrong-import-position,-0.00191696
results_Pylint_error_no-self-argument,-0.00010672
results_Pylint_refactor_simplifiable-if-expression,-0.00803710
results_Pylint_warning_assert-on-tuple,0.00000000
results_Pylint_error_syntax-error,0.01158945
results_Pylint_convention_trailing-newlines,0.00020120
results_Pylint_convention_singleton-comparison,-0.00128599
results_Pylint_warning_unbalanced-tuple-unpacking,0.00002665
results_Pylint_convention_multiple-imports,0.00045055
results_Pylint_refactor_chained-comparison,-0.00014076
results_Pylint_convention_missing-final-newline,-0.00174550
results_Pylint_error_bad-option-value,-0.00000900
results_Pylint_warning_undefined-loop-variable,0.00004900
results_Pylint_warning_format-string-without-interpolation,0.00000057
results_Pylint_error_raising-bad-type,0.00951682
results_Pylint_warning_useless-else-on-loop,-0.00001481
results_Pylint_warning_keyword-arg-before-vararg,0.00003545
results_Pylint_error_used-before-assignment,0.00000890
results_Pylint_warning_unnecessary-semicolon,-0.00002305
results_Pylint_convention_bad-classmethod-argument,-0.00000001
results_Pylint_warning_invalid-overridden-method,0.00000000
results_Pylint_warning_try-except-raise,-0.00172911
results_Pylint_convention_consider-using-dict-items,0.00001548
results_Pylint_warning_arguments-renamed,0.00093514
results_Pylint_warning_using-constant-test,0.00004697
results_Pylint_refactor_too-many-boolean-expressions,0.00002797
results_Pylint_convention_use-implicit-booleaness-not-comparison,0.00000034
results_Pylint_warning_unused-private-member,0.00001977
results_Pylint_warning_subprocess-popen-preexec-fn,0.00000000
results_Pylint_convention_unneeded-not,0.00613546
results_Pylint_refactor_useless-return,0.00550745
results_Pylint_error_not-callable,-0.00207530
results_Pylint_warning_logging-not-lazy,-0.00050382
results_Pylint_warning_self-cls-assignment,0.00000044
results_Pylint_error_unexpected-keyword-arg,-0.00002985
results_Pylint_warning_possibly-unused-variable,-0.00000033
results_Pylint_convention_multiple-statements,0.00021774
results_Pylint_warning_eval-used,0.00269886
