Predicted,Actual
197711.0000,6611.0000
809444.1579,1069887.0000
847.0000,75436.0000
26613.0000,65366.0000
27728.5000,57879.0000
31.0000,1028628.0000
2182737.2727,76850.0000
61961868.0000,2476812.0000
1625766.8208,18904.0000
10540136.5833,2739364.0000
1460629.0000,4927393.0000
317271.0000,1296052.0000
2512384.1908,106.0000
2512384.1908,560561.0000
2512384.1908,238319.0000
1625766.8208,17136.0000
2512384.1908,624596.0000
7479336.3333,17008.0000
146634.0000,23239081.0000
2512384.1908,94412.0000
2512384.1908,286671.0000
213653.0000,36.0000
15628003.0000,14082.0000
2395426.8571,4351.0000
1.0000,2.0000
2512384.1908,329437.0000
51128.0000,102737.0000
4505999.6667,1076199.0000
198815.0000,3227.0000
2512384.1908,91261.0000
2394766.4444,9450.0000
1625766.8208,1625972.0000
2512384.1908,76244.0000
2512384.1908,154.0000
5560262.5000,871563.0000
2512384.1908,643.0000
9242435.4444,11393224.0000
10256215.0000,126.0000
42314.5000,2929493.0000
4649522.0000,45776.0000
2512384.1908,56813.0000
2512384.1908,63345.0000
2512384.1908,2079321.0000
847.0000,56131.0000
2512384.1908,29271.0000
676830.0000,567383.0000
412192.5000,3333.0000
2512384.1908,23265.0000
2512384.1908,1078518.0000
1625766.8208,9175403.0000
2512384.1908,286528.0000
2512384.1908,109936.0000
4463840.5556,35820.0000
3176.0000,2974.0000
2512384.1908,100.0000
2512384.1908,7511.0000
12966518.0000,167738.0000
385645.0000,6922.0000
130971396.0000,499097.0000
5929523.8333,164402.0000
2512384.1908,21054.0000
1543535.0000,1758894.0000
2512384.1908,606959.0000
2512384.1908,238.0000
1002052.0000,27984.0000
2512384.1908,184496.0000
2786712.4000,895113.0000
2512384.1908,1050.0000
3395.0000,908512.0000
2512384.1908,256039.0000
14577.5000,8282080.0000
2512384.1908,90195.0000
2874.7500,741.0000
777891.2857,113687146.0000
54170.0000,35187.0000
2512384.1908,110714.0000
1157503.0000,6932031.0000
2512384.1908,110635.0000
2512384.1908,17805.0000
127930.0000,698467.0000
2512384.1908,1110513.0000
11104.0000,76441.0000
2512384.1908,1189.0000
7455857.8800,9573.0000
2512384.1908,128948.0000
1920564.0000,74856711.0000
2512384.1908,42966181.0000
2512384.1908,193251.0000
2201686.5577,168148.0000
13381.0000,185062.0000
2512384.1908,55917.0000
2512384.1908,1146.0000
2201686.5577,258064.0000
3064956.6667,861799.0000
2512384.1908,36545.0000
263347.0000,23957.0000
2512384.1908,569.0000
2512384.1908,1434073.0000
11856032.0000,15435.0000
2786712.4000,4516591.0000
2512384.1908,13063.0000
18.0000,87500.0000
2512384.1908,301453.0000
41509091.0000,709.0000
18114032.0000,16766794.0000
164086.5000,1142884.0000
