Predicted,Actual
3158471.6027,6611.0000
3242298.7964,1069887.0000
4701247.0973,75436.0000
3015372.6160,65366.0000
3340921.0351,57879.0000
2573247.0441,1028628.0000
3236656.3067,76850.0000
6139005.2512,2476812.0000
3232034.5964,18904.0000
3094601.1734,2739364.0000
3324833.8291,4927393.0000
3230930.8321,1296052.0000
3232218.5571,106.0000
3232218.5571,560561.0000
3232218.5571,238319.0000
3232034.5964,17136.0000
3232218.5571,624596.0000
3949678.5444,17008.0000
2769303.6247,23239081.0000
3232218.5571,94412.0000
3232218.5571,286671.0000
4450175.6977,36.0000
3477778.1466,14082.0000
3231666.6750,4351.0000
3199244.4878,2.0000
3232218.5571,329437.0000
3377110.1747,102737.0000
3131427.8976,1076199.0000
2976904.5024,3227.0000
3232218.5571,91261.0000
3252520.8563,9450.0000
3232034.5964,1625972.0000
3232218.5571,76244.0000
3232218.5571,154.0000
3231850.6357,871563.0000
3232218.5571,643.0000
3080586.6126,11393224.0000
3381329.4540,126.0000
3153281.3280,2929493.0000
3185282.9945,45776.0000
3232218.5571,56813.0000
3232218.5571,63345.0000
3232218.5571,2079321.0000
3023435.5327,56131.0000
3232218.5571,29271.0000
3044873.0553,567383.0000
3232218.1089,3333.0000
3232218.5571,23265.0000
3232218.5571,1078518.0000
3232034.5964,9175403.0000
3232218.5571,286528.0000
3232218.5571,109936.0000
3237358.9037,35820.0000
3564776.1830,2974.0000
3232218.5571,100.0000
3232218.5571,7511.0000
3356908.9130,167738.0000
3188254.7369,6922.0000
3471055.3233,499097.0000
3345808.5165,164402.0000
3232218.5571,21054.0000
3475126.1342,1758894.0000
3232218.5571,606959.0000
3232218.5571,238.0000
3481321.2822,27984.0000
3232218.5571,184496.0000
3362614.4414,895113.0000
3232218.5571,1050.0000
4670947.4138,908512.0000
3232218.5571,256039.0000
3257882.5051,8282080.0000
3232218.5571,90195.0000
3214465.7659,741.0000
3237174.9430,113687146.0000
3458057.7410,35187.0000
3232218.5571,110714.0000
4284818.5615,6932031.0000
3232218.5571,110635.0000
3232218.5571,17805.0000
3256716.4542,698467.0000
3232218.5571,1110513.0000
3256687.3888,76441.0000
3232218.5571,1189.0000
3297416.4993,9573.0000
3232218.5571,128948.0000
4164925.7258,74856711.0000
3232218.5571,42966181.0000
3232218.5571,193251.0000
3245532.7023,168148.0000
3392996.9798,185062.0000
3232218.5571,55917.0000
3232218.5571,1146.0000
3245532.7023,258064.0000
3272160.9928,861799.0000
3232218.5571,36545.0000
3508703.0521,23957.0000
3232218.5571,569.0000
3232218.5571,1434073.0000
3242536.0516,15435.0000
3362614.4414,4516591.0000
3232218.5571,13063.0000
3206793.6621,87500.0000
3232218.5571,301453.0000
3201108.2598,709.0000
3319241.4760,16766794.0000
3321257.3686,1142884.0000
3232218.5571,392166.0000
3232218.5571,26211.0000
3131063.6275,21326.0000
3084944.6800,220220.0000
3232218.5571,46757.0000
3299054.5630,134480.0000
3242298.7964,309255.0000
3171784.8885,526820.0000
3272434.2819,237807.0000
3232218.5571,601858.0000
3222516.8392,1667650.0000
3232218.5571,41280.0000
3232218.5571,597829.0000
3232218.5571,7128.0000
3504019.9464,1033003.0000
3232218.5571,11534400.0000
3135883.5915,272334.0000
4671535.9336,79214.0000
3523262.2254,3812.0000
3232218.5571,4849474.0000
3232034.5964,11634951.0000
3232218.5571,394731.0000
3226210.1761,72814.0000
3232218.5571,6505.0000
963677.3499,181.0000
3231850.6357,4308568.0000
3232218.5571,1904671.0000
2949708.3414,5741.0000
3232218.5571,1609276.0000
3289796.5163,62.0000
3311172.0547,242859.0000
3232218.5571,96330.0000
3297416.4993,2762.0000
3232218.5571,17378418.0000
3232218.5571,117029.0000
2217218.6371,4397428.0000
3232218.5571,82789.0000
3093380.4580,316784.0000
-297693.2019,70189.0000
-131447.7991,311.0000
3367230.9128,278871.0000
3232218.5571,69523.0000
3232218.5571,31794.0000
3232218.5571,115410.0000
3232218.5571,8161666.0000
3232218.5571,425207.0000
3248618.8844,87456.0000
3297416.4993,79195.0000
3232218.5571,1337108.0000
3296427.5105,303332.0000
3613243.4184,5946263.0000
3232218.5571,17301.0000
3232218.5571,3500.0000
3297452.7505,756.0000
3232218.5571,2590767.0000
3297416.4993,12530626.0000
3232218.5571,191721.0000
3232218.5571,43411.0000
2896824.1166,506663.0000
3232218.5571,51977.0000
3232218.5571,15368.0000
3232034.5964,1255779.0000
3232218.5571,62207.0000
3232218.5571,156280.0000
3232218.5571,6210371.0000
3454823.8350,31028774.0000
3232218.5571,115274.0000
3287081.7402,479444.0000
3242298.7964,485072.0000
3232218.5571,6636.0000
3131335.9454,10696876.0000
3285475.1380,12219028.0000
3226590.2882,47235.0000
3232218.5571,100.0000
3237358.9037,353567.0000
3065877.7143,266203.0000
3232218.5571,50186.0000
3232218.5571,11687.0000
3104236.8536,40953.0000
3110276.9360,618353.0000
3232218.5571,69881.0000
3232218.5571,82320.0000
3232218.5571,85881.0000
3205783.7057,111906713.0000
3232218.5571,898.0000
3232218.5571,607414.0000
3115030.2114,495543.0000
3232218.5571,362275.0000
3232218.5571,31445.0000
4178462.1912,58863.0000
3232218.5571,615.0000
3270518.4464,56424844.0000
3232218.5571,177634.0000
3232218.5571,1682.0000
3232218.5571,565897.0000
3232218.5571,2254.0000
3988886.0679,253475.0000
3221130.3971,447201.0000
3334962.3577,54595.0000
3145802.0614,248474.0000
3241066.1648,62606.0000
3232218.5571,2279.0000
3217888.6299,124128.0000
3094187.7409,1956312.0000
3338234.6797,114712.0000
3218903.9637,1456495.0000
3107431.8188,348.0000
3606180.3977,175038.0000
3232218.5571,292090.0000
3675875.0868,2271.0000
3272289.4237,955415.0000
3623404.2718,80927.0000
4148175.1906,1471951.0000
3232218.5571,47.0000
3287225.0696,257244.0000
3338031.6815,361.0000
6869259.1141,449645.0000
3232218.5571,265408.0000
3361613.2904,10762.0000
3555223.7383,1064729.0000
3232218.5571,74117.0000
3244039.1274,127917.0000
3196529.0140,43006.0000
3220167.7242,2160277.0000
3188589.6808,16120.0000
3286438.8699,1747231.0000
3232218.5571,120745.0000
3232218.5571,325.0000
3232218.5571,628.0000
3255218.1649,132437.0000
2484542.8823,1050.0000
3228984.6511,1896760.0000
3232218.5571,338879.0000
3232218.5571,1215082.0000
3739217.9723,2243715.0000
3232218.5571,5618.0000
3232218.5571,94095411.0000
3336530.6985,431.0000
3132979.0288,22059.0000
3117096.3992,2110696.0000
3232218.5571,40239.0000
3582055.0605,46976.0000
3782926.9330,157627.0000
3232218.5571,13976.0000
2422881.0410,7401.0000
3029908.6978,1417666.0000
3232218.5571,238558.0000
3232218.5571,2218401.0000
3232218.5571,771.0000
3493884.8190,77527.0000
3232218.5571,2073.0000
3232218.5571,258842.0000
5210724.3102,2059200.0000
3232218.5571,57016.0000
3232218.5571,5730289.0000
3608069.4257,17755.0000
3232218.5571,4596149.0000
4903154.0837,10513.0000
3714559.3278,904253.0000
3359380.5354,3540.0000
3051255.1332,641624.0000
3232218.5571,2277005.0000
3232218.5571,127609.0000
3794196.0153,1029686.0000
3232218.5571,7473.0000
3265269.8753,327233.0000
2945757.1133,22413.0000
3232218.5571,244214.0000
3238843.5048,16625647.0000
3722018.5410,12897.0000
3232218.5571,215994.0000
3232218.5571,26.0000
3232218.5571,41204.0000
3232218.5571,78465.0000
3655796.2155,170792.0000
3232218.5571,5222.0000
3213310.6412,476929.0000
3228984.6511,8169.0000
