Issue,Importance
results_Pylint_warning_redefined-outer-name,0.00187747
results_Pylint_warning_pointless-string-statement,0.00033919
results_Pylint_warning_unused-variable,0.00066044
results_Pylint_error_import-error,-0.00198435
results_Pylint_warning_unspecified-encoding,0.00019027
results_Pylint_convention_consider-using-enumerate,0.00003753
results_Pylint_warning_unused-argument,0.00037690
results_Pylint_convention_missing-function-docstring,0.00835459
results_Pylint_warning_redefined-builtin,0.00000000
results_Pylint_convention_line-too-long,-0.00004442
results_Pylint_refactor_consider-using-generator,0.00000000
results_Pylint_convention_missing-class-docstring,-0.00025526
results_Pylint_convention_invalid-name,0.00029518
results_Pylint_refactor_no-else-return,0.00020185
results_Pylint_error_relative-beyond-top-level,0.01261769
results_Pylint_error_no-name-in-module,-0.00017740
results_Pylint_convention_wrong-import-order,-0.00014229
results_Pylint_convention_missing-module-docstring,0.00351589
results_Pylint_convention_trailing-whitespace,0.00424137
results_Pylint_convention_consider-using-f-string,-0.00178325
results_Pylint_refactor_use-a-generator,-0.00347330
results_Pylint_warning_global-variable-not-assigned,0.00000000
results_Pylint_warning_broad-except,0.00058611
results_Pylint_convention_superfluous-parens,-0.00010475
results_Pylint_refactor_no-self-use,-0.00168276
results_Pylint_refactor_too-many-public-methods,0.00000004
results_Pylint_refactor_consider-using-get,0.00000000
results_Pylint_refactor_too-many-instance-attributes,0.00210843
results_Pylint_warning_global-statement,0.00029358
results_Pylint_refactor_too-many-statements,0.00009284
results_Pylint_warning_attribute-defined-outside-init,0.00009481
results_Pylint_warning_fixme,-0.00037631
results_Pylint_warning_unused-import,-0.00116923
results_Pylint_error_no-member,-0.00387752
results_Pylint_refactor_simplifiable-if-statement,0.00000000
results_Pylint_warning_protected-access,0.00042367
results_Pylint_convention_import-outside-toplevel,0.00539855
results_Pylint_warning_super-init-not-called,-0.00005778
results_Pylint_refactor_super-with-arguments,-0.00169604
results_Pylint_error_bad-except-order,0.00000000
results_Pylint_refactor_literal-comparison,0.00004990
results_Pylint_refactor_too-many-nested-blocks,-0.00006595
results_Pylint_error_no-value-for-parameter,-0.00007858
results_Pylint_warning_arguments-differ,-0.00243502
results_Pylint_warning_raise-missing-from,-0.00032454
results_Pylint_convention_too-many-lines,-0.00012759
results_Pylint_warning_unnecessary-pass,0.00012995
results_Pylint_refactor_consider-using-with,0.00000000
results_Pylint_refactor_no-else-raise,0.00000000
results_Pylint_warning_unnecessary-lambda,0.00000000
results_Pylint_refactor_stop-iteration-return,0.00000000
results_Pylint_refactor_consider-using-set-comprehension,-0.00004946
results_Pylint_refactor_too-few-public-methods,-0.00015333
results_Pylint_refactor_too-many-branches,0.00000000
results_Pylint_warning_signature-differs,0.00000000
results_Pylint_refactor_useless-object-inheritance,0.00068417
results_Pylint_refactor_too-many-locals,-0.00012409
results_Pylint_refactor_too-many-arguments,0.00000000
results_Pylint_warning_arguments-out-of-order,0.00000000
results_Pylint_refactor_no-else-continue,0.00000000
results_Pylint_warning_global-variable-undefined,0.00000000
results_Pylint_refactor_redefined-argument-from-local,0.00000000
results_Pylint_warning_comparison-with-callable,0.00000000
results_Pylint_warning_exec-used,0.00000000
results_Pylint_refactor_use-dict-literal,-0.00007920
results_Pylint_convention_disallowed-name,0.00001237
results_Pylint_error_undefined-variable,0.00153264
results_Pylint_error_not-an-iterable,0.00000000
results_Pylint_refactor_consider-using-dict-comprehension,0.00001673
results_Pylint_warning_pointless-statement,0.00002003
results_Pylint_refactor_inconsistent-return-statements,-0.00241913
results_Pylint_warning_deprecated-method,0.00000000
results_Pylint_refactor_too-many-return-statements,0.00010953
results_Pylint_refactor_consider-using-from-import,0.00000000
results_Pylint_refactor_consider-using-ternary,0.00169126
results_Pylint_warning_deprecated-class,0.00000000
results_Pylint_refactor_unnecessary-comprehension,0.00012813
results_Pylint_error_unsubscriptable-object,0.00000000
results_Pylint_warning_useless-super-delegation,0.00000000
results_Pylint_error_invalid-unary-operand-type,0.00000000
results_Pylint_warning_cell-var-from-loop,0.00000000
results_Pylint_refactor_consider-using-in,0.00000499
results_Pylint_refactor_use-list-literal,0.00009114
results_Pylint_warning_bare-except,0.00000000
results_Pylint_refactor_consider-merging-isinstance,0.00000000
results_Pylint_error_function-redefined,0.00000000
results_Pylint_warning_dangerous-default-value,0.00035745
results_Pylint_warning_self-assigning-variable,0.00000000
results_Pylint_warning_reimported,-0.00417785
results_Pylint_convention_ungrouped-imports,0.00000000
results_Pylint_refactor_consider-using-max-builtin,0.00000000
results_Pylint_warning_anomalous-backslash-in-string,0.00000000
results_Pylint_convention_useless-import-alias,0.00000000
results_Pylint_error_too-many-function-args,0.00216088
results_Pylint_warning_bad-indentation,-0.00172542
results_Pylint_convention_unidiomatic-typecheck,0.00000000
results_Pylint_convention_consider-iterating-dictionary,0.00000000
