Predicted,Actual
3715673.9057,6611.0000
3123651.4222,1069887.0000
5167311.7408,75436.0000
2926536.5476,65366.0000
2668382.4066,57879.0000
3021954.5222,1028628.0000
2668382.4066,76850.0000
13576706.5698,2476812.0000
2668382.4066,18904.0000
2668382.4066,2739364.0000
1996679.1526,4927393.0000
3176705.9150,1296052.0000
2668382.4066,106.0000
2668382.4066,560561.0000
2668382.4066,238319.0000
2668382.4066,17136.0000
2668382.4066,624596.0000
3371715.2119,17008.0000
2695239.8563,23239081.0000
2668382.4066,94412.0000
2668382.4066,286671.0000
4381487.9449,36.0000
3988181.8682,14082.0000
3369143.0674,4351.0000
2218541.2767,2.0000
2668382.4066,329437.0000
3281694.3297,102737.0000
2124983.6721,1076199.0000
2327641.4039,3227.0000
2668382.4066,91261.0000
2668382.4066,9450.0000
2668382.4066,1625972.0000
2668382.4066,76244.0000
2668382.4066,154.0000
3369143.0674,871563.0000
2668382.4066,643.0000
3123651.4222,11393224.0000
4556624.9580,126.0000
2873482.0548,2929493.0000
3049602.4279,45776.0000
2668382.4066,56813.0000
2668382.4066,63345.0000
2668382.4066,2079321.0000
9365670.7132,56131.0000
2668382.4066,29271.0000
5421057.8596,567383.0000
2668382.4066,3333.0000
2668382.4066,23265.0000
2668382.4066,1078518.0000
2668382.4066,9175403.0000
2668382.4066,286528.0000
2668382.4066,109936.0000
2668382.4066,35820.0000
2170914.9873,2974.0000
2668382.4066,100.0000
2668382.4066,7511.0000
3434220.2479,167738.0000
2668382.4066,6922.0000
9393133.5110,499097.0000
2087490.6228,164402.0000
2668382.4066,21054.0000
3826984.2275,1758894.0000
2668382.4066,606959.0000
2668382.4066,238.0000
3184050.8805,27984.0000
2668382.4066,184496.0000
3557962.5590,895113.0000
2668382.4066,1050.0000
4717413.7671,908512.0000
2668382.4066,256039.0000
2668382.4066,8282080.0000
2668382.4066,90195.0000
2668382.4066,741.0000
2668382.4066,113687146.0000
3371715.2119,35187.0000
2668382.4066,110714.0000
3535152.4551,6932031.0000
2668382.4066,110635.0000
2668382.4066,17805.0000
4627592.6532,698467.0000
2668382.4066,1110513.0000
2087490.6228,76441.0000
2668382.4066,1189.0000
3557962.5590,9573.0000
2668382.4066,128948.0000
5581094.8258,74856711.0000
2668382.4066,42966181.0000
2668382.4066,193251.0000
2668382.4066,168148.0000
4013231.5746,185062.0000
2668382.4066,55917.0000
2668382.4066,1146.0000
2668382.4066,258064.0000
2668382.4066,861799.0000
2668382.4066,36545.0000
2449928.3989,23957.0000
2668382.4066,569.0000
2668382.4066,1434073.0000
2668382.4066,15435.0000
3557962.5590,4516591.0000
2668382.4066,13063.0000
2828921.4110,87500.0000
2668382.4066,301453.0000
6417247.5253,709.0000
4459126.6047,16766794.0000
3194411.4524,1142884.0000
2668382.4066,392166.0000
2668382.4066,26211.0000
2668382.4066,21326.0000
3738012.5008,220220.0000
2668382.4066,46757.0000
3665764.7399,134480.0000
3123651.4222,309255.0000
3049602.4279,526820.0000
2668382.4066,237807.0000
2668382.4066,601858.0000
3988181.8682,1667650.0000
2668382.4066,41280.0000
2668382.4066,597829.0000
2668382.4066,7128.0000
1996679.1526,1033003.0000
2668382.4066,11534400.0000
958287.3232,272334.0000
2330571.6072,79214.0000
1996679.1526,3812.0000
2668382.4066,4849474.0000
2668382.4066,11634951.0000
2668382.4066,394731.0000
2668382.4066,72814.0000
2668382.4066,6505.0000
938235.9105,181.0000
3369143.0674,4308568.0000
2668382.4066,1904671.0000
6172963.6671,5741.0000
2668382.4066,1609276.0000
3557962.5590,62.0000
7250622.0625,242859.0000
2668382.4066,96330.0000
3557962.5590,2762.0000
2668382.4066,17378418.0000
2668382.4066,117029.0000
4595090.0059,4397428.0000
2668382.4066,82789.0000
3371715.2119,316784.0000
1805300.4543,70189.0000
5011522.4397,311.0000
2668382.4066,278871.0000
2668382.4066,69523.0000
2668382.4066,31794.0000
2668382.4066,115410.0000
2668382.4066,8161666.0000
2668382.4066,425207.0000
2668382.4066,87456.0000
3557962.5590,79195.0000
2668382.4066,1337108.0000
1988798.0182,303332.0000
3557962.5590,5946263.0000
2668382.4066,17301.0000
2668382.4066,3500.0000
2668382.4066,756.0000
2668382.4066,2590767.0000
3557962.5590,12530626.0000
2668382.4066,191721.0000
2668382.4066,43411.0000
2896640.5027,506663.0000
2668382.4066,51977.0000
2668382.4066,15368.0000
2668382.4066,1255779.0000
2668382.4066,62207.0000
2668382.4066,156280.0000
2668382.4066,6210371.0000
3826984.2275,31028774.0000
2668382.4066,115274.0000
2668382.4066,479444.0000
3123651.4222,485072.0000
2668382.4066,6636.0000
2668382.4066,10696876.0000
2668382.4066,12219028.0000
3123651.4222,47235.0000
2668382.4066,100.0000
2668382.4066,353567.0000
4078352.5656,266203.0000
2668382.4066,50186.0000
2668382.4066,11687.0000
2668382.4066,40953.0000
2668382.4066,618353.0000
2668382.4066,69881.0000
2668382.4066,82320.0000
2668382.4066,85881.0000
2806174.4130,111906713.0000
2668382.4066,898.0000
2668382.4066,607414.0000
2327641.4039,495543.0000
2668382.4066,362275.0000
2668382.4066,31445.0000
4895062.4829,58863.0000
2668382.4066,615.0000
3844765.5262,56424844.0000
2668382.4066,177634.0000
2668382.4066,1682.0000
2668382.4066,565897.0000
2668382.4066,2254.0000
11868081.4731,253475.0000
3123651.4222,447201.0000
3557962.5590,54595.0000
2569689.8020,248474.0000
3301764.8499,62606.0000
2668382.4066,2279.0000
2742685.5985,124128.0000
7037908.4803,1956312.0000
4258723.2198,114712.0000
2668382.4066,1456495.0000
3824412.0830,348.0000
4013231.5746,175038.0000
2668382.4066,292090.0000
4805041.6008,2271.0000
4877762.0206,955415.0000
19765161.0405,80927.0000
5304079.1295,1471951.0000
2668382.4066,47.0000
3123651.4222,257244.0000
2668382.4066,361.0000
5177335.5619,449645.0000
2668382.4066,265408.0000
2776184.5875,10762.0000
5871051.4739,1064729.0000
2668382.4066,74117.0000
2828921.4110,127917.0000
2668382.4066,43006.0000
2668382.4066,2160277.0000
3123651.4222,16120.0000
2668382.4066,1747231.0000
2668382.4066,120745.0000
2668382.4066,325.0000
2668382.4066,628.0000
2668382.4066,132437.0000
3712675.4570,1050.0000
3123651.4222,1896760.0000
2668382.4066,338879.0000
2668382.4066,1215082.0000
5056260.1236,2243715.0000
2668382.4066,5618.0000
2668382.4066,94095411.0000
4095984.0490,431.0000
2873482.0548,22059.0000
5017940.5558,2110696.0000
2668382.4066,40239.0000
4294085.5900,46976.0000
3096518.9049,157627.0000
2668382.4066,13976.0000
4244452.6411,7401.0000
2668382.4066,1417666.0000
2668382.4066,238558.0000
2668382.4066,2218401.0000
2668382.4066,771.0000
3535152.4551,77527.0000
2668382.4066,2073.0000
2668382.4066,258842.0000
6733186.3805,2059200.0000
2668382.4066,57016.0000
2668382.4066,5730289.0000
3919168.6334,17755.0000
2668382.4066,4596149.0000
12406194.2708,10513.0000
2230387.4627,904253.0000
4013231.5746,3540.0000
958287.3232,641624.0000
2668382.4066,2277005.0000
2668382.4066,127609.0000
8698886.7317,1029686.0000
2668382.4066,7473.0000
4939922.4807,327233.0000
3505500.1250,22413.0000
2668382.4066,244214.0000
2668382.4066,16625647.0000
4528240.8604,12897.0000
2668382.4066,215994.0000
2668382.4066,26.0000
2668382.4066,41204.0000
2668382.4066,78465.0000
4101698.8907,170792.0000
2668382.4066,5222.0000
2668382.4066,476929.0000
3123651.4222,8169.0000
3834995.4726,401261.0000
2668382.4066,24266.0000
2668382.4066,8361.0000
4191729.6776,1403716.0000
3988181.8682,21132027.0000
2668382.4066,645530.0000
2668382.4066,15927.0000
2668382.4066,61333777.0000
2243451.7338,44471.0000
2668382.4066,55714.0000
2668382.4066,68986.0000
4261295.3643,20963238.0000
2668382.4066,2941.0000
3738012.5008,2102251.0000
573013.0655,34874.0000
2668382.4066,118885.0000
3703790.8438,9964.0000
2668382.4066,63608.0000
2668382.4066,870.0000
3557962.5590,79243.0000
2668382.4066,4595839.0000
2668382.4066,2172028.0000
2668382.4066,2361069.0000
2668382.4066,94.0000
3557962.5590,78961.0000
7148416.4684,522747.0000
1726271.6694,172568.0000
4013231.5746,74755.0000
3928137.8424,5948502.0000
3574404.4630,1378207.0000
5421057.8596,50521.0000
2668382.4066,8981.0000
3647440.8654,1386334.0000
1835567.3204,19918651.0000
2668382.4066,5129682.0000
2303310.9406,1327.0000
2668382.4066,53225944.0000
5421057.8596,224363.0000
2668382.4066,101492.0000
2668382.4066,432441.0000
5046720.8110,1603192.0000
6984786.1775,2075310.0000
4013231.5746,56681.0000
3988181.8682,57578.0000
2668382.4066,69964.0000
8365865.9089,695393.0000
2668382.4066,70310.0000
4645876.5616,827262.0000
2668382.4066,442100.0000
4864178.4084,27862.0000
2668382.4066,137.0000
2668382.4066,1727.0000
2668382.4066,1064271.0000
3630616.2261,736568.0000
2668382.4066,170251.0000
3826984.2275,1406.0000
2668382.4066,822.0000
3434220.2479,452997.0000
4137553.0532,1569003.0000
2668382.4066,13807.0000
3542022.4288,137448.0000
2668382.4066,257535.0000
2668382.4066,383.0000
4502230.6546,9742931.0000
4877762.0206,59062.0000
2668382.4066,207824.0000
2668382.4066,1479423.0000
7838670.0247,5346854.0000
3826984.2275,49538.0000
2668382.4066,1648.0000
5966871.0111,89453.0000
2668382.4066,239353.0000
2668382.4066,57562.0000
2668382.4066,29660.0000
2668382.4066,3223.0000
1835567.3204,571266.0000
2668382.4066,730974.0000
2668382.4066,6279.0000
2668382.4066,31725567.0000
3264015.5731,517987.0000
2668382.4066,309.0000
3557962.5590,199077.0000
4341344.1435,104041.0000
2668382.4066,109739.0000
2668382.4066,326.0000
1996679.1526,425688.0000
2668382.4066,428.0000
4526736.5044,2184503.0000
3123651.4222,155630.0000
2668382.4066,14202939.0000
2668382.4066,2215.0000
21035412.3752,40605314.0000
2668382.4066,51400.0000
2668382.4066,13626421.0000
1109079.4585,5687.0000
4441345.3060,782146.0000
4424732.6075,1826176.0000
2668382.4066,455472.0000
5910585.5405,893903.0000
5684180.5432,1460204.0000
1524557.0214,514204.0000
2668382.4066,80429.0000
2668382.4066,40720.0000
2668382.4066,246606.0000
2668382.4066,59888.0000
4269359.6815,198977.0000
2668382.4066,15342932.0000
2668382.4066,5580.0000
2668382.4066,4191.0000
3123651.4222,947151.0000
2668382.4066,938824.0000
4877762.0206,26641.0000
2668382.4066,2449087.0000
2668382.4066,146245.0000
2668382.4066,19582.0000
2668382.4066,163248.0000
2668382.4066,739904.0000
2668382.4066,629439.0000
7324539.6430,168469.0000
3376410.2033,913470.0000
2668382.4066,75792.0000
4258723.2198,290336.0000
2668382.4066,57095.0000
2668382.4066,155.0000
3064090.1863,160779.0000
3371715.2119,15280258.0000
2668382.4066,1421.0000
2668382.4066,505045.0000
2668382.4066,340219.0000
3123651.4222,74103519.0000
3123651.4222,11925.0000
4691514.6734,2510121.0000
2668382.4066,894.0000
3557962.5590,145897.0000
2668382.4066,409754.0000
2668382.4066,29131587.0000
2668382.4066,6966.0000
2668382.4066,1796.0000
2668382.4066,580413.0000
3049602.4279,259425.0000
2668382.4066,3509251.0000
2668382.4066,6326198.0000
3939182.5803,6262315.0000
2668382.4066,5322.0000
2668382.4066,487821.0000
-353498.1447,20132.0000
3988181.8682,20638887.0000
3123651.4222,23450378.0000
6296417.0865,1910628.0000
2668382.4066,88503.0000
4660296.6843,104426.0000
3371715.2119,54172.0000
2668382.4066,72582.0000
2668382.4066,388263.0000
5128539.0956,2379710.0000
3557962.5590,15995.0000
3416207.6697,821207.0000
5391915.1579,27940917.0000
2668382.4066,83324359.0000
3123651.4222,62818.0000
2918230.3848,10462.0000
2668382.4066,6524935.0000
2668382.4066,16324.0000
9179163.8779,1896294.0000
2668382.4066,12346551.0000
2668382.4066,5316.0000
2668382.4066,17234175.0000
2668382.4066,396.0000
9239190.8563,2283371.0000
2668382.4066,1424.0000
2668382.4066,1103157.0000
2776184.5875,219103.0000
2668382.4066,7512.0000
2668382.4066,47726.0000
2668382.4066,33032.0000
3456353.5309,3323473.0000
4933114.1942,538045.0000
2668382.4066,7844732.0000
2668382.4066,325716.0000
2668382.4066,4113464.0000
2668382.4066,1235.0000
2852964.1347,59776.0000
2668382.4066,399694.0000
2668382.4066,4816.0000
3123651.4222,124268.0000
3557962.5590,1437059.0000
2668382.4066,1066822.0000
3123651.4222,9406.0000
2668382.4066,137602.0000
3369143.0674,203858.0000
5304826.5966,9699464.0000
2668382.4066,826.0000
7903691.3264,65142.0000
2668382.4066,2588.0000
3123651.4222,384590.0000
2668382.4066,260307.0000
2668382.4066,439882.0000
2668382.4066,30885.0000
4799890.7934,262855.0000
2668382.4066,23348.0000
2668382.4066,188475.0000
2668382.4066,200029.0000
2668382.4066,28115.0000
2668382.4066,300863.0000
2668382.4066,131.0000
4627592.6532,955774.0000
3557962.5590,23994.0000
4838313.7139,7070570.0000
2668382.4066,271869.0000
2668382.4066,94161.0000
2542759.6384,86392.0000
6740403.1366,17221162.0000
3826984.2275,259665.0000
2668382.4066,252.0000
4013231.5746,741149.0000
3738012.5008,77144.0000
3988181.8682,3792975.0000
2668382.4066,6420385.0000
2668382.4066,198863.0000
2647151.4768,317898.0000
4258723.2198,9332.0000
5072867.4364,13845381.0000
2668382.4066,147692.0000
2668382.4066,7224.0000
2668382.4066,3952953.0000
2668382.4066,83169.0000
8763863.4013,32087.0000
2668382.4066,78984.0000
2668382.4066,2985912.0000
3371715.2119,4398615.0000
3123651.4222,4195982.0000
4691514.6734,2141850.0000
2668382.4066,88132.0000
2668382.4066,31579.0000
2668382.4066,39302.0000
4139546.1077,54579.0000
3367796.9995,261848.0000
3421151.0704,8476.0000
1996679.1526,1717380.0000
2668382.4066,2588889.0000
2668382.4066,390.0000
2668382.4066,1439934.0000
2668382.4066,16816.0000
2668382.4066,975.0000
2668382.4066,412997.0000
2668382.4066,4447.0000
3156749.1477,2.0000
3123651.4222,11286.0000
2668382.4066,122.0000
2668382.4066,29211.0000
2668382.4066,610121.0000
2668382.4066,21461.0000
2668382.4066,1778.0000
3281694.3297,8866.0000
2668382.4066,89101.0000
2668382.4066,65027.0000
4013231.5746,3019452.0000
2668382.4066,2103.0000
7665300.1018,27768208.0000
3397034.2808,2040432.0000
2668382.4066,7118684.0000
2668382.4066,7258.0000
2668382.4066,722186.0000
5581094.8258,206384.0000
2668382.4066,806.0000
2668382.4066,695822.0000
3371715.2119,48195.0000
2668382.4066,593101.0000
5759592.9288,202225.0000
4073631.0329,199664.0000
2668382.4066,847669.0000
299133.4102,187.0000
2668382.4066,6490.0000
2668382.4066,2497676.0000
2327641.4039,5512037.0000
2668382.4066,891151.0000
2668382.4066,691181.0000
2668382.4066,138475.0000
2668382.4066,45542734.0000
2668382.4066,8237.0000
7962071.6573,90616623.0000
3123651.4222,819.0000
3870864.3881,4076.0000
2668382.4066,88955.0000
2668382.4066,66125.0000
2668382.4066,40705.0000
1595878.4272,33100.0000
2668382.4066,31128095.0000
2668382.4066,38141052.0000
2668382.4066,337420.0000
2668382.4066,61198.0000
4601407.4740,70764.0000
2964397.9165,2.0000
2668382.4066,4089102.0000
3123651.4222,850664.0000
2668382.4066,52296110.0000
2668382.4066,1169.0000
1109079.4585,817312.0000
2668382.4066,458.0000
7737379.8945,103046.0000
4979940.7352,13985.0000
670432.0808,261857.0000
2668382.4066,93268.0000
4614573.8780,72386768.0000
2668382.4066,779.0000
4108050.7451,36566.0000
2668382.4066,571806.0000
3123651.4222,420.0000
3367796.9995,6385.0000
2668382.4066,479145.0000
3593543.6487,8.0000
2668382.4066,459722.0000
2668382.4066,21619630.0000
2668382.4066,6443.0000
3665764.7399,32919.0000
2668382.4066,56521835.0000
2668382.4066,3747153.0000
2560986.1320,26846.0000
2668382.4066,3117621.0000
5980352.4022,1017959.0000
2668382.4066,10544.0000
6410425.4962,48002.0000
2668382.4066,247679.0000
4258723.2198,778.0000
2668382.4066,100385.0000
3987020.1895,205.0000
2668382.4066,132751.0000
2920544.8285,7292284.0000
2668382.4066,1460.0000
2668382.4066,33.0000
2886259.3050,1282.0000
2668382.4066,1977970.0000
3123651.4222,1470245.0000
4965788.8440,66581.0000
2920544.8285,1367420.0000
2668382.4066,53915.0000
2668382.4066,600511.0000
2668382.4066,3305112.0000
4326040.0029,1044114.0000
2668382.4066,49071270.0000
2668382.4066,81842.0000
2418213.0392,34741.0000
2712664.6962,4767443.0000
4691514.6734,1301100.0000
4716564.3799,391402.0000
2668382.4066,18876.0000
2668382.4066,2539163.0000
2668382.4066,351.0000
3369143.0674,14.0000
2418213.0392,5378.0000
3486793.9780,68335.0000
2668382.4066,15933330.0000
2668382.4066,3430145.0000
2668382.4066,16517.0000
3738012.5008,42138.0000
2668382.4066,4172.0000
2668382.4066,6802.0000
2389528.9406,536545.0000
2668382.4066,42102.0000
2668382.4066,2563.0000
2668382.4066,3794.0000
7482192.0939,19011426.0000
2668382.4066,377622.0000
2668382.4066,178409.0000
3988181.8682,416113.0000
2668382.4066,1669.0000
2668382.4066,25064496.0000
2668382.4066,14012.0000
2348682.4142,560529.0000
2668382.4066,4515.0000
2668382.4066,12698332.0000
5491073.9437,17212.0000
2971983.2741,12266.0000
2668382.4066,101404.0000
2668382.4066,342642.0000
2668382.4066,2404390.0000
3557962.5590,4562660.0000
3494034.7342,128.0000
2668382.4066,1123921.0000
2873482.0548,47266220.0000
2668382.4066,350985.0000
2668382.4066,9736861.0000
2828921.4110,792.0000
2668382.4066,45273.0000
2668382.4066,2399.0000
1268675.9907,5285.0000
2668382.4066,77372.0000
1660274.0606,99528.0000
2668382.4066,20899466.0000
2668382.4066,898.0000
3369143.0674,602462.0000
4191729.6776,220429.0000
2668382.4066,378699.0000
2668382.4066,2551473.0000
2668382.4066,1515.0000
3910310.6410,2077.0000
2668382.4066,19936237.0000
2087490.6228,93711488.0000
2668382.4066,1224018.0000
2668382.4066,53616.0000
2668382.4066,7248.0000
2375069.7566,22069.0000
5128926.2615,26073.0000
2668382.4066,2247205.0000
3557962.5590,978294.0000
2668382.4066,2517358.0000
2799433.0605,119296.0000
3557962.5590,19311.0000
2668382.4066,14387258.0000
4258723.2198,361156.0000
2668382.4066,14199035.0000
2668382.4066,6376.0000
3004655.7569,21956.0000
7457262.5415,750.0000
2668382.4066,1850449.0000
2977070.7752,6109.0000
2668382.4066,1915317.0000
4095984.0490,10108.0000
1736154.7486,901182.0000
4245355.2341,1406669.0000
2668382.4066,4265.0000
2418213.0392,50925.0000
3988181.8682,1092.0000
2668382.4066,1310.0000
3363964.0019,229474.0000
2668382.4066,1475.0000
2668382.4066,881.0000
2668382.4066,109608.0000
-12126.1518,1233.0000
2776400.5436,22213.0000
2828921.4110,1073.0000
2668382.4066,379218.0000
2668382.4066,1534718.0000
3369143.0674,12446.0000
2139359.5732,6210145.0000
2668382.4066,4526789.0000
3988181.8682,241839.0000
2668382.4066,237619.0000
2668382.4066,1506945.0000
3049602.4279,1936835.0000
2742685.5985,156336.0000
2668382.4066,2560050.0000
2668382.4066,51276.0000
3510771.8937,15423.0000
1053104.5463,272910.0000
2668382.4066,4820.0000
4268977.8557,123996.0000
3557962.5590,836852.0000
3988181.8682,29409.0000
2668382.4066,42330.0000
2668382.4066,198281.0000
3916759.4285,21713.0000
2668382.4066,818.0000
3184050.8805,9947.0000
3371715.2119,34459.0000
4839454.4050,421134.0000
51429921.3464,31089478.0000
2668382.4066,4202.0000
3044741.7288,656.0000
30622139.6827,1272188.0000
3557962.5590,65195.0000
3939182.5803,6216.0000
3557962.5590,8519.0000
2668382.4066,1207600.0000
3369143.0674,372100.0000
3557962.5590,325.0000
2668382.4066,799647.0000
5421057.8596,1879342.0000
2668382.4066,1020.0000
2668382.4066,350443.0000
2668382.4066,82926.0000
1364748.8754,47682.0000
2668382.4066,1696.0000
2668382.4066,86511.0000
670432.0808,52321.0000
670432.0808,49679.0000
2668382.4066,2984348.0000
3557962.5590,81042.0000
2668382.4066,14868.0000
2668382.4066,1073826.0000
4254237.8556,5529.0000
2668382.4066,28952.0000
2668382.4066,475.0000
4222191.3723,323398.0000
5861287.9130,12469.0000
2668382.4066,500875.0000
2668382.4066,99001.0000
2668382.4066,152752.0000
5944069.0045,3278532.0000
2668382.4066,2402873.0000
2668382.4066,62163652.0000
3434220.2479,799702.0000
3123651.4222,1224566.0000
4261295.3643,173171.0000
2668382.4066,5778943.0000
2668382.4066,676.0000
4877762.0206,19022.0000
4846972.3442,150044.0000
2668382.4066,202349.0000
2668382.4066,181693.0000
6333222.1440,66568.0000
3911622.5466,486126.0000
3557962.5590,9416.0000
2668382.4066,36844.0000
2668382.4066,190154.0000
2418213.0392,9729.0000
2668382.4066,243727.0000
2668382.4066,6524893.0000
2668382.4066,78666.0000
7208789.8750,55519.0000
2668382.4066,690.0000
2668382.4066,5988.0000
2668382.4066,7952.0000
2668382.4066,87072.0000
8252304.1128,31607318.0000
4351156.0468,82862.0000
2569689.8020,5071591.0000
2668382.4066,99946.0000
2668382.4066,27423.0000
2668382.4066,26819.0000
2668382.4066,1898052.0000
3271482.8284,1501084.0000
2668382.4066,3349230.0000
10174896.1590,4484481.0000
3035078.0841,11.0000
2668382.4066,5598953.0000
3123651.4222,164200.0000
2668382.4066,86377.0000
3585232.0114,352903.0000
2668382.4066,3626.0000
3557962.5590,28269470.0000
2668382.4066,14041077.0000
2668382.4066,108.0000
4171274.4821,101.0000
2668382.4066,19358.0000
2668382.4066,1064601.0000
2668382.4066,327.0000
2668382.4066,131672.0000
10233195.3916,197.0000
3988181.8682,170675.0000
7020330.1294,3655019.0000
2077472.0365,4226143.0000
5061261.5664,9299.0000
2668382.4066,116.0000
2668382.4066,12365.0000
3369143.0674,7651176.0000
3557962.5590,3958057.0000
2668382.4066,169663.0000
670432.0808,11574.0000
3825675.6696,300543.0000
4688942.5289,2966205.0000
2668382.4066,420001.0000
2668382.4066,246472.0000
2668382.4066,890.0000
2668382.4066,57455.0000
2668382.4066,96.0000
3049602.4279,439356.0000
2668382.4066,188835.0000
2668382.4066,135884.0000
2668382.4066,7826.0000
4502298.5033,118864.0000
2668382.4066,440.0000
7352407.9165,645416.0000
3176705.9150,248555.0000
2668382.4066,1362365.0000
1252054.3527,62595.0000
2668382.4066,283064.0000
2668382.4066,35949803.0000
3123651.4222,25659.0000
3328889.6624,65603096.0000
2569689.8020,51718.0000
2668382.4066,262673.0000
2723316.2472,238177.0000
2668382.4066,467633.0000
2668382.4066,362.0000
1502870.7068,1124.0000
2668382.4066,2166378.0000
4394898.4045,4378791.0000
3805889.2453,189516.0000
3826984.2275,197974.0000
922594.5028,11017.0000
2668382.4066,1889.0000
2920544.8285,52100.0000
2668382.4066,326709.0000
2668382.4066,135587.0000
4979940.7352,173382.0000
2668382.4066,55.0000
2668382.4066,69585.0000
2668382.4066,25678.0000
4339331.3752,275772.0000
3572036.9135,427983.0000
3917982.2170,4345.0000
2668382.4066,5907963.0000
2668382.4066,634573.0000
2668382.4066,36049.0000
2920544.8285,373.0000
3557962.5590,1754412.0000
2668382.4066,34531.0000
3156749.1477,4534.0000
2668382.4066,166678.0000
2668382.4066,22668.0000
2668382.4066,1265644.0000
3123651.4222,519512.0000
2668382.4066,13360.0000
2668382.4066,26179.0000
2668382.4066,1553578.0000
2668382.4066,254461.0000
2668382.4066,11610790.0000
2668382.4066,9140.0000
2668382.4066,2871488.0000
4691514.6734,224535.0000
2668382.4066,30034.0000
3179187.1254,522184.0000
2668382.4066,450005.0000
3369143.0674,208585.0000
6564082.8010,2553534.0000
2668382.4066,109431.0000
1641986.8657,236568.0000
3418416.8869,524515.0000
4776152.9925,10835892.0000
2668382.4066,4234.0000
2668382.4066,18626.0000
2668382.4066,145.0000
3123651.4222,21589.0000
2668382.4066,319358.0000
2668382.4066,384302.0000
2668382.4066,169627.0000
2668382.4066,2745.0000
2668382.4066,83746.0000
3826984.2275,33878.0000
2668382.4066,3485.0000
2668382.4066,217684.0000
2668382.4066,68291.0000
2668382.4066,18812.0000
2668382.4066,102973.0000
1620947.4395,238259.0000
3369143.0674,9330.0000
2668382.4066,990144.0000
2668382.4066,6775.0000
2668382.4066,334043.0000
48201501.2423,39065.0000
2668382.4066,81370.0000
3035078.0841,141893.0000
