Predicted,Actual
-2491183.9849,6611.0000
3151277.0860,1069887.0000
5671479.6848,75436.0000
2043933.1339,65366.0000
3457792.4706,57879.0000
1892570.3610,1028628.0000
3113293.2210,76850.0000
-2064061.5276,2476812.0000
3048596.6205,18904.0000
2849013.7521,2739364.0000
3124357.1413,4927393.0000
3048241.6761,1296052.0000
3048655.7779,106.0000
3048655.7779,560561.0000
3048655.7779,238319.0000
3048596.6205,17136.0000
3048655.7779,624596.0000
4521385.6891,17008.0000
5419713.1842,23239081.0000
3048655.7779,94412.0000
3048655.7779,286671.0000
4477622.0560,36.0000
3784692.0952,14082.0000
3048478.3057,4351.0000
4888736.3478,2.0000
3048655.7779,329437.0000
3918110.1541,102737.0000
294138.5358,1076199.0000
1813324.5662,3227.0000
3048655.7779,91261.0000
3120575.1627,9450.0000
3048596.6205,1625972.0000
3048655.7779,76244.0000
3048655.7779,154.0000
3048537.4631,871563.0000
3048655.7779,643.0000
2870512.8711,11393224.0000
5910315.8661,126.0000
2662914.8316,2929493.0000
2931451.7881,45776.0000
3048655.7779,56813.0000
3048655.7779,63345.0000
3048655.7779,2079321.0000
9585384.3761,56131.0000
3048655.7779,29271.0000
2908767.4035,567383.0000
3114655.2217,3333.0000
3048655.7779,23265.0000
3048655.7779,1078518.0000
3048596.6205,9175403.0000
3048655.7779,286528.0000
3048655.7779,109936.0000
3053298.4839,35820.0000
3469525.3673,2974.0000
3048655.7779,100.0000
3048655.7779,7511.0000
4197814.5033,167738.0000
1582090.6816,6922.0000
8488703.2234,499097.0000
4246113.4312,164402.0000
3048655.7779,21054.0000
3590279.5580,1758894.0000
3048655.7779,606959.0000
3048655.7779,238.0000
2960058.4337,27984.0000
3048655.7779,184496.0000
3288106.3122,895113.0000
3048655.7779,1050.0000
-3469893.2707,908512.0000
3048655.7779,256039.0000
3090444.7826,8282080.0000
3048655.7779,90195.0000
3054103.7808,741.0000
3053239.3265,113687146.0000
3477652.3067,35187.0000
3048655.7779,110714.0000
6561480.0583,6932031.0000
3048655.7779,110635.0000
3048655.7779,17805.0000
1488810.3716,698467.0000
3048655.7779,1110513.0000
3652854.8915,76441.0000
3048655.7779,1189.0000
3168381.0451,9573.0000
3048655.7779,128948.0000
5804522.4290,74856711.0000
3048655.7779,42966181.0000
3048655.7779,193251.0000
3110569.2195,168148.0000
3462647.0051,185062.0000
3048655.7779,55917.0000
3048655.7779,1146.0000
3110569.2195,258064.0000
3234396.1027,861799.0000
3048655.7779,36545.0000
2694705.3763,23957.0000
3048655.7779,569.0000
3048655.7779,1434073.0000
3271863.2098,15435.0000
3288106.3122,4516591.0000
3048655.7779,13063.0000
3096173.6479,87500.0000
3048655.7779,301453.0000
7731811.4179,709.0000
3949103.6724,16766794.0000
75352.7970,1142884.0000
3048655.7779,392166.0000
3048655.7779,26211.0000
2706784.6667,21326.0000
2471216.8693,220220.0000
3048655.7779,46757.0000
3884948.3662,134480.0000
3151277.0860,309255.0000
2869479.1891,526820.0000
3113921.2544,237807.0000
3048655.7779,601858.0000
3170779.3773,1667650.0000
3048655.7779,41280.0000
3048655.7779,597829.0000
3048655.7779,7128.0000
3457605.6637,1033003.0000
3048655.7779,11534400.0000
2674193.0339,272334.0000
4343687.5078,79214.0000
3234425.3773,3812.0000
3048655.7779,4849474.0000
3048596.6205,11634951.0000
3048655.7779,394731.0000
5095275.3922,72814.0000
3048655.7779,6505.0000
4926496.6184,181.0000
3048537.4631,4308568.0000
3048655.7779,1904671.0000
740297.8313,5741.0000
3048655.7779,1609276.0000
3099097.2621,62.0000
13789507.5793,242859.0000
3048655.7779,96330.0000
3168381.0451,2762.0000
3048655.7779,17378418.0000
3048655.7779,117029.0000
194782.7864,4397428.0000
3048655.7779,82789.0000
2295908.1867,316784.0000
-11017811.1981,70189.0000
-4035111.1135,311.0000
3343037.3870,278871.0000
3048655.7779,69523.0000
3048655.7779,31794.0000
3048655.7779,115410.0000
3048655.7779,8161666.0000
3048655.7779,425207.0000
3085903.6926,87456.0000
3168381.0451,79195.0000
3048655.7779,1337108.0000
4536206.0083,303332.0000
5229537.0821,5946263.0000
3048655.7779,17301.0000
3048655.7779,3500.0000
2936354.6789,756.0000
3048655.7779,2590767.0000
3168381.0451,12530626.0000
3048655.7779,191721.0000
3048655.7779,43411.0000
1799724.4302,506663.0000
3048655.7779,51977.0000
3048655.7779,15368.0000
3048596.6205,1255779.0000
3048655.7779,62207.0000
3048655.7779,156280.0000
3048655.7779,6210371.0000
3518360.1732,31028774.0000
3048655.7779,115274.0000
3942722.0027,479444.0000
3151277.0860,485072.0000
3048655.7779,6636.0000
2680748.7199,10696876.0000
3296309.5443,12219028.0000
2978740.1487,47235.0000
3048655.7779,100.0000
3053298.4839,353567.0000
1257866.0135,266203.0000
3048655.7779,50186.0000
3048655.7779,11687.0000
2741642.0940,40953.0000
2725604.0836,618353.0000
3048655.7779,69881.0000
3048655.7779,82320.0000
3048655.7779,85881.0000
2088571.0643,111906713.0000
3048655.7779,898.0000
3048655.7779,607414.0000
1391765.9347,495543.0000
3048655.7779,362275.0000
3048655.7779,31445.0000
4280955.4083,58863.0000
3048655.7779,615.0000
4504152.4325,56424844.0000
3048655.7779,177634.0000
3048655.7779,1682.0000
3048655.7779,565897.0000
3048655.7779,2254.0000
11925538.1910,253475.0000
3003095.1757,447201.0000
3219777.0516,54595.0000
2501901.7362,248474.0000
1926840.7316,62606.0000
3048655.7779,2279.0000
3053204.0741,124128.0000
1763630.0444,1956312.0000
2152638.9635,114712.0000
3052741.7801,1456495.0000
2649418.8867,348.0000
4276881.3869,175038.0000
3048655.7779,292090.0000
4949520.0045,2271.0000
1545872.0974,955415.0000
3729133.7821,80927.0000
6979005.9920,1471951.0000
3048655.7779,47.0000
3337470.1933,257244.0000
3083022.6506,361.0000
2831273.0200,449645.0000
3048655.7779,265408.0000
3758116.8329,10762.0000
5725868.4254,1064729.0000
3048655.7779,74117.0000
2205992.5634,127917.0000
3059492.6262,43006.0000
3239417.0337,2160277.0000
2942754.8301,16120.0000
19179353.3412,1747231.0000
3048655.7779,120745.0000
3048655.7779,325.0000
3048655.7779,628.0000
3017336.3426,132437.0000
1479977.3547,1050.0000
3089363.6444,1896760.0000
3048655.7779,338879.0000
3048655.7779,1215082.0000
5092113.4176,2243715.0000
3048655.7779,5618.0000
3048655.7779,94095411.0000
3736865.6181,431.0000
2590995.4468,22059.0000
2539338.7940,2110696.0000
3048655.7779,40239.0000
5867286.5996,46976.0000
3736443.0933,157627.0000
3048655.7779,13976.0000
-637141.8463,7401.0000
2364913.5555,1417666.0000
3048655.7779,238558.0000
3048655.7779,2218401.0000
3048655.7779,771.0000
3376729.3232,77527.0000
3048655.7779,2073.0000
3048655.7779,258842.0000
4311641.1063,2059200.0000
3048655.7779,57016.0000
3048655.7779,5730289.0000
2916989.0280,17755.0000
3048655.7779,4596149.0000
34164649.2466,10513.0000
2039962.9480,904253.0000
3328814.1787,3540.0000
2275444.1690,641624.0000
3048655.7779,2277005.0000
3048655.7779,127609.0000
7134421.1997,1029686.0000
3048655.7779,7473.0000
5480333.2834,327233.0000
2488869.4652,22413.0000
3048655.7779,244214.0000
2977259.2260,16625647.0000
7863403.1533,12897.0000
3048655.7779,215994.0000
3048655.7779,26.0000
3048655.7779,41204.0000
3048655.7779,78465.0000
-590692.4022,170792.0000
3048655.7779,5222.0000
2373758.6466,476929.0000
3089363.6444,8169.0000
6658306.4073,401261.0000
3048655.7779,24266.0000
3048655.7779,8361.0000
3306813.6940,1403716.0000
3722576.0706,21132027.0000
3048655.7779,645530.0000
3048655.7779,15927.0000
3048596.6205,61333777.0000
4408752.8300,44471.0000
3048655.7779,55714.0000
3052007.8128,68986.0000
4004780.3803,20963238.0000
3048655.7779,2941.0000
3413127.0478,2102251.0000
868867.3934,34874.0000
3048655.7779,118885.0000
4397265.2716,9964.0000
3048655.7779,63608.0000
3051379.7794,870.0000
4608037.8530,79243.0000
3048655.7779,4595839.0000
3048655.7779,2172028.0000
3048655.7779,2361069.0000
3048655.7779,94.0000
2790998.3577,78961.0000
3043405.5824,522747.0000
281467.6808,172568.0000
3703310.7467,74755.0000
5381046.8656,5948502.0000
7020273.9256,1378207.0000
3195638.2869,50521.0000
3048596.6205,8981.0000
2234711.7275,1386334.0000
2002999.3743,19918651.0000
3048655.7779,5129682.0000
7121247.6372,1327.0000
3048655.7779,53225944.0000
3306675.1836,224363.0000
3048596.6205,101492.0000
3048655.7779,432441.0000
3715244.9150,1603192.0000
3469331.8517,2075310.0000
3209088.9115,56681.0000
3170779.3773,57578.0000
3048655.7779,69964.0000
5048747.3014,695393.0000
3048655.7779,70310.0000
4289582.9660,827262.0000
3048596.6205,442100.0000
1946780.4368,27862.0000
3306572.0634,137.0000
3048655.7779,1727.0000
3048655.7779,1064271.0000
3326052.5107,736568.0000
3048655.7779,170251.0000
3518360.1732,1406.0000
3048655.7779,822.0000
3488083.6017,452997.0000
3730423.0930,1569003.0000
3048655.7779,13807.0000
4178291.3016,137448.0000
3048655.7779,257535.0000
3048655.7779,383.0000
3664120.5848,9742931.0000
2979845.0516,59062.0000
3048655.7779,207824.0000
3048655.7779,1479423.0000
4201173.9229,5346854.0000
3580273.6148,49538.0000
3048596.6205,1648.0000
3879417.6328,89453.0000
3048655.7779,239353.0000
3048655.7779,57562.0000
3048596.6205,29660.0000
