Issue,Importance
results_Pylint_warning_redefined-outer-name,0.00424403
results_Pylint_warning_pointless-string-statement,0.00012154
results_Pylint_warning_unused-variable,0.00270210
results_Pylint_error_import-error,0.01486003
results_Pylint_warning_unspecified-encoding,0.00103568
results_Pylint_convention_consider-using-enumerate,0.00058313
results_Pylint_warning_unused-argument,0.00416739
results_Pylint_convention_missing-function-docstring,0.06926662
results_Pylint_warning_redefined-builtin,-0.00084070
results_Pylint_convention_line-too-long,-0.00313991
results_Pylint_refactor_consider-using-generator,0.00000040
results_Pylint_convention_missing-class-docstring,0.00509118
results_Pylint_convention_invalid-name,0.01228745
results_Pylint_refactor_no-else-return,0.00834488
results_Pylint_error_relative-beyond-top-level,0.00480586
results_Pylint_error_no-name-in-module,-0.00223824
results_Pylint_convention_wrong-import-order,-0.00154752
results_Pylint_convention_missing-module-docstring,0.00567062
results_Pylint_convention_trailing-whitespace,0.00371740
results_Pylint_convention_consider-using-f-string,0.00048257
results_Pylint_refactor_use-a-generator,-0.00168404
results_Pylint_warning_global-variable-not-assigned,0.00029846
results_Pylint_warning_broad-except,-0.00065069
results_Pylint_convention_superfluous-parens,0.00141806
results_Pylint_refactor_no-self-use,-0.00250233
results_Pylint_refactor_too-many-public-methods,0.00037549
results_Pylint_refactor_consider-using-get,0.00000017
results_Pylint_refactor_too-many-instance-attributes,0.05317765
results_Pylint_warning_global-statement,0.00340867
results_Pylint_refactor_too-many-statements,-0.00062038
results_Pylint_warning_attribute-defined-outside-init,0.00326129
results_Pylint_warning_fixme,0.00041374
results_Pylint_warning_unused-import,0.00138807
results_Pylint_error_no-member,-0.00145403
results_Pylint_refactor_simplifiable-if-statement,0.00000328
results_Pylint_warning_protected-access,0.00368704
results_Pylint_convention_import-outside-toplevel,0.00149807
results_Pylint_warning_super-init-not-called,0.00027343
results_Pylint_refactor_super-with-arguments,0.00283952
results_Pylint_error_bad-except-order,0.00000000
results_Pylint_refactor_literal-comparison,0.00001919
results_Pylint_refactor_too-many-nested-blocks,-0.00039291
results_Pylint_error_no-value-for-parameter,-0.00021566
results_Pylint_warning_arguments-differ,-0.00020883
results_Pylint_warning_raise-missing-from,0.00178624
results_Pylint_convention_too-many-lines,-0.00008092
results_Pylint_warning_unnecessary-pass,0.00524150
results_Pylint_refactor_consider-using-with,-0.00003725
results_Pylint_refactor_no-else-raise,-0.00010370
results_Pylint_warning_unnecessary-lambda,-0.00020332
results_Pylint_refactor_stop-iteration-return,0.00006764
results_Pylint_refactor_consider-using-set-comprehension,-0.00034444
results_Pylint_refactor_too-few-public-methods,0.00037666
results_Pylint_refactor_too-many-branches,-0.00173882
