Variables;Importance
results_flawfinder_error_buffer-lstrcatA;-0.0857
results_flawfinder_note_format-vprintf;-0.0852
results_flawfinder_note_buffer-MultiByteToWideChar;-0.0805
results_flawfinder_note_input-readv;-0.0790
results_flawfinder_error_misc-SetSecurityDescriptorDacl;-0.0790
results_flawfinder_warning_tmpfile-GetTempFileName;-0.0777
results_flawfinder_error_format-vprintf;-0.0773
results_flawfinder_error_buffer-vsscanf;-0.0772
results_flawfinder_error_shell-execlp;-0.0768
results_flawfinder_error_buffer-strcat;-0.0719
results_flawfinder_error_access-RpcImpersonateClient;-0.0711
results_flawfinder_error_shell-WinExec;-0.0708
results_flawfinder_error_format-vsnprintf;-0.0705
results_flawfinder_error_shell-ShellExecute;-0.0700
results_flawfinder_warning_buffer-getopt;-0.0689
results_flawfinder_note_format-_sntprintf;-0.0673
results_flawfinder_error_buffer-StrCatA;-0.0673
results_flawfinder_error_buffer-StrCpyA;-0.0673
results_flawfinder_error_buffer-StrCatBuffW;-0.0673
results_flawfinder_note_format-fwprintf;-0.0673
results_flawfinder_error_format-vswprintf;-0.0649
results_flawfinder_note_misc-fopen;-0.0639
results_flawfinder_error_buffer-fscanf;-0.0635
results_flawfinder_note_buffer-_tcscat;-0.0631
results_flawfinder_note_buffer-wcsncat;-0.0613
results_flawfinder_note_tmpfile-tmpfile;-0.0604
results_flawfinder_error_race-access;-0.0596
results_flawfinder_note_format-wprintf;-0.0589
results_flawfinder_note_format-vfprintf;-0.0586
results_flawfinder_warning_misc-chroot;-0.0585
results_flawfinder_note_buffer-_tcsncpy;-0.0582
results_flawfinder_note_buffer-scanf;-0.0572
results_flawfinder_warning_misc-LoadLibrary;-0.0569
results_flawfinder_note_buffer-CopyMemory;-0.0569
results_flawfinder_error_buffer-swprintf;-0.0567
results_flawfinder_warning_random-srandom;-0.0566
results_flawfinder_note_buffer-wcscat;-0.0561
results_flawfinder_warning_tmpfile-tmpnam;-0.0558
results_flawfinder_note_buffer-fscanf;-0.0557
results_flawfinder_note_buffer-swprintf;-0.0544
results_flawfinder_note_format-vsnprintf;-0.0538
results_flawfinder_note_input-recvfrom;-0.0537
results_flawfinder_note_buffer-wcslen;-0.0528
results_flawfinder_error_shell-system;-0.0525
results_flawfinder_error_format-swprintf;-0.0524
results_flawfinder_error_format-snprintf;-0.0522
results_flawfinder_note_buffer-wchar_t;-0.0521
results_flawfinder_warning_buffer-getenv;-0.0515
results_flawfinder_error_race-chmod;-0.0508
results_flawfinder_note_format-_snprintf;-0.0495
results_flawfinder_note_buffer-wcscpy;-0.0486
results_flawfinder_error_buffer-vwscanf;-0.0484
results_flawfinder_error_crypto-crypt;-0.0484
results_flawfinder_note_buffer-TCHAR;-0.0482
results_flawfinder_warning_misc-LoadLibraryEx;-0.0469
results_flawfinder_warning_shell-CreateProcess;-0.0469
results_flawfinder_warning_random-setstate;-0.0467
results_flawfinder_error_format-fprintf;-0.0463
results_flawfinder_error_format-vfprintf;-0.0463
results_flawfinder_error_buffer-strcpyW;-0.0462
results_flawfinder_note_input-recv;-0.0459
results_flawfinder_note_format-swprintf;-0.0454
results_flawfinder_warning_buffer-realpath;-0.0453
results_flawfinder_warning_misc-InitializeCriticalSection;-0.0439
results_flawfinder_note_buffer-sprintf;-0.0433
