Variables;Importance
results_flawfinder_note_input-fread;-0.0603
results_flawfinder_warning_buffer-getopt_long;-0.0563
results_flawfinder_note_buffer-wcsncat;-0.0562
results_flawfinder_note_format-fprintf;-0.0550
results_flawfinder_error_shell-execl;-0.0548
results_flawfinder_note_tmpfile-tmpfile;-0.0536
results_flawfinder_note_format-vprintf;-0.0531
results_flawfinder_error_buffer-lstrcatW;-0.0517
results_flawfinder_note_access-umask;-0.0517
results_flawfinder_note_buffer-wcsncpy;-0.0517
results_flawfinder_note_format-vsprintf;-0.0501
results_flawfinder_note_buffer-sscanf;-0.0497
results_flawfinder_warning_random-random;-0.0496
results_flawfinder_warning_misc-AddAccessAllowedAce;-0.0493
results_flawfinder_warning_shell-CreateProcessAsUser;-0.0493
results_flawfinder_note_buffer-lstrcpyn;-0.0493
results_flawfinder_error_buffer-lstrcat;-0.0493
results_flawfinder_note_misc-open;-0.0491
results_flawfinder_error_access-ImpersonateLoggedOnUser;-0.0484
results_flawfinder_note_buffer-MultiByteToWideChar;-0.0483
results_flawfinder_note_buffer-_tcscat;-0.0480
results_flawfinder_error_access-ImpersonateSecurityContext;-0.0476
results_flawfinder_note_input-recv;-0.0475
results_flawfinder_error_buffer-_tcscat;-0.0470
results_flawfinder_error_buffer-StrCatChainW;-0.0470
results_flawfinder_error_buffer-strcat;-0.0469
results_flawfinder_note_buffer-wchar_t;-0.0468
results_flawfinder_error_tmpfile-mktemp;-0.0467
results_flawfinder_note_format-swprintf;-0.0465
results_flawfinder_note_buffer-strcpy;-0.0460
results_flawfinder_note_buffer-mismatch;-0.0449
results_flawfinder_warning_misc-chroot;-0.0448
results_flawfinder_error_buffer-_tcscpy;-0.0443
results_flawfinder_error_format-vfprintf;-0.0433
results_flawfinder_note_format-wprintf;-0.0429
results_flawfinder_error_buffer-vsscanf;-0.0429
results_flawfinder_error_buffer-lstrcpynW;-0.0427
results_flawfinder_note_format-syslog;-0.0427
results_flawfinder_note_format-fwprintf;-0.0423
results_flawfinder_error_buffer-lstrcpyA;-0.0417
results_flawfinder_error_buffer-wcscat;-0.0417
results_flawfinder_error_format-wprintf;-0.0413
results_flawfinder_error_buffer-sprintf;-0.0412
results_flawfinder_error_buffer-StrCatA;-0.0411
results_flawfinder_note_obsolete-usleep;-0.0406
results_flawfinder_error_format-fprintf;-0.0404
results_flawfinder_note_format-sprintf;-0.0402
results_flawfinder_error_access-RpcImpersonateClient;-0.0401
results_flawfinder_error_buffer-vsprintf;-0.0400
results_flawfinder_error_buffer-lstrcpyW;-0.0394
results_flawfinder_error_buffer-fscanf;-0.0391
