Predicted,Actual
31637030.2000,13378123.0000
2232880.4631,75615.0000
2232880.4631,269361.0000
2232880.4631,60285.0000
3555297.1176,2196.0000
2232880.4631,682.0000
2232880.4631,852.0000
2232880.4631,174097.0000
2232880.4631,96795.0000
2232880.4631,3806.0000
8549572.0000,464917.0000
2232880.4631,54821.0000
39782604.5000,63925160.0000
6497216.5000,88199.0000
2232880.4631,161867.0000
2232880.4631,276905.0000
2232880.4631,227084.0000
2232880.4631,571.0000
2232880.4631,1136.0000
2232880.4631,40033.0000
257033.6667,34177.0000
2232880.4631,528905.0000
2232880.4631,2191145.0000
2232880.4631,402006.0000
2232880.4631,17840.0000
2232880.4631,4607640.0000
12825.0000,439360.0000
2232880.4631,12517.0000
2232880.4631,143964.0000
2232880.4631,18802523.0000
2232880.4631,1958744.0000
2232880.4631,100094.0000
2232880.4631,530.0000
2232880.4631,8398.0000
55569.0000,10537.0000
2232880.4631,238890.0000
5503184.2857,5395332.0000
1521288.7059,18001548.0000
2232880.4631,426140.0000
75815085.0000,13563.0000
2232880.4631,72496.0000
2232880.4631,1121.0000
2232880.4631,24165.0000
2232880.4631,5521.0000
2232880.4631,913.0000
398049.3571,30617765.0000
2232880.4631,44248.0000
2232880.4631,4391.0000
31637030.2000,34632991.0000
26.0000,252540.0000
2232880.4631,948748.0000
2232880.4631,1029514.0000
2232880.4631,2113.0000
2232880.4631,14274865.0000
2232880.4631,3552.0000
2232880.4631,127020.0000
2232880.4631,6737.0000
2232880.4631,1339.0000
39782604.5000,34828756.0000
2232880.4631,14587888.0000
2232880.4631,38591.0000
2232880.4631,171.0000
2232880.4631,11451.0000
2232880.4631,8136251.0000
2232880.4631,8875.0000
2232880.4631,67360.0000
2232880.4631,3088.0000
2232880.4631,76383.0000
2232880.4631,80112.0000
2232880.4631,510633.0000
2232880.4631,1207.0000
3608883.0000,612714.0000
2232880.4631,1196658.0000
2232880.4631,85650.0000
2232880.4631,10454.0000
2232880.4631,30803.0000
2232880.4631,11437.0000
2232880.4631,7204272.0000
2232880.4631,30529.0000
1179.5000,4563.0000
2232880.4631,163836.0000
2232880.4631,670109.0000
2086878.3793,247.0000
97347.0000,14157.0000
2232880.4631,131850.0000
2232880.4631,6006.0000
1995965.0000,10217153.0000
12275.0000,212.0000
2232880.4631,70444.0000
2232880.4631,5929463.0000
2232880.4631,293037.0000
2232880.4631,799.0000
2232880.4631,647605.0000
