Predicted,Actual
3915970.9425,13378123.0000
2962795.5112,75615.0000
2962795.5112,269361.0000
2962795.5112,60285.0000
3132217.8965,2196.0000
2962795.5112,682.0000
2962795.5112,852.0000
2962795.5112,174097.0000
2962795.5112,96795.0000
2962795.5112,3806.0000
2332545.0866,464917.0000
2962795.5112,54821.0000
20591511.0207,63925160.0000
3132453.9317,88199.0000
2962795.5112,161867.0000
2962795.5112,276905.0000
2962795.5112,227084.0000
2962795.5112,571.0000
2962795.5112,1136.0000
2962795.5112,40033.0000
2450183.2638,34177.0000
2962795.5112,528905.0000
2962795.5112,2191145.0000
2962795.5112,402006.0000
2962795.5112,17840.0000
2962795.5112,4607640.0000
-15849309.6023,439360.0000
2962795.5112,12517.0000
2962795.5112,143964.0000
2962795.5112,18802523.0000
2962795.5112,1958744.0000
2962795.5112,100094.0000
2962795.5112,530.0000
2962795.5112,8398.0000
5856709.1350,10537.0000
2962795.5112,238890.0000
3408979.1335,5395332.0000
3167810.2219,18001548.0000
2962795.5112,426140.0000
4481606.8748,13563.0000
2962795.5112,72496.0000
2962795.5112,1121.0000
2962795.5112,24165.0000
2962795.5112,5521.0000
2962795.5112,913.0000
3340981.4436,30617765.0000
2962795.5112,44248.0000
2962795.5112,4391.0000
51812130.1087,34632991.0000
7319521.2608,252540.0000
2962795.5112,948748.0000
2962795.5112,1029514.0000
2962795.5112,2113.0000
2962795.5112,14274865.0000
2962795.5112,3552.0000
2962795.5112,127020.0000
2962795.5112,6737.0000
2962795.5112,1339.0000
27754235.4288,34828756.0000
2962795.5112,14587888.0000
2962795.5112,38591.0000
2962795.5112,171.0000
2962795.5112,11451.0000
2962795.5112,8136251.0000
2962795.5112,8875.0000
2962795.5112,67360.0000
2962795.5112,3088.0000
2962795.5112,76383.0000
2962795.5112,80112.0000
2962795.5112,510633.0000
2962795.5112,1207.0000
7482172.5582,612714.0000
2962795.5112,1196658.0000
2962795.5112,85650.0000
2962795.5112,10454.0000
2962795.5112,30803.0000
2962795.5112,11437.0000
2962795.5112,7204272.0000
2962795.5112,30529.0000
2956423.4027,4563.0000
2962795.5112,163836.0000
2962795.5112,670109.0000
2584609.5787,247.0000
4078254.5671,14157.0000
2962795.5112,131850.0000
2962795.5112,6006.0000
2552766.0897,10217153.0000
2721626.5996,212.0000
2962795.5112,70444.0000
2962795.5112,5929463.0000
2962795.5112,293037.0000
2962795.5112,799.0000
2962795.5112,647605.0000
2962795.5112,333970.0000
2962795.5112,4058.0000
2962795.5112,4942.0000
2962795.5112,1198845.0000
2962795.5112,4199490.0000
2962795.5112,379.0000
2962795.5112,173176.0000
2962795.5112,10967674.0000
2961023.5066,14961.0000
2962795.5112,6282.0000
2962795.5112,131.0000
2962795.5112,109262.0000
2962795.5112,78502.0000
2962795.5112,5556.0000
2962795.5112,8601.0000
2962795.5112,1370.0000
2962795.5112,4924380.0000
5115677.8313,370912.0000
2962795.5112,385186.0000
2962795.5112,233372.0000
2962795.5112,1198758.0000
3159599.0776,261143.0000
2962795.5112,4220.0000
2962795.5112,56739.0000
3355309.7077,14845850.0000
2962795.5112,75169.0000
2962795.5112,42514960.0000
4102115.4902,422274.0000
2962795.5112,32445.0000
163761854.6739,28974.0000
2962795.5112,412339.0000
2962795.5112,316589.0000
2962795.5112,127985839.0000
2962795.5112,4671.0000
2962795.5112,28479.0000
2962795.5112,2943.0000
2962795.5112,55657381.0000
2962795.5112,866767.0000
2962795.5112,375025.0000
2962795.5112,46939.0000
2962795.5112,38611.0000
2962795.5112,695867.0000
2962795.5112,247449.0000
2206423.6463,932580.0000
2962795.5112,83128.0000
2962795.5112,29188.0000
2962795.5112,3606.0000
2962795.5112,10530.0000
746073.9953,258.0000
3159599.0776,6373121.0000
2962795.5112,210.0000
30585579.7488,92215264.0000
2962795.5112,782.0000
2962795.5112,6864.0000
2562632.0459,2244557.0000
2962795.5112,76070.0000
2962795.5112,66386.0000
2962795.5112,8247826.0000
-2555967.3869,11164.0000
2962795.5112,16789.0000
2962795.5112,573389.0000
2962795.5112,813.0000
2962795.5112,2377.0000
2962795.5112,4877.0000
2962795.5112,163400.0000
2962795.5112,3810.0000
2962795.5112,1413499.0000
2962795.5112,6067801.0000
2962795.5112,435851.0000
3185887.3224,12925.0000
2962795.5112,166308.0000
2962795.5112,4998.0000
2962795.5112,53500215.0000
2962795.5112,1482.0000
2962795.5112,69360.0000
2962795.5112,100814.0000
1071865.8489,10303.0000
-270461.8663,375244.0000
2962795.5112,675888.0000
2962795.5112,59662.0000
2962795.5112,1967.0000
2962795.5112,5809082.0000
2962795.5112,4547.0000
2962795.5112,9093751.0000
2962795.5112,609136.0000
2962795.5112,11885379.0000
2962795.5112,30967.0000
2962795.5112,59619.0000
3915970.9425,30597015.0000
2962795.5112,79272.0000
2962795.5112,327675.0000
2962795.5112,844272.0000
2962795.5112,3345.0000
2962795.5112,2050.0000
2962795.5112,14694.0000
2584609.5787,56179.0000
2962795.5112,10829603.0000
2962795.5112,36.0000
2962795.5112,34302.0000
2962795.5112,530285.0000
2962795.5112,164678.0000
2962795.5112,3185437.0000
2962795.5112,575425.0000
2962795.5112,17.0000
1064609.0164,56458.0000
2962795.5112,50161.0000
45043308.8724,52929791.0000
2962795.5112,29339082.0000
51659863.8674,4732845.0000
2962795.5112,25152.0000
2962795.5112,3125719.0000
29955450.2915,13306.0000
2962795.5112,10749.0000
2962795.5112,6475062.0000
2962795.5112,64751.0000
2962795.5112,8438768.0000
2962795.5112,7693560.0000
2962795.5112,91918.0000
2706489.3875,8423468.0000
2962795.5112,31729.0000
6160141.6431,7676.0000
2962795.5112,6783566.0000
2962795.5112,45690532.0000
2962795.5112,9071399.0000
17977441.5815,2679031.0000
2962795.5112,72535.0000
2962795.5112,6.0000
2793373.1259,1364639.0000
2962795.5112,1004.0000
315493.9840,4474897.0000
2962795.5112,3993158.0000
2962795.5112,31046283.0000
2962795.5112,691221.0000
2962795.5112,67224.0000
2962795.5112,684291.0000
2962795.5112,13360.0000
4130898.3858,67375.0000
2962795.5112,2358.0000
2962795.5112,42563.0000
2962795.5112,437985.0000
2962795.5112,12905273.0000
3417480.4810,11395683.0000
2962795.5112,4584.0000
2962795.5112,21979.0000
2962795.5112,17119.0000
2962795.5112,11686305.0000
2962795.5112,346844.0000
2962795.5112,4399.0000
2962795.5112,869257.0000
2962795.5112,32966.0000
2962795.5112,36381187.0000
2962795.5112,1009021.0000
3185887.3224,10619869.0000
2962795.5112,185126.0000
2962795.5112,556.0000
2459268.9557,19713524.0000
2765991.9448,41648.0000
2962795.5112,7706528.0000
2962795.5112,4722376.0000
3104862.5586,4434725.0000
2962795.5112,1027159.0000
2962795.5112,41106758.0000
4644939.9804,4044439.0000
2962795.5112,14609.0000
2962795.5112,166619.0000
2962795.5112,657023.0000
2962795.5112,1361248.0000
2962795.5112,22864.0000
2962795.5112,39938.0000
2749569.6561,154267.0000
2962795.5112,1298.0000
2962795.5112,6253.0000
2962795.5112,86457.0000
2962795.5112,31260.0000
58749197.4821,8957.0000
2962795.5112,113143.0000
2962795.5112,26855.0000
2962795.5112,2161417.0000
2962795.5112,41358.0000
2962795.5112,3699.0000
2962795.5112,8623.0000
2962795.5112,2226924.0000
30585579.7488,102233374.0000
2962795.5112,435853.0000
2962795.5112,83086.0000
2962795.5112,1976135.0000
2962795.5112,278.0000
2962795.5112,427411.0000
2962795.5112,10155.0000
2962795.5112,48.0000
2962795.5112,7002.0000
-5701979.5911,323086.0000
2962795.5112,914.0000
2765991.9448,3311021.0000
2962795.5112,241913.0000
2962795.5112,1233220.0000
2962795.5112,53847.0000
2962795.5112,14032.0000
2962795.5112,70822.0000
2962795.5112,32057.0000
2962795.5112,13878.0000
2962795.5112,819790.0000
2962795.5112,39598.0000
2962795.5112,717692.0000
2962795.5112,7091.0000
573659.2493,19679.0000
-138625904.8868,790784.0000
3005166.5815,7180.0000
2962795.5112,2139537.0000
-24011831.1910,31932969.0000
2962795.5112,404223.0000
2962795.5112,1848073.0000
2962795.5112,29631.0000
3132453.9317,11918.0000
2962795.5112,28864.0000
-29190.6042,2495865.0000
2962795.5112,93843.0000
2962795.5112,46292.0000
2962795.5112,7202.0000
2962795.5112,352261.0000
2962795.5112,4164.0000
2962795.5112,1643932.0000
2962795.5112,113614.0000
2962795.5112,13151.0000
2962795.5112,1783837.0000
2962795.5112,649710.0000
103269.2173,17462737.0000
-1285749.1157,246786.0000
2962795.5112,289992.0000
2962795.5112,508750.0000
2962795.5112,858797.0000
4538766.4535,77609.0000
2962795.5112,10510.0000
2962795.5112,564635.0000
2962795.5112,2732962.0000
2962795.5112,21208566.0000
2962795.5112,3224.0000
4298067.5695,1179914.0000
2962795.5112,154643.0000
2962795.5112,2051.0000
2962795.5112,414049.0000
2962795.5112,2562.0000
2962795.5112,1975845.0000
1253248.2150,550063.0000
2962795.5112,21.0000
2944718.4107,750245.0000
2962795.5112,11958114.0000
2962795.5112,14651158.0000
2962795.5112,1338.0000
2962795.5112,240619.0000
2962795.5112,129022.0000
2962795.5112,13288.0000
2962795.5112,608015.0000
2962795.5112,8252962.0000
2962795.5112,109628.0000
2378896.3643,5993.0000
2962795.5112,943.0000
3301640.2819,1994135.0000
3185887.3224,363.0000
2962795.5112,105675.0000
2962795.5112,85295.0000
4674208.1570,10926.0000
2962795.5112,64261.0000
2962795.5112,34270.0000
2962795.5112,9896.0000
2962795.5112,683.0000
2962795.5112,890.0000
2962795.5112,20788.0000
2962795.5112,2181.0000
2962795.5112,5789559.0000
2962795.5112,80775.0000
2962795.5112,3360.0000
2962795.5112,703257.0000
2962795.5112,4551.0000
2962795.5112,255907.0000
2962795.5112,19859.0000
2962795.5112,3288069.0000
2962795.5112,110476.0000
2962795.5112,8495993.0000
2962795.5112,9130.0000
2962795.5112,627610.0000
2962795.5112,83040.0000
2962795.5112,34819.0000
5474978.2732,82292929.0000
-4758599.2716,162740.0000
3185887.3224,772116.0000
2962795.5112,395917.0000
-1183466.6159,755781.0000
2962795.5112,257092.0000
2962795.5112,520284.0000
2962795.5112,36930.0000
2962795.5112,12364.0000
2962795.5112,14832.0000
2962795.5112,350837.0000
2962795.5112,709795.0000
2962795.5112,79761.0000
2962795.5112,9884.0000
2962795.5112,206.0000
2623478.6702,1100790.0000
2962795.5112,6733799.0000
2962795.5112,12188357.0000
-12714106.2484,7004103.0000
-7836104.3366,3597619.0000
4746386.3218,4322450.0000
4475539.2410,606251.0000
2962795.5112,17.0000
2962795.5112,131168.0000
