Predicted,Actual
31998691.7394,13378123.0000
4617151.2518,75615.0000
4617151.2518,269361.0000
4617151.2518,60285.0000
4617151.2518,2196.0000
4617151.2518,682.0000
4617151.2518,852.0000
4617151.2518,174097.0000
4617151.2518,96795.0000
4617151.2518,3806.0000
4617151.2518,464917.0000
4617151.2518,54821.0000
31998691.7394,63925160.0000
4617151.2518,88199.0000
4617151.2518,161867.0000
4617151.2518,276905.0000
4617151.2518,227084.0000
4617151.2518,571.0000
4617151.2518,1136.0000
4617151.2518,40033.0000
4617151.2518,34177.0000
4617151.2518,528905.0000
4617151.2518,2191145.0000
4617151.2518,402006.0000
4617151.2518,17840.0000
4617151.2518,4607640.0000
4617151.2518,439360.0000
4617151.2518,12517.0000
4617151.2518,143964.0000
4617151.2518,18802523.0000
4617151.2518,1958744.0000
4617151.2518,100094.0000
4617151.2518,530.0000
4617151.2518,8398.0000
4617151.2518,10537.0000
4617151.2518,238890.0000
4617151.2518,5395332.0000
4617151.2518,18001548.0000
4617151.2518,426140.0000
31998691.7394,13563.0000
4617151.2518,72496.0000
4617151.2518,1121.0000
4617151.2518,24165.0000
4617151.2518,5521.0000
4617151.2518,913.0000
31998691.7394,30617765.0000
4617151.2518,44248.0000
4617151.2518,4391.0000
31998691.7394,34632991.0000
3514574.1071,252540.0000
4617151.2518,948748.0000
4617151.2518,1029514.0000
4617151.2518,2113.0000
4617151.2518,14274865.0000
4617151.2518,3552.0000
4617151.2518,127020.0000
4617151.2518,6737.0000
4617151.2518,1339.0000
7666161.7697,34828756.0000
4617151.2518,14587888.0000
4617151.2518,38591.0000
4617151.2518,171.0000
4617151.2518,11451.0000
4617151.2518,8136251.0000
4617151.2518,8875.0000
4617151.2518,67360.0000
4617151.2518,3088.0000
4617151.2518,76383.0000
4617151.2518,80112.0000
4617151.2518,510633.0000
4617151.2518,1207.0000
4617151.2518,612714.0000
4617151.2518,1196658.0000
4617151.2518,85650.0000
4617151.2518,10454.0000
4617151.2518,30803.0000
4617151.2518,11437.0000
4617151.2518,7204272.0000
4617151.2518,30529.0000
4617151.2518,4563.0000
4617151.2518,163836.0000
4617151.2518,670109.0000
4617151.2518,247.0000
4617151.2518,14157.0000
4617151.2518,131850.0000
4617151.2518,6006.0000
4617151.2518,10217153.0000
4617151.2518,212.0000
4617151.2518,70444.0000
4617151.2518,5929463.0000
4617151.2518,293037.0000
4617151.2518,799.0000
4617151.2518,647605.0000
4617151.2518,333970.0000
4617151.2518,4058.0000
4617151.2518,4942.0000
4617151.2518,1198845.0000
4617151.2518,4199490.0000
4617151.2518,379.0000
4617151.2518,173176.0000
4617151.2518,10967674.0000
4617151.2518,14961.0000
4617151.2518,6282.0000
4617151.2518,131.0000
4617151.2518,109262.0000
4617151.2518,78502.0000
4617151.2518,5556.0000
4617151.2518,8601.0000
4617151.2518,1370.0000
4617151.2518,4924380.0000
11563204.5748,370912.0000
4617151.2518,385186.0000
4617151.2518,233372.0000
4617151.2518,1198758.0000
4617151.2518,261143.0000
4617151.2518,4220.0000
4617151.2518,56739.0000
4617151.2518,14845850.0000
4617151.2518,75169.0000
4617151.2518,42514960.0000
4617151.2518,422274.0000
4617151.2518,32445.0000
3514574.1071,28974.0000
4617151.2518,412339.0000
4617151.2518,316589.0000
4617151.2518,127985839.0000
4617151.2518,4671.0000
4617151.2518,28479.0000
4617151.2518,2943.0000
4617151.2518,55657381.0000
4617151.2518,866767.0000
4617151.2518,375025.0000
4617151.2518,46939.0000
4617151.2518,38611.0000
4617151.2518,695867.0000
4617151.2518,247449.0000
4617151.2518,932580.0000
4617151.2518,83128.0000
4617151.2518,29188.0000
4617151.2518,3606.0000
4617151.2518,10530.0000
4617151.2518,258.0000
4617151.2518,6373121.0000
4617151.2518,210.0000
31998691.7394,92215264.0000
4617151.2518,782.0000
4617151.2518,6864.0000
4617151.2518,2244557.0000
4617151.2518,76070.0000
4617151.2518,66386.0000
4617151.2518,8247826.0000
4617151.2518,11164.0000
4617151.2518,16789.0000
4617151.2518,573389.0000
4617151.2518,813.0000
4617151.2518,2377.0000
4617151.2518,4877.0000
4617151.2518,163400.0000
4617151.2518,3810.0000
4617151.2518,1413499.0000
4617151.2518,6067801.0000
4617151.2518,435851.0000
4617151.2518,12925.0000
4617151.2518,166308.0000
4617151.2518,4998.0000
4617151.2518,53500215.0000
4617151.2518,1482.0000
4617151.2518,69360.0000
4617151.2518,100814.0000
4617151.2518,10303.0000
4617151.2518,375244.0000
4617151.2518,675888.0000
4617151.2518,59662.0000
