Predicted,Actual
26030337.1220,13378123.0000
2583131.4250,75615.0000
2583131.4250,269361.0000
2583131.4250,60285.0000
2583131.4250,2196.0000
2583131.4250,682.0000
2583131.4250,852.0000
2583131.4250,174097.0000
2583131.4250,96795.0000
2583131.4250,3806.0000
2583131.4250,464917.0000
2583131.4250,54821.0000
30941112.6458,63925160.0000
2583131.4250,88199.0000
2583131.4250,161867.0000
2583131.4250,276905.0000
2583131.4250,227084.0000
2583131.4250,571.0000
2583131.4250,1136.0000
2583131.4250,40033.0000
2583131.4250,34177.0000
2583131.4250,528905.0000
2583131.4250,2191145.0000
2583131.4250,402006.0000
2583131.4250,17840.0000
2583131.4250,4607640.0000
2583131.4250,439360.0000
2583131.4250,12517.0000
2583131.4250,143964.0000
2583131.4250,18802523.0000
2583131.4250,1958744.0000
2583131.4250,100094.0000
2583131.4250,530.0000
2583131.4250,8398.0000
2583131.4250,10537.0000
2583131.4250,238890.0000
2583131.4250,5395332.0000
2583131.4250,18001548.0000
2583131.4250,426140.0000
60144792.9521,13563.0000
2583131.4250,72496.0000
2583131.4250,1121.0000
2583131.4250,24165.0000
2583131.4250,5521.0000
2583131.4250,913.0000
18120409.0702,30617765.0000
2583131.4250,44248.0000
2583131.4250,4391.0000
25281361.7143,34632991.0000
4860872.6125,252540.0000
2583131.4250,948748.0000
2583131.4250,1029514.0000
2583131.4250,2113.0000
2583131.4250,14274865.0000
2583131.4250,3552.0000
2583131.4250,127020.0000
2583131.4250,6737.0000
2583131.4250,1339.0000
18102647.4632,34828756.0000
2583131.4250,14587888.0000
2583131.4250,38591.0000
2583131.4250,171.0000
2583131.4250,11451.0000
2583131.4250,8136251.0000
2583131.4250,8875.0000
2583131.4250,67360.0000
2583131.4250,3088.0000
2583131.4250,76383.0000
2583131.4250,80112.0000
2583131.4250,510633.0000
2583131.4250,1207.0000
2583131.4250,612714.0000
2583131.4250,1196658.0000
2583131.4250,85650.0000
2583131.4250,10454.0000
2583131.4250,30803.0000
2583131.4250,11437.0000
2583131.4250,7204272.0000
2583131.4250,30529.0000
2583131.4250,4563.0000
2583131.4250,163836.0000
2583131.4250,670109.0000
2583131.4250,247.0000
2583131.4250,14157.0000
2583131.4250,131850.0000
2583131.4250,6006.0000
1319500.7178,10217153.0000
8645133.5313,212.0000
2583131.4250,70444.0000
2583131.4250,5929463.0000
2583131.4250,293037.0000
2583131.4250,799.0000
2583131.4250,647605.0000
2583131.4250,333970.0000
2583131.4250,4058.0000
2583131.4250,4942.0000
2583131.4250,1198845.0000
2583131.4250,4199490.0000
2583131.4250,379.0000
2583131.4250,173176.0000
2583131.4250,10967674.0000
2583131.4250,14961.0000
2583131.4250,6282.0000
2583131.4250,131.0000
2583131.4250,109262.0000
2583131.4250,78502.0000
2583131.4250,5556.0000
2583131.4250,8601.0000
2583131.4250,1370.0000
2583131.4250,4924380.0000
32783086.6866,370912.0000
2583131.4250,385186.0000
2583131.4250,233372.0000
2583131.4250,1198758.0000
5622463.8841,261143.0000
2583131.4250,4220.0000
2583131.4250,56739.0000
2583131.4250,14845850.0000
2583131.4250,75169.0000
2583131.4250,42514960.0000
2583131.4250,422274.0000
2583131.4250,32445.0000
29877306.3273,28974.0000
2583131.4250,412339.0000
2583131.4250,316589.0000
2583131.4250,127985839.0000
2583131.4250,4671.0000
2583131.4250,28479.0000
2583131.4250,2943.0000
2583131.4250,55657381.0000
2583131.4250,866767.0000
2583131.4250,375025.0000
2583131.4250,46939.0000
2583131.4250,38611.0000
2583131.4250,695867.0000
2583131.4250,247449.0000
2583131.4250,932580.0000
2583131.4250,83128.0000
2583131.4250,29188.0000
2583131.4250,3606.0000
2583131.4250,10530.0000
3681249.9387,258.0000
5622463.8841,6373121.0000
2583131.4250,210.0000
60736881.6755,92215264.0000
2583131.4250,782.0000
2583131.4250,6864.0000
3801172.6817,2244557.0000
2583131.4250,76070.0000
2583131.4250,66386.0000
2583131.4250,8247826.0000
2583131.4250,11164.0000
2583131.4250,16789.0000
2583131.4250,573389.0000
2583131.4250,813.0000
2583131.4250,2377.0000
2583131.4250,4877.0000
2583131.4250,163400.0000
2583131.4250,3810.0000
2583131.4250,1413499.0000
2583131.4250,6067801.0000
2583131.4250,435851.0000
2583131.4250,12925.0000
2583131.4250,166308.0000
2583131.4250,4998.0000
2583131.4250,53500215.0000
2583131.4250,1482.0000
2583131.4250,69360.0000
2583131.4250,100814.0000
2583131.4250,10303.0000
4026.1393,375244.0000
2583131.4250,675888.0000
2583131.4250,59662.0000
2583131.4250,1967.0000
2583131.4250,5809082.0000
2583131.4250,4547.0000
2583131.4250,9093751.0000
2583131.4250,609136.0000
2583131.4250,11885379.0000
2583131.4250,30967.0000
2583131.4250,59619.0000
26030337.1220,30597015.0000
2583131.4250,79272.0000
2583131.4250,327675.0000
2583131.4250,844272.0000
2583131.4250,3345.0000
2583131.4250,2050.0000
2583131.4250,14694.0000
2583131.4250,56179.0000
2583131.4250,10829603.0000
2583131.4250,36.0000
2583131.4250,34302.0000
