Predicted,Actual
26445772.0000,13378123.0000
2569199.5814,75615.0000
2569199.5814,269361.0000
2569199.5814,60285.0000
2569199.5814,2196.0000
2569199.5814,682.0000
2569199.5814,852.0000
2569199.5814,174097.0000
2569199.5814,96795.0000
2569199.5814,3806.0000
2569199.5814,464917.0000
2569199.5814,54821.0000
39782604.5000,63925160.0000
2569199.5814,88199.0000
2569199.5814,161867.0000
2569199.5814,276905.0000
2569199.5814,227084.0000
2569199.5814,571.0000
2569199.5814,1136.0000
2569199.5814,40033.0000
2569199.5814,34177.0000
2569199.5814,528905.0000
2569199.5814,2191145.0000
2569199.5814,402006.0000
2569199.5814,17840.0000
2569199.5814,4607640.0000
2569199.5814,439360.0000
2569199.5814,12517.0000
2569199.5814,143964.0000
2569199.5814,18802523.0000
2569199.5814,1958744.0000
2569199.5814,100094.0000
2569199.5814,530.0000
2569199.5814,8398.0000
2569199.5814,10537.0000
2569199.5814,238890.0000
2569199.5814,5395332.0000
2569199.5814,18001548.0000
2569199.5814,426140.0000
75815085.0000,13563.0000
2569199.5814,72496.0000
2569199.5814,1121.0000
2569199.5814,24165.0000
2569199.5814,5521.0000
2569199.5814,913.0000
18202485.8286,30617765.0000
2569199.5814,44248.0000
2569199.5814,4391.0000
26445772.0000,34632991.0000
3359104.0000,252540.0000
2569199.5814,948748.0000
2569199.5814,1029514.0000
2569199.5814,2113.0000
2569199.5814,14274865.0000
2569199.5814,3552.0000
2569199.5814,127020.0000
2569199.5814,6737.0000
2569199.5814,1339.0000
39782604.5000,34828756.0000
2569199.5814,14587888.0000
2569199.5814,38591.0000
2569199.5814,171.0000
2569199.5814,11451.0000
2569199.5814,8136251.0000
2569199.5814,8875.0000
2569199.5814,67360.0000
2569199.5814,3088.0000
2569199.5814,76383.0000
2569199.5814,80112.0000
2569199.5814,510633.0000
2569199.5814,1207.0000
2569199.5814,612714.0000
2569199.5814,1196658.0000
2569199.5814,85650.0000
2569199.5814,10454.0000
2569199.5814,30803.0000
2569199.5814,11437.0000
2569199.5814,7204272.0000
2569199.5814,30529.0000
2569199.5814,4563.0000
2569199.5814,163836.0000
2569199.5814,670109.0000
2569199.5814,247.0000
2569199.5814,14157.0000
2569199.5814,131850.0000
2569199.5814,6006.0000
1330738.3333,10217153.0000
8611094.0000,212.0000
2569199.5814,70444.0000
2569199.5814,5929463.0000
2569199.5814,293037.0000
2569199.5814,799.0000
2569199.5814,647605.0000
2569199.5814,333970.0000
2569199.5814,4058.0000
2569199.5814,4942.0000
2569199.5814,1198845.0000
2569199.5814,4199490.0000
2569199.5814,379.0000
2569199.5814,173176.0000
2569199.5814,10967674.0000
2569199.5814,14961.0000
2569199.5814,6282.0000
2569199.5814,131.0000
2569199.5814,109262.0000
2569199.5814,78502.0000
2569199.5814,5556.0000
2569199.5814,8601.0000
2569199.5814,1370.0000
2569199.5814,4924380.0000
43996871.0000,370912.0000
2569199.5814,385186.0000
2569199.5814,233372.0000
2569199.5814,1198758.0000
5652976.9655,261143.0000
2569199.5814,4220.0000
2569199.5814,56739.0000
2569199.5814,14845850.0000
2569199.5814,75169.0000
2569199.5814,42514960.0000
2569199.5814,422274.0000
2569199.5814,32445.0000
1323.0000,28974.0000
