Predicted,Actual
3428279.6673,13378123.0000
3165844.0174,75615.0000
3165844.0174,269361.0000
3165844.0174,60285.0000
3165844.0174,2196.0000
3165844.0174,682.0000
3165844.0174,852.0000
3165844.0174,174097.0000
3165844.0174,96795.0000
3165844.0174,3806.0000
3165844.0174,464917.0000
3165844.0174,54821.0000
4913325.2415,63925160.0000
3165844.0174,88199.0000
3165844.0174,161867.0000
3165844.0174,276905.0000
3165844.0174,227084.0000
3165844.0174,571.0000
3165844.0174,1136.0000
3165844.0174,40033.0000
3165844.0174,34177.0000
3165844.0174,528905.0000
3165844.0174,2191145.0000
3165844.0174,402006.0000
3165844.0174,17840.0000
3165844.0174,4607640.0000
3165844.0174,439360.0000
3165844.0174,12517.0000
3165844.0174,143964.0000
3165844.0174,18802523.0000
3165844.0174,1958744.0000
3165844.0174,100094.0000
3165844.0174,530.0000
3165844.0174,8398.0000
3165844.0174,10537.0000
3165844.0174,238890.0000
3165844.0174,5395332.0000
3165844.0174,18001548.0000
3165844.0174,426140.0000
4202696.6698,13563.0000
3165844.0174,72496.0000
3165844.0174,1121.0000
3165844.0174,24165.0000
3165844.0174,5521.0000
3165844.0174,913.0000
3261786.1308,30617765.0000
3165844.0174,44248.0000
3165844.0174,4391.0000
4556393.4383,34632991.0000
4779522.5884,252540.0000
3165844.0174,948748.0000
3165844.0174,1029514.0000
3165844.0174,2113.0000
3165844.0174,14274865.0000
3165844.0174,3552.0000
3165844.0174,127020.0000
3165844.0174,6737.0000
3165844.0174,1339.0000
3343024.6794,34828756.0000
3165844.0174,14587888.0000
3165844.0174,38591.0000
3165844.0174,171.0000
3165844.0174,11451.0000
3165844.0174,8136251.0000
3165844.0174,8875.0000
3165844.0174,67360.0000
3165844.0174,3088.0000
3165844.0174,76383.0000
3165844.0174,80112.0000
3165844.0174,510633.0000
3165844.0174,1207.0000
3165844.0174,612714.0000
3165844.0174,1196658.0000
3165844.0174,85650.0000
3165844.0174,10454.0000
3165844.0174,30803.0000
3165844.0174,11437.0000
3165844.0174,7204272.0000
3165844.0174,30529.0000
3165844.0174,4563.0000
3165844.0174,163836.0000
3165844.0174,670109.0000
3165844.0174,247.0000
3165844.0174,14157.0000
3165844.0174,131850.0000
3165844.0174,6006.0000
3139255.3834,10217153.0000
2933628.7884,212.0000
3165844.0174,70444.0000
3165844.0174,5929463.0000
3165844.0174,293037.0000
3165844.0174,799.0000
3165844.0174,647605.0000
3165844.0174,333970.0000
3165844.0174,4058.0000
3165844.0174,4942.0000
3165844.0174,1198845.0000
3165844.0174,4199490.0000
3165844.0174,379.0000
3165844.0174,173176.0000
3165844.0174,10967674.0000
3165844.0174,14961.0000
3165844.0174,6282.0000
3165844.0174,131.0000
3165844.0174,109262.0000
3165844.0174,78502.0000
3165844.0174,5556.0000
3165844.0174,8601.0000
3165844.0174,1370.0000
3165844.0174,4924380.0000
6296657.4548,370912.0000
3165844.0174,385186.0000
3165844.0174,233372.0000
3165844.0174,1198758.0000
3236395.4404,261143.0000
3165844.0174,4220.0000
3165844.0174,56739.0000
3165844.0174,14845850.0000
3165844.0174,75169.0000
3165844.0174,42514960.0000
3165844.0174,422274.0000
3165844.0174,32445.0000
28565689.6447,28974.0000
3165844.0174,412339.0000
3165844.0174,316589.0000
3165844.0174,127985839.0000
3165844.0174,4671.0000
3165844.0174,28479.0000
3165844.0174,2943.0000
3165844.0174,55657381.0000
3165844.0174,866767.0000
3165844.0174,375025.0000
3165844.0174,46939.0000
3165844.0174,38611.0000
3165844.0174,695867.0000
3165844.0174,247449.0000
3165844.0174,932580.0000
3165844.0174,83128.0000
3165844.0174,29188.0000
3165844.0174,3606.0000
3165844.0174,10530.0000
4594427.2272,258.0000
3236395.4404,6373121.0000
3165844.0174,210.0000
4091491.5700,92215264.0000
3165844.0174,782.0000
3165844.0174,6864.0000
3183218.1724,2244557.0000
3165844.0174,76070.0000
3165844.0174,66386.0000
3165844.0174,8247826.0000
3165844.0174,11164.0000
3165844.0174,16789.0000
3165844.0174,573389.0000
3165844.0174,813.0000
3165844.0174,2377.0000
3165844.0174,4877.0000
3165844.0174,163400.0000
3165844.0174,3810.0000
3165844.0174,1413499.0000
3165844.0174,6067801.0000
3165844.0174,435851.0000
3165844.0174,12925.0000
3165844.0174,166308.0000
3165844.0174,4998.0000
3165844.0174,53500215.0000
3165844.0174,1482.0000
3165844.0174,69360.0000
3165844.0174,100814.0000
3165844.0174,10303.0000
2701413.5595,375244.0000
3165844.0174,675888.0000
3165844.0174,59662.0000
3165844.0174,1967.0000
3165844.0174,5809082.0000
3165844.0174,4547.0000
3165844.0174,9093751.0000
3165844.0174,609136.0000
3165844.0174,11885379.0000
3165844.0174,30967.0000
3165844.0174,59619.0000
3428279.6673,30597015.0000
3165844.0174,79272.0000
3165844.0174,327675.0000
3165844.0174,844272.0000
3165844.0174,3345.0000
3165844.0174,2050.0000
3165844.0174,14694.0000
3165844.0174,56179.0000
3165844.0174,10829603.0000
3165844.0174,36.0000
3165844.0174,34302.0000
3165844.0174,530285.0000
3165844.0174,164678.0000
3165844.0174,3185437.0000
3165844.0174,575425.0000
3165844.0174,17.0000
3165844.0174,56458.0000
3165844.0174,50161.0000
9805055.0047,52929791.0000
3165844.0174,29339082.0000
3165844.0174,4732845.0000
3165844.0174,25152.0000
3165844.0174,3125719.0000
29008266.0215,13306.0000
3165844.0174,10749.0000
3165844.0174,6475062.0000
3165844.0174,64751.0000
3165844.0174,8438768.0000
3165844.0174,7693560.0000
3165844.0174,91918.0000
3165844.0174,8423468.0000
3165844.0174,31729.0000
3702963.2391,7676.0000
3165844.0174,6783566.0000
3165844.0174,45690532.0000
3165844.0174,9071399.0000
3526822.2894,2679031.0000
3165844.0174,72535.0000
3165844.0174,6.0000
3534378.8677,1364639.0000
3165844.0174,1004.0000
3165844.0174,4474897.0000
3165844.0174,3993158.0000
3165844.0174,31046283.0000
3165844.0174,691221.0000
3165844.0174,67224.0000
3165844.0174,684291.0000
3165844.0174,13360.0000
3051479.4006,67375.0000
3165844.0174,2358.0000
3165844.0174,42563.0000
3165844.0174,437985.0000
3165844.0174,12905273.0000
3165844.0174,11395683.0000
3165844.0174,4584.0000
3165844.0174,21979.0000
3165844.0174,17119.0000
3165844.0174,11686305.0000
3165844.0174,346844.0000
3165844.0174,4399.0000
3165844.0174,869257.0000
3165844.0174,32966.0000
3165844.0174,36381187.0000
3165844.0174,1009021.0000
3165844.0174,10619869.0000
3165844.0174,185126.0000
3165844.0174,556.0000
2933628.7884,19713524.0000
3165844.0174,41648.0000
3165844.0174,7706528.0000
3165844.0174,4722376.0000
4027139.7284,4434725.0000
3165844.0174,1027159.0000
3165844.0174,41106758.0000
4274876.4405,4044439.0000
3165844.0174,14609.0000
3165844.0174,166619.0000
3165844.0174,657023.0000
3165844.0174,1361248.0000
3165844.0174,22864.0000
3165844.0174,39938.0000
3209806.8064,154267.0000
3165844.0174,1298.0000
3165844.0174,6253.0000
3165844.0174,86457.0000
3165844.0174,31260.0000
12542285.4959,8957.0000
3165844.0174,113143.0000
3165844.0174,26855.0000
3165844.0174,2161417.0000
3165844.0174,41358.0000
3165844.0174,3699.0000
3165844.0174,8623.0000
3165844.0174,2226924.0000
4091491.5700,102233374.0000
3165844.0174,435853.0000
3165844.0174,83086.0000
3165844.0174,1976135.0000
3165844.0174,278.0000
3165844.0174,427411.0000
3165844.0174,10155.0000
3165844.0174,48.0000
3165844.0174,7002.0000
3165844.0174,323086.0000
3165844.0174,914.0000
3165844.0174,3311021.0000
3165844.0174,241913.0000
3165844.0174,1233220.0000
3165844.0174,53847.0000
3165844.0174,14032.0000
3165844.0174,70822.0000
3165844.0174,32057.0000
3165844.0174,13878.0000
3165844.0174,819790.0000
3165844.0174,39598.0000
3165844.0174,717692.0000
3165844.0174,7091.0000
3165844.0174,19679.0000
3124860.9061,790784.0000
3255160.5753,7180.0000
3165844.0174,2139537.0000
3538855.8135,31932969.0000
3165844.0174,404223.0000
3165844.0174,1848073.0000
3165844.0174,29631.0000
3165844.0174,11918.0000
3165844.0174,28864.0000
3165844.0174,2495865.0000
3165844.0174,93843.0000
3165844.0174,46292.0000
3165844.0174,7202.0000
3165844.0174,352261.0000
3165844.0174,4164.0000
3165844.0174,1643932.0000
3165844.0174,113614.0000
3165844.0174,13151.0000
3165844.0174,1783837.0000
3165844.0174,649710.0000
3165844.0174,17462737.0000
3165844.0174,246786.0000
3165844.0174,289992.0000
3165844.0174,508750.0000
3165844.0174,858797.0000
3165844.0174,77609.0000
3165844.0174,10510.0000
3165844.0174,564635.0000
3165844.0174,2732962.0000
3165844.0174,21208566.0000
3165844.0174,3224.0000
3165844.0174,1179914.0000
3165844.0174,154643.0000
3165844.0174,2051.0000
3165844.0174,414049.0000
3165844.0174,2562.0000
3165844.0174,1975845.0000
3165844.0174,550063.0000
3165844.0174,21.0000
3049736.4029,750245.0000
3165844.0174,11958114.0000
3165844.0174,14651158.0000
3165844.0174,1338.0000
3165844.0174,240619.0000
3165844.0174,129022.0000
3165844.0174,13288.0000
3165844.0174,608015.0000
3165844.0174,8252962.0000
3165844.0174,109628.0000
3149721.7300,5993.0000
3165844.0174,943.0000
3165844.0174,1994135.0000
3165844.0174,363.0000
3165844.0174,105675.0000
3165844.0174,85295.0000
3165844.0174,10926.0000
3165844.0174,64261.0000
3165844.0174,34270.0000
3165844.0174,9896.0000
3165844.0174,683.0000
3165844.0174,890.0000
3165844.0174,20788.0000
3165844.0174,2181.0000
3165844.0174,5789559.0000
3165844.0174,80775.0000
3165844.0174,3360.0000
3165844.0174,703257.0000
3165844.0174,4551.0000
3165844.0174,255907.0000
3165844.0174,19859.0000
3165844.0174,3288069.0000
3165844.0174,110476.0000
3165844.0174,8495993.0000
3165844.0174,9130.0000
3165844.0174,627610.0000
3165844.0174,83040.0000
3165844.0174,34819.0000
3947530.3188,82292929.0000
3165844.0174,162740.0000
3165844.0174,772116.0000
3165844.0174,395917.0000
3165844.0174,755781.0000
3165844.0174,257092.0000
3165844.0174,520284.0000
3165844.0174,36930.0000
3165844.0174,12364.0000
3165844.0174,14832.0000
3165844.0174,350837.0000
3165844.0174,709795.0000
3165844.0174,79761.0000
3165844.0174,9884.0000
3165844.0174,206.0000
5940508.9134,1100790.0000
3165844.0174,6733799.0000
3165844.0174,12188357.0000
3165844.0174,7004103.0000
22005541.4322,3597619.0000
3413339.3556,4322450.0000
3549612.4711,606251.0000
3165844.0174,17.0000
3165844.0174,131168.0000
3165844.0174,45529.0000
3165844.0174,86851.0000
4082467.6100,31825.0000
3165844.0174,39256.0000
3165844.0174,11446034.0000
3165844.0174,2014.0000
3165844.0174,19203.0000
3165844.0174,93679.0000
3165844.0174,421728.0000
4552184.4536,7113174.0000
3165844.0174,30125.0000
3165844.0174,2520139.0000
3165844.0174,961.0000
3165844.0174,2586786.0000
3165844.0174,3033.0000
3165844.0174,167610.0000
12542285.4959,785284.0000
3165844.0174,200218.0000
3165844.0174,257988.0000
3165844.0174,13471510.0000
3165844.0174,8617.0000
3165844.0174,28732.0000
41211472.3535,753.0000
3165844.0174,182581.0000
3165844.0174,22610.0000
3165844.0174,875295.0000
-373957.8904,164342.0000
3165844.0174,5153406.0000
3165844.0174,180493.0000
3165844.0174,33416.0000
3165844.0174,105426.0000
20301348.8551,54922859.0000
3165844.0174,19347.0000
3165844.0174,3076.0000
3165844.0174,1120749.0000
3165844.0174,61593.0000
3112666.7493,2350.0000
3604930.2907,68070.0000
3165844.0174,18410.0000
3165844.0174,74534.0000
3165844.0174,119525.0000
3165844.0174,20188.0000
3165844.0174,76681.0000
3165844.0174,1557491.0000
3165844.0174,305228.0000
3165844.0174,103720.0000
3165844.0174,4981379.0000
3165844.0174,86106.0000
3165844.0174,56251.0000
3165844.0174,674151.0000
3165844.0174,1227497.0000
3165844.0174,2116798.0000
3165844.0174,78183.0000
3165844.0174,790197.0000
2563744.3150,10280958.0000
3165844.0174,3628.0000
3165844.0174,146.0000
3165844.0174,8155.0000
3165844.0174,83204.0000
3165844.0174,3528.0000
3165844.0174,341396.0000
3165844.0174,695547.0000
3165844.0174,218997.0000
3165844.0174,60651.0000
3165844.0174,1315347.0000
3165844.0174,260232.0000
3165844.0174,442133.0000
3500698.5126,561496.0000
3190839.2489,1694588.0000
3165844.0174,1989527.0000
3165844.0174,25174.0000
3165844.0174,783588.0000
3165844.0174,332833.0000
2933628.7884,3443262.0000
3165844.0174,24517457.0000
3165844.0174,284.0000
3165844.0174,437356.0000
3165844.0174,153397.0000
3165844.0174,78007.0000
3165844.0174,22833703.0000
3165844.0174,29023.0000
3165844.0174,287282.0000
3331392.5447,795128.0000
3165844.0174,2176.0000
3750680.6103,9469369.0000
3165844.0174,26007.0000
3165844.0174,44002.0000
3165844.0174,2334.0000
3165844.0174,10769564.0000
3165844.0174,2592941.0000
3165844.0174,2953.0000
3165844.0174,15065.0000
3165844.0174,14617081.0000
3165844.0174,13259217.0000
3165844.0174,312950.0000
3165844.0174,2189976.0000
3165844.0174,9547108.0000
3165844.0174,11983.0000
3165844.0174,3204.0000
3165844.0174,390975.0000
3588053.4550,351034.0000
3165844.0174,18290388.0000
3165844.0174,4258.0000
4608427.9482,6648.0000
3165844.0174,165517.0000
3165844.0174,54319.0000
3165844.0174,690448.0000
3165844.0174,1690703.0000
3165844.0174,72366.0000
3165844.0174,1550210.0000
3165844.0174,89364.0000
