Predicted,Actual
16528020.4243,13378123.0000
2657135.1750,75615.0000
2657135.1750,269361.0000
2657135.1750,60285.0000
2657135.1750,2196.0000
2657135.1750,682.0000
2657135.1750,852.0000
2657135.1750,174097.0000
2657135.1750,96795.0000
2657135.1750,3806.0000
2657135.1750,464917.0000
2657135.1750,54821.0000
25340412.8119,63925160.0000
2657135.1750,88199.0000
2657135.1750,161867.0000
2657135.1750,276905.0000
2657135.1750,227084.0000
2657135.1750,571.0000
2657135.1750,1136.0000
2657135.1750,40033.0000
2657135.1750,34177.0000
2657135.1750,528905.0000
2657135.1750,2191145.0000
2657135.1750,402006.0000
2657135.1750,17840.0000
2657135.1750,4607640.0000
2657135.1750,439360.0000
2657135.1750,12517.0000
2657135.1750,143964.0000
2657135.1750,18802523.0000
2657135.1750,1958744.0000
2657135.1750,100094.0000
2657135.1750,530.0000
2657135.1750,8398.0000
2657135.1750,10537.0000
2657135.1750,238890.0000
2657135.1750,5395332.0000
2657135.1750,18001548.0000
2657135.1750,426140.0000
18043241.4919,13563.0000
2657135.1750,72496.0000
2657135.1750,1121.0000
2657135.1750,24165.0000
2657135.1750,5521.0000
2657135.1750,913.0000
12385940.9430,30617765.0000
2657135.1750,44248.0000
2657135.1750,4391.0000
16528020.4243,34632991.0000
13284014.8585,252540.0000
2657135.1750,948748.0000
2657135.1750,1029514.0000
2657135.1750,2113.0000
2657135.1750,14274865.0000
2657135.1750,3552.0000
2657135.1750,127020.0000
2657135.1750,6737.0000
2657135.1750,1339.0000
7334172.1178,34828756.0000
2657135.1750,14587888.0000
2657135.1750,38591.0000
2657135.1750,171.0000
2657135.1750,11451.0000
2657135.1750,8136251.0000
2657135.1750,8875.0000
2657135.1750,67360.0000
2657135.1750,3088.0000
2657135.1750,76383.0000
2657135.1750,80112.0000
2657135.1750,510633.0000
2657135.1750,1207.0000
2657135.1750,612714.0000
2657135.1750,1196658.0000
2657135.1750,85650.0000
2657135.1750,10454.0000
2657135.1750,30803.0000
2657135.1750,11437.0000
2657135.1750,7204272.0000
2657135.1750,30529.0000
2657135.1750,4563.0000
2657135.1750,163836.0000
2657135.1750,670109.0000
2657135.1750,247.0000
2657135.1750,14157.0000
2657135.1750,131850.0000
2657135.1750,6006.0000
2657135.1750,10217153.0000
2657135.1750,212.0000
2657135.1750,70444.0000
2657135.1750,5929463.0000
2657135.1750,293037.0000
2657135.1750,799.0000
2657135.1750,647605.0000
2657135.1750,333970.0000
