Issue,Importance
results_flawfinder_note_buffer-strlen,153820637.86666667
results_flawfinder_note_buffer-char,160563.20000000
results_flawfinder_note_buffer-memcpy,-6988322.13333333
results_flawfinder_note_input-fread,0.00000000
results_flawfinder_note_misc-fopen,0.00000000
results_flawfinder_error_race-chmod,0.00000000
results_flawfinder_note_buffer-strncpy,220637.86666667
results_flawfinder_note_format-fprintf,-333141.33333333
results_flawfinder_error_buffer-wcscpy,194019328.00000000
results_flawfinder_note_buffer-wcslen,4128768.00000000
results_flawfinder_note_buffer-wchar_t,-32768.00000000
results_flawfinder_note_buffer-read,712157.86666667
results_flawfinder_note_format-printf,1466914.13333333
results_flawfinder_error_format-printf,-126702.93333333
results_flawfinder_note_misc-open,4882432.00000000
results_flawfinder_error_format-snprintf,0.00000000
results_flawfinder_error_race-access,-9000552584.53333282
results_flawfinder_note_access-umask,0.00000000
results_flawfinder_note_tmpfile-mkstemp,0.00000000
results_flawfinder_error_format-vsnprintf,0.00000000
results_flawfinder_error_race-readlink,0.00000000
results_flawfinder_note_input-recv,0.00000000
results_flawfinder_error_tmpfile-mktemp,0.00000000
results_flawfinder_error_buffer-wcscat,89542563279667.20312500
results_flawfinder_warning_buffer-getenv,4452078.93333333
results_flawfinder_warning_misc-InitializeCriticalSection,0.00000000
results_flawfinder_note_buffer-mismatch,0.00000000
results_flawfinder_error_buffer-gets,0.00000000
results_flawfinder_note_format-snprintf,0.00000000
results_flawfinder_error_buffer-strcpy,-4071970.13333333
results_flawfinder_note_buffer-sprintf,0.00000000
results_flawfinder_error_buffer-strcat,0.00000000
results_flawfinder_error_shell-system,0.00000000
results_flawfinder_note_buffer-sscanf,190054.40000000
results_flawfinder_note_buffer-strcpy,0.00000000
results_flawfinder_warning_misc-LoadLibrary,0.00000000
results_flawfinder_error_buffer-sprintf,0.00000000
results_flawfinder_error_format-fprintf,0.00000000
results_flawfinder_warning_buffer-realpath,0.00000000
results_flawfinder_warning_random-srand,-1010346.66666667
results_flawfinder_warning_tmpfile-GetTempFileName,94880836.26666667
results_flawfinder_note_integer-atol,-10175976920406818816.00000000
results_flawfinder_note_buffer-MultiByteToWideChar,23003136.00000000
results_flawfinder_note_buffer-strcat,0.00000000
results_flawfinder_error_shell-execv,0.00000000
results_flawfinder_note_buffer-getchar,-12451840.00000000
results_flawfinder_note_buffer-strncat,0.00000000
results_flawfinder_note_obsolete-usleep,2981888.00000000
results_flawfinder_error_format-vfprintf,32768.00000000
results_flawfinder_note_buffer-equal,-2698990.93333333
results_flawfinder_note_buffer-wcsncpy,-425984.00000000
results_flawfinder_error_buffer-scanf,0.00000000
results_flawfinder_error_buffer-lstrcpyW,0.00000000
results_flawfinder_error_buffer-lstrcpynW,0.00000000
results_flawfinder_error_buffer-strcpyW,0.00000000
results_flawfinder_note_tmpfile-tmpfile,0.00000000
results_flawfinder_error_format-wprintf,0.00000000
results_flawfinder_note_buffer-fgetc,0.00000000
results_flawfinder_error_buffer-lstrcpynA,0.00000000
results_flawfinder_note_integer-atoi,5461.33333333
results_flawfinder_note_buffer-wcsncat,0.00000000
results_flawfinder_warning_tmpfile-tmpnam,0.00000000
results_flawfinder_note_format-vsprintf,0.00000000
results_flawfinder_error_buffer-vwscanf,0.00000000
results_flawfinder_error_buffer-lstrcpyA,46354573190375770423296.00000000
results_flawfinder_error_format-fwprintf,0.00000000
results_flawfinder_error_format-_snprintf,0.00000000
results_flawfinder_error_buffer-vfwscanf,0.00000000
