Issue,Importance
results_flawfinder_note_buffer-strlen,-0.00050799
results_flawfinder_note_buffer-char,0.02674554
results_flawfinder_note_buffer-memcpy,0.00323103
results_flawfinder_note_input-fread,-0.00041848
results_flawfinder_note_misc-fopen,0.00607236
results_flawfinder_error_race-chmod,0.00003627
results_flawfinder_note_buffer-strncpy,0.00335852
results_flawfinder_note_format-fprintf,0.00584464
results_flawfinder_error_buffer-wcscpy,-0.00005695
results_flawfinder_note_buffer-wcslen,0.00022673
results_flawfinder_note_buffer-wchar_t,0.00168000
results_flawfinder_note_buffer-read,0.02511811
results_flawfinder_note_format-printf,0.00007973
results_flawfinder_error_format-printf,0.00018031
results_flawfinder_note_misc-open,0.00127105
results_flawfinder_error_format-snprintf,0.00012344
results_flawfinder_error_race-access,0.00083349
results_flawfinder_note_access-umask,0.00000000
results_flawfinder_note_tmpfile-mkstemp,0.00657685
results_flawfinder_error_format-vsnprintf,0.00013756
results_flawfinder_error_race-readlink,0.00000000
results_flawfinder_note_input-recv,0.00006135
results_flawfinder_error_tmpfile-mktemp,0.00000000
results_flawfinder_error_buffer-wcscat,0.00125996
results_flawfinder_warning_buffer-getenv,-0.00209311
results_flawfinder_warning_misc-InitializeCriticalSection,-0.00003331
results_flawfinder_note_buffer-mismatch,-0.00004499
results_flawfinder_error_buffer-gets,0.00000000
results_flawfinder_note_format-snprintf,0.00179876
results_flawfinder_error_buffer-strcpy,-0.00090771
results_flawfinder_note_buffer-sprintf,0.02033350
results_flawfinder_error_buffer-strcat,-0.00166352
results_flawfinder_error_shell-system,0.00000109
results_flawfinder_note_buffer-sscanf,0.03192193
results_flawfinder_note_buffer-strcpy,-0.00016895
results_flawfinder_warning_misc-LoadLibrary,0.00000000
results_flawfinder_error_buffer-sprintf,-0.00072722
results_flawfinder_error_format-fprintf,0.00001019
results_flawfinder_warning_buffer-realpath,0.00002053
results_flawfinder_warning_random-srand,0.00023468
results_flawfinder_warning_tmpfile-GetTempFileName,0.00000000
results_flawfinder_note_integer-atol,-0.00008980
results_flawfinder_note_buffer-MultiByteToWideChar,0.02077074
results_flawfinder_note_buffer-strcat,0.00018148
results_flawfinder_error_shell-execv,0.02060208
results_flawfinder_note_buffer-getchar,0.00018008
results_flawfinder_note_buffer-strncat,0.00016974
results_flawfinder_note_obsolete-usleep,0.00470242
results_flawfinder_error_format-vfprintf,-0.00000237
results_flawfinder_note_buffer-equal,0.02613993
