Predicted,Actual
2464993.1550,13378123.0000
2464993.1550,75615.0000
2464993.1550,269361.0000
2464993.1550,60285.0000
3358128.5556,2196.0000
2464993.1550,682.0000
2464993.1550,852.0000
2464993.1550,174097.0000
2464993.1550,96795.0000
2464993.1550,3806.0000
78369.0000,464917.0000
2464993.1550,54821.0000
39782604.5000,63925160.0000
7236835.4286,88199.0000
2464993.1550,161867.0000
2464993.1550,276905.0000
2464993.1550,227084.0000
2464993.1550,571.0000
2464993.1550,1136.0000
2464993.1550,40033.0000
611607.0000,34177.0000
2464993.1550,528905.0000
2464993.1550,2191145.0000
2464993.1550,402006.0000
2464993.1550,17840.0000
2464993.1550,4607640.0000
12825.0000,439360.0000
2464993.1550,12517.0000
2464993.1550,143964.0000
2464993.1550,18802523.0000
2464993.1550,1958744.0000
2464993.1550,100094.0000
2464993.1550,530.0000
2464993.1550,8398.0000
11505739.0000,10537.0000
2464993.1550,238890.0000
4322963.0000,5395332.0000
1365762.5263,18001548.0000
2464993.1550,426140.0000
2464993.1550,13563.0000
2464993.1550,72496.0000
2464993.1550,1121.0000
2464993.1550,24165.0000
2464993.1550,5521.0000
2464993.1550,913.0000
2464993.1550,30617765.0000
2464993.1550,44248.0000
2464993.1550,4391.0000
2464993.1550,34632991.0000
2464993.1550,252540.0000
2464993.1550,948748.0000
2464993.1550,1029514.0000
2464993.1550,2113.0000
2464993.1550,14274865.0000
2464993.1550,3552.0000
2464993.1550,127020.0000
2464993.1550,6737.0000
2464993.1550,1339.0000
39782604.5000,34828756.0000
2464993.1550,14587888.0000
2464993.1550,38591.0000
2464993.1550,171.0000
2464993.1550,11451.0000
2464993.1550,8136251.0000
2464993.1550,8875.0000
2464993.1550,67360.0000
2464993.1550,3088.0000
2464993.1550,76383.0000
2464993.1550,80112.0000
2464993.1550,510633.0000
2464993.1550,1207.0000
3608883.0000,612714.0000
2464993.1550,1196658.0000
2464993.1550,85650.0000
2464993.1550,10454.0000
2464993.1550,30803.0000
2464993.1550,11437.0000
2464993.1550,7204272.0000
2464993.1550,30529.0000
2467265.6667,4563.0000
2464993.1550,163836.0000
2464993.1550,670109.0000
1941388.3333,247.0000
904.0000,14157.0000
2464993.1550,131850.0000
