Issue,Importance
results_flawfinder_note_buffer-strlen,-0.01849131
results_flawfinder_note_buffer-char,-0.00872553
results_flawfinder_note_buffer-memcpy,0.00369409
results_flawfinder_note_input-fread,-0.00156782
results_flawfinder_note_misc-fopen,0.00006929
results_flawfinder_error_race-chmod,0.52686135
results_flawfinder_note_buffer-strncpy,0.00298720
results_flawfinder_note_format-fprintf,0.00733728
results_flawfinder_error_buffer-wcscpy,0.00061079
results_flawfinder_note_buffer-wcslen,0.00442529
results_flawfinder_note_buffer-wchar_t,0.00652944
results_flawfinder_note_buffer-read,0.01636627
results_flawfinder_note_format-printf,0.00777247
results_flawfinder_error_format-printf,0.00003003
results_flawfinder_note_misc-open,-0.00497282
results_flawfinder_error_format-snprintf,0.00020493
results_flawfinder_error_race-access,0.00200215
results_flawfinder_note_access-umask,0.00000000
results_flawfinder_note_tmpfile-mkstemp,0.01501760
results_flawfinder_error_format-vsnprintf,-0.00399810
results_flawfinder_error_race-readlink,0.00000000
results_flawfinder_note_input-recv,-0.00000652
results_flawfinder_error_tmpfile-mktemp,0.00000000
results_flawfinder_error_buffer-wcscat,-0.00266399
results_flawfinder_warning_buffer-getenv,-0.00090724
results_flawfinder_warning_misc-InitializeCriticalSection,-0.00014599
results_flawfinder_note_buffer-mismatch,-0.00004692
results_flawfinder_error_buffer-gets,0.00000000
results_flawfinder_note_format-snprintf,0.00559528
results_flawfinder_error_buffer-strcpy,-0.00015425
results_flawfinder_note_buffer-sprintf,-0.03760951
results_flawfinder_error_buffer-strcat,0.00263618
results_flawfinder_error_shell-system,0.00007009
results_flawfinder_note_buffer-sscanf,0.04201701
results_flawfinder_note_buffer-strcpy,0.04686067
results_flawfinder_warning_misc-LoadLibrary,0.00000000
results_flawfinder_error_buffer-sprintf,0.00063278
results_flawfinder_error_format-fprintf,-0.00013151
results_flawfinder_warning_buffer-realpath,0.00650369
results_flawfinder_warning_random-srand,-0.00015435
results_flawfinder_warning_tmpfile-GetTempFileName,0.00000000
results_flawfinder_note_integer-atol,0.51333348
results_flawfinder_note_buffer-MultiByteToWideChar,0.01292810
results_flawfinder_note_buffer-strcat,0.00677705
results_flawfinder_error_shell-execv,0.04146381
results_flawfinder_note_buffer-getchar,0.00223990
results_flawfinder_note_buffer-strncat,0.10527578
results_flawfinder_note_obsolete-usleep,0.01227089
results_flawfinder_error_format-vfprintf,0.00218455
results_flawfinder_note_buffer-equal,-0.00202774
results_flawfinder_note_buffer-wcsncpy,0.00251837
results_flawfinder_error_buffer-scanf,-0.00073162
results_flawfinder_error_buffer-lstrcpyW,0.06151702
results_flawfinder_error_buffer-lstrcpynW,0.00000000
results_flawfinder_error_buffer-strcpyW,0.00000000
results_flawfinder_note_tmpfile-tmpfile,-0.00009268
results_flawfinder_error_format-wprintf,0.00000000
results_flawfinder_note_buffer-fgetc,0.00004923
results_flawfinder_error_buffer-lstrcpynA,0.00000000
results_flawfinder_note_integer-atoi,0.01707549
results_flawfinder_note_buffer-wcsncat,0.00000000
results_flawfinder_warning_tmpfile-tmpnam,0.00000000
results_flawfinder_note_format-vsprintf,-0.07490142
results_flawfinder_error_buffer-vwscanf,0.00000000
results_flawfinder_error_buffer-lstrcpyA,0.00000000
results_flawfinder_error_format-fwprintf,0.00000000
results_flawfinder_error_format-_snprintf,0.00000000
results_flawfinder_error_buffer-vfwscanf,0.00000000
results_flawfinder_error_format-swprintf,0.00069207
results_flawfinder_note_integer-_wtoi,0.00000000
results_flawfinder_error_format-vswprintf,0.00000000
results_flawfinder_note_format-sprintf,0.00000000
results_flawfinder_error_buffer-lstrcatA,0.00000000
results_flawfinder_error_buffer-lstrcatW,0.00037933
results_flawfinder_error_buffer-fscanf,0.00001113
results_flawfinder_note_format-swprintf,0.00000000
results_flawfinder_note_buffer-wcscat,0.00000000
results_flawfinder_error_access-ImpersonateLoggedOnUser,0.00000000
results_flawfinder_warning_shell-CreateProcessAsUser,0.00000000
results_flawfinder_note_buffer-lstrcpyn,0.00000000
results_flawfinder_warning_misc-AddAccessAllowedAce,0.00000000
results_flawfinder_error_buffer-lstrcat,0.00000000
results_flawfinder_note_buffer-CopyMemory,0.00003017
results_flawfinder_warning_shell-CreateProcess,0.00000000
results_flawfinder_warning_misc-LoadLibraryEx,0.00000000
results_flawfinder_error_buffer-lstrcpy,0.00000000
results_flawfinder_error_buffer-swprintf,0.00000000
results_flawfinder_note_buffer-wcscpy,0.00000000
results_flawfinder_note_buffer-swprintf,0.00000000
results_flawfinder_error_format-sprintf,0.02440128
results_flawfinder_note_buffer-TCHAR,0.00108658
results_flawfinder_note_buffer-_tcscat,0.00029233
results_flawfinder_error_shell-WinExec,0.00000000
results_flawfinder_error_access-RpcImpersonateClient,0.00000000
results_flawfinder_error_buffer-_tcscat,0.00000000
results_flawfinder_error_buffer-StrCpyNA,0.00000000
results_flawfinder_warning_random-random,-0.00590796
results_flawfinder_error_format-vsprintf,0.32206764
results_flawfinder_note_buffer-getc,-0.03230622
results_flawfinder_note_buffer-_tcsncpy,0.00000000
results_flawfinder_error_shell-ShellExecute,0.00000000
results_flawfinder_note_format-wprintf,0.00000000
results_flawfinder_note_buffer-_tcslen,0.00000000
results_flawfinder_note_format-_sntprintf,0.00000000
results_flawfinder_error_buffer-StrCatA,0.00000000
results_flawfinder_error_buffer-StrCpyA,0.00000000
results_flawfinder_error_buffer-StrCatBuffW,0.00000000
results_flawfinder_note_format-fwprintf,0.00000000
results_flawfinder_error_crypto-crypt,0.00068850
results_flawfinder_error_shell-popen,-0.00016974
results_flawfinder_note_format-_snprintf,0.00000000
results_flawfinder_error_buffer-sscanf,0.01622688
results_flawfinder_error_buffer-_tcscpy,0.00000000
results_flawfinder_error_buffer-StrCatChainW,0.00000000
results_flawfinder_error_access-ImpersonateSecurityContext,0.00000000
results_flawfinder_note_input-recvfrom,0.00222983
results_flawfinder_error_shell-execl,0.00000000
results_flawfinder_warning_buffer-getopt_long,0.00000000
results_flawfinder_note_format-syslog,0.00003809
results_flawfinder_warning_buffer-getopt,0.00007999
results_flawfinder_note_format-vprintf,0.00620654
results_flawfinder_error_format-vprintf,0.00000000
results_flawfinder_warning_random-srandom,0.00000000
results_flawfinder_note_format-vfprintf,-0.00735559
results_flawfinder_warning_random-setstate,0.00008798
results_flawfinder_error_format-syslog,0.00000000
results_flawfinder_note_buffer-scanf,0.08032580
results_flawfinder_note_buffer-fscanf,0.00000000
results_flawfinder_error_race-chown,-0.00554875
results_flawfinder_note_format-vsnprintf,0.00000000
results_flawfinder_error_buffer-vsscanf,0.00000000
results_flawfinder_error_shell-execlp,0.00018892
results_flawfinder_error_misc-SetSecurityDescriptorDacl,0.00000000
results_flawfinder_note_input-readv,0.00000000
results_flawfinder_warning_misc-chroot,0.00000000
results_flawfinder_error_buffer-vsprintf,0.00000000
results_flawfinder_error_buffer-MultiByteToWideChar,0.00000000
