Predicted,Actual
975120.8470,50562.0000
975120.8470,279701.0000
975120.8470,73077.0000
975120.8470,9957.0000
975120.8470,71.0000
6724537.2143,4350.0000
975120.8470,471482.0000
975120.8470,26646325.0000
99949.0000,29507119.0000
975120.8470,40944.0000
2188975.8889,3355761.0000
975120.8470,18885.0000
975120.8470,675483.0000
37757.0000,743947.0000
975120.8470,7260734.0000
975120.8470,30097.0000
557429.9333,64426.0000
975568.6667,12525.0000
12675666.5000,62824.0000
975120.8470,1880.0000
975120.8470,11645.0000
975120.8470,1524091.0000
975120.8470,791902.0000
975120.8470,94578.0000
975120.8470,54991.0000
579908.0000,3927276.0000
975120.8470,275.0000
975120.8470,173237.0000
1165308.3846,84992.0000
557429.9333,327902.0000
72865.2000,493.0000
31018193.0000,105745268.0000
975120.8470,39287.0000
975120.8470,43517.0000
975120.8470,849521.0000
97643.0000,481448.0000
975120.8470,2449.0000
975120.8470,438681.0000
975120.8470,7717.0000
975120.8470,8252713.0000
975120.8470,21831.0000
975120.8470,836.0000
975120.8470,7720.0000
975120.8470,20914.0000
975120.8470,1112.0000
975120.8470,770519.0000
975120.8470,4042.0000
130058.0000,2342.0000
118163.0000,417790.0000
5713310.6667,73258154.0000
13159947.0000,15354.0000
975120.8470,11431.0000
975120.8470,76.0000
975120.8470,29929.0000
3735.5000,103071.0000
2188975.8889,138665.0000
975120.8470,150725.0000
975120.8470,62439.0000
14902.0000,10614351.0000
975120.8470,7804105.0000
124831.0000,1169965.0000
975120.8470,63.0000
30126.0000,7809.0000
975120.8470,15674.0000
3239334.5000,2042.0000
1705586.8400,1024251.0000
242491.0000,2581358.0000
180882.0000,381890.0000
3239334.5000,86553.0000
214211.7000,777561.0000
975120.8470,174724.0000
975120.8470,63549.0000
37208262.0000,4222597.0000
12675666.5000,44.0000
975120.8470,93980.0000
975120.8470,100582.0000
975120.8470,13528.0000
975120.8470,68619.0000
975120.8470,9257.0000
26159.0000,87853.0000
975120.8470,267468.0000
2160815.1000,19853.0000
63954.0000,22839.0000
975120.8470,16282.0000
975120.8470,24968.0000
2842251.0000,12788.0000
353.0000,389549.0000
553024.7143,327438.0000
3766037.9294,19564.0000
975120.8470,1475.0000
2188975.8889,933884.0000
975120.8470,97983.0000
2842251.0000,1838466.0000
1204960.1429,189362.0000
975120.8470,164282.0000
975120.8470,48760.0000
105152.6667,5494.0000
975120.8470,11455.0000
975120.8470,503667.0000
975120.8470,164345.0000
975120.8470,3383.0000
975120.8470,13787.0000
975120.8470,1754612.0000
975120.8470,14269.0000
1269301.4000,148355.0000
975120.8470,260517.0000
975120.8470,33146.0000
68021.0000,171202.0000
975120.8470,14779.0000
975120.8470,1164.0000
975120.8470,414576.0000
14889.0000,101262.0000
975120.8470,925031.0000
975120.8470,81159.0000
975120.8470,49467.0000
89235.0000,972354.0000
975120.8470,3646.0000
975120.8470,129461.0000
509068.0000,20240.0000
975120.8470,82340.0000
1705586.8400,62802.0000
975120.8470,3012.0000
975120.8470,63297.0000
975120.8470,248755.0000
975120.8470,119323.0000
975120.8470,45564.0000
1269301.4000,72162.0000
975120.8470,13662933.0000
975120.8470,9629.0000
975120.8470,18849.0000
592185.0000,4421.0000
975120.8470,47583.0000
91336.0000,201180.0000
23371.0000,343441.0000
934951.8750,473882.0000
975120.8470,8828.0000
975120.8470,9099.0000
975120.8470,88268.0000
975120.8470,107110.0000
155586.0000,84294.0000
3483246.6000,473475.0000
862863.0000,38764.0000
349372.0000,59810.0000
975120.8470,4255.0000
320415.0000,907061.0000
975120.8470,32029.0000
975120.8470,671924.0000
322372.0000,200152.0000
975120.8470,10615.0000
975120.8470,132428.0000
334071.0000,5513366.0000
975120.8470,85728.0000
975120.8470,387095.0000
975120.8470,634690.0000
57028.0000,146715.0000
624408.5000,3413.0000
975120.8470,1076.0000
3239334.5000,47872.0000
975120.8470,1400.0000
975120.8470,457148.0000
975120.8470,4770.0000
102589.0000,42003.0000
975120.8470,919.0000
1079177.5000,151196.0000
95772.0000,932.0000
975120.8470,1399823.0000
975120.8470,9370.0000
975120.8470,97013.0000
20364.0000,4728.0000
975120.8470,1011550.0000
975120.8470,207412.0000
975120.8470,34675.0000
862863.0000,72840.0000
530541.9333,347596.0000
975120.8470,2703.0000
514373.0417,250769.0000
1867218.1250,139505.0000
3766037.9294,1680.0000
975120.8470,214525.0000
975568.6667,53506.0000
975120.8470,2857.0000
975120.8470,16579.0000
214211.7000,2415.0000
975120.8470,1500.0000
553024.7143,243580.0000
975120.8470,75989.0000
13159947.0000,40449.0000
975120.8470,26142.0000
975120.8470,9502349.0000
25040463.0000,1008750.0000
178954.6667,5797767.0000
975120.8470,16686.0000
975120.8470,251705.0000
36412.0000,41584.0000
1735.0000,1201062.0000
132938.0000,283243.0000
975120.8470,151568.0000
975120.8470,387918.0000
1165308.3846,82366.0000
975120.8470,23054.0000
3766037.9294,176015.0000
975120.8470,9824.0000
975120.8470,14255.0000
975120.8470,898176.0000
3766037.9294,451.0000
975120.8470,23875.0000
975120.8470,270316.0000
975120.8470,4089.0000
975120.8470,151142.0000
975120.8470,39181.0000
975120.8470,1391336.0000
259318.0000,681620.0000
975120.8470,6520.0000
975120.8470,159640.0000
3483246.6000,94128.0000
645973.0000,216038.0000
44.0000,68586.0000
975120.8470,8227.0000
1050794.0000,200171.0000
3116.5000,19804.0000
114125.0000,3948521.0000
975120.8470,95178.0000
102589.0000,15830.0000
975120.8470,679807.0000
1204960.1429,19534.0000
3483246.6000,1453.0000
975120.8470,8385.0000
975120.8470,3539.0000
975120.8470,2875.0000
624408.5000,55200.0000
514373.0417,62050.0000
255072.0000,36944.0000
975120.8470,156885.0000
975120.8470,235375.0000
975120.8470,10.0000
975120.8470,141014.0000
1165308.3846,341508.0000
975120.8470,72385.0000
975120.8470,14112.0000
975120.8470,5623.0000
975120.8470,2406.0000
975120.8470,815375.0000
44436.0000,45467.0000
975120.8470,4274.0000
975120.8470,223569.0000
975120.8470,171430.0000
975120.8470,7344.0000
1079177.5000,1532358.0000
975120.8470,16192610.0000
975120.8470,52.0000
975120.8470,19193.0000
975120.8470,50255.0000
975120.8470,5005873.0000
242491.0000,13932.0000
764838.0000,36444.0000
975120.8470,8757.0000
23360.0000,1182423.0000
975120.8470,66978.0000
1867218.1250,60989.0000
975120.8470,91242.0000
3766037.9294,7855.0000
975120.8470,9103.0000
975120.8470,58477.0000
975120.8470,19.0000
7205639.0000,54379.0000
975120.8470,187891.0000
975120.8470,1688.0000
975120.8470,17879952.0000
19.0000,18052956.0000
6331336.0000,2453793.0000
975120.8470,32.0000
975120.8470,115302.0000
975120.8470,35373.0000
12549.0000,274938.0000
975120.8470,616882.0000
114125.0000,396493.0000
975120.8470,4262.0000
283277.5000,2485.0000
975120.8470,12908.0000
1414197.0000,4648099.0000
975120.8470,56768.0000
15551954.6667,10375.0000
975120.8470,11689.0000
282055.0000,19532297.0000
3239334.5000,158065.0000
975120.8470,2345.0000
975120.8470,171158.0000
975120.8470,3404.0000
975120.8470,2506015.0000
975120.8470,5850.0000
934951.8750,12255.0000
649005.0000,84601.0000
1050794.0000,9.0000
975120.8470,18989795.0000
282567.5556,8093.0000
975120.8470,37366.0000
975120.8470,2643.0000
5214840.3333,3547.0000
975120.8470,4649.0000
975120.8470,27898.0000
975120.8470,598224.0000
5596939.0000,37127.0000
934951.8750,747863.0000
975120.8470,10516.0000
975120.8470,49517.0000
975120.8470,113342.0000
61919.0000,430500.0000
975120.8470,17414.0000
975120.8470,74701.0000
975120.8470,653.0000
975120.8470,5357667.0000
975120.8470,4317.0000
975120.8470,1363.0000
975120.8470,19802.0000
975120.8470,13396.0000
223010.8571,2954982.0000
975120.8470,2996.0000
34736.0000,14333457.0000
975120.8470,86495.0000
242491.0000,797978.0000
975120.8470,26845.0000
624408.5000,1224.0000
557429.9333,47209.0000
553024.7143,8331.0000
32248853.0000,32665511.0000
41573.0000,58947.0000
975120.8470,2613.0000
87670.4000,1804048.0000
1356336.0000,74414.0000
2188975.8889,9017981.0000
975120.8470,87831.0000
975120.8470,79947.0000
975120.8470,12860.0000
1264830.0000,78014.0000
975120.8470,165653.0000
975120.8470,90128.0000
118856.7778,4263.0000
975120.8470,9839.0000
975120.8470,89347.0000
975120.8470,3040.0000
975120.8470,9919.0000
118856.7778,194740.0000
975120.8470,20697.0000
975120.8470,24835.0000
975120.8470,136873.0000
3483246.6000,3155592.0000
975120.8470,1858.0000
975120.8470,1026625.0000
975120.8470,48056.0000
975120.8470,84996.0000
975120.8470,2328.0000
975120.8470,16289.0000
8166.0000,1765.0000
975120.8470,146011.0000
862863.0000,333725.0000
975120.8470,6493680.0000
41093.0000,11066.0000
975120.8470,12676.0000
975120.8470,8383.0000
26108320.0000,6388.0000
69384.0000,18911.0000
32461.0000,84389.0000
13104.0000,849764.0000
13159947.0000,19489327.0000
187054.0000,91113.0000
975120.8470,48837.0000
975120.8470,64.0000
975120.8470,10213.0000
975120.8470,57674.0000
