Predicted,Actual
1033549.3259,50562.0000
1033549.3259,279701.0000
1033549.3259,73077.0000
1033549.3259,9957.0000
1033549.3259,71.0000
1033549.3259,4350.0000
1033549.3259,471482.0000
1033549.3259,26646325.0000
1033549.3259,29507119.0000
1033549.3259,40944.0000
1033549.3259,3355761.0000
1033549.3259,18885.0000
1033549.3259,675483.0000
2442789.3925,743947.0000
1033549.3259,7260734.0000
1033549.3259,30097.0000
1033549.3259,64426.0000
1033549.3259,12525.0000
1208003.2644,62824.0000
1033549.3259,1880.0000
1033549.3259,11645.0000
1033549.3259,1524091.0000
1033549.3259,791902.0000
1033549.3259,94578.0000
1033549.3259,54991.0000
5519815.1498,3927276.0000
1033549.3259,275.0000
1033549.3259,173237.0000
1024422.6574,84992.0000
1033549.3259,327902.0000
1033549.3259,493.0000
4857605.7462,105745268.0000
1033549.3259,39287.0000
1033549.3259,43517.0000
1033549.3259,849521.0000
1023669.5845,481448.0000
1033549.3259,2449.0000
1033549.3259,438681.0000
1033549.3259,7717.0000
1033549.3259,8252713.0000
1033549.3259,21831.0000
1033549.3259,836.0000
1033549.3259,7720.0000
1033549.3259,20914.0000
1033549.3259,1112.0000
1033549.3259,770519.0000
1033549.3259,4042.0000
1218205.9175,2342.0000
2154828.9206,417790.0000
921167.6086,73258154.0000
1033549.3259,15354.0000
1033549.3259,11431.0000
1033549.3259,76.0000
1033549.3259,29929.0000
1033549.3259,103071.0000
1033549.3259,138665.0000
1033549.3259,150725.0000
1033549.3259,62439.0000
1218205.9175,10614351.0000
1033549.3259,7804105.0000
1033549.3259,1169965.0000
1033549.3259,63.0000
1033549.3259,7809.0000
1033549.3259,15674.0000
1218205.9175,2042.0000
1033549.3259,1024251.0000
1059894.8765,2581358.0000
3219778.7423,381890.0000
1218205.9175,86553.0000
1033549.3259,777561.0000
1033549.3259,174724.0000
1033549.3259,63549.0000
9018480.8296,4222597.0000
1208003.2644,44.0000
1033549.3259,93980.0000
1033549.3259,100582.0000
1033549.3259,13528.0000
1033549.3259,68619.0000
1033549.3259,9257.0000
1033549.3259,87853.0000
1033549.3259,267468.0000
1033549.3259,19853.0000
1033549.3259,22839.0000
1033549.3259,16282.0000
1033549.3259,24968.0000
1033549.3259,12788.0000
1954902.8431,389549.0000
1033549.3259,327438.0000
2442789.3925,19564.0000
1033549.3259,1475.0000
1033549.3259,933884.0000
1033549.3259,97983.0000
1033549.3259,1838466.0000
1586273.4128,189362.0000
1033549.3259,164282.0000
1033549.3259,48760.0000
1033549.3259,5494.0000
1033549.3259,11455.0000
1033549.3259,503667.0000
1033549.3259,164345.0000
1033549.3259,3383.0000
1033549.3259,13787.0000
1033549.3259,1754612.0000
1033549.3259,14269.0000
1033549.3259,148355.0000
1033549.3259,260517.0000
1033549.3259,33146.0000
912040.9400,171202.0000
1033549.3259,14779.0000
1033549.3259,1164.0000
1033549.3259,414576.0000
1047901.4962,101262.0000
1033549.3259,925031.0000
1033549.3259,81159.0000
1033549.3259,49467.0000
1033549.3259,972354.0000
1033549.3259,3646.0000
1033549.3259,129461.0000
1218205.9175,20240.0000
1033549.3259,82340.0000
567572.6287,62802.0000
1033549.3259,3012.0000
1033549.3259,63297.0000
1033549.3259,248755.0000
1033549.3259,119323.0000
1033549.3259,45564.0000
1033549.3259,72162.0000
1033549.3259,13662933.0000
1033549.3259,9629.0000
1033549.3259,18849.0000
1033549.3259,4421.0000
1033549.3259,47583.0000
1033549.3259,201180.0000
1047901.4962,343441.0000
1033549.3259,473882.0000
1033549.3259,8828.0000
1033549.3259,9099.0000
1033549.3259,88268.0000
1033549.3259,107110.0000
1033549.3259,84294.0000
1033549.3259,473475.0000
1033549.3259,38764.0000
1033549.3259,59810.0000
1033549.3259,4255.0000
1586273.4128,907061.0000
1033549.3259,32029.0000
1033549.3259,671924.0000
2286728.9275,200152.0000
1033549.3259,10615.0000
1033549.3259,132428.0000
528127.6504,5513366.0000
1033549.3259,85728.0000
1033549.3259,387095.0000
1033549.3259,634690.0000
1033549.3259,146715.0000
1033549.3259,3413.0000
1033549.3259,1076.0000
1218205.9175,47872.0000
1033549.3259,1400.0000
1033549.3259,457148.0000
1033549.3259,4770.0000
1033549.3259,42003.0000
1033549.3259,919.0000
1586273.4128,151196.0000
1033549.3259,932.0000
1033549.3259,1399823.0000
1033549.3259,9370.0000
1033549.3259,97013.0000
1033549.3259,4728.0000
1033549.3259,1011550.0000
1033549.3259,207412.0000
1033549.3259,34675.0000
1033549.3259,72840.0000
1033549.3259,347596.0000
1033549.3259,2703.0000
1033549.3259,250769.0000
1033549.3259,139505.0000
2442789.3925,1680.0000
1033549.3259,214525.0000
1033549.3259,53506.0000
1033549.3259,2857.0000
1033549.3259,16579.0000
1033549.3259,2415.0000
1033549.3259,1500.0000
1033549.3259,243580.0000
1033549.3259,75989.0000
1033549.3259,40449.0000
1033549.3259,26142.0000
1033549.3259,9502349.0000
2442789.3925,1008750.0000
1033549.3259,5797767.0000
1033549.3259,16686.0000
1033549.3259,251705.0000
921167.6086,41584.0000
1033549.3259,1201062.0000
1033549.3259,283243.0000
1033549.3259,151568.0000
1033549.3259,387918.0000
1024422.6574,82366.0000
1033549.3259,23054.0000
2442789.3925,176015.0000
1033549.3259,9824.0000
1033549.3259,14255.0000
1033549.3259,898176.0000
2442789.3925,451.0000
1033549.3259,23875.0000
1033549.3259,270316.0000
1033549.3259,4089.0000
