Predicted,Actual
1223234.3961,50562.0000
1223234.3961,279701.0000
1223234.3961,73077.0000
1223234.3961,9957.0000
1223234.3961,71.0000
761993.9143,4350.0000
1223234.3961,471482.0000
143220.8559,26646325.0000
760360.1766,29507119.0000
1223234.3961,40944.0000
949707.2948,3355761.0000
1223234.3961,18885.0000
1223234.3961,675483.0000
1184604.6851,743947.0000
1223234.3961,7260734.0000
1223234.3961,30097.0000
936127.9054,64426.0000
1192396.9798,12525.0000
2217159.7103,62824.0000
1223234.3961,1880.0000
1223234.3961,11645.0000
1223234.3961,1524091.0000
1223234.3961,791902.0000
1223234.3961,94578.0000
3185011.5338,54991.0000
17555094.8335,3927276.0000
1223234.3961,275.0000
1223234.3961,173237.0000
1283171.4128,84992.0000
1594532.1274,327902.0000
1510340.8867,493.0000
20844979.3910,105745268.0000
954018.7776,39287.0000
1223234.3961,43517.0000
1223234.3961,849521.0000
1521547.6138,481448.0000
1223234.3961,2449.0000
1223234.3961,438681.0000
1223234.3961,7717.0000
1409986.0193,8252713.0000
1223234.3961,21831.0000
1223234.3961,836.0000
1223234.3961,7720.0000
1223234.3961,20914.0000
1223234.3961,1112.0000
1223234.3961,770519.0000
1223234.3961,4042.0000
1518024.8291,2342.0000
4047223.0935,417790.0000
-724178.8123,73258154.0000
-5115055.8533,15354.0000
1223234.3961,11431.0000
1223234.3961,76.0000
1223234.3961,29929.0000
645596.2911,103071.0000
1079681.1508,138665.0000
1223234.3961,150725.0000
1223234.3961,62439.0000
-950107.1839,10614351.0000
1223234.3961,7804105.0000
753089.1846,1169965.0000
1223234.3961,63.0000
1194671.2664,7809.0000
1223234.3961,15674.0000
1749404.9951,2042.0000
1205590.7821,1024251.0000
47989611.5435,2581358.0000
-315415.1952,381890.0000
1749404.9951,86553.0000
3226640.5783,777561.0000
1223234.3961,174724.0000
1223234.3961,63549.0000
7088198.9465,4222597.0000
554849.4337,44.0000
1223234.3961,93980.0000
1223234.3961,100582.0000
1223234.3961,13528.0000
1223234.3961,68619.0000
1223234.3961,9257.0000
1179305.0587,87853.0000
1223234.3961,267468.0000
1216061.4485,19853.0000
-11370361.5888,22839.0000
1223234.3961,16282.0000
1223234.3961,24968.0000
1092436.3050,12788.0000
4469208.6925,389549.0000
1265450.5809,327438.0000
1226820.8699,19564.0000
1223234.3961,1475.0000
1079681.1508,933884.0000
1223234.3961,97983.0000
1818342.2385,1838466.0000
1237580.2914,189362.0000
1223234.3961,164282.0000
1223234.3961,48760.0000
1226660.7757,5494.0000
1223234.3961,11455.0000
1223234.3961,503667.0000
1223234.3961,164345.0000
1223234.3961,3383.0000
1223234.3961,13787.0000
1223234.3961,1754612.0000
1223234.3961,14269.0000
1881638.6180,148355.0000
1223234.3961,260517.0000
1223234.3961,33146.0000
844745.6744,171202.0000
1223234.3961,14779.0000
1223234.3961,1164.0000
1223234.3961,414576.0000
-4352217.3632,101262.0000
1223234.3961,925031.0000
1223234.3961,81159.0000
1223234.3961,49467.0000
691237.5996,972354.0000
1223234.3961,3646.0000
1223234.3961,129461.0000
2132022.3488,20240.0000
-51965348.7301,82340.0000
2722606.4405,62802.0000
1223234.3961,3012.0000
1223234.3961,63297.0000
1223234.3961,248755.0000
1223234.3961,119323.0000
1223234.3961,45564.0000
3040390.5179,72162.0000
1223234.3961,13662933.0000
1223234.3961,9629.0000
1223234.3961,18849.0000
-1195990.8104,4421.0000
1223234.3961,47583.0000
-511155.5831,201180.0000
