Predicted,Actual
1265626.8120,50562.0000
1265626.8120,279701.0000
1265626.8120,73077.0000
1265626.8120,9957.0000
1265626.8120,71.0000
1679795.7049,4350.0000
1265626.8120,471482.0000
1265626.8120,26646325.0000
1262173.6862,29507119.0000
1265626.8120,40944.0000
1265626.8120,3355761.0000
1265626.8120,18885.0000
1265626.8120,675483.0000
1679795.7049,743947.0000
1265626.8120,7260734.0000
1265626.8120,30097.0000
1265626.8120,64426.0000
1265626.8120,12525.0000
1328601.3543,62824.0000
1265626.8120,1880.0000
1265626.8120,11645.0000
1265626.8120,1524091.0000
1265626.8120,791902.0000
1265626.8120,94578.0000
182924.8120,54991.0000
-2233123.8477,3927276.0000
1265626.8120,275.0000
1265626.8120,173237.0000
1526956.0521,84992.0000
1265626.8120,327902.0000
1050009.8402,493.0000
4057833.7036,105745268.0000
1679746.8120,39287.0000
1265626.8120,43517.0000
1265626.8120,849521.0000
1265626.8120,481448.0000
1265626.8120,2449.0000
1265626.8120,438681.0000
1265626.8120,7717.0000
1265626.8120,8252713.0000
1265626.8120,21831.0000
1265626.8120,836.0000
1265626.8120,7720.0000
1265626.8120,20914.0000
1265626.8120,1112.0000
1265626.8120,770519.0000
1265626.8120,4042.0000
1265626.8120,2342.0000
1265626.8120,417790.0000
106732.5984,73258154.0000
1265626.8120,15354.0000
1265626.8120,11431.0000
1265626.8120,76.0000
1265626.8120,29929.0000
1142206.4674,103071.0000
1265626.8120,138665.0000
1265626.8120,150725.0000
1265626.8120,62439.0000
261101.6533,10614351.0000
1265626.8120,7804105.0000
211226.2479,1169965.0000
1265626.8120,63.0000
1356124.6450,7809.0000
1265626.8120,15674.0000
1265626.8120,2042.0000
1265626.8120,1024251.0000
14231477.3606,2581358.0000
259346.5570,381890.0000
1265626.8120,86553.0000
1188669.7154,777561.0000
1265626.8120,174724.0000
1265626.8120,63549.0000
1265626.8120,4222597.0000
1265626.8120,44.0000
1265626.8120,93980.0000
1265626.8120,100582.0000
1265626.8120,13528.0000
1265626.8120,68619.0000
1265626.8120,9257.0000
1265626.8120,87853.0000
1265626.8120,267468.0000
1313303.7285,19853.0000
2089213.6870,22839.0000
1265626.8120,16282.0000
1265626.8120,24968.0000
623345.2096,12788.0000
1157818.3261,389549.0000
1265626.8120,327438.0000
1265626.8120,19564.0000
1265626.8120,1475.0000
1265626.8120,933884.0000
1265626.8120,97983.0000
623345.2096,1838466.0000
1265626.8120,189362.0000
