Issue,Importance
results_HLint_Warning_Unused-LANGUAGE-pragma,0.00241601
results_HLint_Suggestion_Use-foldl,0.00000000
results_HLint_Suggestion_Use-null,0.00012022
results_HLint_Suggestion_Redundant-$,0.00345627
results_HLint_Suggestion_Use-lambda-case,0.00001404
results_HLint_Suggestion_Use-const,0.01399550
results_HLint_Warning_Use-fmap,0.00228291
results_HLint_Warning_Eta-reduce,-0.00354485
results_HLint_Suggestion_Use-tuple-section,0.00521593
results_HLint_Suggestion_Use-bimap,-0.00001743
results_HLint_Warning_Use-?~,-0.00000223
results_HLint_Suggestion_Use-newtype-instead-of-data,-0.00033050
results_HLint_Suggestion_Redundant-where,0.00004231
results_HLint_Warning_Use-mapMaybe,-0.00020599
results_HLint_Warning_Redundant-return,0.00050112
results_HLint_Suggestion_Use-intercalate,-0.00000498
results_HLint_Suggestion_Redundant-bracket,-0.03303375
results_HLint_Suggestion_Use-typeRep,0.00000000
results_HLint_Suggestion_Avoid-lambda-using-`infix`,0.00155245
results_HLint_Suggestion_Use->=>,0.00000000
results_HLint_Suggestion_Avoid-lambda,0.00012227
results_HLint_Suggestion_Use-list-comprehension,-0.00005364
results_HLint_Warning_Redundant-bracket,0.00774674
results_HLint_Suggestion_Use-camelCase,0.00084729
results_HLint_Warning_Use-concatMap,-0.00018305
results_HLint_Suggestion_Use-fmap,0.00006678
results_HLint_Warning_Redundant-lambda,0.00001835
results_HLint_Warning_Use-fewer-imports,-0.00005180
results_HLint_Suggestion_Use-<$>,-0.00080760
results_HLint_Warning_Use-isNothing,-0.00000755
results_HLint_Warning_Use-tuple-section,-0.00019859
results_HLint_Warning_Use-<&>,0.00000000
results_HLint_Suggestion_Move-brackets-to-avoid-$,-0.00336987
results_HLint_Warning_Use-foldM_,0.00000000
results_HLint_Warning_Use-<$>,-0.00076339
results_HLint_Suggestion_Use-section,-0.00550463
results_HLint_Warning_Use-all,0.00000000
results_HLint_Suggestion_Use-<&>,-0.00468144
results_HLint_Warning_Avoid-lambda,-0.01617050
results_HLint_Warning_Use-const,-0.00001796
results_HLint_Suggestion_Use-record-patterns,0.00144567
results_HLint_Suggestion_Redundant-section,0.00000000
results_HLint_Warning_Use-void,0.00000650
results_HLint_Warning_Functor-law,0.04501910
results_HLint_Warning_Redundant-id,-0.00000067
results_HLint_Warning_Use-map,-0.00001423
results_HLint_Suggestion_Use-foldr,0.00004678
results_HLint_Suggestion_Use-==,0.00000000
results_HLint_Warning_Use-notElem,-0.00061705
results_HLint_Suggestion_Use-map-once,0.00012277
results_HLint_Warning_Redundant-<$>,0.00251390
results_HLint_Warning_Use-gets,0.00009843
results_HLint_Suggestion_Use-infix,0.00128656
results_HLint_Warning_Use-maybe,-0.00442980
results_HLint_Warning_Use-fewer-LANGUAGE-pragmas,-0.00000087
"results_HLint_Warning_Monad-law,-left-identity",0.00000000
results_HLint_Suggestion_Use-<=<,-0.00000611
results_HLint_Suggestion_Use-uncurry,-0.02067230
results_HLint_Suggestion_Use-if,-0.00013475
results_HLint_Warning_Use-elem,0.00003497
results_HLint_Suggestion_Fuse-concatMap/map,-0.00000170
results_HLint_Warning_Use-elemIndex,0.00000000
results_HLint_Warning_Hoist-not,0.00001780
results_HLint_Warning_Use-when,0.00003110
results_HLint_Warning_Redundant-bang-pattern,0.00000000
results_HLint_Warning_Use-replicate,0.00000000
results_HLint_Suggestion_Use-:,-0.02585890
results_HLint_Warning_Use-mapM_,0.00000000
results_HLint_Warning_Use-mapM,0.00006922
results_HLint_Suggestion_Redundant-guard,0.00000138
results_HLint_Warning_Use-id,0.00000066
results_HLint_Suggestion_Use-=<<,-0.00000696
results_HLint_Suggestion_Use-pragma-syntax,0.00000000
results_HLint_Suggestion_Use-let,0.00032003
results_HLint_Suggestion_Use-head,-0.00019604
results_HLint_Suggestion_Fix-pragma-markup,0.00000000
results_HLint_Suggestion_Use-even,0.00000000
results_HLint_Warning_Use-/=,0.00000601
results_HLint_Warning_Redundant-if,-0.00244769
results_HLint_Warning_Redundant-map,-0.00038541
results_HLint_Warning_Evaluate,-0.00000810
results_HLint_Warning_Redundant-variable-capture,0.00000000
results_HLint_Warning_Use-uncurry,0.00000000
results_HLint_Warning_Use-print,0.00001978
"results_HLint_Warning_Monad-law,-right-identity",-0.00000018
results_HLint_Warning_Use-forM_,0.00000073
results_HLint_Warning_Use-unless,0.00688299
results_HLint_Warning_Use-exitSuccess,0.00000000
results_HLint_Warning_Use-isAlpha,0.00000000
results_HLint_Suggestion_Use-zipWith,0.00005766
results_HLint_Warning_Use-getContents,0.00000000
results_HLint_Warning_Use-join,0.00001418
results_HLint_Suggestion_Use-<$,-0.00014846
results_HLint_Warning_Avoid-reverse,0.00000000
results_HLint_Suggestion_Collapse-lambdas,0.00000000
results_HLint_Suggestion_Use-guards,0.00002565
results_HLint_Suggestion_Fuse-foldr/map,-0.00000146
results_HLint_Suggestion_Use-curry,0.00000000
results_HLint_Suggestion_Use-foldM,0.00000000
results_HLint_Warning_Use-zipWithM,0.00001618
results_HLint_Suggestion_Use-second,0.00000102
results_HLint_Suggestion_Move-guards-forward,0.00001802
results_HLint_Suggestion_Use-||,0.00013764
results_HLint_Warning_Use-minimumBy,0.00000000
results_HLint_Suggestion_Use-negate,0.00000000
results_HLint_Suggestion_Replace-case-with-maybe,0.00192579
results_HLint_Suggestion_Use-list-literal,0.00007839
results_HLint_Warning_Redundant-uncurry,0.00000000
results_HLint_Suggestion_Use-++,-0.00149850
results_HLint_Warning_Use->,0.00000000
results_HLint_Warning_Use-<=,0.00000000
results_HLint_Warning_Redundant-fmap,-0.00005028
results_HLint_Suggestion_Use-first,-0.00000967
results_HLint_Suggestion_Redundant-case,0.00000000
"results_HLint_Warning_Monoid-law,-right-identity",-0.00000016
results_HLint_Suggestion_Use-&&,-0.00145355
results_HLint_Warning_Use-zipWithM_,0.00000000
results_HLint_Suggestion_Redundant-as,0.00003578
results_HLint_Suggestion_Use-$>,0.00010606
results_HLint_Warning_Redundant-multi-way-if,0.00005719
results_HLint_Warning_Redundant-^.,-0.00054790
results_HLint_Suggestion_Use-list-literal-pattern,0.00145088
results_HLint_Warning_Fuse-traverse_/map,0.00000000
results_HLint_Warning_Use-fromMaybe,0.00003150
results_HLint_Warning_Use-fromRight,-0.00006350
results_HLint_Warning_Use-Just,-0.00000011
results_HLint_Warning_Redundant-pure,0.00013315
results_HLint_Warning_Use-isJust,-0.00000011
