Variables;Importance
results_PMD_Design_NcssCount;-0.0335
results_PMD_Best Practices_UnusedLocalVariable;-0.0120
results_PMD_Best Practices_UseTryWithResources;-0.0113
results_PMD_Design_LawOfDemeter;-0.0070
results_PMD_Code Style_ShortMethodName;-0.0068
results_PMD_Best Practices_SimplifiableTestAssertion;-0.0055
results_PMD_Code Style_UnnecessaryModifier;-0.0048
results_PMD_Multithreading_UseConcurrentHashMap;-0.0043
results_PMD_Error Prone_AvoidCatchingThrowable;-0.0041
results_PMD_Design_SwitchDensity;-0.0036
results_PMD_Code Style_FinalParameterInAbstractMethod;-0.0024
results_PMD_Best Practices_UseVarargs;-0.0022
results_PMD_Best Practices_AvoidPrintStackTrace;-0.0020
results_PMD_Error Prone_AvoidLiteralsInIfCondition;-0.0020
results_PMD_Best Practices_AvoidUsingHardCodedIP;-0.0019
results_PMD_Code Style_CallSuperInConstructor;-0.0014
results_PMD_Error Prone_UseEqualsToCompareStrings;-0.0013
results_PMD_Code Style_TooManyStaticImports;-0.0013
results_PMD_Error Prone_UseLocaleWithCaseConversions;-0.0013
results_PMD_Best Practices_AvoidReassigningParameters;-0.0008
results_PMD_Multithreading_AvoidSynchronizedAtMethodLevel;-0.0005
results_PMD_Code Style_FieldNamingConventions;-0.0005
results_PMD_Best Practices_AvoidReassigningLoopVariables;0.0000
results_PMD_Error Prone_CloneMethodReturnTypeMustMatchClassName;0.0000
results_PMD_Error Prone_DoNotExtendJavaLangThrowable;0.0000
results_PMD_Error Prone_ProperCloneImplementation;0.0000
results_PMD_Error Prone_MethodWithSameNameAsEnclosingClass;0.0000
results_PMD_Error Prone_TestClassWithoutTestCases;0.0000
results_PMD_Performance_TooFewBranchesForASwitchStatement;0.0000
results_PMD_Error Prone_BrokenNullCheck;0.0000
results_PMD_Design_UselessOverridingMethod;0.0000
results_PMD_Design_LogicInversion;0.0000
results_PMD_Error Prone_UnnecessaryBooleanAssertion;0.0000
results_PMD_Error Prone_NonStaticInitializer;0.0000
results_PMD_Code Style_UnnecessaryReturn;0.0000
results_PMD_Error Prone_AvoidLosingExceptionInformation;0.0000
results_PMD_Error Prone_SingletonClassReturningNewInstance;0.0000
results_PMD_Error Prone_AvoidFieldNameMatchingTypeName;0.0000
results_PMD_Error Prone_ImplicitSwitchFallThrough;0.0000
results_PMD_Design_AvoidUncheckedExceptionsInSignatures;0.0000
results_PMD_Error Prone_EmptyFinallyBlock;0.0000
results_PMD_Error Prone_EmptyTryBlock;0.0000
results_PMD_Code Style_BooleanGetMethodName;0.0000
results_PMD_Best Practices_UnusedFormalParameter;0.0000
results_PMD_Best Practices_ReplaceHashtableWithMap;0.0000
results_PMD_Performance_AvoidCalendarDateCreation;0.0000
results_PMD_Performance_BigIntegerInstantiation;0.0000
results_PMD_Code Style_UnnecessaryCast;0.0000
results_PMD_Error Prone_DetachedTestCase;0.0000
results_PMD_Design_SimplifyConditional;0.0000
results_PMD_Performance_UselessStringValueOf;0.0000
results_PMD_Design_SimplifyBooleanReturns;0.0000
results_PMD_Performance_AvoidArrayLoops;0.0000
results_PMD_Error Prone_MissingStaticMethodInNonInstantiatableClass;0.0000
results_PMD_Code Style_IdenticalCatchBranches;0.0000
results_PMD_Error Prone_SuspiciousEqualsMethodName;0.0000
results_PMD_Best Practices_ReplaceVectorWithList;0.0000
results_PMD_Error Prone_SimpleDateFormatNeedsLocale;0.0000
results_PMD_Error Prone_DoNotCallGarbageCollectionExplicitly;0.0000
results_PMD_Design_AbstractClassWithoutAnyMethod;0.0000
