Variables;Importance
results_PMD_Multithreading_AvoidUsingVolatile;-0.0671
results_PMD_Code Style_FieldDeclarationsShouldBeAtStartOfClass;-0.0668
results_PMD_Best Practices_ArrayIsStoredDirectly;-0.0636
results_PMD_Code Style_GenericsNaming;-0.0552
results_PMD_Best Practices_AvoidReassigningParameters;-0.0551
results_PMD_Performance_RedundantFieldInitializer;-0.0508
results_PMD_Best Practices_GuardLogStatement;-0.0505
results_PMD_Best Practices_UnusedPrivateField;-0.0504
results_PMD_Best Practices_UseCollectionIsEmpty;-0.0504
results_PMD_Best Practices_AvoidUsingHardCodedIP;-0.0454
results_PMD_Design_CollapsibleIfStatements;-0.0449
results_PMD_Best Practices_JUnit5TestShouldBePackagePrivate;-0.0445
results_PMD_Error Prone_AvoidLiteralsInIfCondition;-0.0442
results_PMD_Code Style_LinguisticNaming;-0.0395
results_PMD_Best Practices_JUnitTestsShouldIncludeAssert;-0.0371
results_PMD_Best Practices_DoubleBraceInitialization;-0.0366
results_PMD_Code Style_UnnecessaryImport;-0.0356
results_PMD_Design_TooManyMethods;-0.0343
results_PMD_Performance_AddEmptyString;-0.0332
results_PMD_Best Practices_LooseCoupling;-0.0322
results_PMD_Error Prone_EmptyFinallyBlock;-0.0303
results_PMD_Error Prone_AvoidCatchingThrowable;-0.0302
results_PMD_Error Prone_CompareObjectsWithEquals;-0.0281
results_PMD_Performance_ConsecutiveAppendsShouldReuse;-0.0278
results_PMD_Best Practices_SwitchStmtsShouldHaveDefault;-0.0263
results_PMD_Best Practices_WhileLoopWithLiteralBoolean;-0.0256
results_PMD_Error Prone_EmptyIfStmt;-0.0240
results_PMD_Code Style_EmptyMethodInAbstractClassShouldBeAbstract;-0.0211
results_PMD_Best Practices_JUnit4TestShouldUseAfterAnnotation;-0.0210
results_PMD_Design_AvoidRethrowingException;-0.0194
results_PMD_Multithreading_UseConcurrentHashMap;-0.0190
results_PMD_Design_ExcessiveClassLength;-0.0189
results_PMD_Best Practices_AvoidReassigningLoopVariables;-0.0181
results_PMD_Design_ExcessiveMethodLength;-0.0178
results_PMD_Code Style_TooManyStaticImports;-0.0174
