Issue,Importance
results_PMD_Code Style_OnlyOneReturn,-0.05422240
results_PMD_Design_LawOfDemeter,-0.09592086
results_PMD_Code Style_ConfusingTernary,0.01630251
results_PMD_Design_CyclomaticComplexity,-0.01642328
results_PMD_Documentation_CommentSize,0.16552679
results_PMD_Error Prone_EmptyCatchBlock,-0.00161059
results_PMD_Code Style_LongVariable,-0.01351309
results_PMD_Documentation_CommentRequired,-0.10678923
results_PMD_Code Style_ShortVariable,-0.01895593
results_PMD_Code Style_LocalVariableCouldBeFinal,0.90735607
results_PMD_Error Prone_BeanMembersShouldSerialize,3.07637951
results_PMD_Multithreading_UseConcurrentHashMap,0.00328600
results_PMD_Design_CognitiveComplexity,0.07928205
results_PMD_Code Style_MethodArgumentCouldBeFinal,0.00402226
results_PMD_Error Prone_NullAssignment,-0.04051781
results_PMD_Error Prone_CloseResource,0.00093791
results_PMD_Design_NPathComplexity,-0.01408996
results_PMD_Code Style_FieldNamingConventions,0.00607857
results_PMD_Code Style_UseUnderscoresInNumericLiterals,-0.00804692
results_PMD_Design_GodClass,0.01166624
results_PMD_Best Practices_UnusedAssignment,0.01050514
results_PMD_Design_NcssCount,-0.00804161
results_PMD_Performance_AvoidInstantiatingObjectsInLoops,1.14889703
results_PMD_Best Practices_GuardLogStatement,0.00082981
results_PMD_Performance_AddEmptyString,0.00094037
results_PMD_Design_AvoidCatchingGenericException,-0.01112617
results_PMD_Error Prone_ProperLogger,0.00000142
results_PMD_Design_ExcessiveMethodLength,0.01660576
results_PMD_Code Style_CallSuperInConstructor,-0.10861192
results_PMD_Performance_OptimizableToArrayCall,0.00000708
results_PMD_Documentation_UncommentedEmptyConstructor,0.00102710
results_PMD_Error Prone_AvoidCatchingThrowable,-0.11931784
results_PMD_Code Style_CommentDefaultAccessModifier,1.42057510
results_PMD_Design_CouplingBetweenObjects,0.00021241
results_PMD_Error Prone_ReturnEmptyCollectionRatherThanNull,0.01452210
results_PMD_Design_TooManyMethods,0.00435895
results_PMD_Design_ExcessiveImports,-0.00279428
results_PMD_Design_MutableStaticState,-0.00373346
results_PMD_Best Practices_DoubleBraceInitialization,0.00000801
results_PMD_Code Style_UseShortArrayInitializer,-0.00020244
results_PMD_Error Prone_AvoidDuplicateLiterals,-0.05749325
results_PMD_Error Prone_EmptyIfStmt,0.00006550
results_PMD_Code Style_LinguisticNaming,0.04793093
results_PMD_Best Practices_UseVarargs,0.03288621
results_PMD_Code Style_UnnecessaryFullyQualifiedName,0.00290524
results_PMD_Best Practices_JUnitTestContainsTooManyAsserts,-0.10272005
results_PMD_Design_ImmutableField,0.00055461
results_PMD_Best Practices_JUnitTestsShouldIncludeAssert,0.30053128
results_PMD_Best Practices_JUnitAssertionsShouldIncludeMessage,0.04074360
results_PMD_Best Practices_MethodReturnsInternalArray,-0.00005324
results_PMD_Code Style_UseDiamondOperator,0.09589040
