Issue,Importance
results_PMD_Code Style_OnlyOneReturn,-0.05329132
results_PMD_Design_LawOfDemeter,0.01499240
results_PMD_Code Style_ConfusingTernary,-0.03612395
results_PMD_Design_CyclomaticComplexity,0.01240827
results_PMD_Documentation_CommentSize,0.22292608
results_PMD_Error Prone_EmptyCatchBlock,-0.09547063
results_PMD_Code Style_LongVariable,-0.00602200
results_PMD_Documentation_CommentRequired,0.00552469
results_PMD_Code Style_ShortVariable,1.70728484
results_PMD_Code Style_LocalVariableCouldBeFinal,0.54946024
results_PMD_Error Prone_BeanMembersShouldSerialize,2.13296690
results_PMD_Multithreading_UseConcurrentHashMap,-0.00045560
results_PMD_Design_CognitiveComplexity,0.79461283
results_PMD_Code Style_MethodArgumentCouldBeFinal,-0.02087871
results_PMD_Error Prone_NullAssignment,-0.05794840
results_PMD_Error Prone_CloseResource,-0.00014452
results_PMD_Design_NPathComplexity,-0.00283948
results_PMD_Code Style_FieldNamingConventions,0.20438374
results_PMD_Code Style_UseUnderscoresInNumericLiterals,-0.00847036
results_PMD_Design_GodClass,0.04481168
results_PMD_Best Practices_UnusedAssignment,0.00200632
results_PMD_Design_NcssCount,0.07979216
results_PMD_Performance_AvoidInstantiatingObjectsInLoops,-0.05195868
results_PMD_Best Practices_GuardLogStatement,0.00053766
results_PMD_Performance_AddEmptyString,-0.00661047
results_PMD_Design_AvoidCatchingGenericException,-0.01528362
results_PMD_Error Prone_ProperLogger,0.00072153
results_PMD_Design_ExcessiveMethodLength,0.08859338
results_PMD_Code Style_CallSuperInConstructor,-0.09062729
results_PMD_Performance_OptimizableToArrayCall,0.00210573
results_PMD_Documentation_UncommentedEmptyConstructor,-0.00000217
results_PMD_Error Prone_AvoidCatchingThrowable,-0.07702227
results_PMD_Code Style_CommentDefaultAccessModifier,0.38728952
results_PMD_Design_CouplingBetweenObjects,-0.00012628
results_PMD_Error Prone_ReturnEmptyCollectionRatherThanNull,0.06591104
results_PMD_Design_TooManyMethods,0.09325550
results_PMD_Design_ExcessiveImports,0.00247962
results_PMD_Design_MutableStaticState,-0.00860101
results_PMD_Best Practices_DoubleBraceInitialization,-0.00000354
results_PMD_Code Style_UseShortArrayInitializer,0.00234356
results_PMD_Error Prone_AvoidDuplicateLiterals,0.06732577
results_PMD_Error Prone_EmptyIfStmt,0.00228240
results_PMD_Code Style_LinguisticNaming,0.07296910
results_PMD_Best Practices_UseVarargs,0.00711471
results_PMD_Code Style_UnnecessaryFullyQualifiedName,0.00643208
results_PMD_Best Practices_JUnitTestContainsTooManyAsserts,-0.09306526
results_PMD_Design_ImmutableField,0.00007335
results_PMD_Best Practices_JUnitTestsShouldIncludeAssert,0.06706504
results_PMD_Best Practices_JUnitAssertionsShouldIncludeMessage,0.00032930
results_PMD_Best Practices_MethodReturnsInternalArray,0.00093462
results_PMD_Code Style_UseDiamondOperator,0.12674990
results_PMD_Design_SignatureDeclareThrowsException,-0.02490907
results_PMD_Code Style_UnnecessaryImport,-0.11041062
results_PMD_Code Style_AtLeastOneConstructor,0.01446813
results_PMD_Best Practices_JUnit5TestShouldBePackagePrivate,0.02847366
results_PMD_Error Prone_AssignmentInOperand,-0.04735287
results_PMD_Performance_InsufficientStringBufferDeclaration,-0.00814800
results_PMD_Design_CollapsibleIfStatements,0.07817424
results_PMD_Design_UseUtilityClass,0.00554088
results_PMD_Performance_AvoidFileStream,0.03945031
results_PMD_Best Practices_AvoidPrintStackTrace,0.04295283
results_PMD_Code Style_NoPackage,0.00001124
results_PMD_Best Practices_UseTryWithResources,-0.00003486
results_PMD_Best Practices_SystemPrintln,0.00038828
results_PMD_Performance_RedundantFieldInitializer,-0.02406775
results_PMD_Best Practices_AvoidReassigningParameters,0.03780262
results_PMD_Design_TooManyFields,0.02015603
results_PMD_Error Prone_AvoidFieldNameMatchingMethodName,-0.04430414
results_PMD_Design_ExcessivePublicCount,0.39809748
results_PMD_Best Practices_UnusedPrivateField,-0.00169912
results_PMD_Code Style_LocalVariableNamingConventions,0.00100183
results_PMD_Design_SingularField,0.06070045
results_PMD_Code Style_TooManyStaticImports,0.02285779
results_PMD_Code Style_MethodNamingConventions,-0.00065258
results_PMD_Error Prone_EqualsNull,0.01073433
results_PMD_Error Prone_AvoidLiteralsInIfCondition,0.19712206
results_PMD_Code Style_PrematureDeclaration,-0.01288013
results_PMD_Code Style_UselessParentheses,0.09738085
results_PMD_Design_ExcessiveClassLength,-0.04706512
results_PMD_Code Style_GenericsNaming,0.00337461
results_PMD_Design_ClassWithOnlyPrivateConstructorsShouldBeFinal,0.00562091
results_PMD_Error Prone_UseLocaleWithCaseConversions,0.00296763
results_PMD_Error Prone_EmptyInitializer,0.00001790
results_PMD_Performance_ConsecutiveLiteralAppends,0.01353251
results_PMD_Multithreading_AvoidSynchronizedAtMethodLevel,0.00652226
results_PMD_Design_AvoidThrowingRawExceptionTypes,0.09559585
results_PMD_Performance_ConsecutiveAppendsShouldReuse,-0.00048234
results_PMD_Best Practices_PreserveStackTrace,0.01638012
results_PMD_Multithreading_DoNotUseThreads,0.00373281
results_PMD_Best Practices_ForLoopCanBeForeach,0.07119976
results_PMD_Documentation_UncommentedEmptyMethodBody,0.09077317
results_PMD_Code Style_UnnecessaryConstructor,-0.00015614
results_PMD_Best Practices_LooseCoupling,0.00321561
results_PMD_Performance_InefficientEmptyStringCheck,0.00939767
results_PMD_Performance_AppendCharacterWithChar,-0.00103035
results_PMD_Error Prone_UseProperClassLoader,0.02153402
results_PMD_Error Prone_CompareObjectsWithEquals,0.09725455
results_PMD_Code Style_ControlStatementBraces,1.03256147
results_PMD_Error Prone_EmptyWhileStmt,0.01115507
results_PMD_Design_ExceptionAsFlowControl,0.00408996
results_PMD_Error Prone_UseCorrectExceptionLogging,0.00014557
results_PMD_Design_AvoidRethrowingException,-0.00002965
results_PMD_Error Prone_AvoidAccessibilityAlteration,0.00091306
results_PMD_Documentation_CommentContent,0.00000000
results_PMD_Code Style_FieldDeclarationsShouldBeAtStartOfClass,0.00779047
results_PMD_Best Practices_ForLoopVariableCount,0.00218508
results_PMD_Design_AvoidDeeplyNestedIfStmts,-0.09911463
results_PMD_Code Style_ShortClassName,-0.00016722
results_PMD_Error Prone_MissingSerialVersionUID,0.36784440
results_PMD_Best Practices_LiteralsFirstInComparisons,0.00657527
results_PMD_Error Prone_AvoidInstanceofChecksInCatchClause,-0.00066817
results_PMD_Best Practices_SimplifiableTestAssertion,0.00431238
results_PMD_Best Practices_AvoidStringBufferField,0.00561037
results_PMD_Best Practices_ArrayIsStoredDirectly,-0.04610852
results_PMD_Error Prone_ConstructorCallsOverridableMethod,0.01139933
results_PMD_Design_DataClass,0.00182885
results_PMD_Design_UseObjectForClearerAPI,-0.00075553
results_PMD_Best Practices_JUnit4TestShouldUseBeforeAnnotation,0.00020216
results_PMD_Design_ExcessiveParameterList,0.00832802
results_PMD_Best Practices_AbstractClassWithoutAbstractMethod,0.00341814
results_PMD_Code Style_ShortMethodName,-0.00036739
results_PMD_Best Practices_UseCollectionIsEmpty,0.01707535
results_PMD_Performance_InefficientStringBuffering,-0.00625819
results_PMD_Error Prone_SimpleDateFormatNeedsLocale,0.00003633
results_PMD_Error Prone_DetachedTestCase,-0.00416222
results_PMD_Best Practices_UnusedLocalVariable,-0.00213012
results_PMD_Design_FinalFieldCouldBeStatic,0.00016428
results_PMD_Error Prone_EmptyFinallyBlock,-0.00002741
results_PMD_Error Prone_ImplicitSwitchFallThrough,0.00355214
results_PMD_Error Prone_AvoidFieldNameMatchingTypeName,0.00492347
results_PMD_Design_AvoidUncheckedExceptionsInSignatures,0.00107664
results_PMD_Code Style_UnnecessaryModifier,0.00026417
results_PMD_Code Style_UnnecessaryLocalBeforeReturn,0.01096635
results_PMD_Best Practices_OneDeclarationPerLine,0.09005390
results_PMD_Best Practices_JUnitUseExpected,0.15203237
results_PMD_Code Style_BooleanGetMethodName,0.00363344
results_PMD_Best Practices_UnusedFormalParameter,-0.00039946
results_PMD_Best Practices_ReplaceHashtableWithMap,0.01387353
results_PMD_Best Practices_JUnit4TestShouldUseTestAnnotation,-0.00001456
results_PMD_Code Style_UnnecessaryAnnotationValueElement,-0.00238816
results_PMD_Code Style_FinalParameterInAbstractMethod,0.00068695
results_PMD_Performance_AvoidCalendarDateCreation,0.00002599
results_PMD_Performance_BigIntegerInstantiation,0.00000361
results_PMD_Code Style_UnnecessaryCast,0.23442494
results_PMD_Design_SimplifyConditional,0.00092889
results_PMD_Performance_UselessStringValueOf,0.00067959
results_PMD_Design_SimplifyBooleanReturns,-0.00118584
results_PMD_Multithreading_AvoidUsingVolatile,0.03387120
results_PMD_Design_AvoidThrowingNullPointerException,-0.00285849
results_PMD_Performance_AvoidArrayLoops,-0.00041530
results_PMD_Error Prone_MissingStaticMethodInNonInstantiatableClass,-0.00000135
results_PMD_Code Style_IdenticalCatchBranches,0.00896157
results_PMD_Error Prone_SuspiciousEqualsMethodName,0.00052963
results_PMD_Code Style_FormalParameterNamingConventions,0.00193633
results_PMD_Best Practices_ReplaceVectorWithList,0.11437995
results_PMD_Performance_StringInstantiation,-0.00284588
results_PMD_Error Prone_DoNotCallGarbageCollectionExplicitly,0.05171343
results_PMD_Design_AbstractClassWithoutAnyMethod,-0.02721952
results_PMD_Best Practices_PrimitiveWrapperInstantiation,0.00065347
results_PMD_Code Style_PackageCase,0.00003762
results_PMD_Best Practices_JUnit4TestShouldUseAfterAnnotation,-0.00008229
results_PMD_Performance_UseStringBufferForStringAppends,0.00063115
results_PMD_Best Practices_CheckResultSet,0.00014388
results_PMD_Best Practices_UseStandardCharsets,0.00065447
results_PMD_Design_SimplifyBooleanExpressions,0.00017767
results_PMD_Error Prone_SingleMethodSingleton,-0.00006611
results_PMD_Performance_UseIndexOfChar,0.06228644
results_PMD_Error Prone_SingletonClassReturningNewInstance,-0.00020932
results_PMD_Best Practices_UnusedPrivateMethod,-0.00041661
results_PMD_Best Practices_AvoidReassigningLoopVariables,-0.00285969
results_PMD_Error Prone_CloneMethodReturnTypeMustMatchClassName,0.00872059
results_PMD_Error Prone_ProperCloneImplementation,0.02699840
results_PMD_Error Prone_AvoidLosingExceptionInformation,-0.00000212
results_PMD_Error Prone_BrokenNullCheck,0.00000286
results_PMD_Design_UselessOverridingMethod,0.00128612
results_PMD_Error Prone_EmptyStatementNotInLoop,0.02547035
results_PMD_Design_LogicInversion,0.00005145
results_PMD_Error Prone_UnnecessaryBooleanAssertion,-0.00001191
results_PMD_Code Style_UnnecessaryReturn,0.00454829
results_PMD_Code Style_ClassNamingConventions,0.01218656
results_PMD_Design_SwitchDensity,-0.00091889
results_PMD_Error Prone_TestClassWithoutTestCases,-0.00002019
results_PMD_Error Prone_UseEqualsToCompareStrings,0.07939922
results_PMD_Best Practices_WhileLoopWithLiteralBoolean,-0.02232729
results_PMD_Error Prone_DoNotTerminateVM,-0.00002135
results_PMD_Best Practices_SwitchStmtsShouldHaveDefault,0.15639536
results_PMD_Error Prone_NonStaticInitializer,-0.00000131
results_PMD_Performance_TooFewBranchesForASwitchStatement,-0.00039644
results_PMD_Error Prone_AssignmentToNonFinalStatic,0.04362460
results_PMD_Error Prone_MethodWithSameNameAsEnclosingClass,0.00003695
results_PMD_Error Prone_DoNotExtendJavaLangThrowable,-0.02031011
results_PMD_Code Style_AvoidProtectedMethodInFinalClassNotExtending,0.00054399
results_PMD_Design_SimplifiedTernary,-0.00049262
results_PMD_Error Prone_DoNotThrowExceptionInFinally,-0.00303891
results_PMD_Error Prone_UnconditionalIfStatement,0.00132123
results_PMD_Best Practices_AvoidReassigningCatchVariables,-0.05154149
results_PMD_Best Practices_ConstantsInInterface,0.34681970
results_PMD_Code Style_UselessQualifiedThis,0.00724624
results_PMD_Performance_UseArraysAsList,0.00017344
results_PMD_Error Prone_DontUseFloatTypeForLoopIndices,-0.00021845
results_PMD_Best Practices_DefaultLabelNotLastInSwitchStmt,0.00060434
results_PMD_Code Style_EmptyMethodInAbstractClassShouldBeAbstract,-0.00287339
results_PMD_Multithreading_NonThreadSafeSingleton,0.02418775
results_PMD_Error Prone_ComparisonWithNaN,-0.00000721
results_PMD_Error Prone_AvoidCatchingNPE,0.21705810
results_PMD_Best Practices_MissingOverride,0.20918534
results_PMD_Performance_StringToString,0.00344083
results_PMD_Error Prone_OverrideBothEqualsAndHashcode,0.00061424
results_PMD_Error Prone_AvoidBranchingStatementAsLastInLoop,0.00228874
results_PMD_Error Prone_NonCaseLabelInSwitchStatement,0.00000000
results_PMD_Error Prone_CallSuperFirst,0.00068944
results_PMD_Code Style_AvoidDollarSigns,0.00001411
results_PMD_Error Prone_UnnecessaryCaseChange,0.05155805
results_PMD_Code Style_AvoidUsingNativeCode,0.00002773
results_PMD_Performance_UseArrayListInsteadOfVector,0.00083028
results_PMD_Code Style_AvoidProtectedFieldInFinalClass,-0.00202987
results_PMD_Error Prone_AvoidDecimalLiteralsInBigDecimalConstructor,0.00268825
results_PMD_Error Prone_FinalizeDoesNotCallSuperFinalize,-0.00016145
results_PMD_Best Practices_AvoidUsingHardCodedIP,-0.00005067
results_PMD_Error Prone_DontImportSun,0.00234302
results_PMD_Error Prone_JumbledIncrementer,0.01360105
results_PMD_Error Prone_CallSuperLast,0.00010359
results_PMD_Multithreading_UnsynchronizedStaticFormatter,-0.00051023
results_PMD_Design_DoNotExtendJavaLangError,0.00002882
results_PMD_Multithreading_UseNotifyAllInsteadOfNotify,0.00077793
results_PMD_Error Prone_CheckSkipResult,0.00000000
results_PMD_Error Prone_UnusedNullCheckInEquals,-0.00004147
results_PMD_Error Prone_EmptySynchronizedBlock,0.00000000
results_PMD_Error Prone_AvoidUsingOctalValues,-0.00004037
results_PMD_Error Prone_ReturnFromFinallyBlock,0.00518304
results_PMD_Error Prone_CloneMethodMustImplementCloneable,0.01287537
results_PMD_Code Style_ForLoopShouldBeWhileLoop,-0.00007230
results_PMD_Multithreading_DontCallThreadRun,0.05195523
results_PMD_Error Prone_IdempotentOperations,0.00000000
results_PMD_Error Prone_ClassCastExceptionWithToArray,0.00197822
results_PMD_Error Prone_MoreThanOneLogger,0.00217386
results_PMD_Multithreading_DoubleCheckedLocking,0.00038413
results_PMD_Design_AvoidThrowingNewInstanceOfSameException,0.00011331
results_PMD_Error Prone_EmptyStatementBlock,0.00000000
results_PMD_Best Practices_AvoidMessageDigestField,0.00001996
results_PMD_Multithreading_AvoidThreadGroup,0.00000000
results_PMD_Error Prone_InvalidLogMessageFormat,-0.00005023
results_PMD_Error Prone_CloneMethodMustBePublic,0.00000000
results_PMD_Error Prone_UselessOperationOnImmutable,0.00000000
results_PMD_Error Prone_UnnecessaryConversionTemporary,0.00000000
results_PMD_Performance_UseStringBufferLength,0.00000000
results_PMD_Best Practices_ReplaceEnumerationWithIterator,-0.00405039
results_PMD_Best Practices_JUnit4SuitesShouldUseSuiteAnnotation,0.00000000
results_PMD_Error Prone_AvoidMultipleUnaryOperators,0.45703369
results_PMD_Error Prone_InstantiationToGetClass,0.00002882
results_PMD_Error Prone_FinalizeShouldBeProtected,0.01039196
results_PMD_Error Prone_EmptyTryBlock,0.00905787
results_PMD_Error Prone_SuspiciousOctalEscape,0.00000000
