Predicted,Actual
320457.2367,246011.0000
1277493.3850,2005115.0000
46500.2182,21208.0000
1803254.3898,13478.0000
14420308.9800,518412.0000
4474075.9200,21.0000
534396.6315,513924.0000
13081260.2937,94105.0000
392054.8094,7.0000
1194848.3859,19947359.0000
649795.3743,265606.0000
337184.1095,621.0000
437416.7052,425301.0000
411140.8400,172085.0000
1691997.9300,4356722.0000
393496.5100,427.0000
1194848.3859,206653.0000
375070.3089,27.0000
3235520.9833,520.0000
145024.7242,8481.0000
1194848.3859,58952.0000
727235.6723,30077.0000
1154848.7550,306066.0000
1194848.3859,51617.0000
276547.9600,623353.0000
516332.6315,9308.0000
9248042.5550,142504.0000
738950.4932,4320.0000
172464.1654,754.0000
20129882.6433,6660.0000
1839619.6900,55038.0000
409167.8492,8.0000
586828.6300,673430.0000
1194848.3859,63497.0000
8303181.9087,349391.0000
315469.0917,14083.0000
1194848.3859,41437.0000
542627.9450,206437.0000
571704.8275,1190.0000
11991747.8200,231155.0000
1024016.3250,2397.0000
14459825.6350,15524814.0000
1194848.3859,89.0000
526990.5300,810.0000
249108.5975,29704.0000
197132.9700,1384271.0000
4539691.2300,875865.0000
1050290.1569,2284834.0000
147688.7000,37180.0000
1992590.6675,38913.0000
1194848.3859,718.0000
10045383.7600,65295.0000
380128.3051,777.0000
2030952.1299,725571.0000
1194848.3859,78.0000
228254.1000,3713354.0000
1194848.3859,82960.0000
206076.0538,48.0000
2072075.0133,237088.0000
684047.2431,63286.0000
1194848.3859,2803.0000
1194848.3859,31.0000
731378.1143,92923.0000
1194848.3859,80665.0000
726028.3550,588172.0000
4801853.7200,413078.0000
920366.6245,506.0000
611396.3095,601995.0000
4560250.7300,772070.0000
221089.0502,634.0000
1194848.3859,452541.0000
2001027.7967,794.0000
1701504.1967,4905.0000
4173222.5500,418343.0000
1194848.3859,199078.0000
1194848.3859,512690.0000
360496.8848,18519.0000
2641693.4800,1850759.0000
849073.0392,78.0000
1194848.3859,390895.0000
1194848.3859,16256.0000
2078357.7300,137001.0000
7534462.3793,168528.0000
227288.1983,6334.0000
4464226.9880,2898574.0000
343575.5450,8.0000
308974.3417,55216.0000
375584.6006,559855.0000
13452.2738,33261703.0000
2484509.8845,43965.0000
590625.6300,873084.0000
1930316.6600,101370.0000
598134.2540,88.0000
571704.8275,131597.0000
998048.7900,2490079.0000
1291848.3125,19698612.0000
845064.6428,34146.0000
714311.7300,1209595.0000
2112406.1307,10653981.0000
13081260.2937,32106.0000
1194848.3859,8345.0000
198383.2833,237238.0000
8564538.6117,2042271.0000
646228.2133,439220.0000
290692.2142,280.0000
828224.8115,5.0000
5834926.3525,3513.0000
540543.6954,235.0000
1194848.3859,59.0000
2807941.2580,336193.0000
5166606.9383,833175.0000
1836345.7233,998.0000
4007776.7325,637100.0000
