Issue,Importance
results_PMD_Code Style_OnlyOneReturn,0.00561850
results_PMD_Design_LawOfDemeter,0.00029859
results_PMD_Code Style_ConfusingTernary,0.00025095
results_PMD_Design_CyclomaticComplexity,0.00154216
results_PMD_Documentation_CommentSize,0.00540700
results_PMD_Error Prone_EmptyCatchBlock,-0.00101974
results_PMD_Code Style_LongVariable,0.00375787
results_PMD_Documentation_CommentRequired,0.03325877
results_PMD_Code Style_ShortVariable,0.00167998
results_PMD_Code Style_LocalVariableCouldBeFinal,0.01225844
results_PMD_Error Prone_BeanMembersShouldSerialize,0.00010504
results_PMD_Multithreading_UseConcurrentHashMap,0.00053506
results_PMD_Design_CognitiveComplexity,0.00515501
results_PMD_Code Style_MethodArgumentCouldBeFinal,0.00656810
results_PMD_Error Prone_NullAssignment,0.00056408
results_PMD_Error Prone_CloseResource,0.00302398
results_PMD_Design_NPathComplexity,0.00146153
results_PMD_Code Style_FieldNamingConventions,0.00004464
results_PMD_Code Style_UseUnderscoresInNumericLiterals,0.00099521
results_PMD_Design_GodClass,0.00636325
results_PMD_Best Practices_UnusedAssignment,0.00083266
results_PMD_Design_NcssCount,0.00013578
results_PMD_Performance_AvoidInstantiatingObjectsInLoops,0.00111966
results_PMD_Best Practices_GuardLogStatement,-0.00018523
results_PMD_Performance_AddEmptyString,-0.00262938
results_PMD_Design_AvoidCatchingGenericException,0.00096529
results_PMD_Error Prone_ProperLogger,0.00002319
results_PMD_Design_ExcessiveMethodLength,0.00025597
results_PMD_Code Style_CallSuperInConstructor,0.00810741
results_PMD_Performance_OptimizableToArrayCall,-0.00244033
results_PMD_Documentation_UncommentedEmptyConstructor,0.00007642
results_PMD_Error Prone_AvoidCatchingThrowable,-0.00005362
results_PMD_Code Style_CommentDefaultAccessModifier,0.00164894
results_PMD_Design_CouplingBetweenObjects,0.00375971
results_PMD_Error Prone_ReturnEmptyCollectionRatherThanNull,0.00033815
results_PMD_Design_TooManyMethods,0.00052921
results_PMD_Design_ExcessiveImports,-0.00090858
results_PMD_Design_MutableStaticState,0.00004129
results_PMD_Best Practices_DoubleBraceInitialization,0.00001387
results_PMD_Code Style_UseShortArrayInitializer,0.00379622
