Predicted,Actual
1815993.3732,246011.0000
1815993.3732,2005115.0000
123905.3623,21208.0000
1815993.3732,13478.0000
3172919.7334,518412.0000
26264648.9883,21.0000
491460.3812,513924.0000
1815993.3732,94105.0000
373406.9530,7.0000
1815993.3732,19947359.0000
918041.3460,265606.0000
792830.7589,621.0000
1815993.3732,425301.0000
751183.7933,172085.0000
1761343.3300,4356722.0000
1815993.3732,427.0000
1815993.3732,206653.0000
244998.6270,27.0000
3095083.0043,520.0000
193060.0597,8481.0000
1815993.3732,58952.0000
1815993.3732,30077.0000
934380.8786,306066.0000
1815993.3732,51617.0000
1815993.3732,623353.0000
343727.1582,9308.0000
445581.6532,142504.0000
1815993.3732,4320.0000
3408337.4011,754.0000
1361915.2008,6660.0000
1815993.3732,55038.0000
1448965.2683,8.0000
1815993.3732,673430.0000
1815993.3732,63497.0000
5356673.8970,349391.0000
164731.3644,14083.0000
1815993.3732,41437.0000
1815993.3732,206437.0000
1815993.3732,1190.0000
8375264.0127,231155.0000
1815993.3732,2397.0000
14249491.1200,15524814.0000
1815993.3732,89.0000
1145580.0975,810.0000
1815993.3732,29704.0000
1815993.3732,1384271.0000
1065588.2980,875865.0000
1815993.3732,2284834.0000
1815993.3732,37180.0000
8265041.7300,38913.0000
1815993.3732,718.0000
2072742.2746,65295.0000
241655.3624,777.0000
4244370.1275,725571.0000
1815993.3732,78.0000
1815993.3732,3713354.0000
1815993.3732,82960.0000
93714.9238,48.0000
8978285.6800,237088.0000
126397.8705,63286.0000
1815993.3732,2803.0000
1815993.3732,31.0000
792830.7589,92923.0000
1815993.3732,80665.0000
1815993.3732,588172.0000
5356673.8970,413078.0000
97443.2967,506.0000
492642.7818,601995.0000
926437.4033,772070.0000
2766327.9083,634.0000
1815993.3732,452541.0000
669786.8373,794.0000
1459147.4933,4905.0000
1261094.4574,418343.0000
1815993.3732,199078.0000
1815993.3732,512690.0000
1815993.3732,18519.0000
1815993.3732,1850759.0000
1815993.3732,78.0000
1717869.6771,390895.0000
1815993.3732,16256.0000
3455736.8633,137001.0000
4882158.3800,168528.0000
807736.1644,6334.0000
1708812.5222,2898574.0000
1815993.3732,8.0000
1815993.3732,55216.0000
209409.6917,559855.0000
1815993.3732,33261703.0000
1815993.3732,43965.0000
1815993.3732,873084.0000
3602918.9150,101370.0000
2823508.3188,88.0000
1815993.3732,131597.0000
545629.0200,2490079.0000
1815993.3732,19698612.0000
1815993.3732,34146.0000
2336193.0850,1209595.0000
1815993.3732,10653981.0000
1815993.3732,32106.0000
1815993.3732,8345.0000
231669.0603,237238.0000
1804159.2350,2042271.0000
1815993.3732,439220.0000
716500.1164,280.0000
1815993.3732,5.0000
1815993.3732,3513.0000
1815993.3732,235.0000
1815993.3732,59.0000
1002078.6571,336193.0000
8918768.9027,833175.0000
1581527.1793,998.0000
1815993.3732,637100.0000
1815993.3732,48867.0000
1387121.9780,4828.0000
1124349.8148,475.0000
2123303.1200,8251856.0000
1672081.8717,314.0000
1815993.3732,179260.0000
524392.6500,245888.0000
5182771.7850,2744562.0000
1815993.3732,8355.0000
485703.8800,892.0000
1232483.2705,5.0000
1815993.3732,39.0000
1815993.3732,64525.0000
1815993.3732,576.0000
1815993.3732,38995.0000
1815993.3732,3701.0000
1815993.3732,604958.0000
1815993.3732,277932.0000
1815993.3732,3885770.0000
1815993.3732,1740344.0000
4987082.0158,5056.0000
1815993.3732,360497.0000
1815993.3732,4120433.0000
1815993.3732,11890.0000
1815993.3732,585.0000
1815993.3732,238209.0000
1815993.3732,428050.0000
2375402.5740,14357.0000
1975367.4838,7082.0000
1265513.7690,112070.0000
158219.5517,32868.0000
1815993.3732,13545271.0000
407572.7540,1360377.0000
934380.8786,780779.0000
1815993.3732,207.0000
6238461.0158,30655962.0000
1815993.3732,520.0000
1710094.6730,3111237.0000
1284911.6328,159719.0000
1815993.3732,1452237.0000
1815993.3732,504671.0000
846400.8067,152724.0000
1815993.3732,152553.0000
15043719.4179,18.0000
14008200.8587,10762.0000
680448.5817,29264.0000
934380.8786,16390175.0000
842993.6000,24827.0000
211609.7660,10706455.0000
537310.6619,409687.0000
184010.7077,125913.0000
292426.4517,1267114.0000
1815993.3732,6645335.0000
1815993.3732,2055502.0000
6812544.0851,4851.0000
1815993.3732,370.0000
1815993.3732,3931706.0000
2575979.1707,1722.0000
1815993.3732,110405.0000
1586447.5988,5.0000
1815993.3732,10669.0000
1815993.3732,475.0000
2823508.3188,73771.0000
1815993.3732,29244.0000
1234870.3620,5797511.0000
225785.9338,57075.0000
1815993.3732,269.0000
1089887.5150,2245829.0000
1815993.3732,53983.0000
4700534.8533,8123053.0000
315099.7835,1673.0000
1815993.3732,25779.0000
1526886.6514,469741.0000
1815993.3732,126438.0000
1815993.3732,1743149.0000
1815993.3732,7587476.0000
1644228.8400,642.0000
1815993.3732,87580.0000
1815993.3732,768353.0000
1815993.3732,1395.0000
1815993.3732,2358965.0000
1815993.3732,499134.0000
1815993.3732,113227.0000
1815993.3732,1418675.0000
419241.2828,52.0000
1815993.3732,439608.0000
1815993.3732,788429.0000
1815993.3732,30.0000
1815993.3732,7.0000
1815993.3732,380369.0000
1815993.3732,2152980.0000
7569722.1650,3019900.0000
1815993.3732,777.0000
830639.0250,154007.0000
1815993.3732,1265245.0000
244998.6270,1358935.0000
2575358.0563,12886411.0000
25362.7900,4.0000
309957.0003,6484.0000
934380.8786,10968596.0000
2903897.8257,10818.0000
2279569.4411,134461.0000
1815993.3732,299653.0000
842993.6000,362194.0000
1815993.3732,572053.0000
28063903.7975,742450.0000
1815993.3732,23348.0000
1815993.3732,20947.0000
1815993.3732,618070.0000
1815993.3732,1243294.0000
1815993.3732,1817.0000
1815993.3732,7677307.0000
1815993.3732,394.0000
1815993.3732,2093.0000
1815993.3732,656.0000
648604.0373,159095.0000
1815993.3732,203188.0000
1815993.3732,369.0000
8779447.1448,3151274.0000
131875.4564,72747.0000
1815993.3732,399899.0000
77946.6108,4830946.0000
1815993.3732,598.0000
1815993.3732,793.0000
4687966.2857,9691711.0000
154637.7200,19.0000
1815993.3732,676.0000
2345414.6376,579082.0000
625674.1855,148326.0000
1815993.3732,5.0000
1815993.3732,3673514.0000
1815993.3732,177578.0000
1815993.3732,1237203.0000
1815993.3732,71715.0000
1337448.7810,230260.0000
1815993.3732,981.0000
1815993.3732,42212.0000
1815993.3732,250176.0000
1815993.3732,30834.0000
3103578.0267,8161888.0000
1034278.2766,35601.0000
727261.1350,55872.0000
1815993.3732,2828088.0000
1815993.3732,958277.0000
1491644.8610,2580.0000
1815993.3732,20316.0000
1279347.1758,473038.0000
1815993.3732,930990.0000
1815993.3732,3038.0000
242377.7707,6399.0000
6812544.0851,974.0000
1815993.3732,35290.0000
1815993.3732,7449.0000
1767423.4300,155727.0000
891085.2350,2418.0000
1815993.3732,2629.0000
518990.2810,3117116.0000
1815993.3732,496632.0000
133354.5176,4448.0000
343727.1582,4381.0000
2515358.1686,74659.0000
1815993.3732,227516.0000
1815993.3732,2023.0000
1815993.3732,293793.0000
3350623.3171,751768.0000
86551233.1200,71888987.0000
2070245.1600,60400702.0000
7645578.0671,1719706.0000
4180218.5406,509805.0000
1533342.5890,4482.0000
1153914.6301,21839.0000
1815993.3732,254827.0000
1815993.3732,11045.0000
1815993.3732,4631369.0000
1815993.3732,1461.0000
2244829.5613,978.0000
1815993.3732,770621.0000
1815993.3732,3602478.0000
1815993.3732,17866793.0000
659982.3360,148502.0000
1815993.3732,11258922.0000
1433836.3697,172111396.0000
3406007.4400,2720642.0000
331200.6697,1665.0000
1815993.3732,3129641.0000
1815993.3732,521.0000
14918988.3190,13640341.0000
17425516.7100,441631.0000
1815993.3732,109210.0000
1815993.3732,1903.0000
1815993.3732,2149530.0000
2344693.5625,13926.0000
213253.5326,470409.0000
792830.7589,70818.0000
1815993.3732,99215.0000
1815993.3732,653574.0000
1815993.3732,85761569.0000
19859311.4488,20113460.0000
1896152.0601,605880.0000
1395072.1776,61942.0000
343727.1582,42804.0000
1815993.3732,523899.0000
1815993.3732,410168.0000
297110.5697,34579.0000
1273644.5833,344998.0000
531405.9980,24026407.0000
1815993.3732,205744.0000
94885653.7037,163323916.0000
1815993.3732,85955.0000
173398.9774,4363.0000
244998.6270,334003.0000
1815993.3732,34202.0000
1815993.3732,11348.0000
1815993.3732,7122.0000
2687885.2000,51554421.0000
1815993.3732,6826.0000
1815993.3732,5460293.0000
1815993.3732,3935.0000
4774554.9900,3578.0000
213531.9843,1203.0000
