Issue,Importance
results_PMD_Code Style_OnlyOneReturn,0.01098454
results_PMD_Design_LawOfDemeter,0.16995512
results_PMD_Code Style_ConfusingTernary,-0.01265230
results_PMD_Design_CyclomaticComplexity,0.00250412
results_PMD_Documentation_CommentSize,-0.00586577
results_PMD_Error Prone_EmptyCatchBlock,0.00026658
results_PMD_Code Style_LongVariable,0.00553254
results_PMD_Documentation_CommentRequired,0.26869759
results_PMD_Code Style_ShortVariable,0.00728933
results_PMD_Code Style_LocalVariableCouldBeFinal,0.17614821
results_PMD_Error Prone_BeanMembersShouldSerialize,-0.07151509
results_PMD_Multithreading_UseConcurrentHashMap,0.00150555
results_PMD_Design_CognitiveComplexity,0.00927679
results_PMD_Code Style_MethodArgumentCouldBeFinal,0.14306147
results_PMD_Error Prone_NullAssignment,0.00082241
results_PMD_Error Prone_CloseResource,0.08018779
results_PMD_Design_NPathComplexity,0.00013341
results_PMD_Code Style_FieldNamingConventions,0.00107454
results_PMD_Code Style_UseUnderscoresInNumericLiterals,0.00102758
results_PMD_Design_GodClass,0.00888145
results_PMD_Best Practices_UnusedAssignment,0.00051275
results_PMD_Design_NcssCount,-0.01223504
results_PMD_Performance_AvoidInstantiatingObjectsInLoops,0.00535860
results_PMD_Best Practices_GuardLogStatement,0.00021808
results_PMD_Performance_AddEmptyString,-0.00661278
results_PMD_Design_AvoidCatchingGenericException,0.00062078
results_PMD_Error Prone_ProperLogger,0.00004245
results_PMD_Design_ExcessiveMethodLength,0.00019578
results_PMD_Code Style_CallSuperInConstructor,0.04816647
results_PMD_Performance_OptimizableToArrayCall,-0.00194327
results_PMD_Documentation_UncommentedEmptyConstructor,-0.00000090
results_PMD_Error Prone_AvoidCatchingThrowable,0.00044946
results_PMD_Code Style_CommentDefaultAccessModifier,0.00074408
results_PMD_Design_CouplingBetweenObjects,0.00914308
results_PMD_Error Prone_ReturnEmptyCollectionRatherThanNull,0.00021125
results_PMD_Design_TooManyMethods,0.00052494
results_PMD_Design_ExcessiveImports,-0.00455170
results_PMD_Design_MutableStaticState,-0.00003764
results_PMD_Best Practices_DoubleBraceInitialization,-0.00035017
results_PMD_Code Style_UseShortArrayInitializer,-0.00030071
results_PMD_Error Prone_AvoidDuplicateLiterals,0.00299925
results_PMD_Error Prone_EmptyIfStmt,-0.00676113
results_PMD_Code Style_LinguisticNaming,0.00032958
results_PMD_Best Practices_UseVarargs,0.00012338
results_PMD_Code Style_UnnecessaryFullyQualifiedName,-0.01118177
results_PMD_Best Practices_JUnitTestContainsTooManyAsserts,0.00465991
results_PMD_Design_ImmutableField,0.06005402
results_PMD_Best Practices_JUnitTestsShouldIncludeAssert,0.00059864
results_PMD_Best Practices_JUnitAssertionsShouldIncludeMessage,0.00167886
results_PMD_Best Practices_MethodReturnsInternalArray,0.00000518
results_PMD_Code Style_UseDiamondOperator,0.00423731
results_PMD_Design_SignatureDeclareThrowsException,0.00093033
results_PMD_Code Style_UnnecessaryImport,0.00000424
results_PMD_Code Style_AtLeastOneConstructor,-0.06419283
results_PMD_Best Practices_JUnit5TestShouldBePackagePrivate,0.00080604
results_PMD_Error Prone_AssignmentInOperand,0.00084253
results_PMD_Performance_InsufficientStringBufferDeclaration,0.00000007
results_PMD_Design_CollapsibleIfStatements,-0.00750776
results_PMD_Design_UseUtilityClass,0.06140815
results_PMD_Performance_AvoidFileStream,0.00000000
results_PMD_Best Practices_AvoidPrintStackTrace,0.00039324
results_PMD_Code Style_NoPackage,-0.00021780
results_PMD_Best Practices_UseTryWithResources,0.06399148
results_PMD_Best Practices_SystemPrintln,0.00033754
results_PMD_Performance_RedundantFieldInitializer,0.00135545
results_PMD_Best Practices_AvoidReassigningParameters,0.00053392
results_PMD_Design_TooManyFields,-0.00205800
results_PMD_Error Prone_AvoidFieldNameMatchingMethodName,0.00888402
results_PMD_Design_ExcessivePublicCount,-0.00018543
results_PMD_Best Practices_UnusedPrivateField,0.00018892
results_PMD_Code Style_LocalVariableNamingConventions,0.00021323
results_PMD_Design_SingularField,0.00037761
results_PMD_Code Style_TooManyStaticImports,0.00096062
results_PMD_Code Style_MethodNamingConventions,0.00148636
results_PMD_Error Prone_EqualsNull,0.00000000
results_PMD_Error Prone_AvoidLiteralsInIfCondition,0.00387792
results_PMD_Code Style_PrematureDeclaration,0.02184264
results_PMD_Code Style_UselessParentheses,-0.00278133
results_PMD_Design_ExcessiveClassLength,-0.00001603
results_PMD_Code Style_GenericsNaming,0.00007410
results_PMD_Design_ClassWithOnlyPrivateConstructorsShouldBeFinal,0.00011261
results_PMD_Error Prone_UseLocaleWithCaseConversions,0.00027948
results_PMD_Error Prone_EmptyInitializer,0.00000000
results_PMD_Performance_ConsecutiveLiteralAppends,0.00000000
results_PMD_Multithreading_AvoidSynchronizedAtMethodLevel,0.04755728
results_PMD_Design_AvoidThrowingRawExceptionTypes,0.00667166
results_PMD_Performance_ConsecutiveAppendsShouldReuse,-0.00013272
results_PMD_Best Practices_PreserveStackTrace,-0.00001465
results_PMD_Multithreading_DoNotUseThreads,0.00531821
results_PMD_Best Practices_ForLoopCanBeForeach,0.00094359
results_PMD_Documentation_UncommentedEmptyMethodBody,-0.00021563
results_PMD_Code Style_UnnecessaryConstructor,0.00027143
results_PMD_Best Practices_LooseCoupling,0.00096103
results_PMD_Performance_InefficientEmptyStringCheck,-0.00000001
results_PMD_Performance_AppendCharacterWithChar,-0.00001264
results_PMD_Error Prone_UseProperClassLoader,-0.00000004
results_PMD_Error Prone_CompareObjectsWithEquals,0.00189556
results_PMD_Code Style_ControlStatementBraces,-0.01179596
results_PMD_Error Prone_EmptyWhileStmt,0.00000000
results_PMD_Design_ExceptionAsFlowControl,0.00002155
results_PMD_Error Prone_UseCorrectExceptionLogging,0.00000000
results_PMD_Design_AvoidRethrowingException,0.00000000
results_PMD_Error Prone_AvoidAccessibilityAlteration,0.00000000
results_PMD_Documentation_CommentContent,0.00000000
results_PMD_Code Style_FieldDeclarationsShouldBeAtStartOfClass,0.00135882
results_PMD_Best Practices_ForLoopVariableCount,0.00012020
results_PMD_Design_AvoidDeeplyNestedIfStmts,-0.01190734
results_PMD_Code Style_ShortClassName,0.00046917
results_PMD_Error Prone_MissingSerialVersionUID,0.00096627
results_PMD_Best Practices_LiteralsFirstInComparisons,-0.00075899
results_PMD_Error Prone_AvoidInstanceofChecksInCatchClause,0.00006647
results_PMD_Best Practices_SimplifiableTestAssertion,0.00038775
results_PMD_Best Practices_AvoidStringBufferField,0.00010670
results_PMD_Best Practices_ArrayIsStoredDirectly,0.00007249
results_PMD_Error Prone_ConstructorCallsOverridableMethod,-0.01650970
results_PMD_Design_DataClass,0.00024474
results_PMD_Design_UseObjectForClearerAPI,0.00000000
results_PMD_Best Practices_JUnit4TestShouldUseBeforeAnnotation,0.00000017
results_PMD_Design_ExcessiveParameterList,0.00025590
results_PMD_Best Practices_AbstractClassWithoutAbstractMethod,0.00038251
results_PMD_Code Style_ShortMethodName,0.00016436
results_PMD_Best Practices_UseCollectionIsEmpty,0.00038347
results_PMD_Performance_InefficientStringBuffering,-0.00000058
results_PMD_Error Prone_SimpleDateFormatNeedsLocale,-0.00011280
results_PMD_Error Prone_DetachedTestCase,0.00009072
results_PMD_Best Practices_UnusedLocalVariable,0.00040768
results_PMD_Design_FinalFieldCouldBeStatic,-0.00000157
