Predicted,Actual
1815003.4973,246011.0000
1815003.4973,2005115.0000
83206.0000,21208.0000
1815003.4973,13478.0000
140050.0000,518412.0000
30086877.0000,21.0000
471005.3333,513924.0000
1815003.4973,94105.0000
240885.3922,7.0000
1815003.4973,19947359.0000
2000534.0000,265606.0000
831654.8596,621.0000
1815003.4973,425301.0000
557081.0000,172085.0000
4167476.0000,4356722.0000
1815003.4973,427.0000
1815003.4973,206653.0000
240885.3922,27.0000
3402026.0000,520.0000
255947.0000,8481.0000
1815003.4973,58952.0000
1815003.4973,30077.0000
927505.0435,306066.0000
1815003.4973,51617.0000
1815003.4973,623353.0000
363653.9231,9308.0000
8914.0000,142504.0000
1815003.4973,4320.0000
3540162.8000,754.0000
1609852.5556,6660.0000
1815003.4973,55038.0000
127929.0000,8.0000
1815003.4973,673430.0000
1815003.4973,63497.0000
5908073.7143,349391.0000
90954.0000,14083.0000
1815003.4973,41437.0000
1815003.4973,206437.0000
1815003.4973,1190.0000
484178.0000,231155.0000
1815003.4973,2397.0000
14669672.0000,15524814.0000
1815003.4973,89.0000
1096293.4706,810.0000
1815003.4973,29704.0000
1815003.4973,1384271.0000
1201294.0000,875865.0000
1815003.4973,2284834.0000
1815003.4973,37180.0000
1359454.0000,38913.0000
1815003.4973,718.0000
831654.8596,65295.0000
251506.6667,777.0000
1436.0000,725571.0000
1815003.4973,78.0000
1815003.4973,3713354.0000
1815003.4973,82960.0000
42.5000,48.0000
26359.0000,237088.0000
63.5000,63286.0000
1815003.4973,2803.0000
1815003.4973,31.0000
831654.8596,92923.0000
1815003.4973,80665.0000
1815003.4973,588172.0000
5908073.7143,413078.0000
914.0000,506.0000
435469.0000,601995.0000
207470.0000,772070.0000
16.3333,634.0000
1815003.4973,452541.0000
95433.0000,794.0000
835494.0000,4905.0000
22530.0000,418343.0000
1815003.4973,199078.0000
1815003.4973,512690.0000
1815003.4973,18519.0000
1815003.4973,1850759.0000
1815003.4973,78.0000
1815003.4973,390895.0000
1815003.4973,16256.0000
5977575.0000,137001.0000
56260097.0000,168528.0000
2687.0000,6334.0000
4624.0000,2898574.0000
1815003.4973,8.0000
1815003.4973,55216.0000
16.0000,559855.0000
1815003.4973,33261703.0000
1815003.4973,43965.0000
1815003.4973,873084.0000
32.0000,101370.0000
3181464.6667,88.0000
1815003.4973,131597.0000
122.0000,2490079.0000
1815003.4973,19698612.0000
1815003.4973,34146.0000
853170.0000,1209595.0000
1815003.4973,10653981.0000
1815003.4973,32106.0000
1815003.4973,8345.0000
219175.0000,237238.0000
4309919.0000,2042271.0000
1815003.4973,439220.0000
515419.0000,280.0000
1815003.4973,5.0000
1815003.4973,3513.0000
1815003.4973,235.0000
1815003.4973,59.0000
2910786.8571,336193.0000
12201367.0000,833175.0000
3181464.6667,998.0000
1815003.4973,637100.0000
1815003.4973,48867.0000
997264.0000,4828.0000
340466.1765,475.0000
20952384.0000,8251856.0000
1509434.0000,314.0000
1815003.4973,179260.0000
219175.0000,245888.0000
160.0000,2744562.0000
1815003.4973,8355.0000
1754.0000,892.0000
1404241.2857,5.0000
1815003.4973,39.0000
1815003.4973,64525.0000
1815003.4973,576.0000
1815003.4973,38995.0000
1815003.4973,3701.0000
1815003.4973,604958.0000
1815003.4973,277932.0000
1815003.4973,3885770.0000
1815003.4973,1740344.0000
214994.0000,5056.0000
1815003.4973,360497.0000
1815003.4973,4120433.0000
1815003.4973,11890.0000
1815003.4973,585.0000
1815003.4973,238209.0000
1815003.4973,428050.0000
2462597.6667,14357.0000
341775.2500,7082.0000
341238.5000,112070.0000
545.0000,32868.0000
1815003.4973,13545271.0000
327307.0000,1360377.0000
927505.0435,780779.0000
1815003.4973,207.0000
8775313.1250,30655962.0000
1815003.4973,520.0000
230294.2000,3111237.0000
314.0000,159719.0000
1815003.4973,1452237.0000
1815003.4973,504671.0000
835494.0000,152724.0000
1815003.4973,152553.0000
21811518.0000,18.0000
8928697.5000,10762.0000
1835170.0000,29264.0000
927505.0435,16390175.0000
869380.7500,24827.0000
96179.0000,10706455.0000
982613.7500,409687.0000
212385.0000,125913.0000
116701.0000,1267114.0000
1815003.4973,6645335.0000
1815003.4973,2055502.0000
6362805.7500,4851.0000
1815003.4973,370.0000
1815003.4973,3931706.0000
2940122.0000,1722.0000
1815003.4973,110405.0000
9.0000,5.0000
1815003.4973,10669.0000
1815003.4973,475.0000
3181464.6667,73771.0000
1815003.4973,29244.0000
592.0000,5797511.0000
158427.5000,57075.0000
1815003.4973,269.0000
50298.0000,2245829.0000
1815003.4973,53983.0000
675134.0000,8123053.0000
326715.7500,1673.0000
1815003.4973,25779.0000
74790.0000,469741.0000
1815003.4973,126438.0000
1815003.4973,1743149.0000
1815003.4973,7587476.0000
9182.0000,642.0000
1815003.4973,87580.0000
1815003.4973,768353.0000
1815003.4973,1395.0000
1815003.4973,2358965.0000
1815003.4973,499134.0000
1815003.4973,113227.0000
1815003.4973,1418675.0000
656.0000,52.0000
1815003.4973,439608.0000
1815003.4973,788429.0000
1815003.4973,30.0000
1815003.4973,7.0000
1815003.4973,380369.0000
1815003.4973,2152980.0000
68767513.0000,3019900.0000
1815003.4973,777.0000
1029612.0000,154007.0000
1815003.4973,1265245.0000
240885.3922,1358935.0000
2910786.8571,12886411.0000
3561.0000,4.0000
10879.0000,6484.0000
927505.0435,10968596.0000
818412.0000,10818.0000
1366892.0000,134461.0000
1815003.4973,299653.0000
869380.7500,362194.0000
1815003.4973,572053.0000
940.0000,742450.0000
1815003.4973,23348.0000
1815003.4973,20947.0000
1815003.4973,618070.0000
1815003.4973,1243294.0000
1815003.4973,1817.0000
1815003.4973,7677307.0000
1815003.4973,394.0000
1815003.4973,2093.0000
1815003.4973,656.0000
82844.0000,159095.0000
1815003.4973,203188.0000
1815003.4973,369.0000
1796.0000,3151274.0000
132222.5000,72747.0000
1815003.4973,399899.0000
5407.0000,4830946.0000
1815003.4973,598.0000
1815003.4973,793.0000
4484641.0000,9691711.0000
124.0000,19.0000
1815003.4973,676.0000
2422098.0000,579082.0000
683338.2667,148326.0000
1815003.4973,5.0000
1815003.4973,3673514.0000
1815003.4973,177578.0000
1815003.4973,1237203.0000
1815003.4973,71715.0000
7206403.0000,230260.0000
1815003.4973,981.0000
1815003.4973,42212.0000
1815003.4973,250176.0000
1815003.4973,30834.0000
2587.0000,8161888.0000
363653.9231,35601.0000
1203132.0000,55872.0000
1815003.4973,2828088.0000
1815003.4973,958277.0000
1544755.6000,2580.0000
1815003.4973,20316.0000
117843.0000,473038.0000
1815003.4973,930990.0000
1815003.4973,3038.0000
450499.5000,6399.0000
6362805.7500,974.0000
1815003.4973,35290.0000
1815003.4973,7449.0000
7801536.0000,155727.0000
491890.0000,2418.0000
1815003.4973,2629.0000
431.0000,3117116.0000
1815003.4973,496632.0000
18031.0000,4448.0000
363653.9231,4381.0000
5908073.7143,74659.0000
1815003.4973,227516.0000
1815003.4973,2023.0000
1815003.4973,293793.0000
936210.0000,751768.0000
100136868.0000,71888987.0000
5258.5000,60400702.0000
8953605.0000,1719706.0000
123249.0000,509805.0000
84937.0000,4482.0000
132222.5000,21839.0000
1815003.4973,254827.0000
1815003.4973,11045.0000
1815003.4973,4631369.0000
1815003.4973,1461.0000
63740.0000,978.0000
1815003.4973,770621.0000
1815003.4973,3602478.0000
1815003.4973,17866793.0000
1017794.0000,148502.0000
