Predicted,Actual
1752496.6939,246011.0000
1752496.6939,2005115.0000
632878.8061,21208.0000
1752496.6939,13478.0000
1752496.6939,518412.0000
1752496.6939,21.0000
1752496.6939,513924.0000
1752496.6939,94105.0000
1752496.6939,7.0000
1752496.6939,19947359.0000
1424456.9440,265606.0000
1752496.6939,621.0000
1752496.6939,425301.0000
855647.9560,172085.0000
3761719.7770,4356722.0000
1752496.6939,427.0000
1752496.6939,206653.0000
1752496.6939,27.0000
1352230.9193,520.0000
1429835.0106,8481.0000
1752496.6939,58952.0000
1752496.6939,30077.0000
1626517.5534,306066.0000
1752496.6939,51617.0000
1752496.6939,623353.0000
1752496.6939,9308.0000
1626517.5534,142504.0000
1752496.6939,4320.0000
1752496.6939,754.0000
1752496.6939,6660.0000
1752496.6939,55038.0000
1373406.1722,8.0000
1752496.6939,673430.0000
1752496.6939,63497.0000
1752496.6939,349391.0000
1752496.6939,14083.0000
1752496.6939,41437.0000
1752496.6939,206437.0000
1752496.6939,1190.0000
3624445.9122,231155.0000
1752496.6939,2397.0000
14344673.8570,15524814.0000
1752496.6939,89.0000
1752496.6939,810.0000
1752496.6939,29704.0000
1752496.6939,1384271.0000
1752496.6939,875865.0000
1752496.6939,2284834.0000
1752496.6939,37180.0000
1649599.3399,38913.0000
1752496.6939,718.0000
1404374.2712,65295.0000
1429835.0106,777.0000
1752496.6939,725571.0000
1752496.6939,78.0000
1752496.6939,3713354.0000
1752496.6939,82960.0000
603167.4014,48.0000
2829942.6828,237088.0000
1752496.6939,63286.0000
1752496.6939,2803.0000
1752496.6939,31.0000
1752496.6939,92923.0000
1752496.6939,80665.0000
1752496.6939,588172.0000
1752496.6939,413078.0000
3419681.9965,506.0000
1752496.6939,601995.0000
816970.5298,772070.0000
1697553.3522,634.0000
1752496.6939,452541.0000
602011.2545,794.0000
778835.8782,4905.0000
1626517.5534,418343.0000
1752496.6939,199078.0000
1752496.6939,512690.0000
1752496.6939,18519.0000
1752496.6939,1850759.0000
1752496.6939,78.0000
1752496.6939,390895.0000
1752496.6939,16256.0000
1378060.5121,137001.0000
1156980.4449,168528.0000
1752496.6939,6334.0000
1008524.0745,2898574.0000
1752496.6939,8.0000
1752496.6939,55216.0000
1752496.6939,559855.0000
1752496.6939,33261703.0000
1752496.6939,43965.0000
1752496.6939,873084.0000
1008404.7628,101370.0000
1506019.8748,88.0000
1752496.6939,131597.0000
1480776.6023,2490079.0000
1752496.6939,19698612.0000
1752496.6939,34146.0000
2839870.1966,1209595.0000
1752496.6939,10653981.0000
1752496.6939,32106.0000
1752496.6939,8345.0000
1429835.0106,237238.0000
1084760.1551,2042271.0000
1752496.6939,439220.0000
1626517.5534,280.0000
1752496.6939,5.0000
1752496.6939,3513.0000
1752496.6939,235.0000
1752496.6939,59.0000
1385355.7605,336193.0000
1411750.5949,833175.0000
1506019.8748,998.0000
1752496.6939,637100.0000
1752496.6939,48867.0000
1752496.6939,4828.0000
1681389.6113,475.0000
1726500.1498,8251856.0000
3154578.6577,314.0000
1752496.6939,179260.0000
2022534.0005,245888.0000
1661114.0545,2744562.0000
1752496.6939,8355.0000
1482774.1505,892.0000
1752496.6939,5.0000
1752496.6939,39.0000
1752496.6939,64525.0000
1752496.6939,576.0000
1752496.6939,38995.0000
1752496.6939,3701.0000
1752496.6939,604958.0000
1752496.6939,277932.0000
1752496.6939,3885770.0000
1752496.6939,1740344.0000
2761821.1226,5056.0000
1752496.6939,360497.0000
1752496.6939,4120433.0000
1752496.6939,11890.0000
1752496.6939,585.0000
1752496.6939,238209.0000
1752496.6939,428050.0000
1752496.6939,14357.0000
1752496.6939,7082.0000
1663687.0873,112070.0000
1752496.6939,32868.0000
1752496.6939,13545271.0000
1506019.8748,1360377.0000
1626517.5534,780779.0000
1752496.6939,207.0000
1752496.6939,30655962.0000
1752496.6939,520.0000
5620994.5562,3111237.0000
1062694.0772,159719.0000
1752496.6939,1452237.0000
1752496.6939,504671.0000
1159845.2689,152724.0000
1752496.6939,152553.0000
1752496.6939,18.0000
1752496.6939,10762.0000
774841.6677,29264.0000
1626517.5534,16390175.0000
1752496.6939,24827.0000
1752496.6939,10706455.0000
1752496.6939,409687.0000
1626517.5534,125913.0000
1752496.6939,1267114.0000
1752496.6939,6645335.0000
1752496.6939,2055502.0000
1752496.6939,4851.0000
1752496.6939,370.0000
1752496.6939,3931706.0000
1608753.2910,1722.0000
1752496.6939,110405.0000
2016226.0197,5.0000
1752496.6939,10669.0000
1752496.6939,475.0000
1506019.8748,73771.0000
1752496.6939,29244.0000
3005126.0364,5797511.0000
1752496.6939,57075.0000
1752496.6939,269.0000
393365.1501,2245829.0000
1752496.6939,53983.0000
3669409.8098,8123053.0000
1752496.6939,1673.0000
1752496.6939,25779.0000
1752496.6939,469741.0000
1752496.6939,126438.0000
1752496.6939,1743149.0000
1752496.6939,7587476.0000
943883.4649,642.0000
1752496.6939,87580.0000
1752496.6939,768353.0000
1752496.6939,1395.0000
1752496.6939,2358965.0000
1752496.6939,499134.0000
1752496.6939,113227.0000
1752496.6939,1418675.0000
1412043.2625,52.0000
1752496.6939,439608.0000
1752496.6939,788429.0000
1752496.6939,30.0000
1752496.6939,7.0000
1752496.6939,380369.0000
1752496.6939,2152980.0000
6661233.1153,3019900.0000
1752496.6939,777.0000
702981.3135,154007.0000
1752496.6939,1265245.0000
1752496.6939,1358935.0000
1385355.7605,12886411.0000
1752496.6939,4.0000
1752496.6939,6484.0000
1626517.5534,10968596.0000
1538022.4030,10818.0000
1555410.4708,134461.0000
1752496.6939,299653.0000
1752496.6939,362194.0000
1752496.6939,572053.0000
14378017.0878,742450.0000
1752496.6939,23348.0000
1752496.6939,20947.0000
1752496.6939,618070.0000
1752496.6939,1243294.0000
1752496.6939,1817.0000
1752496.6939,7677307.0000
1752496.6939,394.0000
1752496.6939,2093.0000
1752496.6939,656.0000
1380040.7343,159095.0000
1752496.6939,203188.0000
1752496.6939,369.0000
1752496.6939,3151274.0000
1752496.6939,72747.0000
1752496.6939,399899.0000
1141229.3294,4830946.0000
1752496.6939,598.0000
1752496.6939,793.0000
1752496.6939,9691711.0000
1752496.6939,19.0000
1752496.6939,676.0000
1752496.6939,579082.0000
1752496.6939,148326.0000
1752496.6939,5.0000
1752496.6939,3673514.0000
1752496.6939,177578.0000
1752496.6939,1237203.0000
1752496.6939,71715.0000
1681389.6113,230260.0000
1752496.6939,981.0000
1752496.6939,42212.0000
1752496.6939,250176.0000
1752496.6939,30834.0000
4584681.9124,8161888.0000
1752496.6939,35601.0000
1061912.4430,55872.0000
1752496.6939,2828088.0000
1752496.6939,958277.0000
1752496.6939,2580.0000
1752496.6939,20316.0000
1752496.6939,473038.0000
1752496.6939,930990.0000
1752496.6939,3038.0000
1752496.6939,6399.0000
1752496.6939,974.0000
1752496.6939,35290.0000
1752496.6939,7449.0000
-428182.3767,155727.0000
2193428.1473,2418.0000
1752496.6939,2629.0000
788755.5756,3117116.0000
1752496.6939,496632.0000
1752496.6939,4448.0000
1752496.6939,4381.0000
1752496.6939,74659.0000
1752496.6939,227516.0000
1752496.6939,2023.0000
1752496.6939,293793.0000
2078925.2027,751768.0000
89607458.3403,71888987.0000
2970762.4893,60400702.0000
2250625.2578,1719706.0000
2250625.2578,509805.0000
