Issue,Importance
results_PMD_Code Style_OnlyOneReturn,0.11263254
results_PMD_Design_LawOfDemeter,0.00883825
results_PMD_Code Style_ConfusingTernary,0.00217612
results_PMD_Design_CyclomaticComplexity,-0.00106986
results_PMD_Documentation_CommentSize,0.01054561
results_PMD_Error Prone_EmptyCatchBlock,0.00330915
results_PMD_Code Style_LongVariable,0.00259577
results_PMD_Documentation_CommentRequired,0.01768754
results_PMD_Code Style_ShortVariable,0.00940525
results_PMD_Code Style_LocalVariableCouldBeFinal,0.01002425
results_PMD_Error Prone_BeanMembersShouldSerialize,0.00340265
results_PMD_Multithreading_UseConcurrentHashMap,-0.00000929
results_PMD_Design_CognitiveComplexity,0.00220254
results_PMD_Code Style_MethodArgumentCouldBeFinal,0.01902364
results_PMD_Error Prone_NullAssignment,-0.00011229
results_PMD_Error Prone_CloseResource,-0.00016944
results_PMD_Design_NPathComplexity,0.00244272
results_PMD_Code Style_FieldNamingConventions,0.00046394
results_PMD_Code Style_UseUnderscoresInNumericLiterals,0.00947156
results_PMD_Design_GodClass,0.00051807
results_PMD_Best Practices_UnusedAssignment,-0.00024785
results_PMD_Design_NcssCount,0.00048574
results_PMD_Performance_AvoidInstantiatingObjectsInLoops,0.00103686
results_PMD_Best Practices_GuardLogStatement,-0.00063196
results_PMD_Performance_AddEmptyString,0.00018347
results_PMD_Design_AvoidCatchingGenericException,0.00228101
results_PMD_Error Prone_ProperLogger,-0.00019068
results_PMD_Design_ExcessiveMethodLength,0.00035489
results_PMD_Code Style_CallSuperInConstructor,0.00061921
results_PMD_Performance_OptimizableToArrayCall,0.00200239
results_PMD_Documentation_UncommentedEmptyConstructor,-0.00007395
results_PMD_Error Prone_AvoidCatchingThrowable,0.00027302
results_PMD_Code Style_CommentDefaultAccessModifier,0.01442610
results_PMD_Design_CouplingBetweenObjects,0.00111563
results_PMD_Error Prone_ReturnEmptyCollectionRatherThanNull,-0.00000774
results_PMD_Design_TooManyMethods,0.00029716
results_PMD_Design_ExcessiveImports,0.00197208
results_PMD_Design_MutableStaticState,-0.00106962
results_PMD_Best Practices_DoubleBraceInitialization,0.00018102
results_PMD_Code Style_UseShortArrayInitializer,0.00192320
results_PMD_Error Prone_AvoidDuplicateLiterals,0.00189033
results_PMD_Error Prone_EmptyIfStmt,0.00034099
results_PMD_Code Style_LinguisticNaming,0.00010269
results_PMD_Best Practices_UseVarargs,-0.00005251
results_PMD_Code Style_UnnecessaryFullyQualifiedName,-0.00008966
results_PMD_Best Practices_JUnitTestContainsTooManyAsserts,0.00020708
results_PMD_Design_ImmutableField,0.00216661
results_PMD_Best Practices_JUnitTestsShouldIncludeAssert,0.00043496
results_PMD_Best Practices_JUnitAssertionsShouldIncludeMessage,0.00093019
results_PMD_Best Practices_MethodReturnsInternalArray,0.00001355
results_PMD_Code Style_UseDiamondOperator,0.00103727
results_PMD_Design_SignatureDeclareThrowsException,-0.00014192
results_PMD_Code Style_UnnecessaryImport,0.00271972
results_PMD_Code Style_AtLeastOneConstructor,0.00040178
results_PMD_Best Practices_JUnit5TestShouldBePackagePrivate,0.00010735
results_PMD_Error Prone_AssignmentInOperand,0.00004354
