Predicted,Actual
884287.6525,246011.0000
1112107.5917,2005115.0000
1197366.5079,21208.0000
2707614.4415,13478.0000
7098051.4500,518412.0000
2259483.8500,21.0000
471375.7815,513924.0000
8623840.0733,94105.0000
1197366.5079,7.0000
1197366.5079,19947359.0000
824646.3681,265606.0000
67427.3401,621.0000
350784.9692,425301.0000
1197366.5079,172085.0000
2440781.3826,4356722.0000
641698.5667,427.0000
1197366.5079,206653.0000
1197366.5079,27.0000
1502983.4377,520.0000
1197366.5079,8481.0000
1197366.5079,58952.0000
197811.7169,30077.0000
1197366.5079,306066.0000
1197366.5079,51617.0000
709216.5900,623353.0000
309398.5941,9308.0000
8595326.8700,142504.0000
275589.3595,4320.0000
1197366.5079,754.0000
16366232.8933,6660.0000
2416001.6700,55038.0000
1147191.7432,8.0000
534807.6800,673430.0000
1197366.5079,63497.0000
666292.6756,349391.0000
508567.7554,14083.0000
1197366.5079,41437.0000
489507.3500,206437.0000
941292.7659,1190.0000
8158834.3433,231155.0000
2813786.8067,2397.0000
22067300.2982,15524814.0000
1197366.5079,89.0000
668294.3100,810.0000
269206.5224,29704.0000
286658.9100,1384271.0000
3668169.2600,875865.0000
2032937.9222,2284834.0000
334548.8750,37180.0000
501208.7693,38913.0000
1197366.5079,718.0000
8192188.2000,65295.0000
1197366.5079,777.0000
1907495.5670,725571.0000
1197366.5079,78.0000
240089.4000,3713354.0000
1197366.5079,82960.0000
40224.5438,48.0000
1197366.5079,237088.0000
803493.7945,63286.0000
1197366.5079,2803.0000
1197366.5079,31.0000
1197366.5079,92923.0000
1197366.5079,80665.0000
569604.4900,588172.0000
4831397.7788,413078.0000
1197366.5079,506.0000
1197366.5079,601995.0000
9429512.5600,772070.0000
1197366.5079,634.0000
1197366.5079,452541.0000
3385101.5140,794.0000
1539573.3600,4905.0000
3768056.9707,418343.0000
1197366.5079,199078.0000
1197366.5079,512690.0000
297130.4006,18519.0000
3829690.7400,1850759.0000
1128307.3704,78.0000
1197366.5079,390895.0000
1197366.5079,16256.0000
1663462.9457,137001.0000
5932999.1658,168528.0000
528599.5704,6334.0000
3492837.9300,2898574.0000
767121.7700,8.0000
515070.7320,55216.0000
1197366.5079,559855.0000
15314.4409,33261703.0000
1936841.6795,43965.0000
388919.7700,873084.0000
2278302.7100,101370.0000
273489.1233,88.0000
941292.7659,131597.0000
730461.8022,2490079.0000
1871183.0000,19698612.0000
281657.9276,34146.0000
1197366.5079,1209595.0000
3738489.5379,10653981.0000
8623840.0733,32106.0000
1197366.5079,8345.0000
1281077.4982,237238.0000
8299049.6233,2042271.0000
405365.5147,439220.0000
341016.8364,280.0000
630018.5954,5.0000
6148208.1200,3513.0000
490525.3366,235.0000
1197366.5079,59.0000
2391586.6200,336193.0000
4347279.2400,833175.0000
2359254.0150,998.0000
6486351.8167,637100.0000
537910.7300,48867.0000
4849092.0035,4828.0000
2252323.7423,475.0000
3891878.2297,8251856.0000
1197366.5079,314.0000
792295.2217,179260.0000
663204.7219,245888.0000
2465970.0600,2744562.0000
521018.3241,8355.0000
2400403.2400,892.0000
1197366.5079,5.0000
1197366.5079,39.0000
981831.7108,64525.0000
1003864.9300,576.0000
3357354.2802,38995.0000
1197366.5079,3701.0000
673208.3667,604958.0000
13099167.8900,277932.0000
784281.1590,3885770.0000
630018.5954,1740344.0000
1197366.5079,5056.0000
410708.0843,360497.0000
371319.2727,4120433.0000
1197366.5079,11890.0000
60301.0488,585.0000
1376728.2180,238209.0000
490525.3366,428050.0000
1197366.5079,14357.0000
762363.7183,7082.0000
556403.6250,112070.0000
5402513.6600,32868.0000
564878.2890,13545271.0000
633510.5421,1360377.0000
1197366.5079,780779.0000
653513.1429,207.0000
