Predicted,Actual
1697131.0000,246011.0000
17033.0000,2005115.0000
1217639.6041,21208.0000
2531238.1429,13478.0000
3275.0000,518412.0000
48.0000,21.0000
471005.3333,513924.0000
9838353.0000,94105.0000
1217639.6041,7.0000
1217639.6041,19947359.0000
2045286.0000,265606.0000
25291.5000,621.0000
380164.0000,425301.0000
1217639.6041,172085.0000
74478.0000,4356722.0000
74480.0000,427.0000
1217639.6041,206653.0000
1217639.6041,27.0000
74478.0000,520.0000
1217639.6041,8481.0000
1217639.6041,58952.0000
223.0000,30077.0000
1217639.6041,306066.0000
1217639.6041,51617.0000
3.0000,623353.0000
288416.7500,9308.0000
142.0000,142504.0000
269215.8000,4320.0000
1217639.6041,754.0000
374529.0000,6660.0000
149670.0000,55038.0000
1077273.0000,8.0000
2539621.0000,673430.0000
1217639.6041,63497.0000
488286.5000,349391.0000
473325.0000,14083.0000
1217639.6041,41437.0000
1925.0000,206437.0000
1016619.6429,1190.0000
389.0000,231155.0000
26793.0000,2397.0000
22403712.5217,15524814.0000
1217639.6041,89.0000
4406275.0000,810.0000
278649.0000,29704.0000
12338.0000,1384271.0000
625640.0000,875865.0000
4120317.5714,2284834.0000
1522.0000,37180.0000
650882.8000,38913.0000
1217639.6041,718.0000
988720.0000,65295.0000
1217639.6041,777.0000
2288274.5000,725571.0000
1217639.6041,78.0000
1574.0000,3713354.0000
1217639.6041,82960.0000
42.5000,48.0000
1217639.6041,237088.0000
821521.3333,63286.0000
1217639.6041,2803.0000
1217639.6041,31.0000
1217639.6041,92923.0000
1217639.6041,80665.0000
218.0000,588172.0000
36219.5000,413078.0000
1217639.6041,506.0000
1217639.6041,601995.0000
71999.0000,772070.0000
1217639.6041,634.0000
1217639.6041,452541.0000
38.0000,794.0000
7121.0000,4905.0000
776464.0000,418343.0000
1217639.6041,199078.0000
1217639.6041,512690.0000
293249.6667,18519.0000
64866.0000,1850759.0000
2021234.0000,78.0000
1217639.6041,390895.0000
1217639.6041,16256.0000
4142838.0000,137001.0000
1953407.0000,168528.0000
89.0000,6334.0000
88850.0000,2898574.0000
125734.0000,8.0000
150820.0000,55216.0000
1217639.6041,559855.0000
11921.2500,33261703.0000
43102.0000,43965.0000
658450.0000,873084.0000
1043044.0000,101370.0000
846986.0000,88.0000
1016619.6429,131597.0000
1480530.0000,2490079.0000
1113188.0000,19698612.0000
243896.5000,34146.0000
1217639.6041,1209595.0000
4120317.5714,10653981.0000
9838353.0000,32106.0000
1217639.6041,8345.0000
3870116.5833,237238.0000
2134.0000,2042271.0000
434663.0000,439220.0000
4594.0000,280.0000
647910.0000,5.0000
8035831.0000,3513.0000
458388.8400,235.0000
1217639.6041,59.0000
22833.0000,336193.0000
15825977.0000,833175.0000
4.0000,998.0000
3426376.0000,637100.0000
5591.0000,48867.0000
23650065.0000,4828.0000
5607766.0000,475.0000
94.0000,8251856.0000
1217639.6041,314.0000
7529.0000,179260.0000
443185.0000,245888.0000
1162152.0000,2744562.0000
66185.0000,8355.0000
1754.0000,892.0000
1217639.6041,5.0000
1217639.6041,39.0000
1153825.0000,64525.0000
232761.0000,576.0000
12592602.0000,38995.0000
1217639.6041,3701.0000
583212.0000,604958.0000
109714096.0000,277932.0000
194675.0000,3885770.0000
647910.0000,1740344.0000
1217639.6041,5056.0000
753988.0000,360497.0000
22275.0000,4120433.0000
1217639.6041,11890.0000
373.0000,585.0000
429773.0000,238209.0000
458388.8400,428050.0000
1217639.6041,14357.0000
287429.0000,7082.0000
136446.0000,112070.0000
2883786.0000,32868.0000
149345.0000,13545271.0000
192013.6667,1360377.0000
1217639.6041,780779.0000
41646.0000,207.0000
2266133.0000,30655962.0000
1217639.6041,520.0000
8983.0000,3111237.0000
1217639.6041,159719.0000
195779.5000,1452237.0000
562181.0000,504671.0000
12539716.2727,152724.0000
56266.0000,152553.0000
1643814.0000,18.0000
12559.0000,10762.0000
1217639.6041,29264.0000
1217639.6041,16390175.0000
631510.0000,24827.0000
18976.0000,10706455.0000
710760.0000,409687.0000
1217639.6041,125913.0000
1405928.0000,1267114.0000
1217639.6041,6645335.0000
70659.0000,2055502.0000
38452.0000,4851.0000
1217639.6041,370.0000
10186687.0000,3931706.0000
2940122.0000,1722.0000
4492.0000,110405.0000
129758.0000,5.0000
19395.0000,10669.0000
199.0000,475.0000
1217639.6041,73771.0000
16.0000,29244.0000
1217639.6041,5797511.0000
983952.0000,57075.0000
228.0000,269.0000
743778.0000,2245829.0000
1217639.6041,53983.0000
54860.0000,8123053.0000
14674.0000,1673.0000
458388.8400,25779.0000
156.0000,469741.0000
458388.8400,126438.0000
14227052.0000,1743149.0000
34.0000,7587476.0000
1620.0000,642.0000
4865.0000,87580.0000
68896.0000,768353.0000
30175.0000,1395.0000
88850.0000,2358965.0000
1217639.6041,499134.0000
1217639.6041,113227.0000
1217639.6041,1418675.0000
923.0000,52.0000
53243.0000,439608.0000
82544.0000,788429.0000
44726.0000,30.0000
32132.0000,7.0000
751029.0000,380369.0000
490238.2500,2152980.0000
1217639.6041,3019900.0000
1217639.6041,777.0000
156874.5000,154007.0000
62726.0000,1265245.0000
1217639.6041,1358935.0000
1386450.0000,12886411.0000
1217639.6041,4.0000
10879.0000,6484.0000
1217639.6041,10968596.0000
305.0000,10818.0000
1217639.6041,134461.0000
202.0000,299653.0000
983745.0000,362194.0000
1217639.6041,572053.0000
174.0000,742450.0000
84839.0000,23348.0000
1217639.6041,20947.0000
268.0000,618070.0000
47070.0000,1243294.0000
2844.0000,1817.0000
5.0000,7677307.0000
1217639.6041,394.0000
8813.0000,2093.0000
6.0000,656.0000
1547.0000,159095.0000
2531238.1429,203188.0000
458388.8400,369.0000
1469.0000,3151274.0000
1217639.6041,72747.0000
1217639.6041,399899.0000
640.0000,4830946.0000
2531238.1429,598.0000
69458.0000,793.0000
297426.0000,9691711.0000
3105.0000,19.0000
1217639.6041,676.0000
846986.0000,579082.0000
1217639.6041,148326.0000
76064.0000,5.0000
183.0000,3673514.0000
821521.3333,177578.0000
123450.5000,1237203.0000
94.0000,71715.0000
1217639.6041,230260.0000
62316.0000,981.0000
293249.6667,42212.0000
1016619.6429,250176.0000
1217639.6041,30834.0000
7.0000,8161888.0000
5910448.0000,35601.0000
72.0000,55872.0000
1217639.6041,2828088.0000
366.0000,958277.0000
39727.0000,2580.0000
122.0000,20316.0000
2270.0000,473038.0000
72021.0000,930990.0000
6.0000,3038.0000
1674866.0000,6399.0000
371.0000,974.0000
9838353.0000,35290.0000
1217639.6041,7449.0000
65414.0000,155727.0000
2940.0000,2418.0000
282277.0000,2629.0000
494882.0000,3117116.0000
821521.3333,496632.0000
945255.0000,4448.0000
1217639.6041,4381.0000
1643814.0000,74659.0000
5148805.0000,227516.0000
837205.0000,2023.0000
44715.0000,293793.0000
604213.0000,751768.0000
85255814.3333,71888987.0000
711821.0000,60400702.0000
2268298.0000,1719706.0000
1432.0000,509805.0000
1217639.6041,4482.0000
1217639.6041,21839.0000
278649.0000,254827.0000
71999.0000,11045.0000
1891328.0000,4631369.0000
832.0000,1461.0000
270065.0000,978.0000
70659.0000,770621.0000
1217639.6041,3602478.0000
2266133.0000,17866793.0000
9480938.0000,148502.0000
2991413.0000,11258922.0000
1011954.0000,172111396.0000
119.0000,2720642.0000
1217639.6041,1665.0000
7121.0000,3129641.0000
3282861.0000,521.0000
22403712.5217,13640341.0000
930151.0000,441631.0000
1217639.6041,109210.0000
1217639.6041,1903.0000
712.0000,2149530.0000
3741911.0000,13926.0000
146595.0000,470409.0000
1362359.0000,70818.0000
1217639.6041,99215.0000
24438.0000,653574.0000
1217639.6041,85761569.0000
22403712.5217,20113460.0000
846986.0000,605880.0000
244.0000,61942.0000
722.0000,42804.0000
458388.8400,523899.0000
1217639.6041,410168.0000
68896.0000,34579.0000
4510354.0000,344998.0000
704076.0000,24026407.0000
43691.0000,205744.0000
98986087.5000,163323916.0000
1970944.5000,85955.0000
2642778.0000,4363.0000
74025.8000,334003.0000
625396.0000,34202.0000
127208.0000,11348.0000
1600.5000,7122.0000
254781.0000,51554421.0000
1217639.6041,6826.0000
658.0000,5460293.0000
1217639.6041,3935.0000
410.0000,3578.0000
1217639.6041,1203.0000
821521.3333,378082.0000
17407.0000,4.0000
4956714.0000,281035.0000
1583350.0000,68796.0000
1165569.0000,64199.0000
1835170.0000,262841.0000
46005.0000,20.0000
160495.0000,17791782.0000
3590467.0000,86571.0000
2167.0000,6977.0000
172308.0000,4.0000
6652792.0000,48950.0000
6193185.0000,4621063.0000
229700.0000,140843.0000
490238.2500,170391.0000
1217639.6041,2165.0000
84224.0000,18.0000
1217639.6041,1396.0000
84402.0000,17247113.0000
1217639.6041,34321.0000
1636005.0000,10525.0000
143191.0000,40410.0000
1443808.0000,595282.0000
57603.0000,310.0000
4182036.0000,242366.0000
13848263.0000,8993079.0000
768.0000,81505.0000
1217639.6041,265372.0000
385499.0000,965970.0000
6.0000,33155.0000
45742554.0000,29137284.0000
946110.0000,198.0000
2239327.0000,1024.0000
184039.0000,3473487.0000
1693.0000,115937.0000
2641.0000,103.0000
98130.0000,56740268.0000
293249.6667,1984082.0000
