Issue,Importance
results_PMD_Code Style_OnlyOneReturn,0.00531028
results_PMD_Design_LawOfDemeter,0.00503474
results_PMD_Code Style_ConfusingTernary,0.00122943
results_PMD_Design_CyclomaticComplexity,-0.00000149
results_PMD_Documentation_CommentSize,0.00104136
results_PMD_Error Prone_EmptyCatchBlock,0.00981540
results_PMD_Code Style_LongVariable,0.00059299
results_PMD_Documentation_CommentRequired,0.00027218
results_PMD_Code Style_ShortVariable,0.00708827
results_PMD_Code Style_LocalVariableCouldBeFinal,0.00604595
results_PMD_Error Prone_BeanMembersShouldSerialize,-0.00030913
results_PMD_Multithreading_UseConcurrentHashMap,0.00000000
results_PMD_Design_CognitiveComplexity,0.00088138
results_PMD_Code Style_MethodArgumentCouldBeFinal,0.01430161
results_PMD_Error Prone_NullAssignment,0.00000000
results_PMD_Error Prone_CloseResource,0.00000000
results_PMD_Design_NPathComplexity,0.00255882
results_PMD_Code Style_FieldNamingConventions,-0.00066736
results_PMD_Code Style_UseUnderscoresInNumericLiterals,0.04709396
results_PMD_Design_GodClass,0.00000000
results_PMD_Best Practices_UnusedAssignment,0.00029222
results_PMD_Design_NcssCount,-0.00035512
results_PMD_Performance_AvoidInstantiatingObjectsInLoops,-0.00066112
results_PMD_Best Practices_GuardLogStatement,0.00000000
results_PMD_Performance_AddEmptyString,0.00000000
results_PMD_Design_AvoidCatchingGenericException,-0.00068358
results_PMD_Error Prone_ProperLogger,0.00000000
results_PMD_Design_ExcessiveMethodLength,-0.00014738
results_PMD_Code Style_CallSuperInConstructor,-0.00023056
results_PMD_Performance_OptimizableToArrayCall,-0.00064758
results_PMD_Documentation_UncommentedEmptyConstructor,0.00000000
results_PMD_Error Prone_AvoidCatchingThrowable,-0.00011140
results_PMD_Code Style_CommentDefaultAccessModifier,0.00244561
results_PMD_Design_CouplingBetweenObjects,0.00000000
results_PMD_Error Prone_ReturnEmptyCollectionRatherThanNull,-0.00083789
results_PMD_Design_TooManyMethods,0.00000622
results_PMD_Design_ExcessiveImports,-0.00085891
results_PMD_Design_MutableStaticState,0.00011704
results_PMD_Best Practices_DoubleBraceInitialization,0.00000000
results_PMD_Code Style_UseShortArrayInitializer,-0.00030306
results_PMD_Error Prone_AvoidDuplicateLiterals,0.00139300
results_PMD_Error Prone_EmptyIfStmt,0.00000000
results_PMD_Code Style_LinguisticNaming,0.00015439
results_PMD_Best Practices_UseVarargs,0.00000000
results_PMD_Code Style_UnnecessaryFullyQualifiedName,0.00000000
results_PMD_Best Practices_JUnitTestContainsTooManyAsserts,-0.00188708
results_PMD_Design_ImmutableField,0.00521848
results_PMD_Best Practices_JUnitTestsShouldIncludeAssert,-0.00022435
