Predicted,Actual
1965295.0742,246011.0000
1675668.9713,2005115.0000
1541018.8853,21208.0000
1541018.8853,13478.0000
7507207.5422,518412.0000
1393649.6634,21.0000
1677469.2982,513924.0000
1588331.8624,94105.0000
1541018.8853,7.0000
1541018.8853,19947359.0000
1174320.6567,265606.0000
1541018.8853,621.0000
1452785.7792,425301.0000
1541018.8853,172085.0000
1541018.8853,4356722.0000
1677469.2982,427.0000
1541018.8853,206653.0000
1541018.8853,27.0000
1633724.6331,520.0000
1541018.8853,8481.0000
1541018.8853,58952.0000
1541018.8853,30077.0000
1541018.8853,306066.0000
1541018.8853,51617.0000
2709262.5017,623353.0000
1541018.8853,9308.0000
1404536.6834,142504.0000
1541018.8853,4320.0000
1541018.8853,754.0000
2042709.6400,6660.0000
2118619.8897,55038.0000
1541018.8853,8.0000
1724782.2753,673430.0000
1541018.8853,63497.0000
1633724.6331,349391.0000
1541018.8853,14083.0000
1541018.8853,41437.0000
1633724.6331,206437.0000
1541018.8853,1190.0000
4185151.4681,231155.0000
2448698.6774,2397.0000
19458321.5785,15524814.0000
1541018.8853,89.0000
2090022.6171,810.0000
1541018.8853,29704.0000
1367792.1699,1384271.0000
2165371.8283,875865.0000
1541018.8853,2284834.0000
1681037.6102,37180.0000
1541018.8853,38913.0000
1541018.8853,718.0000
5137400.9482,65295.0000
1541018.8853,777.0000
1541018.8853,725571.0000
1541018.8853,78.0000
1633724.6331,3713354.0000
1541018.8853,82960.0000
1541018.8853,48.0000
1541018.8853,237088.0000
1633724.6331,63286.0000
1541018.8853,2803.0000
1541018.8853,31.0000
1541018.8853,92923.0000
1541018.8853,80665.0000
2165371.8283,588172.0000
1724782.2753,413078.0000
1541018.8853,506.0000
1541018.8853,601995.0000
1633724.6331,772070.0000
1541018.8853,634.0000
1541018.8853,452541.0000
1541018.8853,794.0000
1633724.6331,4905.0000
1631924.3062,418343.0000
1541018.8853,199078.0000
1541018.8853,512690.0000
1633724.6331,18519.0000
3785970.7445,1850759.0000
1541018.8853,78.0000
1541018.8853,390895.0000
1541018.8853,16256.0000
1541018.8853,137001.0000
2012319.6134,168528.0000
1541018.8853,6334.0000
1894239.5404,2898574.0000
1541018.8853,8.0000
1633724.6331,55216.0000
1541018.8853,559855.0000
1541018.8853,33261703.0000
6380495.0325,43965.0000
1633724.6331,873084.0000
1874389.6533,101370.0000
1724630.0540,88.0000
1541018.8853,131597.0000
1199065.3830,2490079.0000
2058000.8221,19698612.0000
1584763.5504,34146.0000
1541018.8853,1209595.0000
1541018.8853,10653981.0000
1588331.8624,32106.0000
1541018.8853,8345.0000
1541018.8853,237238.0000
1984168.8873,2042271.0000
1541018.8853,439220.0000
1633724.6331,280.0000
1541018.8853,5.0000
1724782.2753,3513.0000
1541018.8853,235.0000
1541018.8853,59.0000
1633724.6331,336193.0000
2708859.9595,833175.0000
2342235.0109,998.0000
2121779.3845,637100.0000
2121779.3845,48867.0000
1874389.6533,4828.0000
1681037.6102,475.0000
1584763.5504,8251856.0000
1541018.8853,314.0000
2072666.0804,179260.0000
1320084.6305,245888.0000
1541018.8853,2744562.0000
1541018.8853,8355.0000
1681037.6102,892.0000
1541018.8853,5.0000
1541018.8853,39.0000
1541018.8853,64525.0000
1633724.6331,576.0000
1541018.8853,38995.0000
1541018.8853,3701.0000
1997316.8692,604958.0000
1615989.6827,277932.0000
1997316.8692,3885770.0000
1541018.8853,1740344.0000
1541018.8853,5056.0000
1519290.0545,360497.0000
1541018.8853,4120433.0000
1541018.8853,11890.0000
1677317.0769,585.0000
1367792.1699,238209.0000
1541018.8853,428050.0000
1541018.8853,14357.0000
1592804.5041,7082.0000
1967095.4012,112070.0000
2858187.9580,32868.0000
1677469.2982,13545271.0000
1677317.0769,1360377.0000
1541018.8853,780779.0000
1541018.8853,207.0000
1458689.0538,30655962.0000
1541018.8853,520.0000
1681037.6102,3111237.0000
1541018.8853,159719.0000
1541018.8853,1452237.0000
1497242.4313,504671.0000
2939910.7587,152724.0000
1633724.6331,152553.0000
2442319.6605,18.0000
1541018.8853,10762.0000
1541018.8853,29264.0000
1541018.8853,16390175.0000
1633724.6331,24827.0000
1993748.5573,10706455.0000
1677469.2982,409687.0000
1541018.8853,125913.0000
2439769.1601,1267114.0000
1541018.8853,6645335.0000
1584611.3291,2055502.0000
1633724.6331,4851.0000
1541018.8853,370.0000
2394313.9784,3931706.0000
3223818.0980,1722.0000
963525.6390,110405.0000
1411384.6137,5.0000
1631924.3062,10669.0000
838714.4928,475.0000
1541018.8853,73771.0000
1584611.3291,29244.0000
1541018.8853,5797511.0000
1367792.1699,57075.0000
1306518.8139,269.0000
2389435.0466,2245829.0000
1541018.8853,53983.0000
1541018.8853,8123053.0000
1633724.6331,1673.0000
1541018.8853,25779.0000
1981576.6493,469741.0000
1541018.8853,126438.0000
1463394.3379,1743149.0000
1275086.4221,7587476.0000
1584763.5504,642.0000
2078034.7194,87580.0000
1724630.0540,768353.0000
1367792.1699,1395.0000
1724782.2753,2358965.0000
1541018.8853,499134.0000
1541018.8853,113227.0000
1541018.8853,1418675.0000
1541018.8853,52.0000
1628355.9942,439608.0000
1874389.6533,788429.0000
1541018.8853,30.0000
