Issue,Importance
results_PMD_Code Style_OnlyOneReturn,0.08996406
results_PMD_Design_LawOfDemeter,0.00932373
results_PMD_Code Style_ConfusingTernary,0.00223209
results_PMD_Design_CyclomaticComplexity,-0.00051447
results_PMD_Documentation_CommentSize,0.00859177
results_PMD_Error Prone_EmptyCatchBlock,0.00304813
results_PMD_Code Style_LongVariable,0.00170521
results_PMD_Documentation_CommentRequired,0.01914538
results_PMD_Code Style_ShortVariable,0.00978420
results_PMD_Code Style_LocalVariableCouldBeFinal,0.00987303
results_PMD_Error Prone_BeanMembersShouldSerialize,0.00291656
results_PMD_Multithreading_UseConcurrentHashMap,-0.00007689
results_PMD_Design_CognitiveComplexity,0.00225639
results_PMD_Code Style_MethodArgumentCouldBeFinal,0.01810106
results_PMD_Error Prone_NullAssignment,0.00107921
results_PMD_Error Prone_CloseResource,0.00036959
results_PMD_Design_NPathComplexity,0.00011907
results_PMD_Code Style_FieldNamingConventions,-0.00014963
results_PMD_Code Style_UseUnderscoresInNumericLiterals,0.01211583
results_PMD_Design_GodClass,0.00032256
results_PMD_Best Practices_UnusedAssignment,-0.00077755
results_PMD_Design_NcssCount,0.00138354
results_PMD_Performance_AvoidInstantiatingObjectsInLoops,0.00079426
results_PMD_Best Practices_GuardLogStatement,-0.00031269
results_PMD_Performance_AddEmptyString,0.00015564
results_PMD_Design_AvoidCatchingGenericException,0.00210123
results_PMD_Error Prone_ProperLogger,-0.00000002
results_PMD_Design_ExcessiveMethodLength,0.00036127
results_PMD_Code Style_CallSuperInConstructor,0.00041989
results_PMD_Performance_OptimizableToArrayCall,0.00243322
results_PMD_Documentation_UncommentedEmptyConstructor,-0.00044762
results_PMD_Error Prone_AvoidCatchingThrowable,0.00023587
results_PMD_Code Style_CommentDefaultAccessModifier,0.01382637
results_PMD_Design_CouplingBetweenObjects,0.00118094
results_PMD_Error Prone_ReturnEmptyCollectionRatherThanNull,-0.00025804
results_PMD_Design_TooManyMethods,0.00060587
results_PMD_Design_ExcessiveImports,0.00164518
results_PMD_Design_MutableStaticState,0.00023493
results_PMD_Best Practices_DoubleBraceInitialization,0.00017731
results_PMD_Code Style_UseShortArrayInitializer,0.00058192
results_PMD_Error Prone_AvoidDuplicateLiterals,0.00217292
results_PMD_Error Prone_EmptyIfStmt,-0.00065968
results_PMD_Code Style_LinguisticNaming,0.00043136
results_PMD_Best Practices_UseVarargs,0.00024081
results_PMD_Code Style_UnnecessaryFullyQualifiedName,0.00028912
results_PMD_Best Practices_JUnitTestContainsTooManyAsserts,0.00011510
results_PMD_Design_ImmutableField,0.00251900
results_PMD_Best Practices_JUnitTestsShouldIncludeAssert,0.00035521
results_PMD_Best Practices_JUnitAssertionsShouldIncludeMessage,0.00112753
results_PMD_Best Practices_MethodReturnsInternalArray,0.00003159
results_PMD_Code Style_UseDiamondOperator,0.00094131
results_PMD_Design_SignatureDeclareThrowsException,-0.00009733
results_PMD_Code Style_UnnecessaryImport,0.00200890
results_PMD_Code Style_AtLeastOneConstructor,0.00166889
results_PMD_Best Practices_JUnit5TestShouldBePackagePrivate,0.00014391
results_PMD_Error Prone_AssignmentInOperand,-0.00001383
results_PMD_Performance_InsufficientStringBufferDeclaration,-0.00010915
results_PMD_Design_CollapsibleIfStatements,-0.00025692
results_PMD_Design_UseUtilityClass,-0.00009449
results_PMD_Performance_AvoidFileStream,0.00076744
results_PMD_Best Practices_AvoidPrintStackTrace,-0.00028666
results_PMD_Code Style_NoPackage,-0.00007538
results_PMD_Best Practices_UseTryWithResources,-0.00000956
results_PMD_Best Practices_SystemPrintln,0.00659479
results_PMD_Performance_RedundantFieldInitializer,0.00175364
results_PMD_Best Practices_AvoidReassigningParameters,-0.00049651
results_PMD_Design_TooManyFields,0.00000602
results_PMD_Error Prone_AvoidFieldNameMatchingMethodName,0.00210497
results_PMD_Design_ExcessivePublicCount,0.00036215
results_PMD_Best Practices_UnusedPrivateField,-0.00136043
results_PMD_Code Style_LocalVariableNamingConventions,-0.00033739
results_PMD_Design_SingularField,0.01886901
results_PMD_Code Style_TooManyStaticImports,0.00048085
results_PMD_Code Style_MethodNamingConventions,0.00006832
