Variables;Importance
results_ktlint_None_no-unused-imports;-0.0423
results_ktlint_None_no-wildcard-imports;-0.0405
results_ktlint_None_modifier-order;-0.0340
results_ktlint_None_chain-wrapping;-0.0300
results_ktlint_None_parameter-list-wrapping;-0.0253
results_ktlint_None_comma-spacing;-0.0246
results_ktlint_None_no-consecutive-blank-lines;-0.0215
results_ktlint_None_dot-spacing;-0.0214
results_ktlint_None_no-multi-spaces;-0.0213
results_ktlint_None_no-semi;-0.0194
results_ktlint_None_comment-spacing;-0.0107
results_ktlint_None_keyword-spacing;-0.0105
results_ktlint_None_import-ordering;-0.0094
results_ktlint_None_final-newline;-0.0092
results_ktlint_None_no-line-break-before-assignment;-0.0075
results_ktlint_None_no-blank-line-before-rbrace;-0.0066
results_ktlint_None_paren-spacing;-0.0059
results_ktlint_None_indent;-0.0037
results_ktlint_None_op-spacing;-0.0023
results_ktlint_None_range-spacing;-0.0013
results_ktlint_None_no-empty-class-body;-0.0012
results_ktlint_None_no-unit-return;-0.0004
results_ktlint_None_string-template;-0.0001
results_ktlint_None_no-line-break-after-else;0.0027
results_ktlint_None_no-trailing-spaces;0.0101
results_ktlint_None_curly-spacing;0.0176
results_ktlint_None_colon-spacing;0.0221
results_ktlint_None_;0.0242
