Variables;Importance
results_ktlint_None_no-line-break-after-else;-0.0294
results_ktlint_None_parameter-list-wrapping;-0.0193
results_ktlint_None_comma-spacing;-0.0193
results_ktlint_None_no-unused-imports;-0.0165
results_ktlint_None_no-unit-return;-0.0119
results_ktlint_None_colon-spacing;-0.0112
results_ktlint_None_no-consecutive-blank-lines;-0.0111
results_ktlint_None_indent;-0.0059
results_ktlint_None_no-line-break-before-assignment;0.0032
results_ktlint_None_op-spacing;0.0033
results_ktlint_None_modifier-order;0.0035
results_ktlint_None_range-spacing;0.0045
results_ktlint_None_keyword-spacing;0.0095
results_ktlint_None_chain-wrapping;0.0109
results_ktlint_None_no-multi-spaces;0.0126
results_ktlint_None_paren-spacing;0.0143
results_ktlint_None_no-wildcard-imports;0.0147
results_ktlint_None_;0.0164
results_ktlint_None_no-empty-class-body;0.0210
results_ktlint_None_no-blank-line-before-rbrace;0.0217
results_ktlint_None_dot-spacing;0.0226
results_ktlint_None_comment-spacing;0.0228
results_ktlint_None_no-trailing-spaces;0.0230
results_ktlint_None_no-semi;0.0277
results_ktlint_None_curly-spacing;0.0323
results_ktlint_None_final-newline;0.0358
results_ktlint_None_import-ordering;0.0432
results_ktlint_None_string-template;0.0442
