Variables;Importance
results_ktlint_None_comment-spacing;-0.0446
results_ktlint_None_no-unused-imports;-0.0260
results_ktlint_None_string-template;-0.0235
results_ktlint_None_no-semi;-0.0154
results_ktlint_None_op-spacing;-0.0137
results_ktlint_None_parameter-list-wrapping;-0.0110
results_ktlint_None_comma-spacing;-0.0063
results_ktlint_None_indent;-0.0054
results_ktlint_None_range-spacing;-0.0043
results_ktlint_None_no-line-break-after-else;-0.0013
results_ktlint_None_no-trailing-spaces;-0.0010
results_ktlint_None_no-consecutive-blank-lines;0.0035
results_ktlint_None_keyword-spacing;0.0039
results_ktlint_None_colon-spacing;0.0041
results_ktlint_None_paren-spacing;0.0042
results_ktlint_None_no-unit-return;0.0044
results_ktlint_None_chain-wrapping;0.0064
results_ktlint_None_dot-spacing;0.0083
results_ktlint_None_final-newline;0.0084
results_ktlint_None_no-line-break-before-assignment;0.0087
results_ktlint_None_no-empty-class-body;0.0106
results_ktlint_None_no-wildcard-imports;0.0107
results_ktlint_None_curly-spacing;0.0125
results_ktlint_None_modifier-order;0.0126
results_ktlint_None_no-blank-line-before-rbrace;0.0167
results_ktlint_None_no-multi-spaces;0.0176
results_ktlint_None_import-ordering;0.0470
results_ktlint_None_;0.0837
