Variables;Importance
results_ktlint_None_no-line-break-after-else;-0.0174
results_ktlint_None_colon-spacing;-0.0129
results_ktlint_None_comma-spacing;-0.0116
results_ktlint_None_no-wildcard-imports;-0.0107
results_ktlint_None_no-consecutive-blank-lines;-0.0106
results_ktlint_None_no-unused-imports;-0.0090
results_ktlint_None_chain-wrapping;-0.0065
results_ktlint_None_no-empty-class-body;-0.0062
results_ktlint_None_comment-spacing;-0.0054
results_ktlint_None_string-template;-0.0033
results_ktlint_None_modifier-order;-0.0011
results_ktlint_None_paren-spacing;0.0011
results_ktlint_None_parameter-list-wrapping;0.0014
results_ktlint_None_;0.0020
results_ktlint_None_dot-spacing;0.0027
results_ktlint_None_no-unit-return;0.0037
results_ktlint_None_final-newline;0.0043
results_ktlint_None_no-blank-line-before-rbrace;0.0057
results_ktlint_None_no-multi-spaces;0.0059
results_ktlint_None_range-spacing;0.0065
results_ktlint_None_no-semi;0.0070
results_ktlint_None_no-trailing-spaces;0.0089
results_ktlint_None_op-spacing;0.0122
results_ktlint_None_keyword-spacing;0.0144
results_ktlint_None_indent;0.0173
results_ktlint_None_no-line-break-before-assignment;0.0222
results_ktlint_None_curly-spacing;0.0321
results_ktlint_None_import-ordering;0.0368
