Variables;Importance
results_ktlint_None_indent;-0.0474
results_ktlint_None_no-consecutive-blank-lines;-0.0254
results_ktlint_None_keyword-spacing;-0.0253
results_ktlint_None_modifier-order;-0.0209
results_ktlint_None_paren-spacing;-0.0108
results_ktlint_None_curly-spacing;-0.0081
results_ktlint_None_;-0.0068
results_ktlint_None_no-wildcard-imports;-0.0041
results_ktlint_None_chain-wrapping;-0.0029
results_ktlint_None_dot-spacing;0.0016
results_ktlint_None_no-blank-line-before-rbrace;0.0020
results_ktlint_None_no-line-break-before-assignment;0.0025
results_ktlint_None_comment-spacing;0.0052
results_ktlint_None_final-newline;0.0056
results_ktlint_None_no-line-break-after-else;0.0057
results_ktlint_None_op-spacing;0.0065
results_ktlint_None_range-spacing;0.0104
results_ktlint_None_no-unit-return;0.0122
results_ktlint_None_no-unused-imports;0.0131
results_ktlint_None_no-multi-spaces;0.0131
results_ktlint_None_import-ordering;0.0144
results_ktlint_None_no-semi;0.0174
results_ktlint_None_comma-spacing;0.0178
results_ktlint_None_parameter-list-wrapping;0.0186
results_ktlint_None_string-template;0.0190
results_ktlint_None_colon-spacing;0.0245
results_ktlint_None_no-empty-class-body;0.0299
results_ktlint_None_no-trailing-spaces;0.0338
