Variables;Importance
results_ktlint_None_no-line-break-before-assignment;-0.0030
results_ktlint_None_string-template;-0.0009
results_ktlint_None_;-0.0008
results_ktlint_None_dot-spacing;0.0000
results_ktlint_None_range-spacing;0.0000
results_ktlint_None_no-line-break-after-else;0.0000
results_ktlint_None_final-newline;0.0014
results_ktlint_None_paren-spacing;0.0033
results_ktlint_None_parameter-list-wrapping;0.0050
results_ktlint_None_no-wildcard-imports;0.0057
results_ktlint_None_keyword-spacing;0.0067
results_ktlint_None_no-semi;0.0079
results_ktlint_None_modifier-order;0.0102
results_ktlint_None_colon-spacing;0.0105
results_ktlint_None_no-unused-imports;0.0108
results_ktlint_None_no-trailing-spaces;0.0153
results_ktlint_None_chain-wrapping;0.0164
results_ktlint_None_no-empty-class-body;0.0168
results_ktlint_None_no-consecutive-blank-lines;0.0170
results_ktlint_None_op-spacing;0.0186
results_ktlint_None_import-ordering;0.0197
results_ktlint_None_comma-spacing;0.0207
results_ktlint_None_no-blank-line-before-rbrace;0.0216
results_ktlint_None_curly-spacing;0.0228
results_ktlint_None_no-unit-return;0.0234
results_ktlint_None_indent;0.0271
results_ktlint_None_no-multi-spaces;0.0278
results_ktlint_None_comment-spacing;0.0297
