Variables,Importance
results_ktlint_None_no-unused-imports,-0.0286
results_ktlint_None_no-blank-line-before-rbrace,-0.0160
results_ktlint_None_comma-spacing,-0.0102
results_ktlint_None_no-unit-return,-0.0092
results_ktlint_None_no-consecutive-blank-lines,-0.0089
results_ktlint_None_no-semi,-0.0047
results_ktlint_None_parameter-list-wrapping,-0.0037
results_ktlint_None_range-spacing,-0.0032
results_ktlint_None_no-multi-spaces,-0.0024
results_ktlint_None_comment-spacing,-0.0023
results_ktlint_None_dot-spacing,-0.0004
results_ktlint_None_import-ordering,-0.0003
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_modifier-order,0.0002
results_ktlint_None_op-spacing,0.0005
results_ktlint_None_no-line-break-before-assignment,0.0005
results_ktlint_None_string-template,0.0033
results_ktlint_None_paren-spacing,0.0037
results_ktlint_None_colon-spacing,0.0064
results_ktlint_None_final-newline,0.0081
results_ktlint_None_chain-wrapping,0.0150
results_ktlint_None_no-trailing-spaces,0.0159
results_ktlint_None_no-empty-class-body,0.0179
results_ktlint_None_keyword-spacing,0.0249
results_ktlint_None_no-wildcard-imports,0.0277
results_ktlint_None_indent,0.0437
results_ktlint_None_curly-spacing,0.0481
results_ktlint_None_,0.1712
