Variables,Importance
results_ktlint_None_no-consecutive-blank-lines,-0.0331
results_ktlint_None_parameter-list-wrapping,-0.0203
results_ktlint_None_comma-spacing,-0.0086
results_ktlint_None_no-semi,-0.0082
results_ktlint_None_no-empty-class-body,-0.0022
results_ktlint_None_curly-spacing,-0.0022
results_ktlint_None_string-template,-0.0013
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_range-spacing,0.0003
results_ktlint_None_no-line-break-before-assignment,0.0005
results_ktlint_None_no-unit-return,0.0006
results_ktlint_None_op-spacing,0.0007
results_ktlint_None_dot-spacing,0.0011
results_ktlint_None_,0.0012
results_ktlint_None_colon-spacing,0.0037
results_ktlint_None_chain-wrapping,0.0039
results_ktlint_None_modifier-order,0.0048
results_ktlint_None_paren-spacing,0.0060
results_ktlint_None_no-multi-spaces,0.0099
results_ktlint_None_no-blank-line-before-rbrace,0.0105
results_ktlint_None_keyword-spacing,0.0116
results_ktlint_None_no-wildcard-imports,0.0232
results_ktlint_None_comment-spacing,0.0237
results_ktlint_None_no-unused-imports,0.0349
results_ktlint_None_no-trailing-spaces,0.0371
results_ktlint_None_import-ordering,0.0393
results_ktlint_None_final-newline,0.0402
results_ktlint_None_indent,0.0418
