Variables,Importance
results_ktlint_None_final-newline,-0.0064
results_ktlint_None_keyword-spacing,-0.0058
results_ktlint_None_parameter-list-wrapping,-0.0055
results_ktlint_None_no-line-break-before-assignment,-0.0033
results_ktlint_None_no-multi-spaces,-0.0024
results_ktlint_None_no-empty-class-body,-0.0007
results_ktlint_None_modifier-order,-0.0002
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_paren-spacing,0.0001
results_ktlint_None_comma-spacing,0.0016
results_ktlint_None_range-spacing,0.0017
results_ktlint_None_no-unused-imports,0.0017
results_ktlint_None_no-unit-return,0.0028
results_ktlint_None_comment-spacing,0.0029
results_ktlint_None_no-blank-line-before-rbrace,0.0029
results_ktlint_None_no-semi,0.0030
results_ktlint_None_no-consecutive-blank-lines,0.0030
results_ktlint_None_op-spacing,0.0038
results_ktlint_None_chain-wrapping,0.0045
results_ktlint_None_no-trailing-spaces,0.0052
results_ktlint_None_no-wildcard-imports,0.0055
results_ktlint_None_curly-spacing,0.0056
results_ktlint_None_,0.0079
results_ktlint_None_string-template,0.0090
results_ktlint_None_import-ordering,0.0111
results_ktlint_None_dot-spacing,0.0133
results_ktlint_None_colon-spacing,0.0138
results_ktlint_None_indent,0.0188
