Variables;Importance
results_ktlint_None_keyword-spacing;-0.0376
results_ktlint_None_final-newline;-0.0284
results_ktlint_None_no-line-break-before-assignment;-0.0252
results_ktlint_None_parameter-list-wrapping;-0.0224
results_ktlint_None_no-empty-class-body;-0.0135
results_ktlint_None_no-wildcard-imports;-0.0088
results_ktlint_None_range-spacing;-0.0076
results_ktlint_None_paren-spacing;-0.0064
results_ktlint_None_no-unused-imports;-0.0063
results_ktlint_None_modifier-order;-0.0053
results_ktlint_None_no-multi-spaces;-0.0013
results_ktlint_None_no-line-break-after-else;0.0000
results_ktlint_None_comma-spacing;0.0057
results_ktlint_None_no-blank-line-before-rbrace;0.0083
results_ktlint_None_no-semi;0.0090
results_ktlint_None_comment-spacing;0.0120
results_ktlint_None_no-unit-return;0.0141
results_ktlint_None_no-trailing-spaces;0.0149
results_ktlint_None_curly-spacing;0.0160
results_ktlint_None_no-consecutive-blank-lines;0.0169
results_ktlint_None_;0.0200
results_ktlint_None_chain-wrapping;0.0228
results_ktlint_None_op-spacing;0.0231
results_ktlint_None_import-ordering;0.0255
results_ktlint_None_indent;0.0284
results_ktlint_None_string-template;0.0292
results_ktlint_None_dot-spacing;0.0554
results_ktlint_None_colon-spacing;0.0619
