Variables;Importance
results_ktlint_None_no-multi-spaces;-0.0243
results_ktlint_None_comment-spacing;-0.0166
results_ktlint_None_parameter-list-wrapping;-0.0101
results_ktlint_None_no-consecutive-blank-lines;-0.0094
results_ktlint_None_keyword-spacing;-0.0063
results_ktlint_None_colon-spacing;-0.0060
results_ktlint_None_range-spacing;-0.0023
results_ktlint_None_op-spacing;-0.0012
results_ktlint_None_modifier-order;0.0014
results_ktlint_None_no-semi;0.0015
results_ktlint_None_dot-spacing;0.0032
results_ktlint_None_no-line-break-before-assignment;0.0057
results_ktlint_None_no-empty-class-body;0.0057
results_ktlint_None_;0.0075
results_ktlint_None_chain-wrapping;0.0076
results_ktlint_None_no-wildcard-imports;0.0079
results_ktlint_None_no-blank-line-before-rbrace;0.0083
results_ktlint_None_final-newline;0.0087
results_ktlint_None_comma-spacing;0.0095
results_ktlint_None_no-unit-return;0.0099
results_ktlint_None_no-line-break-after-else;0.0124
results_ktlint_None_no-unused-imports;0.0135
results_ktlint_None_curly-spacing;0.0139
results_ktlint_None_paren-spacing;0.0149
results_ktlint_None_string-template;0.0194
results_ktlint_None_no-trailing-spaces;0.0199
results_ktlint_None_import-ordering;0.0464
results_ktlint_None_indent;0.0681
